fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual
1976-07-01,1976,7,495791.6837935643,71622.30706881189,884.0213195544555,342433.1317638614,19234.9599269802,,,20932.61522549505,483.988274009901,6106.039040346535,34094.62117450495
1976-08-01,1976,8,488630.6709167485,70481.2979506385,800.9514341846758,338953.2078737721,17886.483314096266,,,20879.85251031434,480.9319860019646,6208.046055500981,32939.89979223969
1976-09-01,1976,9,489061.72923047247,72815.19087777242,737.720837994214,335301.03990453226,18274.43362174542,,,20657.08807280617,494.7477589199614,5903.930430810028,34877.57772589199
1976-10-01,1976,10,493312.64141349815,71527.01945674905,631.3069700570343,340126.216006654,19656.71074168251,,,20504.643125000002,449.675170865019,5363.205161121673,35053.86478136882
1976-11-01,1976,11,496424.89152847807,70864.12144584501,1131.9473695144725,341232.4250816994,20055.577245798322,,,20389.85994747899,436.50157469654533,5727.180471755369,36587.278391690015
1976-12-01,1976,12,513047.37440281623,73503.97526246538,1317.3051200369346,350458.85535226227,20965.003456602033,,,20283.73641735919,446.71790120036934,6342.88150854109,39728.89938434903
1977-01-01,1977,1,494532.3767643112,70191.90177034884,2222.422498658318,340950.8178696332,20147.437708855097,,,19747.621177772806,434.581213998211,5521.711098389981,35315.883426654735
1977-02-01,1977,2,490024.0266171807,67033.05684118942,1344.7518737885462,340722.1571140969,20244.468188546256,,,19645.031032158593,430.3505323788546,5283.14445969163,35321.0665753304
1977-03-01,1977,3,487069.9613453098,67092.17938962995,1082.312986876076,338137.44761531847,20173.247570137697,,,19451.621939974182,420.80918911359726,5436.482057444062,35275.86059681584
1977-04-01,1977,4,487728.8264182163,66756.52631931528,1295.5359890109885,340167.80234234984,20985.475574387143,,,19322.131667371083,409.14933939137774,5275.253238165678,33516.951948224836
1977-05-01,1977,5,494141.9889518022,67730.82328164292,1341.0683883067898,344001.1228040654,21012.398498323553,,,19606.38434639564,409.23694279128244,5298.987759430009,34741.966930846604
1977-06-01,1977,6,494254.21934706374,68594.15274816476,1076.7068957993476,340949.5459106852,21810.68959257749,,,19278.75176835237,402.63674143556284,5894.130393964112,36247.60529608483
1977-07-01,1977,7,498599.0594709945,67198.46122257301,1299.9021600236779,341673.2810664957,26586.46651874507,,,18788.684426992895,414.08048579321235,6469.674913378059,36168.5086769929
1977-08-01,1977,8,477279.16260646016,65209.40552580275,1186.400362767584,328581.56352580275,23893.929243119266,,,18332.780517010702,400.6938470948012,6201.2373757645255,33473.152209097854
1977-09-01,1977,9,476762.7492328431,64677.17046587482,1093.135463989442,327091.27782654605,25065.36684144042,,,18182.35047831825,438.2274081825038,5300.870009803922,34914.35073868778
1977-10-01,1977,10,473516.4590920564,62834.264177988116,1082.8786651818857,327014.3838268374,24164.0688749072,,,18045.15128637713,443.83682757980694,5468.224810690423,34463.65062249443
1977-11-01,1977,11,478794.2335434783,64366.62317446574,1061.474629513633,330983.02026584384,23737.275096352252,,,18100.539992446575,440.90240954310985,5533.200527450258,34571.197447862934
1977-12-01,1977,12,494063.3301679459,68140.91356999267,1124.2831655701752,338181.8760667032,25301.64393786549,,,17366.25790350877,448.83849634502917,5944.561753289473,37554.95527467105
1978-01-01,1978,1,480443.0247028777,66673.64022392087,1598.1551365107912,329905.40549766185,24675.467154316546,,,17310.038285251798,442.71953381294963,5450.400582374101,34387.198289028776
1978-02-01,1978,2,481709.06911306985,68083.59185933048,1071.9618710826212,330002.73607923795,25178.49945263533,,,17260.451520833336,491.2150334757835,5195.002576388889,34425.610720085475
1978-03-01,1978,3,484725.74827936006,69170.9627317159,1093.490036392405,328729.9240216245,27396.14163449367,,,17483.885925632912,522.5548908227848,5190.861683016878,35137.92735566104
1978-04-01,1978,4,477764.6541456612,65413.959450241055,1012.6994602272729,327824.51786449726,27906.459507403586,,,17155.964369318182,521.2571341253444,4972.577415117081,32957.21894473141
1978-05-01,1978,5,475003.7112222033,62372.17820924283,1041.5428790927695,327400.48528410646,27021.86752489768,,,17039.731086630287,518.9252689290587,5585.950222032742,34023.03074727149
1978-06-01,1978,6,483731.1959336597,63069.92126130992,997.0379429439568,331133.8719741728,30690.1464027684,,,16985.93768365969,515.4669559419311,5493.77476181634,34845.03895104659
1978-07-01,1978,7,484815.2322516524,63257.85386946464,818.8443187376075,331612.1924618308,29357.467825677464,,,16892.913047422342,505.9807881692003,6635.47847323199,35734.50146711831
1978-08-01,1978,8,470017.5812839506,63446.80426981806,786.543327322937,322005.5615808967,26543.50828411306,,,16691.334224821312,490.89252306692657,6459.714314002599,33593.22275990903
1978-09-01,1978,9,470813.46583086345,62155.14258714562,614.8142069909794,321093.87681894336,28911.737937661084,,,16601.551846488404,533.1749568298969,5747.640083601805,35155.52739320233
1978-10-01,1978,10,466135.34953224787,58332.842243773965,465.5508105044701,321365.39124457224,26570.184675447006,,,16826.143313537683,525.7289455619415,5954.454040708813,36095.054258141776
1978-11-01,1978,11,470926.13582501584,58932.30077558804,361.4767606484424,322552.53785712016,29020.37686617927,,,16722.784993324854,538.9915554672599,6219.295751430387,36578.37126525746
1978-12-01,1978,12,490157.7213125391,63303.67585815046,319.994550783699,331082.0416717868,30977.27189905956,,,16560.48496630094,547.9376166144201,6622.167296081504,40744.147453761754
1979-01-01,1979,1,480183.168150894,66489.19423674476,432.93992987053025,321864.76142447593,29302.628060727497,,,16366.262597410605,537.8318298397041,6291.685169852035,38897.86490197287
1979-02-01,1979,2,483705.9196323439,67062.37372322522,403.88715116279064,324683.2904074357,28811.258119951035,,,16379.004923041615,592.913475367197,6082.000532129743,39691.1913000306
1979-03-01,1979,3,486286.67952619627,71508.5639371593,480.5724444276196,324308.6886701999,29759.18122698365,,,16143.445696396122,588.5129359479104,5528.414367655966,37969.3002474258
1979-04-01,1979,4,483486.9110037291,71681.06862335918,427.76467556682576,322157.9388323389,28251.86189707637,,,15861.912020286396,576.9585262529832,6173.615068466586,38355.79136038186
1979-05-01,1979,5,479708.9542597287,69045.20448879716,424.7010229952829,321770.9629249705,28265.95341450471,,,15643.363632959905,591.0459942511792,6163.972519015329,37803.750262234666
1979-06-01,1979,6,496472.37036148447,79937.90366350087,450.3617331969608,325924.4732337814,28937.76030260082,,,15504.487645821158,628.7475366744593,6309.865278199883,38778.770967708944
1979-07-01,1979,7,498509.1688093535,80502.4897667334,462.9261915045766,326591.14651072654,28995.026976115558,,,15329.81682265446,618.7965506292907,6675.628765446224,39333.33722554347
1979-08-01,1979,8,492953.4656740794,78138.24446303118,481.5656718130313,321931.0579447593,32212.928927620407,,,15351.199499858361,680.8240713881021,6569.415053257791,37588.230042351286
1979-09-01,1979,9,494708.9705560683,80882.54994449107,487.85635766219247,322083.8166345079,31433.079290548107,,,15107.410463926175,674.4059359619688,6065.19387346197,37974.65805550896
1979-10-01,1979,10,497324.8044054911,80294.71639597129,499.9340811258278,322925.14386437635,32430.358651490063,,,15021.347094094921,646.8920339403974,6281.035793046357,39225.37649144591
1979-11-01,1979,11,505629.6016649697,76547.05836268574,474.23742680242157,327503.36880792514,38127.359346862955,,,14946.174296642817,674.5049605118327,6205.970288112273,41150.928175426525
1979-12-01,1979,12,522398.50874498085,82078.53084495384,531.2954549647312,331576.68411977746,38271.33523467172,,,14175.082696418876,698.7619944384154,6927.92985404232,48138.88166739011
1980-01-01,1980,1,504749.72639097145,80095.50818637804,540.5221628827877,321387.33784054907,36893.88712156811,,,13891.582897967264,688.2324035110876,6610.1621104804635,44642.49366763463
1980-02-01,1980,2,507387.88061747776,79483.42150706437,583.6346512297226,323753.2098100471,38001.785356227105,,,13848.503594976451,672.4249697802198,5710.972061747777,45333.93529997384
1980-03-01,1980,3,511859.93077446637,76707.80613443519,594.7975973451327,328143.70526978135,40553.820719026546,,,13784.860286309213,688.3191491410722,5978.7406837584585,45407.89413274336
