fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual,credito_privado_share,crecimiento_credito_yoy
1976-07-01,1976,9,489061.72923047247,72815.19087777242,737.720837994214,335301.03990453226,18274.43362174542,,,20657.08807280617,494.7477589199614,5903.930430810028,34877.57772589199,68.56006509283007,
1976-10-01,1976,12,513047.3744028162,73503.97526246538,1317.3051200369346,350458.85535226227,20965.003456602037,,,20283.73641735919,446.7179012003693,6342.88150854109,39728.89938434903,68.30925813823609,
1977-01-01,1977,3,487069.9613453098,67092.17938962995,1082.312986876076,338137.44761531847,20173.247570137697,,,19451.621939974186,420.80918911359726,5436.482057444062,35275.86059681584,69.42276766182977,
1977-04-01,1977,6,494254.2193470637,68594.15274816476,1076.7068957993476,340949.5459106852,21810.68959257749,,,19278.75176835237,402.6367414355629,5894.130393964112,36247.60529608483,68.9826272724789,
1977-07-01,1977,9,476762.7492328431,64677.17046587482,1093.135463989442,327091.27782654605,25065.36684144042,,,18182.35047831825,438.2274081825038,5300.870009803922,34914.35073868778,68.60671861483877,-2.4484749824586594
1977-10-01,1977,12,494063.3301679459,68140.91356999267,1124.2831655701752,338181.8760667032,25301.64393786549,,,17366.25790350877,448.8384963450292,5944.561753289473,37554.95527467105,68.44909456278525,-3.5031157290115966
1978-01-01,1978,3,484725.74827936006,69170.9627317159,1093.490036392405,328729.9240216245,27396.14163449367,,,17483.885925632912,522.5548908227848,5190.861683016878,35137.92735566104,67.81771448876466,-2.78215963953109
1978-04-01,1978,6,483731.1959336597,63069.92126130992,997.0379429439568,331133.8719741728,30690.1464027684,,,16985.93768365969,515.4669559419311,5493.77476181634,34845.03895104659,68.45410731367953,-2.8789227186956534
1978-07-01,1978,9,470813.46583086345,62155.14258714562,614.8142069909794,321093.87681894336,28911.737937661084,,,16601.551846488404,533.1749568298969,5747.640083601805,35155.52739320233,68.19980738067805,-1.8335557730105756
1978-10-01,1978,12,490157.7213125391,63303.67585815046,319.994550783699,331082.0416717868,30977.27189905956,,,16560.48496630094,547.9376166144201,6622.167296081504,40744.14745376176,67.54602187745178,-2.0994130370002417
1979-01-01,1979,3,486286.67952619627,71508.5639371593,480.5724444276196,324308.6886701999,29759.18122698365,,,16143.445696396122,588.5129359479104,5528.414367655966,37969.3002474258,66.69084355470801,-1.344944596870279
1979-04-01,1979,6,496472.37036148447,79937.90366350087,450.3617331969608,325924.4732337814,28937.76030260082,,,15504.487645821158,628.7475366744593,6309.865278199883,38778.770967708944,65.64805872207428,-1.5732002012762147
1979-07-01,1979,9,494708.9705560683,80882.54994449107,487.85635766219247,322083.8166345079,31433.079290548107,,,15107.410463926177,674.4059359619688,6065.19387346197,37974.65805550896,65.1057158459196,0.30830230254523805
1979-10-01,1979,12,522398.5087449809,82078.53084495384,531.2954549647312,331576.68411977746,38271.33523467172,,,14175.082696418876,698.7619944384154,6927.92985404232,48138.88166739011,63.47198136464113,0.14940177531013177
