fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros,depositos_share,crecimiento_depositos_yoy,deuda_emitida_share
1976-07-01,1976,9,,500806.4752798939,71717.39899710704,4884.900652603664,388323.88776084856,35880.30009378013,18770.95392526519,,1885.3273341369331,9365.636687560267,,,
1976-10-01,1976,12,,527215.0998273315,79675.83184556787,4458.903423591874,404398.0520353186,38682.31252285319,18974.46107617729,,1785.338221375808,9367.989492613113,,,
1977-01-01,1977,3,,502583.7505402324,79575.3962183735,4835.29646170396,381127.263319062,37045.78363166954,18106.18456992255,,1866.820533562823,9058.727002151463,,,
1977-04-01,1977,6,,503068.1382116641,83135.53273001633,4997.203801794454,377531.8546305058,37403.54704934747,17761.377881117456,,1767.134814029364,10823.287138866232,,,
1977-07-01,1977,9,,484144.1071851433,70228.03822266214,4520.418152337858,363473.913611991,45921.73719815234,16472.471050527904,,1630.874403657617,9840.188565422324,,-3.327107159594578,
1977-10-01,1977,12,,502213.146023209,73118.80826937134,4248.583109283625,378431.2337807016,46414.52086385233,16337.096696089178,,1613.3851697733917,10640.926963084794,,-4.742268158159913,
1978-01-01,1978,3,,493892.50946026726,71494.02620024614,5477.131581751055,368761.4602107947,48159.89146747539,15863.668903481012,,1678.83139011955,9887.294457102673,,-1.7293119943935342,
1978-04-01,1978,6,,492514.40328933153,62900.26166525996,5286.350262997975,374232.0401080352,50095.7598126266,15324.08509132343,,1611.128473160027,11639.345039500338,,-2.0978738506178485,
1978-07-01,1978,9,,483553.6894289627,60182.08649613403,4051.307970199743,372560.8855542849,46759.40124033505,14666.003252899489,,1537.2764737435568,10462.851995006444,,-0.12195082980835936,
1978-10-01,1978,12,,497939.5290865204,57638.956864420055,3755.131523197492,389370.5329523511,47174.91569435736,14600.786581191222,,1211.571439968652,14761.952184012538,,-0.8509568040043103,
1979-01-01,1979,3,,493363.59998485766,59976.36859418534,3991.256693670503,383412.0814368565,45983.88558192005,13914.0345841914,,1605.6397655966082,14437.942932313748,,-0.10708999737364389,
1979-04-01,1979,6,,501096.3316152834,59905.37130713033,5753.081080362361,389755.9029193454,45681.97630844535,13288.464311513731,,1443.6677057276447,17106.9444257744,,1.7424725589010537,
1979-07-01,1979,9,,499423.18304670026,62637.42406851232,4634.054025587249,384536.1374653244,47615.574577181214,12551.251592980983,,1277.8702832774052,15977.916080117451,,3.281847282869066,
1979-10-01,1979,12,,524728.6852367063,63215.12790219749,4274.843592647855,403448.0581931632,53790.65554869776,12457.097620998367,,1044.487162778079,13244.53496052631,,5.380001904916276,
1980-01-01,1980,3,,513853.4536467984,58748.03212024986,4254.636693388859,394470.0846328735,56380.70679932326,11958.431628839146,,1454.566325741801,12780.599044638207,,4.153093917461614,
1980-04-01,1980,6,,521403.92022138176,61940.26899810893,5334.367450201715,396067.966027988,58061.32413779627,11537.549354387293,,1300.9362860564802,15671.416433434191,,4.05263166478127,
1980-07-01,1980,9,,529300.1632632473,65669.0777600875,5051.533887943607,397716.6568578026,60862.88859467671,11158.787762396692,,1141.610052017501,15288.727471803591,,5.982297424457639,
1980-10-01,1980,12,,548522.6323047316,67412.24090619116,5300.970418314501,409531.3373837101,66278.08956485406,12170.01422693032,,924.238924081921,14746.01457733051,,4.534523790574152,
1981-01-01,1981,3,,536789.4959858172,67651.19723953173,5721.808929761367,393994.1833670643,69422.30074178296,12097.900257541643,,1390.2987266996845,15601.962858509678,,4.463537644097282,
1981-04-01,1981,6,,555351.0150643839,67929.30888829786,7292.407200908688,403207.1452184175,76922.15375675976,12127.901792442372,,1242.6923623670211,17099.896211546984,,6.510709552891081,
1981-07-01,1981,9,,552141.2930377237,66635.03377568201,5965.491586849956,403865.2820788576,75675.48559633417,12437.966716751916,,1071.6770988917303,17958.92909835891,,4.315345310618457,
1981-10-01,1981,12,,574781.0569890904,69913.8106116715,5404.387131123922,417479.7231944218,81983.13605187324,12212.198518834915,,1246.559260806917,36388.85877356939,,4.787117821197007,
1982-01-01,1982,3,,586057.7845732964,82480.59583963947,7705.39473652932,408777.1323716324,87094.66664797941,12420.9799945523,,1610.3189138272585,38126.400436608565,,9.178325760081751,
1982-04-01,1982,6,,592535.4190633831,82869.03769998094,8016.318807464683,411774.7705145095,89875.29688172968,12787.79135996564,,1552.8655727376863,42092.52155593739,,6.695657879492378,
1982-07-01,1982,9,,607234.4393836013,88234.15274364247,7680.707239715781,418662.9096485601,92656.66501093864,13773.73450495512,,1422.057334985041,39959.799261219145,,9.978088406098152,
1982-10-01,1982,12,,600597.0249824007,93714.92004548736,10641.788391696751,421849.1294273466,74391.18711787004,15689.14395063177,,1227.521279963899,40850.92298032491,,4.491443773137482,
1983-01-01,1983,3,,596300.0007918715,98614.87300500352,12796.18652835323,413013.0195193118,71875.92173920295,17171.85522252458,,1390.3652868679776,48506.61353388343,,1.7476461345927286,
1983-04-01,1983,6,,595693.6026754116,95173.89589634772,13898.343535665295,412631.03825017146,73990.32499322703,19119.28649862826,,1476.6413988340194,57493.67374374144,,0.532994908054718,
1983-07-01,1983,9,,602919.6404662094,97486.2347621278,13480.449164185346,417556.2365057711,74396.72003412513,19200.089342924053,,1333.6246361659416,55093.04098937771,,-0.7105655802019162,
1983-10-01,1983,12,,613506.4973515122,101287.02856258042,11846.500371219432,425786.5076925675,74586.46072514477,19710.274245817243,,1295.063795447233,44939.06243500642,,2.1494399459420777,
1984-01-01,1984,3,,608606.8660456324,102981.5948394646,14167.609622025671,419861.20329015335,71596.45829398872,20767.91390075141,,1387.4055940043831,55854.88370608954,,2.063871413284879,
1984-04-01,1984,6,,626822.4698162511,108339.49307725456,15928.525609341335,428329.5359458295,74224.91908556478,20966.294932209912,,1550.157001615882,63705.86976808248,,5.225650737397847,
1984-07-01,1984,9,,652818.1628229198,126582.8779302343,16099.205941724242,432413.0892568339,77722.98969412738,21455.488862421145,,1419.9178552117753,61644.93705557224,,8.276148097966463,
1984-10-01,1984,12,,662856.7091273235,119355.97396193564,14592.798307170253,446230.0910659485,82677.84579226909,23924.11695064915,,1260.6801571259955,59195.03235637354,,8.043959108640998,
1985-01-01,1985,3,,657495.7392007001,119741.51184974278,15812.75839839954,439615.1474236924,82326.32152886539,24986.377841954843,,1331.4645219348383,62195.64615182909,,8.032915151404495,
1985-04-01,1985,6,,669223.4444080509,122199.56563460451,17235.026400776835,448011.1309606639,81777.72499300848,25023.585790748588,,1510.907454872881,69114.32855254239,,6.764431180048369,
1985-07-01,1985,9,,669710.3001081438,129320.97873737512,17053.756713443396,450044.6250001388,73290.94317459768,25677.63296039123,,1384.379186528857,65699.18441634296,,2.5875715853521886,
1985-10-01,1985,12,,677392.7935722861,134596.95264879984,16275.162711129302,459440.1375586472,67080.54065370979,27301.673728723414,,1209.7098171713044,61249.85462213587,,2.192945208942665,
1986-01-01,1986,3,,665726.8768306368,141565.26938101818,14730.977149434362,445497.2209559327,63933.40934425152,29146.11612424362,,1208.056588266246,56286.94782629572,,1.2518921628211777,
1986-04-01,1986,6,,681540.0938123054,150902.78931029563,16109.782221991702,452406.2825564056,62121.23972361256,29034.5310064834,,1472.1073189834024,60200.63319767893,,1.8404390203557552,
1986-07-01,1986,9,,662935.7620658893,131489.65041358335,16291.89181525595,452170.426760897,62983.79307615305,29536.8114372149,,1337.7055304738974,56181.691895463744,,-1.0115624683031732,
1986-10-01,1986,12,,683304.5771493452,134570.23285840265,15095.364667233564,468919.7696236459,64719.210000063,32709.892443814573,,1189.1519718442937,55604.08058623081,,0.8727260805186265,
1987-01-01,1987,3,,670753.3635540975,118732.05059476355,15771.85430935875,471184.86073582567,65064.59477556326,32844.22264700421,,1435.2503988611045,54402.01369163159,,0.7550373731928239,
1987-04-01,1987,6,,697748.6046808234,127380.19704451038,16934.71484359545,485482.7392281775,67950.95356454006,31332.53114255688,,1431.2721577027696,67357.53496031158,,2.378218246538233,
1987-07-01,1987,9,,700826.1873231618,118718.16364747632,16863.184395777724,494222.8998273477,71021.93945256005,29779.17459906576,,1276.4450592695948,62701.31265208688,,5.715550046537765,
1987-10-01,1987,12,,727107.0408507589,127490.64582980004,16084.700772765598,516929.3384951217,66602.35575307155,26958.55795181884,,1130.1669242953506,62354.04731197302,,6.410386402525159,
1988-01-01,1988,3,,726807.3753045152,126098.282378822,16656.45325948092,513281.8358557715,70770.80080575966,25445.779769139604,,1309.3319002133208,56778.19273797108,,8.35687374766283,
1988-04-01,1988,6,,747974.6263026535,122649.2801198176,18370.18445694148,530816.4508935087,76138.71383564321,25143.71345232173,,1541.734261904762,64115.37656817105,,7.19829767983633,
1988-07-01,1988,9,,746375.5256460628,119458.48057059228,20271.10107093664,530474.8076398071,76171.1363647268,23679.781945879244,,1384.166649621212,56795.0441096763,,6.499377327334033,
1988-10-01,1988,12,,771235.6781207898,124961.44394680248,19083.612339155672,553574.7121902595,73615.91252958581,23008.047368798365,,1296.2856804164771,59786.96885616752,,6.069070273119315,
1989-01-01,1989,3,,785028.7300586461,127726.23727803842,22443.729897173813,556691.9823535522,78166.783362042,20509.17174949732,,1462.3095599307414,58582.19020386505,,8.010561908475044,
1989-04-01,1989,6,,814096.6575465258,127526.60140672716,27180.77258215313,575145.0563884709,84244.22997438593,19170.90119036291,,1791.8960620712546,67605.34619296304,,8.8401436250215,
1989-07-01,1989,9,,826450.5955600813,141667.52631911,32028.87435420248,572571.230501827,80182.96438494194,18332.940359307817,,1633.1779666272566,69389.03331121021,,10.728522997147504,
1989-10-01,1989,12,,838357.4547006494,144664.55778572187,33092.807045783644,581484.2798603598,79115.80730930579,16425.27523301746,,1464.996064310051,68356.65600037265,,8.703147232945696,
