fecha,año,trimestre,periodo,IPRI_total_industria_2021,IPRI_industrias_extractivas_2021,IPRI_industria_manufacturera_2021,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2021,IPRI_energia_2021,IPRI_bienes_equipo_2021,IPRI_bienes_intermedios_2021,IPRI_bienes_consumo_2021,IPRI_bienes_consumo_duradero_2021,IPRI_bienes_consumo_no_duradero_2021,IPRI_total_industria_2025,IPRI_industrias_extractivas_2025,IPRI_industria_manufacturera_2025,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2025,IPRI_energia_2025,IPRI_bienes_equipo_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,IPRI_bienes_consumo_duradero_2025,IPRI_bienes_consumo_no_duradero_2025
1976-07-01,1976,3,1976Q3,12.92,15.15,14.08,8.22,8.1,14.52,15.51,13.85,15.48,13.56,10.297350610707811,12.546150926469066,11.843959202271215,6.194229018179536,6.088241926189462,12.840561553483917,13.60784944506997,11.144638905652787,13.76448620291058,10.854729932558186
1976-08-01,1976,3,1976Q3,12.99,15.23,14.16,8.22,8.1,14.69,15.58,13.93,15.4,13.72,10.353141209991833,12.612401228391015,11.911254425011391,6.194229018179536,6.088241926189462,12.990898706658315,13.669264626317867,11.209012271172803,13.693351907288303,10.98280934179191
1976-09-01,1976,3,1976Q3,12.99,15.23,14.23,8.22,8.1,14.69,15.58,14.09,15.56,13.72,10.353141209991833,12.612401228391015,11.970137744909048,6.194229018179536,6.088241926189462,12.990898706658315,13.669264626317867,11.337759002212836,13.835620498532858,10.98280934179191
1976-10-01,1976,4,1976Q4,13.2,15.31,14.46,8.22,8.1,14.94,15.79,14.41,16.04,14.11,10.520513007843894,12.678651530312965,12.163611510287058,6.194229018179536,6.088241926189462,13.211982755444197,13.85351017006156,11.5952524642929,14.262426272266518,11.295002901799114
1976-11-01,1976,4,1976Q4,13.33,15.31,14.53,8.22,8.16,14.94,15.79,14.56,16.29,14.27,10.624124120799932,12.678651530312965,12.222494830184711,6.194229018179536,6.133340014531607,13.211982755444197,13.85351017006156,11.715952524642931,14.484720946086133,11.42308231103284
1976-12-01,1976,4,1976Q4,13.33,15.31,14.53,8.22,8.16,15.02,15.79,14.72,16.45,14.35,10.624124120799932,12.678651530312965,12.222494830184711,6.194229018179536,6.133340014531607,13.282729651055677,13.85351017006156,11.844699255682963,14.626989537330687,11.487122015649701
1977-01-01,1977,1,1977Q1,13.68,15.47,14.98,8.22,8.16,15.85,16.0,15.19,16.94,14.82,10.903077117220034,12.811152134156861,12.601030458098208,6.194229018179536,6.133340014531607,14.016728693024799,14.037755713805256,12.222892778113057,15.062687098017133,11.863355280273769
1977-02-01,1977,1,1977Q1,13.88,15.47,15.21,8.22,8.21,16.18,16.28,15.35,17.1,15.13,11.062478829460096,12.811152134156861,12.794504223476219,6.194229018179536,6.170921754816727,14.30855963742216,14.283416438796849,12.351639509153088,15.204955689261688,12.111509135664111
1977-03-01,1977,1,1977Q1,14.36,16.2,15.66,9.36,8.74,16.68,16.7,15.9,17.67,15.6,11.445042938836234,13.415686139194644,13.173039851389717,7.0532826776350905,6.569288201839001,14.750727734993921,14.651907526284234,12.7942063971032,15.71178754557041,12.487742400288177
1977-04-01,1977,2,1977Q2,14.77,17.5,16.1,9.36,9.22,16.93,17.33,16.14,17.83,15.84,11.771816448928357,14.492253545426315,13.543163576460692,7.0532826776350905,6.930072908576154,14.9718117837798,15.204644157515315,12.987326493663248,15.854056136814961,12.679861514138766
1977-05-01,1977,2,1977Q2,14.91,18.31,16.25,9.36,9.27,17.18,17.54,16.29,17.99,15.99,11.883397647496398,15.163037852386047,13.669342119098523,7.0532826776350905,6.967654648861274,15.19289583256568,15.388889701259009,13.108026554013277,15.996324728059516,12.799935960295382
1977-06-01,1977,2,1977Q2,15.04,18.39,16.4,9.36,9.27,17.26,17.68,16.53,18.07,16.31,11.987008760452436,15.229288154307996,13.795520661736358,7.0532826776350905,6.967654648861274,15.263642728177166,15.511720063754804,13.301146650573328,16.067459023681792,13.05609477876283
1977-07-01,1977,3,1977Q3,15.32,18.39,16.7,9.36,9.27,18.18,17.82,16.77,18.39,16.46,12.210171157588519,15.229288154307996,14.047877747012022,7.0532826776350905,6.967654648861274,16.077232027709204,15.634550426250602,13.494266747133373,16.351996206170902,13.176169224919448
1977-08-01,1977,3,1977Q3,15.8,18.39,17.23,9.9,10.22,18.43,18.17,17.4,19.37,16.93,12.592735266964661,15.229288154307996,14.493708597665696,7.46020283211404,7.6817077142785575,16.298316076495084,15.941626332490094,14.0012070006035,17.223391327543794,13.552402489543516
1977-09-01,1977,3,1977Q3,16.07,20.49,17.53,9.9,10.33,18.59,18.59,17.63,19.85,17.25,12.807927578488739,16.96835857975915,14.746065682941364,7.46020283211404,7.764387542905821,16.439809867718047,16.31011741997748,14.186280426473546,17.650197101277456,13.808561308010967
1977-10-01,1977,4,1977Q4,16.34,20.49,17.9,9.9,10.33,19.09,18.94,18.03,20.26,17.64,13.023119890012818,16.96835857975915,15.05730608811468,7.46020283211404,7.764387542905821,16.881977965289806,16.617193326216974,14.508147254073627,18.014760366341626,14.120754868018171
1977-11-01,1977,4,1977Q4,16.55,20.74,18.05,9.9,10.38,19.34,19.15,18.34,20.66,17.87,13.190491687864883,17.175390773265242,15.183484630752517,7.46020283211404,7.8019692831909415,17.103062014075686,16.801438869960663,14.75759404546369,18.37043184445301,14.30486901879165
1977-12-01,1977,4,1977Q4,16.62,20.74,18.2,9.9,10.38,19.42,19.22,18.34,20.74,17.87,13.246282287148903,17.175390773265242,15.309663173390348,7.46020283211404,7.8019692831909415,17.173808909687168,16.86285405120856,14.75759404546369,18.44156614007528,14.30486901879165
1978-01-01,1978,1,1978Q1,16.82,20.74,18.43,9.9,10.38,19.84,19.43,18.66,20.99,18.19,13.405683999388962,17.175390773265242,15.503136938768359,7.46020283211404,7.8019692831909415,17.54523011164745,17.047099594952257,15.015087507543756,18.6638608138949,14.5610278372591
1978-02-01,1978,1,1978Q1,16.96,21.14,18.58,9.9,10.38,19.92,19.57,18.89,21.31,18.5,13.517265197957004,17.50664228287499,15.62931548140619,7.46020283211404,7.8019692831909415,17.61597700725893,17.16992995744805,15.2001609334138,18.948397996384006,14.809181692649442
1978-03-01,1978,1,1978Q1,17.1,21.22,18.73,9.9,10.38,20.09,19.7,19.13,21.47,18.66,13.628846396525047,17.572892584796936,15.755494024044022,7.46020283211404,7.8019692831909415,17.76631416043333,17.283986722622718,15.39328102997385,19.09066658762856,14.937261101883164
1978-04-01,1978,2,1978Q2,17.3,21.3,18.95,9.9,10.38,20.42,19.98,19.36,21.88,18.97,13.788248108765103,17.639142886718886,15.94055588657951,7.46020283211404,7.8019692831909415,18.05814510483069,17.529647447614312,15.578354455843895,19.455229852692728,15.185414957273508
1978-05-01,1978,2,1978Q2,17.64,21.87,19.33,9.9,10.38,20.92,20.54,19.52,21.88,19.13,14.059231019573204,18.111176287912773,16.260208194595354,7.46020283211404,7.8019692831909415,18.500313202402452,18.020968897597495,15.707101186883929,19.455229852692728,15.313494366507232
1978-06-01,1978,2,1978Q2,17.85,21.95,19.63,9.9,10.38,21.33,20.89,19.76,22.28,19.21,14.226602817425265,18.17742658983472,16.512565279871016,7.46020283211404,7.8019692831909415,18.86289104241129,18.32804480383699,15.900221283443978,19.810901330804118,15.377534071124096
1978-07-01,1978,3,1978Q3,17.98,21.95,19.7,9.9,10.38,21.41,21.1,19.84,22.45,19.36,14.330213930381305,18.17742658983472,16.571448599768672,7.46020283211404,7.8019692831909415,18.933637938022773,18.51229034758068,15.964594648963992,19.962061709001453,15.497608517280712
1978-08-01,1978,3,1978Q3,18.05,21.95,19.85,9.9,10.38,21.41,21.1,19.92,22.69,19.44,14.386004529665325,18.17742658983472,16.697627142406507,7.46020283211404,7.8019692831909415,18.933637938022773,18.51229034758068,16.02896801448401,20.175464595868288,15.561648221897576
1978-09-01,1978,3,1978Q3,18.19,21.95,19.92,9.9,10.43,21.75,21.31,20.07,22.93,19.6,14.497585728233368,18.17742658983472,16.75651046230416,7.46020283211404,7.839551023476061,19.23431224437157,18.696535891324373,16.14966807483404,20.388867482735115,15.689727631131301
1978-10-01,1978,4,1978Q4,18.39,22.11,20.22,9.9,10.43,22.41,21.52,20.31,23.09,19.83,14.656987440473426,18.309927193678618,17.008867547579825,7.46020283211404,7.839551023476061,19.817974133166295,18.880781435068066,16.342788171394083,20.53113607397967,15.873841781904776
1978-11-01,1978,4,1978Q4,18.53,22.11,20.3,9.9,10.43,22.58,21.59,20.39,23.26,19.91,14.768568639041469,18.309927193678618,17.076162770320007,7.46020283211404,7.839551023476061,19.968311286340693,18.942196616315965,16.407161536914103,20.68229645217701,15.93788148652164
1978-12-01,1978,4,1978Q4,18.6,22.68,20.45,9.9,10.43,22.66,21.73,20.55,23.5,19.99,14.824359238325489,18.781960594872505,17.202341312957834,7.46020283211404,7.839551023476061,20.039058181952175,19.065026978811762,16.535908267954134,20.895699339043837,16.0019211911385
1979-01-01,1979,1,1979Q1,19.01,23.0,20.82,9.9,10.43,23.41,22.15,21.02,24.15,20.38,15.15113274841761,19.0469618025603,17.513581718131157,7.46020283211404,7.839551023476061,20.702310328309814,19.43351806629915,16.91410179038423,21.473665490974835,16.31411475114571
1979-02-01,1979,1,1979Q1,19.28,23.0,21.2,9.9,10.49,23.65,22.64,21.33,24.55,20.77,15.366325059941687,19.0469618025603,17.833234026147,7.46020283211404,7.884649111818205,20.91455101514426,19.863424335034434,17.16354858177429,21.829336969086224,16.62630831115291
1979-03-01,1979,1,1979Q1,19.42,24.14,21.42,9.9,10.54,23.82,22.92,21.57,24.8,20.93,15.47790625850973,19.99102860494807,18.018295888682488,7.46020283211404,7.922230852103325,21.06488816831866,20.10908506002603,17.35666867833434,22.05163164290584,16.75438772038664
