fecha,interes_legal,interes_demora_efectos_tributarios,año,trimestre,periodo
1976-07-01,4.0,7.0,1976,3,1976Q3
1976-08-01,4.0,7.0,1976,3,1976Q3
1976-09-01,4.0,7.0,1976,3,1976Q3
1976-10-01,4.0,7.0,1976,4,1976Q4
1976-11-01,4.0,7.0,1976,4,1976Q4
1976-12-01,4.0,7.0,1976,4,1976Q4
1977-01-01,4.0,7.0,1977,1,1977Q1
1977-02-01,4.0,7.0,1977,1,1977Q1
1977-03-01,4.0,7.0,1977,1,1977Q1
1977-04-01,4.0,7.0,1977,2,1977Q2
1977-05-01,4.0,7.0,1977,2,1977Q2
1977-06-01,4.0,7.0,1977,2,1977Q2
1977-07-01,4.0,8.0,1977,3,1977Q3
1977-08-01,4.0,8.0,1977,3,1977Q3
1977-09-01,4.0,8.0,1977,3,1977Q3
1977-10-01,4.0,8.0,1977,4,1977Q4
1977-11-01,4.0,8.0,1977,4,1977Q4
1977-12-01,4.0,8.0,1977,4,1977Q4
1978-01-01,4.0,8.0,1978,1,1978Q1
1978-02-01,4.0,8.0,1978,1,1978Q1
1978-03-01,4.0,8.0,1978,1,1978Q1
1978-04-01,4.0,8.0,1978,2,1978Q2
1978-05-01,4.0,8.0,1978,2,1978Q2
1978-06-01,4.0,8.0,1978,2,1978Q2
1978-07-01,4.0,8.0,1978,3,1978Q3
1978-08-01,4.0,8.0,1978,3,1978Q3
1978-09-01,4.0,8.0,1978,3,1978Q3
1978-10-01,4.0,8.0,1978,4,1978Q4
1978-11-01,4.0,8.0,1978,4,1978Q4
1978-12-01,4.0,8.0,1978,4,1978Q4
1979-01-01,4.0,8.0,1979,1,1979Q1
1979-02-01,4.0,8.0,1979,1,1979Q1
1979-03-01,4.0,8.0,1979,1,1979Q1
1979-04-01,4.0,8.0,1979,2,1979Q2
1979-05-01,4.0,8.0,1979,2,1979Q2
1979-06-01,4.0,8.0,1979,2,1979Q2
1979-07-01,4.0,8.0,1979,3,1979Q3
1979-08-01,4.0,8.0,1979,3,1979Q3
1979-09-01,4.0,8.0,1979,3,1979Q3
1979-10-01,4.0,8.0,1979,4,1979Q4
1979-11-01,4.0,8.0,1979,4,1979Q4
1979-12-01,4.0,8.0,1979,4,1979Q4
1980-01-01,4.0,8.0,1980,1,1980Q1
1980-02-01,4.0,8.0,1980,1,1980Q1
1980-03-01,4.0,8.0,1980,1,1980Q1
1980-04-01,4.0,8.0,1980,2,1980Q2
1980-05-01,4.0,8.0,1980,2,1980Q2
1980-06-01,4.0,8.0,1980,2,1980Q2
1980-07-01,4.0,8.0,1980,3,1980Q3
1980-08-01,4.0,8.0,1980,3,1980Q3
1980-09-01,4.0,8.0,1980,3,1980Q3
1980-10-01,4.0,8.0,1980,4,1980Q4
1980-11-01,4.0,8.0,1980,4,1980Q4
1980-12-01,4.0,8.0,1980,4,1980Q4
1981-01-01,4.0,8.0,1981,1,1981Q1
1981-02-01,4.0,8.0,1981,1,1981Q1
1981-03-01,4.0,8.0,1981,1,1981Q1
1981-04-01,4.0,8.0,1981,2,1981Q2
1981-05-01,4.0,8.0,1981,2,1981Q2
1981-06-01,4.0,8.0,1981,2,1981Q2
1981-07-01,4.0,8.0,1981,3,1981Q3
