fecha,interes_legal,interes_demora_efectos_tributarios,año,trimestre,diferencial,cambio_tipo
1976-07-01,4.0,7.0,1976.0,3.0,3.0,0.0
1976-10-01,4.0,7.0,1976.0,4.0,3.0,0.0
1977-01-01,4.0,7.0,1977.0,1.0,3.0,0.0
1977-04-01,4.0,7.0,1977.0,2.0,3.0,0.0
1977-07-01,4.0,8.0,1977.0,3.0,4.0,0.0
1977-10-01,4.0,8.0,1977.0,4.0,4.0,0.0
1978-01-01,4.0,8.0,1978.0,1.0,4.0,0.0
1978-04-01,4.0,8.0,1978.0,2.0,4.0,0.0
1978-07-01,4.0,8.0,1978.0,3.0,4.0,0.0
1978-10-01,4.0,8.0,1978.0,4.0,4.0,0.0
1979-01-01,4.0,8.0,1979.0,1.0,4.0,0.0
1979-04-01,4.0,8.0,1979.0,2.0,4.0,0.0
1979-07-01,4.0,8.0,1979.0,3.0,4.0,0.0
1979-10-01,4.0,8.0,1979.0,4.0,4.0,0.0
1980-01-01,4.0,8.0,1980.0,1.0,4.0,0.0
1980-04-01,4.0,8.0,1980.0,2.0,4.0,0.0
1980-07-01,4.0,8.0,1980.0,3.0,4.0,0.0
1980-10-01,4.0,8.0,1980.0,4.0,4.0,0.0
1981-01-01,4.0,8.0,1981.0,1.0,4.0,0.0
1981-04-01,4.0,8.0,1981.0,2.0,4.0,0.0
1981-07-01,4.0,8.0,1981.0,3.0,4.0,0.0
1981-10-01,4.0,8.0,1981.0,4.0,4.0,0.0
1982-01-01,4.0,8.0,1982.0,1.0,4.0,0.0
1982-04-01,4.0,8.0,1982.0,2.0,4.0,0.0
1982-07-01,4.0,8.0,1982.0,3.0,4.0,0.0
1982-10-01,4.0,8.0,1982.0,4.0,4.0,0.0
1983-01-01,4.0,8.0,1983.0,1.0,4.0,0.0
1983-04-01,4.0,8.0,1983.0,2.0,4.0,0.0
1983-07-01,4.0,8.0,1983.0,3.0,4.0,0.0
1983-10-01,4.0,8.0,1983.0,4.0,4.0,0.0
1984-01-01,4.0,8.0,1984.0,1.0,4.0,0.0
1984-04-01,4.0,8.0,1984.0,2.0,4.0,0.0
1984-07-01,8.0,8.0,1984.0,3.0,0.0,1.3333333333333333
1984-10-01,8.0,8.0,1984.0,4.0,0.0,0.0
1985-01-01,11.0,11.0,1985.0,1.0,0.0,1.0
1985-04-01,11.0,13.75,1985.0,2.0,2.75,0.0
1985-07-01,11.0,13.75,1985.0,3.0,2.75,0.0
1985-10-01,11.0,13.75,1985.0,4.0,2.75,0.0
1986-01-01,10.5,13.125,1986.0,1.0,2.625,-0.16666666666666666
1986-04-01,10.5,13.125,1986.0,2.0,2.625,0.0
1986-07-01,10.5,13.125,1986.0,3.0,2.625,0.0
1986-10-01,10.5,13.125,1986.0,4.0,2.625,0.0
1987-01-01,9.5,12.0,1987.0,1.0,2.5,-0.3333333333333333
1987-04-01,9.5,12.0,1987.0,2.0,2.5,0.0
1987-07-01,9.5,12.0,1987.0,3.0,2.5,0.0
1987-10-01,9.5,12.0,1987.0,4.0,2.5,0.0
1988-01-01,9.0,11.5,1988.0,1.0,2.5,-0.16666666666666666
1988-04-01,9.0,11.5,1988.0,2.0,2.5,0.0
1988-07-01,9.0,11.5,1988.0,3.0,2.5,0.0
1988-10-01,9.0,11.5,1988.0,4.0,2.5,0.0
1989-01-01,9.0,11.0,1989.0,1.0,2.0,0.0
1989-04-01,9.0,11.0,1989.0,2.0,2.0,0.0
1989-07-01,9.0,11.0,1989.0,3.0,2.0,0.0
1989-10-01,9.0,11.0,1989.0,4.0,2.0,0.0
1990-01-01,9.0,11.0,1990.0,1.0,2.0,0.0
1990-04-01,9.333333333333334,11.333333333333334,1990.0,2.0,2.0,0.3333333333333333
1990-07-01,10.0,12.0,1990.0,3.0,2.0,0.0
1990-10-01,10.0,12.0,1990.0,4.0,2.0,0.0
1991-01-01,10.0,12.0,1991.0,1.0,2.0,0.0
1991-04-01,10.0,12.0,1991.0,2.0,2.0,0.0
1991-07-01,10.0,12.0,1991.0,3.0,2.0,0.0
1991-10-01,10.0,12.0,1991.0,4.0,2.0,0.0
1992-01-01,10.0,12.0,1992.0,1.0,2.0,0.0
1992-04-01,10.0,12.0,1992.0,2.0,2.0,0.0
1992-07-01,10.0,12.0,1992.0,3.0,2.0,0.0
1992-10-01,10.0,12.0,1992.0,4.0,2.0,0.0
1993-01-01,10.0,12.0,1993.0,1.0,2.0,0.0
1993-04-01,10.0,12.0,1993.0,2.0,2.0,0.0
1993-07-01,10.0,12.0,1993.0,3.0,2.0,0.0
1993-10-01,10.0,12.0,1993.0,4.0,2.0,0.0
1994-01-01,9.0,11.0,1994.0,1.0,2.0,-0.3333333333333333
1994-04-01,9.0,11.0,1994.0,2.0,2.0,0.0
1994-07-01,9.0,11.0,1994.0,3.0,2.0,0.0
1994-10-01,9.0,11.0,1994.0,4.0,2.0,0.0
1995-01-01,9.0,11.0,1995.0,1.0,2.0,0.0
1995-04-01,9.0,11.0,1995.0,2.0,2.0,0.0
1995-07-01,9.0,11.0,1995.0,3.0,2.0,0.0
1995-10-01,9.0,11.0,1995.0,4.0,2.0,0.0
