fecha,año,trimestre,periodo,ambos_sexos_asalariados_sector_privado,ambos_sexos_asalariados_sector_publico,ambos_sexos_asalariados_total,ambos_sexos_ayuda_negocio_familiar,ambos_sexos_empresarios_total,ambos_sexos_miembro_cooperativa,ambos_sexos_ocupado_otra_situacion,ambos_sexos_total,hombres_asalariados_sector_privado,hombres_asalariados_sector_publico,hombres_asalariados_total,hombres_ayuda_negocio_familiar,hombres_empresarios_total,hombres_miembro_cooperativa,hombres_ocupado_otra_situacion,hombres_total,mujeres_asalariados_sector_privado,mujeres_asalariados_sector_publico,mujeres_asalariados_total,mujeres_ayuda_negocio_familiar,mujeres_empresarios_total,mujeres_miembro_cooperativa,mujeres_ocupado_otra_situacion,mujeres_total,ratio_asalariados,share_empleo_publico,tasa_autoempleo,share_empleo_femenino
1976-07-01,1976,3,1976Q3,7498.1,1358.1,8856.2,1191.8,3852.6,0.0,52.7,12777.3,5613.9,1014.8,6628.7,391.2,2474.7,0.0,33.2,9149.1,1884.2,343.3,2227.5,800.5,1377.8,0.0,19.5,3628.2,69.31198296979801,10.629006128055222,30.151910027940175,28.395670446808012
1976-10-01,1976,4,1976Q4,7460.4,1373.7,8834.1,1135.3,3767.4,0.0,51.8,12668.8,5584.0,1019.3,6603.3,354.6,2428.0,0.0,33.2,9075.4,1876.4,354.3,2230.7000000000003,780.7,1339.5,0.0,18.6,3593.3,69.73115054306643,10.843173781257894,29.73762313715585,28.36338090426876
1977-01-01,1977,1,1977Q1,7504.4,1367.3,8871.699999999999,1105.7,3707.8,0.0,27.9,12615.6,5607.9,1015.8,6623.7,349.0,2395.9,0.0,15.3,9040.0,1896.4,351.6,2248.0,756.7,1311.9,0.0,12.5,3575.6,70.32325057864864,10.838168616633375,29.390595770316118,28.342686832176035
1977-04-01,1977,2,1977Q2,7492.2,1381.7,8873.9,1062.7,3671.9,0.0,28.4,12580.3,5645.0,1007.6,6652.6,332.3,2386.5,0.0,18.1,9061.0,1847.2,374.1,2221.3,730.5,1285.5,0.0,10.3,3519.2,70.53806348020318,10.983044919437535,29.187698226592374,27.97389569406135
1977-07-01,1977,3,1977Q3,7479.8,1376.2,8856.0,1090.4,3691.8,0.0,36.7,12590.1,5640.3,1010.1,6650.400000000001,340.7,2388.6,0.0,23.7,9066.3,1839.5,366.1,2205.6,749.7,1303.3000000000002,0.0,13.0,3523.8,70.34098220030025,10.930810716356502,29.323039531060118,27.98865775490266
1977-10-01,1977,4,1977Q4,7507.1,1392.9,8900.0,1061.1,3647.6,0.0,35.1,12591.6,5621.5,1011.7,6633.2,325.2,2364.7,0.0,23.2,9027.6,1885.6,381.2,2266.8,735.9,1283.0,0.0,11.9,3563.9,70.68204199625147,11.062136662536929,28.968518695003016,28.303789828139394
1978-01-01,1978,1,1978Q1,7411.0,1406.4,8817.4,1044.8,3624.3,0.0,24.8,12471.1,5549.1,1014.1,6563.200000000001,320.6,2362.2,0.0,16.2,8946.0,1861.9,392.3,2254.2000000000003,724.2,1262.0,0.0,8.6,3525.1,70.70266456046379,11.277273055303864,29.06159039699786,28.26615134190248
1978-04-01,1978,2,1978Q2,7277.9,1484.9,8762.8,1039.3,3606.9,0.0,24.9,12401.6,5454.9,1070.5,6525.4,322.8,2362.2000000000003,0.0,19.4,8912.0,1823.0,414.4,2237.4,716.5,1244.7,0.0,5.5,3489.6,70.65862469358791,11.973455038059605,29.084150432202293,28.138304734872914
1978-07-01,1978,3,1978Q3,7255.5,1504.2,8759.7,1035.6,3599.7,0.0,27.5,12394.5,5453.4,1089.9,6543.299999999999,321.1,2367.9,0.0,19.8,8936.1,1802.1,414.3,2216.4,714.5,1231.9,0.0,7.7,3458.4,70.67408931380855,12.136028076969623,29.042720561539394,27.90269877768365
1978-10-01,1978,4,1978Q4,7189.0,1532.8,8721.8,1003.5,3557.0,0.0,42.1,12325.5,5370.8,1110.7,6481.5,296.8,2342.6,0.0,30.5,8857.4,1818.2,422.1,2240.3,706.7,1214.4,0.0,11.5,3468.1,70.7622408827228,12.436006652874122,28.858869822725246,28.137600908685243
