fecha,año,trimestre,pib_pm,demanda_nacional,consumo_privado_nacional,consumo_privado_interior,consumo_publico,fbcf,variacion_existencias,exportacion_bienes_servicios,exportacion_bienes,exportacion_servicios,importacion_bienes_servicios,importacion_bienes,importacion_servicios,tasa_inversion,apertura_comercial,saldo_comercial_pct_pib,consumo_publico_pct_pib,pib_index_base
1976-07-01,1976,3,137647.95121713405,144074.48244492753,91387.8790096983,94799.47608018748,15748.1096876377,34093.76942243744,2844.724325154103,18993.78917391784,12255.107914815804,2794.253409707821,25420.320401711346,23385.3508519432,1502.1387708631107,24.768817204301072,32.266451612903225,-4.6688172043010745,11.440860215053762,100.0
1976-10-01,1976,4,138704.94070054576,144391.09283044247,91630.68464643932,95200.52915352218,15983.645641732506,34078.338821052326,2698.4237212183334,19452.636781405054,12568.096967961672,2739.59265492477,25138.788911301774,23102.294314992047,1461.3919448739807,24.568943722505942,32.148404712544874,-4.099458967487484,11.523486878697478,100.76789336424221
1977-01-01,1977,1,139803.81089933807,144000.71161651314,91552.82069049805,95407.32712681538,16021.743620837158,34166.45119971485,2259.6961054630865,19870.3455636462,12697.978174029946,2694.240290624504,24067.246280821277,22058.92237651493,1384.7032416319385,24.438855407393344,31.428035875290654,-3.001993071703133,11.46016229298154,101.56621269197335
1977-04-01,1977,2,140438.00458938512,143635.11677017852,92039.88433569102,96149.92825714436,16095.057493935608,33740.00941321316,1760.1655273387505,20144.6116086671,12719.174089749502,2669.0813472204486,23341.723789460524,21365.953515341414,1329.4580238752972,24.024842500335104,30.964791564273263,-2.276529198874046,11.460613913587418,102.02694871051867
1977-07-01,1977,3,140904.67541791033,143499.95924581998,92852.23272496076,97204.95986903193,16150.282682100124,33335.230013200766,1162.2138255583343,20410.127861703542,12748.97130722484,2666.223766200313,23005.411689613185,21067.912939131344,1295.2931062746206,23.65800135043889,30.811993585415266,-1.8418720459149205,11.46185010128292,102.36598087510866
1977-10-01,1977,4,141845.9943540808,143570.86657541944,93017.2034875552,97617.92038052558,16425.465853104863,33338.19975152432,789.9974832350521,20970.373557164217,13059.916795931944,2692.1559503631515,22695.245778502853,20793.880538425263,1283.781322178855,23.503095666067505,30.783822648292393,-1.2160175753944455,11.579788296385061,103.0498406259055
1978-01-01,1978,1,142731.4723364107,142825.93733649678,92288.78633054424,97133.83934355674,16770.92093219299,33227.860775274545,538.3692984850044,21641.308971016544,13479.532963576674,2737.48201968733,21735.77397110265,19867.42408687807,1289.1089094845436,23.27998179473564,30.390692558598186,-0.06618372145945384,11.749981036182962,103.69313242538394
1978-04-01,1978,2,143020.6487045139,141954.72641611722,92029.14714220786,96954.2860804318,16960.91485035063,32673.713523927367,290.9508996313645,21916.19501740788,13687.846702130297,2743.887604889396,20850.27272901119,19006.58244298834,1284.3685138586127,22.845451911935108,29.90230301274624,0.7452925840092687,11.85906720741599,103.90321645899738
1978-07-01,1978,3,142845.14856387192,141218.6257366566,91942.94357805669,96801.85795881806,17063.160083305786,31996.52079482013,216.0012804740131,21637.622422388144,13511.84345638844,2712.1261442135697,20011.09959517282,18187.496030739865,1268.8651234082076,22.399445214979195,29.156553398058254,1.1386615811373113,11.945214979195566,103.77571718342506
1978-10-01,1978,4,142633.7506671896,140860.83979492413,91882.79345773632,96552.22353419576,17224.164249483114,31393.96070734526,359.9213803594351,21399.19525945435,13500.020627973252,2654.972388946802,19626.284387188884,17803.68659874868,1247.825622365339,22.010190828254572,28.762813467878907,1.242981316814867,12.07579844806341,103.62213851057665
1979-01-01,1979,1,142406.39821226706,141065.26367038742,91967.56060469268,96347.18594939094,17376.780725676632,30799.0980660046,921.8242740135296,21275.8359072907,13710.330280532547,2577.852963850181,19934.701365411067,18103.670527145347,1223.003520056041,21.627608346709472,28.93868378812199,0.941765650080255,12.202247191011235,103.45696899449433
1979-04-01,1979,2,142627.76770784953,141554.26756552755,92407.34374987976,96574.00754621702,17579.352969308642,30537.89783431945,1029.673012019741,21347.472066650214,13941.789337585637,2586.4620630364043,20273.97192432828,18395.04905642229,1226.3659982150757,21.410906392976376,29.181865957709903,0.7526585878570493,12.325336960553972,103.61779194436393
1979-07-01,1979,3,142970.79071001333,142674.85997735284,93118.62962151914,97121.94789974693,17817.106215959528,30643.891135042133,1095.2330048320391,21348.70512044671,13966.94357855662,2667.971263169183,21052.774387786216,19089.14889947717,1253.1534878159116,21.4336725584717,29.65744212343034,0.20698684758674113,12.462060346366721,103.86699507389159
1979-10-01,1979,4,143473.35929457893,144333.9857220202,93917.15873266476,97817.70068615704,18138.136607757093,31064.59018387222,1214.1001977261176,21534.731828986274,14040.306968524414,2817.062644366788,22395.35825642753,20316.521471140564,1302.0165226841814,21.65181768699688,30.61898759561119,-0.5998510327441502,12.642163462915748,104.23210663575773
1980-01-01,1980,1,144101.5700252859,146527.6421645553,94029.92140010932,97869.662018663,18399.75085226184,32729.217653386044,1368.7522587981036,21923.249479498605,14202.270424526152,3026.637781150628,24349.321618768,22124.21975452353,1370.5012089763145,22.712603094916282,32.111080462306575,-1.6835848067746146,12.768598460817039,104.68849608809036
1980-04-01,1980,2,145003.00256585603,148343.73710736068,95122.7142229949,99000.52564667996,19055.565335988456,32348.70289638089,1816.7546519964644,22524.965660531023,14506.892536005864,3232.853827697773,25865.700202035718,23484.02598183681,1474.2663470565917,22.30898831332067,33.37218195919022,-2.3039071483967604,13.141497071644423,105.34337873080268
1980-07-01,1980,3,145196.45158451816,149066.47065496873,95831.84615974042,99800.63216714328,19481.759450787325,31999.2803372537,1753.5847071872397,23013.37537973214,14713.180065466802,3403.347179656132,26883.3944501827,24359.744534030557,1595.5877889457768,22.038610439888796,34.36500636578585,-2.6653675266973305,13.417517603346585,105.48391770501301
1980-10-01,1980,4,144596.16133073147,148476.5184549355,96258.5080663354,100353.37015363012,19629.745130969102,31530.43807216941,1057.8271854616023,23548.23565836107,14997.432394716943,3534.5972067080825,27428.592782565094,24777.571754996767,1729.6770579270208,21.805861083718927,35.2546208500847,-2.6835823914637484,13.575564489620467,105.04781222833961
1981-01-01,1981,1,143365.6660264577,147041.99633992722,96193.94265064056,100457.51350781578,19506.278950711054,31249.674531594424,92.10020698114585,24100.95765918455,15313.472755065746,3635.817544743637,27777.28797265405,25011.76961773562,1877.4218527184464,21.797181569140403,36.1859621412177,-2.5643031664157596,13.605962634813295,104.15386844392924
1981-04-01,1981,2,143983.9051582646,147201.36671623494,95978.92346098844,100431.42948665004,19900.046295946795,31646.93670911747,-324.5397498177755,25436.81168980937,16420.124855286427,3691.6137875659497,28654.273247779693,25766.59373951794,2015.112486966342,21.979496023761623,37.5674523330459,-2.234598064577945,13.821021366293,104.60301361924076
