fecha,año,trimestre,pib_pm,demanda_nacional,consumo_privado_nacional,consumo_privado_interior,consumo_publico,fbcf,variacion_existencias,exportacion_bienes_servicios,exportacion_bienes,exportacion_servicios,importacion_bienes_servicios,importacion_bienes,importacion_servicios
1976-07-01,1976,3,11178.825141538351,11700.744052985227,7421.898477035328,7698.9650571562515,1278.9537581286888,2768.862764896085,231.0290529251259,1542.545646869328,995.2760448595435,226.93015037322854,2064.4645583162046,1899.198249852752,121.99343694782011
1976-10-01,1976,4,11886.216388398063,12373.486952027215,7852.223143774116,8158.138304905461,1369.7065858906399,2920.317815200798,231.23940716166024,1666.9791929609464,1077.0136910557378,234.76734821439302,2154.2497565900976,1979.7338718401788,125.23289219044871
1977-01-01,1977,1,12665.128075679446,13045.33434303367,8293.967040496196,8643.155073143173,1451.4442320868343,3095.212337576479,204.71073287416044,1800.0973639609103,1150.3371677905593,244.0770257112978,2180.3036313151347,1998.3652470760762,125.44324642698304
1977-04-01,1977,2,13451.251908213431,13757.473585518012,8815.645547101318,9209.308475472695,1541.5960477444016,3231.642085271598,168.58990540069544,1929.4652194295193,1218.2515355859266,255.64650872068566,2235.6868967341,2046.4462154267787,127.33643455579197
1977-07-01,1977,3,14241.582825478104,14503.894558436406,9384.80400995276,9824.74487036169,1632.348875506353,3369.2738571754835,117.46781580180904,2062.901926844807,1288.5699517988294,269.4818073636003,2325.2136598031084,2129.385885831741,130.9184666979193
1977-10-01,1977,4,15046.33803324799,15229.304148185545,9866.815717668554,10354.837546428185,1742.3340906085848,3536.355222194175,83.79911771423095,2224.435950140036,1385.332900604618,285.5709013979542,2407.4020650775906,2205.714423088481,136.1773226112774
1978-01-01,1978,1,15846.285144182804,15856.7728054043,10246.05435553472,10783.960188958206,1861.9354993809577,3689.0122967076554,59.77065378096539,2402.6540694529585,1496.5201399156178,303.919800944791,2413.1417306744556,2205.714423088481,143.11901241691007
1978-04-01,1978,2,16597.55027466253,16473.849963338263,10679.985094899812,11251.547606168788,1968.314641856887,3791.7853665572825,33.76486002428161,2543.3750435733778,1588.4749918863367,318.42823314461555,2419.674732249108,2205.714423088481,149.05100188717802
1978-07-01,1978,3,17333.18909042828,17135.82272546969,11156.58769367615,11746.180568076641,2070.48669960213,3882.5381943192338,26.210137872177096,2625.56344884786,1639.5610207589582,329.0961979974277,2428.1970838892694,2206.9164472972484,153.96728090103733
1978-10-01,1978,4,18046.59045833183,17822.27471061267,11625.377135095501,12216.172033704759,2179.2698904955946,3972.088997872417,45.53868714915835,2707.5114492805887,1708.0764006587092,335.9176853821836,2483.1957015614294,2252.5933672304163,157.87986970057577
1979-01-01,1979,1,18721.527051554818,18545.214140612792,12090.56050388855,12666.330099888211,2284.4470087627565,4049.0185472335415,121.1880807279455,2797.0382123495965,1802.4353010469629,338.8987054199271,2620.7253014075704,2380.007933359778,160.78275816474942
1979-04-01,1979,2,19441.53955260659,19295.21113555227,12596.011683675311,13163.968122317985,2396.23526017814,4162.609834962076,140.35435673674672,2909.8662147055643,1900.4002740615197,352.55971055257055,2763.537797651245,2507.4224994891397,167.1655067133052
1979-07-01,1979,3,20197.612779921386,20155.80637794045,13154.952940752228,13720.505330977367,2517.0386931592802,4329.090187876383,154.7245561525596,3015.9508612503455,1973.1227386919572,376.90671090115757,2974.1444592694097,2696.741312370031,177.0341254672869
1979-10-01,1979,4,20979.529527724688,21105.37545226161,13733.126585169426,14303.487072229635,2652.266416645631,4542.449484932627,177.5329655139251,3148.936809587345,2053.0573485750006,411.9276862236006,3274.7827341242655,2970.802831969036,190.38861442669457
1980-01-01,1980,1,21788.49182022526,22155.3195581359,14217.542341302753,14798.120034137486,2782.0850311925283,4948.733667496063,206.95851814455727,3314.846201002488,2147.416248963254,457.63465676198723,3681.6739389131294,3345.2333730001324,207.2229634704843
1980-04-01,1980,2,22473.645619222774,22991.417547149398,14742.82692053418,15343.839024917963,2953.373480941906,5013.642974769512,281.57417090380306,3491.0869904919887,2248.3862824997295,501.0517711826716,4008.858918418617,3639.7293041481857,228.49278184462636
1980-07-01,1980,3,23131.152861418628,23747.683098337602,15266.909475556837,15899.174209368577,3103.6265070378518,5097.784669383242,279.3624463596679,3666.2459581935977,2343.947207096751,542.1850396066977,4282.77619511257,3880.7351580060827,254.19205942807687
1980-10-01,1980,4,23769.427716274207,24407.299893019845,15823.446684216222,16496.58024112606,3226.833988436527,5183.128388205739,173.89083216136132,3870.97472143089,2465.351652182275,581.0344620340654,4508.846898176529,4073.0590314088927,284.3328164629236
1981-01-01,1981,1,24352.409457526475,24976.879064344357,16339.716081881888,17063.935667664347,3313.3797314677913,5308.138905917565,15.644345077111335,4093.842029978484,2601.18038777301,617.588018222687,4718.311636796366,4248.554565888957,318.90303270707875
1981-04-01,1981,2,25091.053333814143,25651.737525993776,16725.565852896278,17501.472479655742,3467.8398422944238,5514.887069825587,-56.55523902251304,4432.69265443006,2861.4186289711874,643.3113362903129,4993.376846609691,4490.1614318512375,351.1593523493563
1981-07-01,1981,3,26000.384647746807,26480.551248302145,17075.95590975202,17903.54957748849,3660.764727801618,5732.453451612515,11.377159135987359,4754.095897491376,3112.0406764992244,658.1984061158992,5234.262498046711,4696.909595759259,381.0897551476687
1981-10-01,1981,4,26996.862716815114,27463.93927373697,17779.74108398543,18658.420780594523,3802.0025723318067,5855.059920906808,27.135696512924273,5000.348587020543,3296.551392545046,662.2432175784021,5467.425143942399,4895.844602310291,408.7062613441035
1982-01-01,1982,1,28129.169521474163,28660.782758164747,18558.652771266814,19487.81748464414,3936.0282716093902,6050.98986693592,115.11184835262513,5171.462743259649,3414.3497650042673,655.4577909199091,5703.075979950237,5096.582645174474,434.0028608176169
1982-04-01,1982,2,29140.67289315207,29728.390609786882,19204.74078347938,20188.59759835563,4085.6802856009517,6278.773454497374,159.19608620917904,5313.265539167959,3480.4610964864833,668.0429843857056,5900.983255802772,5255.850852836176,464.22775954707726
1982-07-01,1982,3,30122.72667171517,30682.972125058597,19660.307958602287,20700.058899186228,4258.170759559098,6550.430925678844,214.06248121837177,5500.895508035532,3571.2139242484345,700.0108182178789,6061.140961378963,5371.846188982246,499.37494741144087
1982-10-01,1982,4,31141.44218864568,31745.70576851418,20341.855684973496,21439.904799682667,4450.494632961908,6745.158847499189,208.1966030795881,5834.120659190076,3785.7752455134446,751.3612924164294,6438.384239058575,5699.998797975792,539.4504345317515
1983-01-01,1983,1,32201.02652867429,32805.41632108471,21102.13599701898,22262.08935847968,4660.848869496232,6887.598716238145,154.8327383313494,6306.317839241282,4116.932915028909,822.0823867392688,6910.707631651701,6118.904234731288,584.4542209080091
1983-04-01,1983,2,33273.83313499934,33776.91031697379,21654.466120947676,22891.950043873883,4862.187924464799,7064.296274926977,195.95999663433506,6738.409481566959,4407.221761446275,880.3445001382328,7241.486663541405,6412.799153774957,615.3282127102041
1983-07-01,1983,3,34350.84682605508,34559.8307549914,22143.689973916076,23474.931785126155,5029.870301587874,7111.175219068912,275.0952604185466,7205.516089094034,4730.566273604751,926.1416224922771,7414.500018030364,6564.8552161840535,632.0784200593799
1983-10-01,1983,4,35593.73985792074,35443.853449208465,22873.31866863799,24313.34367074153,5161.491952447922,7099.154976981236,309.88785114132344,7796.587453271309,5177.118267161901,959.4737538014016,7646.701044559038,6792.0377916411235,634.6928227134495
1984-01-01,1984,1,37099.8761915065,36466.85418244323,23690.695130599932,25256.932674624066,5261.2599617756305,7126.200521678507,388.698568389164,8386.613056386956,5620.665200197132,980.3408940656066,7753.591047323693,6911.038188309113,623.1834409145
1984-04-01,1984,2,38170.278749414014,37288.768285793274,24325.363912829205,25982.354284615296,5391.078576322528,7129.205582200426,443.12021444111724,8775.906626759464,5892.322671378602,1002.4160686596229,7894.3961631387265,7048.669960212998,621.5486879905761
1984-07-01,1984,3,38689.5532076016,37786.400298102,24667.940812327957,26381.426321926123,5547.34172346231,7153.84707848016,417.2706838315706,8981.290493190534,6008.919019629056,1025.6932674624068,8078.137583690936,7215.150313127307,629.7945740627216
1984-10-01,1984,4,39422.78797494982,38623.24955224599,25308.018703496688,27043.14064885267,5716.827136898538,7311.913261933095,286.4904499176615,9102.54468524996,6070.823266380585,1050.1845107160457,8303.006262546127,7408.676210738885,647.9150890098927
1985-01-01,1985,1,40475.7611818302,39850.42010746097,26269.638070510737,27991.537749570274,5895.32773190052,7641.868907239792,43.58539780991215,9295.31931773106,6232.4955224598225,1075.8777781784524,8669.978243361822,7729.01566237544,675.9162429531331
1985-04-01,1985,2,41730.07344367916,41074.15888355992,26919.33215534961,28665.272318584495,6118.303222626903,8009.688315122667,26.83519046073785,9508.40815934033,6380.344500138232,1099.6478069068312,8852.493599221089,7876.86464005385,693.15327010686
1985-07-01,1985,3,42862.3802483382,41991.549769812365,27355.06593102785,29162.91034101427,6358.107052276034,8311.997403627709,-33.62061711922909,9801.323428653854,6572.6683735410425,1121.5066171432693,8930.492950128017,7931.556741552775,699.6321805921172
1985-10-01,1985,4,44419.60261079658,43281.74846441407,28118.351303595256,30024.16068659623,6579.880518793649,8543.387063815466,40.12957820970868,9904.198670561225,6540.814732008703,1141.4421886456792,8766.344524178718,7754.859182863943,695.3529744089046
1986-01-01,1986,1,46205.28770449437,44901.06739749738,29211.83873643215,31254.0718570072,6601.925642782446,8881.396271320904,205.90674696188051,9731.930571081703,6198.52631832005,1159.4605315351052,8427.710264084719,7415.690021997043,680.3096414361786
1986-04-01,1986,2,47870.151334847884,46720.95007993461,30291.659154015364,32442.675465483873,6907.660500282475,9315.53736492253,206.09306071424353,9554.962556945897,5878.102724988881,1178.5066051230272,8405.761302032624,7380.993593210967,677.4307934561803
1986-07-01,1986,3,49201.29698412126,48265.773562679555,31193.549938095755,33426.8988977438,7119.931965429783,9677.034125467288,275.25753368672827,9538.560936617265,5744.870361689084,1198.568389167358,8603.037515175556,7554.553868714916,686.7104203478658
1986-10-01,1986,4,50994.368516581926,50252.76766074069,32136.183332732326,34424.20636351616,7859.783876047264,9970.382123495967,286.4183284651369,9741.162117005037,5857.259625208852,1219.6518937891408,8999.5612611638,7915.179161708316,708.1545322322792
1987-01-01,1987,1,52359.08670200618,51913.38213551621,33320.904403014676,35638.49121921315,7843.1178103927,10422.878126765474,326.4817953433582,10096.378301058983,6147.891048525717,1241.739088625245,9650.673734569014,8519.73122738692,741.7811594725517
1987-04-01,1987,2,53633.280444268144,53484.764343153875,34046.632529179136,36396.49970550407,8111.674059115551,10992.1988628851,334.25889197408435,10446.978712151264,6436.382868750977,1257.9724255646508,10298.462611036986,9120.827473465315,774.8788960609667
1987-07-01,1987,3,54930.76941569603,55017.03268303824,34694.403375283975,37083.86522904571,8327.106847931916,11596.558604690299,398.9638551320424,10659.48457201928,6586.738066904668,1268.339884365271,10745.747839361486,9523.337300013221,807.4657723606554
1987-10-01,1987,4,56306.51016311468,56449.58710468429,35303.99793251837,37738.55973459305,8483.983027418171,12173.205678362363,488.40046638539303,10842.895435914079,6709.152212325556,1272.8234346639742,10985.972377483682,9720.072602262211,839.5417883716177
1988-01-01,1988,1,57853.443198346016,58079.16531438943,36172.68880795259,38657.87986970058,8577.740915702041,12718.582092243338,610.1534984914597,11027.159736997104,6833.002776675922,1272.0481290493192,11252.88185304052,9945.398050316735,870.5660331999086
1988-04-01,1988,2,59495.1738728018,59925.775005108604,37241.03590446311,39750.28548074958,8747.6830983376,13280.75679444184,656.2992078660465,11226.281057300494,6981.140240164437,1280.9911891625497,11656.882189607299,10301.449641195773,900.5324967244841
1988-07-01,1988,3,61119.655499861765,61902.44371521643,38358.31740651257,40863.29378673687,8983.850804755208,13925.81707595591,634.4584279927398,11477.023307249408,7190.653059752623,1301.2032262329765,12259.811522604066,10851.63415191182,927.9867296527352
1988-10-01,1988,4,62890.60978688111,64141.989109660666,39560.27550394865,42034.552185881024,9297.272607070307,14665.1220655584,619.3189330833123,11795.066892647219,7476.031637277174,1332.7022706237303,13046.44621542678,11581.455170507134,952.934742105706
1989-01-01,1989,1,64853.78577524552,66630.6420011299,40881.37223083673,43308.36128039619,9695.671510824228,15396.163138725615,657.4351207433318,12107.59919704783,7760.280312045485,1375.4702919716804,13884.455422932218,12364.22535549866,975.3705239623526
1989-04-01,1989,2,66779.45259817532,68933.16745399252,42143.15507314317,44505.823807291476,10087.435240945752,16020.194006707296,682.3831331963025,12245.297080283197,7894.3240416862,1406.1098890531655,14399.011936100393,12813.481903525537,1003.33561717933
1989-07-01,1989,3,68602.99544432825,70987.6191506497,43231.22738691957,45524.10058538579,10454.112725830299,16618.56165783179,683.7173800680346,12278.893656918252,7939.36388878872,1424.5970213840105,14663.517363239696,13004.639813445843,1036.8180015145506
1989-10-01,1989,4,70484.4277763754,73005.31294700275,44232.982342264375,46479.00063707283,10819.582176385033,17280.56447056844,672.1839577849098,12352.800115394324,8022.429771735602,1430.9437092063035,14873.685286021662,13144.447249167599,1075.8296972101018
1990-01-01,1990,1,72525.53099419423,75075.42100897912,45362.54853172743,47577.043741660964,11119.39105453584,17925.480509177454,668.0009135383987,12523.024773718942,8217.48825021336,1425.1439423989998,15072.91478850384,13286.646713064802,1120.370704265984
1990-04-01,1990,2,74461.73956943493,77047.51000685155,46508.348058129886,48671.865421369585,11534.155517892132,18313.77038933564,691.2360414938757,12652.104143377446,8357.560131261043,1434.4656401379925,15237.874580794058,13394.191819023237,1147.1217530321062
1990-07-01,1990,3,76335.23253158318,78906.52458740519,47619.40908489897,49751.054776243196,11982.486507278258,18597.303859699736,707.3251355282295,12922.271104540047,8609.931124012837,1458.8967821811932,15493.56316036205,13615.700840214922,1156.0648131453368
1990-10-01,1990,4,78056.18862163884,80539.53457622636,48646.77917613261,50796.77977714471,12330.833122979097,18855.68497349537,706.2373036192948,13320.008894979144,8958.091425961318,1498.44938877069,15803.35484956667,13942.66945536283,1147.2179149688075
1991-01-01,1991,1,79844.86675561646,82245.91011262966,49691.79498275096,51883.84239058575,12664.575144543413,19205.425937278378,684.1140480569279,13675.543615448414,9226.990251583667,1553.1174497854386,16076.586972461624,14252.635438077723,1120.5630281393867
1991-04-01,1991,2,81623.97076677124,84146.7911963747,50833.141009459934,53065.08360078372,13100.411092279399,19547.744401572247,665.4946930631183,13909.26520260118,9319.143437548833,1619.3309533254,16432.08563220463,14548.910365054753,1144.3270467467216
1991-07-01,1991,3,83450.99948312959,86136.94060798385,52076.92353924007,54363.92484944647,13614.919524479223,19806.34187972546,638.7556645390838,14247.85739184787,9461.282800235596,1697.089899390574,16933.798516702125,14912.81718413809,1218.4979505487242
1991-10-01,1991,4,85200.00480809684,87974.91375476302,53357.59018186627,55737.86256055197,14001.238084935032,19971.92071448319,644.1647734785379,14719.153053742504,9722.96948060534,1786.4063082230477,17494.06200040869,15321.481374634886,1343.0757395453945
1992-01-01,1992,1,87123.69430120323,89960.45340353154,54825.28578125563,57303.79358840288,14389.43781327756,20020.831079537944,724.8987294604113,15214.188693760292,10013.504741985504,1887.2501292176025,18050.947796088614,15697.961366941929,1518.0604137367327
1992-04-01,1992,2,88664.27463849122,91399.79325183609,55931.22618489537,58473.70572043321,14936.370848508888,19769.553928816127,762.6422896157129,15606.186818602526,10217.908958686428,1965.8444821078697,18341.705431947397,15790.409048838243,1671.3425408387727
1992-07-01,1992,3,89554.80629379876,91979.98028680298,56544.607118387365,59125.5694589689,15478.171240368782,19183.38081328958,773.8211147572512,15859.82594689457,10316.691308162946,2022.1653264096738,18284.99993989879,15542.094887791041,1802.8980803673385
1992-10-01,1992,4,89885.3449208467,91762.07132811655,56738.9503924609,59341.573209284434,15856.905028067267,18492.04259973796,674.1733078504201,15946.239467262872,10304.683086317358,2056.224682365103,17822.965874532714,14927.50591996923,1912.7510728066063
1993-01-01,1993,1,90288.79232627744,91261.99319654299,56865.10884329211,59522.73027778779,16017.405310542956,18189.631339175172,189.84770353274916,16465.123267582607,10734.004062841826,2073.8102965393723,17438.324137848136,14415.635930907649,2023.0007332347673
1993-04-01,1993,2,90881.56455471013,91446.12527496304,57423.70752346952,60180.92868390369,15991.46562811775,18032.797230536224,-1.8451071604582117,17166.552474366832,11316.372771747623,2103.957063695263,17731.11319461974,14697.113939874747,2044.997776255214
1993-07-01,1993,3,91853.88794730326,92276.35738583775,58145.72139482889,61060.16732176986,16088.078323897444,18124.09096919212,-81.5333020807039,18100.801750147246,12086.996502109552,2162.285288425709,18523.27118868174,15497.529840250983,2088.6673157597393
1993-10-01,1993,4,93308.16294640175,93388.63245705768,58846.59166035604,61953.22923803685,16214.423088481002,18376.365800007214,-48.74809178656859,19432.127703051938,13184.354452898682,2255.2558508528364,19512.597213707886,16526.192107509043,2100.5252845792315
1994-01-01,1994,1,94967.53933624223,94662.07493418918,59634.212013029945,62917.91376678326,16253.813421802317,18675.116896854302,98.9326025026144,20663.799838928757,14121.139999759595,2383.2353683603187,20358.3354368757,17401.992956138136,2080.6197636820402
1994-04-01,1994,2,96461.67345810344,96072.07337155771,60532.039955284694,63973.63960910172,16353.2628947147,18977.858714074504,208.9118074838027,21317.130046999147,14525.585085283617,2479.7218515980912,20927.5299604534,17993.1725024942,2064.1340016587933
1994-07-01,1994,3,98065.07158054164,97934.86230812689,61671.823350522274,65234.11224502062,16527.790799706705,19449.791448799777,285.4567090981213,21884.894161768418,14890.411452886661,2565.744714098542,21754.684889353673,18818.650607623236,2069.5851814455546
1994-10-01,1994,4,100030.8860120443,100187.77421177263,62914.836584808814,66585.11533422284,16755.358022910583,20185.219910328993,332.3596937242316,22935.974180519996,15740.18246727489,2649.2733763658002,23092.862380248338,20135.936917769526,2080.685875013523
1995-01-01,1995,1,109022.0,111302.0,69634.0,70357.0,18703.0,24231.0,-1568.0,23924.0,18293.0,5631.0,26204.0,21689.0,4515.0
1995-04-01,1995,2,116592.0,117494.0,68650.0,71221.0,21213.0,26034.0,1299.0,26237.0,17939.0,8298.0,27139.0,22406.0,4733.0
1995-07-01,1995,3,112289.0,112172.0,69046.0,72761.0,18627.0,24357.0,-180.0,24748.0,15056.0,9692.0,24631.0,19679.0,4952.0
1995-10-01,1995,4,122356.0,124346.0,73447.0,74744.0,22347.0,26160.0,2087.0,25732.0,18952.0,6780.0,27722.0,22619.0,5103.0
1996-01-01,1996,1,115660.0,117390.0,73108.0,74092.0,19628.0,25803.0,-1462.0,25741.0,19323.0,6418.0,27471.0,22720.0,4751.0
1996-04-01,1996,2,123277.0,123121.0,72177.0,74878.0,22369.0,26502.0,1763.0,28821.0,19902.0,8919.0,28665.0,23626.0,5039.0
1996-07-01,1996,3,120083.0,118461.0,73072.0,77218.0,19723.0,25709.0,-378.0,28442.0,17603.0,10839.0,26820.0,21375.0,5445.0
1996-10-01,1996,4,129926.0,130715.0,77346.0,78898.0,23542.0,28068.0,1444.0,29811.0,22093.0,7718.0,30600.0,24999.0,5601.0
1997-01-01,1997,1,121821.0,123332.0,77558.0,78719.0,20232.0,26943.0,-1731.0,28602.0,21595.0,7007.0,30113.0,24922.0,5191.0
1997-04-01,1997,2,130462.0,129739.0,75011.0,78124.0,23269.0,28896.0,2242.0,34556.0,24371.0,10185.0,33833.0,28050.0,5783.0
1997-07-01,1997,3,127063.0,124012.0,75856.0,80850.0,20509.0,27804.0,-502.0,34966.0,22116.0,12850.0,31915.0,25559.0,6356.0
1997-10-01,1997,4,139625.0,140824.0,84137.0,86041.0,23952.0,31250.0,1165.0,35335.0,26237.0,9098.0,36534.0,30103.0,6431.0
1998-01-01,1998,1,130326.0,132020.0,81740.0,83181.0,21497.0,30196.0,-1748.0,33671.0,25394.0,8277.0,35365.0,29569.0,5796.0
1998-04-01,1998,2,139959.0,138858.0,80286.0,83962.0,24436.0,31734.0,2070.0,38579.0,26868.0,11711.0,37478.0,31149.0,6329.0
1998-07-01,1998,3,136326.0,134611.0,80697.0,86247.0,21515.0,31657.0,383.0,36882.0,22682.0,14200.0,35167.0,28306.0,6861.0
1998-10-01,1998,4,148948.0,152462.0,88995.0,91324.0,25816.0,35766.0,1558.0,36146.0,26014.0,10132.0,39660.0,32851.0,6809.0
1999-01-01,1999,1,140866.0,143854.0,87540.0,89291.0,23218.0,34222.0,-1471.0,35301.0,26035.0,9266.0,38289.0,31846.0,6443.0
1999-04-01,1999,2,149764.0,151789.0,86063.0,90414.0,26269.0,36676.0,2445.0,40367.0,27305.0,13062.0,42392.0,35319.0,7073.0
1999-07-01,1999,3,145812.0,146667.0,87011.0,93225.0,22709.0,35751.0,820.0,40310.0,24600.0,15710.0,41165.0,33207.0,7958.0
1999-10-01,1999,4,158800.0,164345.0,94415.0,96964.0,27361.0,40618.0,1598.0,41105.0,29782.0,11323.0,46650.0,38507.0,8143.0
2000-01-01,2000,1,153640.0,160224.0,97167.0,99185.0,24769.0,39729.0,-1831.0,41186.0,30605.0,10581.0,47770.0,40024.0,7746.0
2000-04-01,2000,2,162868.0,166466.0,93725.0,98544.0,27644.0,41910.0,2785.0,48205.0,32993.0,15212.0,51803.0,43389.0,8414.0
2000-07-01,2000,3,158906.0,161182.0,94112.0,101056.0,25331.0,40653.0,645.0,47124.0,29026.0,18098.0,49400.0,40118.0,9282.0
2000-10-01,2000,4,172155.0,178760.0,101190.0,103985.0,29972.0,45899.0,1306.0,48618.0,35041.0,13577.0,55223.0,45481.0,9742.0
2001-01-01,2001,1,166473.0,172438.0,104026.0,105987.0,26337.0,43670.0,-1995.0,47181.0,35065.0,12116.0,53146.0,44278.0,8868.0
2001-04-01,2001,2,176507.0,180077.0,101541.0,106587.0,29819.0,45630.0,2704.0,51304.0,34620.0,16684.0,54874.0,45439.0,9435.0
2001-07-01,2001,3,171969.0,173124.0,101976.0,109296.0,26641.0,43622.0,462.0,49357.0,29690.0,19667.0,50512.0,40559.0,9953.0
2001-10-01,2001,4,186009.0,191162.0,108145.0,110783.0,32685.0,48631.0,1302.0,47563.0,33375.0,14188.0,52716.0,42699.0,10017.0
2002-01-01,2002,1,177746.0,182870.0,110013.0,111923.0,28225.0,46291.0,-2109.0,46174.0,33588.0,12586.0,51298.0,42086.0,9212.0
2002-04-01,2002,2,189869.0,192176.0,107724.0,112181.0,32009.0,49671.0,2322.0,52221.0,35506.0,16715.0,54528.0,44873.0,9655.0
2002-07-01,2002,3,183563.0,183898.0,107444.0,114309.0,28833.0,46908.0,228.0,50487.0,30716.0,19771.0,50822.0,40469.0,10353.0
2002-10-01,2002,4,198566.0,205597.0,115048.0,117512.0,35021.0,53393.0,1695.0,50282.0,35477.0,14805.0,57313.0,46684.0,10629.0
2003-01-01,2003,1,190941.0,196953.0,115614.0,117595.0,31136.0,51037.0,-1280.0,48423.0,35436.0,12987.0,54435.0,44855.0,9580.0
2003-04-01,2003,2,202900.0,205213.0,114191.0,119315.0,35028.0,54436.0,1109.0,53599.0,36114.0,17485.0,55912.0,46152.0,9760.0
2003-07-01,2003,3,196602.0,198318.0,113660.0,120922.0,31182.0,52400.0,584.0,52020.0,31704.0,20316.0,53736.0,43163.0,10573.0
2003-10-01,2003,4,212240.0,219895.0,121857.0,124298.0,36744.0,59846.0,964.0,51570.0,36689.0,14881.0,59225.0,48404.0,10821.0
2004-01-01,2004,1,203881.0,212254.0,125035.0,126826.0,34159.0,55351.0,-2838.0,50455.0,36976.0,13479.0,58828.0,48726.0,10102.0
2004-04-01,2004,2,217312.0,224041.0,123139.0,127751.0,38056.0,59641.0,2665.0,56700.0,39222.0,17478.0,63429.0,52969.0,10460.0
2004-07-01,2004,3,210604.0,215959.0,122572.0,129996.0,34340.0,58064.0,434.0,55718.0,34354.0,21364.0,61073.0,49625.0,11448.0
2004-10-01,2004,4,228262.0,239653.0,130757.0,133165.0,40428.0,66258.0,1763.0,55481.0,39450.0,16031.0,66872.0,55160.0,11712.0
2005-01-01,2005,1,219830.0,231974.0,134029.0,135411.0,37067.0,62807.0,-2299.0,52272.0,37629.0,14643.0,64416.0,53504.0,10912.0
2005-04-01,2005,2,235268.0,245463.0,133256.0,137510.0,41734.0,68115.0,2062.0,60939.0,41535.0,19404.0,71134.0,59569.0,11565.0
2005-07-01,2005,3,226879.0,235163.0,131791.0,139434.0,36445.0,65812.0,782.0,59796.0,36491.0,23305.0,68080.0,55120.0,12960.0
