fecha,año,trimestre,pib_pm,vab_agricultura,vab_industria,vab_construccion,vab_servicios,impuestos_netos
1976-07-01,1976,3,137647.95121713405,12314.31133469414,43973.34011463497,12528.923731753115,64035.89902590649,4795.477010145321
1976-10-01,1976,4,138704.94070054576,12287.559089212526,44247.83692570881,12497.962498274384,64762.16930924,4909.412878110047
1977-01-01,1977,1,139803.81089933807,12319.825219003975,44296.96983698953,12532.12161480803,65573.04925397699,5081.844974559546
1977-04-01,1977,2,140438.00458938512,12348.956393007904,44288.076332240744,12499.553422190926,66149.74506864295,5151.673373302593
1977-07-01,1977,3,140904.67541791033,12410.029439448803,44098.120902229195,12445.70753079365,66753.70890620617,5197.108639232512
1977-10-01,1977,4,141845.9943540808,12527.321490588083,44211.07625104423,12391.339710500288,67520.61972109371,5195.637180854486
1978-01-01,1978,1,142731.4723364107,12678.339839637178,44255.09316354993,12310.2240799893,68339.60808521765,5148.207168016624
1978-04-01,1978,2,143020.6487045139,12600.27658958873,44031.05284204002,12242.932124039356,69008.91309341135,5137.4740554344435
1978-07-01,1978,3,142845.14856387192,12323.11822562113,43636.12201275006,12184.433615364942,69525.56693450313,5175.90777563267
1978-10-01,1978,4,142633.7506671896,11880.20815994409,43369.17253110337,12141.468235432663,70012.95004774729,5229.951692962186
1979-01-01,1979,1,142406.39821226706,11314.79407946584,43119.65161920073,12146.831462279086,70508.31074246531,5316.810308856079
1979-04-01,1979,2,142627.76770784953,10939.145903399734,43011.43421510053,12178.122122204784,71124.2896282713,5374.7758388731745
1979-07-01,1979,3,142970.79071001333,10720.894857740688,42887.83375431901,12231.179649208128,71719.38313960022,5411.499309145271
1979-10-01,1979,4,143473.35929457893,10632.984229383095,42996.385011046215,12293.488917698045,72153.86089942801,5396.640237023578
1980-01-01,1980,1,144101.5700252859,10604.997898862517,43071.87302551507,13009.804393919423,72195.86837970011,5219.026327288785
1980-04-01,1980,2,145003.00256585603,10567.03612954183,43470.26605950969,12288.784401658002,73360.43651327424,5316.479461872251
1980-07-01,1980,3,145196.45158451816,10310.543876646352,43377.472921214685,11762.99883182705,74358.1484847053,5387.287470124774
1980-10-01,1980,4,144596.16133073147,9802.076121461758,43102.07959564068,11381.522926561152,74935.97619749352,5374.506489574338
1981-01-01,1981,1,143365.6660264577,9050.800209671484,42614.479173292944,11255.119416327205,75233.44990549053,5211.817321675549
1981-04-01,1981,2,143983.9051582646,8691.181397883174,42714.39746539013,11132.989504907497,76140.95703216939,5304.379757914408
1981-07-01,1981,3,145222.37774165842,8610.420445836986,42776.837326043154,11131.444131928049,77111.09865938456,5592.577178465676
1981-10-01,1981,4,145318.10509109948,8653.931100841319,42522.34407082553,11051.15089363512,77222.18144937654,5868.49757642096
1982-01-01,1982,1,145407.8494812005,8838.863572292705,42305.37970611942,11100.618468823139,77023.9387290969,6139.049004868338
1982-04-01,1982,2,146213.55467232945,8965.328095549963,42236.25472797604,11139.563398910715,77512.54401884165,6359.864431051095
1982-07-01,1982,3,147452.0272557233,9037.761925969313,42187.99024036457,11297.202407461642,78341.97992403543,6587.09275789236
1982-10-01,1982,4,147842.91393260763,8939.338981971623,42131.59253360772,11259.058928458355,78810.55921514146,6702.364273428456
1983-01-01,1983,1,148443.20418639435,8749.554645948587,42473.29725218234,11129.50000404543,79336.12960314684,6754.722681071156
1983-04-01,1983,2,149611.87557748734,8723.283318536372,42992.16676412489,10968.961273215344,80039.09706580243,6888.367155808299
1983-07-01,1983,3,150772.5696894603,8839.801960097655,43386.51830430501,10607.234760236548,80885.11122068464,7053.903444136426
1983-10-01,1983,4,151131.54724986426,9010.781171829709,43617.18260801851,10192.313792208397,81132.75723477257,7178.512443035085
1984-01-01,1984,1,151099.63813338394,9252.646764797602,43683.26300650212,9859.698721853109,80921.49454958836,7382.5350906427275
1984-04-01,1984,2,151749.7863816712,9409.39472163472,43938.384849197784,9655.501287487534,81217.55611556268,7528.949407788484
1984-07-01,1984,3,152619.30980576086,9457.209848932489,44137.5973320572,9459.580671155838,82044.67386115761,7520.248092457741
1984-10-01,1984,4,153285.41261228832,9394.264089724655,44169.39939300639,9424.643550711327,82732.61979316467,7564.485785681282
1985-01-01,1985,1,154358.35665394022,9262.051483957064,44265.77587470002,9702.119260477666,83434.10000470305,7694.310030102417
1985-04-01,1985,2,155598.82355711408,9190.309728914563,44400.78192123487,10006.030953329315,84120.13077158398,7881.570182051365
1985-07-01,1985,3,157002.82468224972,9131.731800019237,44936.57413259225,10117.994058073387,84855.97932298493,7960.545368579947
1985-10-01,1985,4,157696.84796569744,9059.652763738044,45620.45118734882,10122.230972956495,84822.75929572356,8071.753745930531
1986-01-01,1986,1,158719.87418325545,9033.818939709812,46394.27404351968,10243.369733114261,84704.64366002574,8343.767806885957
1986-04-01,1986,2,160177.7817720451,9026.753821248512,46897.35057118572,10430.379249461897,85147.04845796817,8676.249672180806
1986-07-01,1986,3,161910.84566088443,9032.043947827386,47223.461820717224,10547.118683423405,86056.55747442368,9051.663734492713
1986-10-01,1986,4,163835.26453261686,9113.043799045086,47504.53752522188,10708.076037647817,86783.31669031245,9726.29048038964
1987-01-01,1987,1,166349.70291126886,9236.629312450057,47678.797416524685,11050.684543129126,88067.90087454075,10315.690764624223
1987-04-01,1987,2,169078.49077987767,9253.020627438937,48208.16035524124,11502.183297444586,89322.86305743677,10792.263442316129
1987-07-01,1987,3,171732.8306910983,9278.544736342383,48630.676150828636,11953.997606709376,90736.1251351657,11133.487062052222
1987-10-01,1987,4,173849.62164881162,9347.273835895108,48795.1123794262,12334.700535491815,92043.84320569718,11328.691692301318
1988-01-01,1988,1,175781.12035576318,9442.708300668863,48969.9460566338,12686.550098415724,93110.18590054229,11571.729999502511
1988-04-01,1988,2,178132.2239444314,9533.056166284885,49221.51417834002,13178.741024793537,94523.55454111253,11675.358033900418
1988-07-01,1988,3,180112.0849060484,9538.765473701387,49391.50573834921,13729.420787461064,95740.83148887633,11711.561417660429
1988-10-01,1988,4,182135.3422660788,9454.083178279005,49717.39704541659,14264.585126870323,96840.99580814088,11858.281107372008
1989-01-01,1989,1,184373.94627595594,9256.370845485722,50254.05476862189,14770.84707459177,97965.27856695396,12127.3950203026
1989-04-01,1989,2,186586.9432198576,9114.210306258412,50720.14281943699,15304.098946708535,99142.04777057767,12306.443376876014
1989-07-01,1989,3,188611.2376261736,8994.56878065437,50808.64011677174,15943.73293392843,100223.73617642277,12640.559618396284
1989-10-01,1989,4,190519.64211007243,8947.157694182548,50557.17315344816,16626.363704153995,101425.39654261176,12963.551015675961
1990-01-01,1990,1,192298.21637629188,9042.606394215978,50554.28390253534,17168.61483198677,102858.93063363062,12673.780613923178
1990-04-01,1990,2,193890.142254299,9105.522380267746,50447.28009966633,17572.615611494664,104792.49136413704,11972.232798733236
1990-07-01,1990,3,195491.74058323924,9057.29223605338,50197.768056122404,17930.715219928774,106451.49295846469,11854.472112670011
1990-10-01,1990,4,196469.51568498852,8857.260845798539,49748.10677425107,18290.47615833176,107303.73751105921,12269.934395547969
1991-01-01,1991,1,197213.0379853764,8634.10144813399,49778.48333298731,18558.68359370549,107827.0014976192,12414.76811293041
1991-04-01,1991,2,198382.24784281003,8414.313472474056,49989.83340870374,18650.398694586667,109063.95617984781,12263.74608719777
1991-07-01,1991,3,199767.96105556292,8134.128732294097,50396.80691446115,18506.466132443922,110557.98959354333,12172.569682820418
1991-10-01,1991,4,200433.66499813437,7765.7807241243345,50344.19580998136,18156.66626175883,111650.43037922398,12516.591823045872
1992-01-01,1992,1,200834.86230828142,7308.638724118715,50086.7730844727,17695.22829528015,112758.7096640773,12985.512540332535
1992-04-01,1992,2,200939.9430174908,7034.242509244937,49423.3324343008,17242.990080442683,114090.02077501839,13149.357218483943
1992-07-01,1992,3,200322.14263603548,6884.441655181371,48206.834320790775,16905.57274931497,115057.43556207257,13267.858348675798
1992-10-01,1992,4,199169.74489434742,6851.028954211368,46919.56831695163,16688.76582146846,115635.77066918656,13074.61113252941
1993-01-01,1993,1,198189.35723368629,6886.55262891554,46826.76896291178,16397.491807916213,115884.92009820724,12193.623735735533
1993-04-01,1993,2,197584.55981719677,7016.088897630225,46818.67451019005,16109.691486972946,116483.2311642199,11156.873758183632
1993-07-01,1993,3,197558.2746824961,7080.631740586199,46838.46925556968,15962.079839117827,117096.83239034729,10580.26145687511
