fecha,año,trimestre,pib_pm,vab_agricultura,vab_industria,vab_construccion,vab_servicios,impuestos_netos
1976-07-01,1976,3,11178.825141538351,1000.0841416946138,3571.2139242484345,1017.5134927217435,5200.557739232868,389.45584364069146
1976-10-01,1976,4,11886.216388398063,1052.9732068803864,3791.7853665572825,1071.0035700119,5549.745771879846,420.70847306864925
1977-01-01,1977,1,12665.128075679446,1116.0794778406837,4012.9578209705146,1135.3118651809648,5940.403639729304,460.37527195797884
1977-04-01,1977,2,13451.251908213431,1182.7918214272836,4241.943432740735,1197.2161119324942,6335.869604413833,493.4309376990859
1977-07-01,1977,3,14241.582825478104,1254.3122618489535,4457.1057661101295,1257.9183344752564,6746.96188381234,525.2845792314256
1977-10-01,1977,4,15046.33803324799,1328.8377627925427,4689.697450506653,1314.4134722873318,7162.261247941534,551.1280997199283
1978-01-01,1978,1,15846.285144182804,1407.5703484668181,4913.273953337421,1366.701525368721,7587.176805740868,571.5625112689759
1978-04-01,1978,2,16597.55027466253,1462.2624499657425,5109.804911470917,1420.7926147632613,8008.486290913899,596.2040075487112
1978-07-01,1978,3,17333.18909042828,1495.3181157068504,5294.916639621122,1478.4897767841044,8436.406909235153,628.0576490810527
1978-10-01,1978,4,18046.59045833183,1503.1312730638394,5487.240513023932,1536.1869388049474,8858.317406512568,661.7143269265434
1979-01-01,1979,1,18721.527051554818,1487.5049583498612,5668.746168547835,1596.8891613477094,9269.409685911074,698.97707739834
1979-04-01,1979,2,19441.53955260659,1491.1110309761639,5862.873078263797,1659.9954323080067,9694.926255814791,732.6337552438345
1979-07-01,1979,3,20197.612779921386,1514.5505030471313,6058.80302429291,1727.9098001033742,10131.862055701802,764.4873967761669
1979-10-01,1979,4,20979.529527724688,1554.8183140408448,6287.187623958746,1797.627204211893,10550.767492457298,789.1288930559058
1980-01-01,1980,1,21788.49182022526,1603.5002944959313,6512.567163102664,1967.1126176481196,10916.182851922638,789.1288930559058
1980-04-01,1980,2,22473.645619222774,1637.7579844458069,6737.3456901422,1904.607358792206,11369.946990732393,823.9875951101676
1980-07-01,1980,3,23131.152861418628,1642.5660812808771,6910.4371762047285,1873.9557414686333,11845.94857740435,858.2452850600421
1980-10-01,1980,4,23769.427716274207,1611.3134518529205,7085.33169858041,1870.9506809467143,12318.34409145,883.4877934441611
1981-01-01,1981,1,24352.409457526475,1537.3889630137153,7238.5897851982745,1911.8195040448115,12779.320375512365,885.2908297573085
1981-04-01,1981,2,25091.053333814143,1514.5505030471313,7443.534912793144,1940.0670729508493,13268.544228480761,924.3566165422562
1981-07-01,1981,3,26000.384647746807,1541.5960477444016,7658.697246162537,1992.9561381366223,13805.849049799863,1001.2861659033842
1981-10-01,1981,4,26996.862716815114,1607.7073792266176,7899.703100020435,2053.0573485750006,14346.158931640883,1090.2359573521753
1982-01-01,1982,1,28129.169521474163,1709.8794369718607,8183.981825393964,2147.416248963254,14900.29209188273,1187.5999182623564
1982-04-01,1982,2,29140.67289315207,1786.808986332985,8417.775533999255,2220.1387135936916,15448.415131080741,1267.5345281453992
1982-07-01,1982,3,30122.72667171517,1846.309184666979,8618.513576863437,2307.886480833724,16004.351327635739,1345.666101715291
1982-10-01,1982,4,31141.44218864568,1882.97092303439,8874.54473333093,2371.593763898405,16600.55533518445,1411.7774331975052
1983-01-01,1983,1,32201.02652867429,1897.9962256439846,9213.515560203383,2414.2656233096536,17209.981609029604,1465.2675104876653
1983-04-01,1983,2,33273.83313499934,1940.0670729508493,9561.501568641594,2439.508131693772,17800.776507638864,1531.9798540742595
1983-07-01,1983,3,34350.84682605508,2013.9915617900547,9884.846080800067,2416.669671727189,18428.233144615533,1607.1063671222364
1983-10-01,1983,4,35593.73985792074,2122.1737405791355,10272.498888127608,2400.4423449088263,19107.97783467359,1690.6470496315742
1984-01-01,1984,1,37099.8761915065,2271.825754570697,10725.662014832978,2420.876756457875,19868.85915882346,1812.6525068214833
1984-04-01,1984,2,38170.278749414014,2366.7856670633346,11052.011587513372,2428.689913814864,20429.002440109143,1893.7891409133008
1984-07-01,1984,3,38689.5532076016,2397.4372843869073,11189.042347312876,2398.0382964912915,20798.62488430517,1906.410395105362
1984-10-01,1984,4,39422.78797494982,2416.0686596228047,11359.729784957868,2423.881816979794,21277.631531499046,1945.4761818903062
1985-01-01,1985,1,40475.7611818302,2428.689913814864,11607.346771963987,2544.0842378565503,21878.04262377844,2017.5976344163573
1985-04-01,1985,2,41730.07344367916,2464.750640077891,11907.852824155878,2683.519046073588,22560.191362254034,2113.759571117771
1985-07-01,1985,3,42862.3802483382,2492.998208983929,12267.859074681764,2762.2516317478635,23166.01156347289,2173.259769451761
1985-10-01,1985,4,44419.60261079658,2551.8973952135398,12850.239803829649,2851.201423196663,23892.635197672884,2273.6287908838494
1986-01-01,1986,1,46205.28770449437,2629.8546752731604,13505.937999591313,2981.9696368684868,24658.553003257486,2428.9723895039206
1986-04-01,1986,2,47870.151334847884,2697.702931737045,14015.572223624584,3117.1853401127496,25446.738307309508,2592.9525320640023
1986-07-01,1986,3,49201.29698412126,2744.6479872104624,14350.215763345475,3205.047299652615,26150.775906626757,2750.6100272859476
1986-10-01,1986,4,50994.368516581926,2836.470616518217,14785.973579507892,3332.930655223396,27011.647614582955,3027.3460507494674
1987-01-01,1987,1,52359.08670200618,2907.2578221725385,15007.049871984424,3478.2373517002634,27719.645883668098,3246.8957724808497
1987-04-01,1987,2,53633.280444268144,2935.144783815946,15292.07986248843,3648.6002428088905,28334.04853773755,3423.407017417325
1987-07-01,1987,3,54930.76941569603,2967.851862536512,15555.094779608862,3823.626987847535,29023.018763597902,3561.177022105221
1987-10-01,1987,4,56306.51016311468,3027.4001418388566,15803.787578281826,3994.969528686308,29811.210077770964,3669.1428365367246
1988-01-01,1988,1,57853.443198346016,3107.803541163319,16117.089178176047,4175.423413027538,30644.615532556825,3808.5115334222864
1988-04-01,1988,2,59495.1738728018,3183.987835515007,16439.712475809265,4401.626338754463,31570.34245669708,3899.504766025988
1988-07-01,1988,3,61119.655499861765,3236.9069513059994,16760.62889906603,4658.973711730554,32488.917336795163,3974.228600964023
1988-10-01,1988,4,62890.60978688111,3264.457346170952,17167.2195978027,4925.50454966163,33438.810957652684,4094.617335593146
1989-01-01,1989,1,64853.78577524552,3255.941004651834,17676.93195340954,5195.665500703184,34459.419662712,4265.827653768953
1989-04-01,1989,2,66779.45259817532,3261.975166179847,18152.73520608705,5477.335833543688,35482.931256235504,4404.4751361292365
1989-07-01,1989,3,68602.99544432825,3271.5673193658117,18480.47311672857,5799.165795199116,36454.07666510404,4597.712547930714
1989-10-01,1989,4,70484.4277763754,3310.080175014725,18704.073660043512,6151.070402557908,37523.22310771339,4795.980431045871
1990-01-01,1990,1,72525.53099419423,3410.4311660836847,19066.6161816499,6475.166179846862,38793.38405875495,4779.933407858829
1990-04-01,1990,2,74461.73956943493,3496.8927674203355,19373.817508684628,6748.602646857308,40244.59990624211,4597.82674023055
1990-07-01,1990,3,76335.23253158318,3536.6737586094982,19601.126296683615,7001.550611229311,41566.97077879149,4628.911086269276
1990-10-01,1990,4,78056.18862163884,3518.9378914091326,19764.63163968122,7266.699121320304,42631.146851297584,4874.773117930599
1991-01-01,1991,1,79844.86675561646,3495.654682485306,20153.618693880497,7513.781207553521,43655.49385164617,5026.318320050967
1991-04-01,1991,2,81623.97076677124,3462.0520957292083,20568.21487384756,7673.668457682737,44874.142055221,5045.893284290738
1991-07-01,1991,3,83450.99948312959,3397.9481446756336,21052.74482228072,7730.884810020073,46184.45662495643,5084.965081196729
1991-10-01,1991,4,85200.00480809684,3301.064993448968,21400.225980551248,7718.005120623129,47460.17693796353,5320.531775509968
1992-01-01,1992,1,87123.69430120323,3170.543194739942,21728.023992403207,7676.324931184114,48915.58784993929,5633.214332936666
1992-04-01,1992,2,88664.27463849122,3103.84287139543,21807.92855168103,7608.428593751878,50341.9518469102,5802.122774752672
1992-07-01,1992,3,89554.80629379876,3077.7168752178673,21551.055978267403,7557.703172141888,51436.88170879762,5931.448559373981
1992-10-01,1992,4,89885.3449208467,3091.8707102761045,21174.81038068107,7531.643287295807,52186.44597502193,5900.574567571792
1993-01-01,1993,1,90288.79232627744,3137.295205125431,21332.79242243939,7470.177779380477,52793.49825105478,5555.028668277373
1993-04-01,1993,2,90881.56455471013,3227.140504609763,21534.852691933214,7409.86020458452,53577.96329018066,5131.747863401964
1993-07-01,1993,3,91853.88794730326,3292.1099130936495,21777.349055809984,7421.501809046435,54443.67915569819,4919.248013655
1993-10-01,1993,4,93308.16294640175,3344.8427151322826,22037.641388097556,7505.4571899078055,55207.968218479924,5212.2534347841865
1994-01-01,1994,1,94967.53933624223,3338.8386042094885,22311.444472491676,7595.536884112846,55942.00233192697,5779.717043501252
1994-04-01,1994,2,96461.67345810344,3271.976007596793,22641.093601625136,7659.947351339656,56930.132342865385,5958.524154676474
1994-07-01,1994,3,98065.07158054164,3209.5248398302742,23143.732044763383,7775.395766470738,58147.65665380501,5788.762275672227
1994-10-01,1994,4,100030.8860120443,3179.4201435216905,23838.68835118339,7976.494416597549,59336.66895051266,5699.6141502289975
1995-01-01,1995,1,109022.0,3630.0,23972.0,9133.0,63918.0,8369.0
1995-04-01,1995,2,116592.0,5088.0,22934.0,10482.0,69359.0,8729.0
1995-07-01,1995,3,112289.0,3758.0,21154.0,9171.0,69264.0,8942.0
1995-10-01,1995,4,122356.0,5357.0,22974.0,10728.0,75094.0,8203.0
1996-01-01,1996,1,115660.0,4538.0,25038.0,9266.0,67168.0,9650.0
1996-04-01,1996,2,123277.0,6395.0,24183.0,10692.0,73037.0,8970.0
1996-07-01,1996,3,120083.0,4427.0,22920.0,9635.0,73532.0,9569.0
1996-10-01,1996,4,129926.0,6054.0,24698.0,11033.0,78924.0,9217.0
1997-01-01,1997,1,121821.0,4711.0,26287.0,9588.0,70949.0,10286.0
1997-04-01,1997,2,130462.0,6218.0,26077.0,11175.0,76635.0,10357.0
1997-07-01,1997,3,127063.0,4667.0,24580.0,9981.0,77089.0,10746.0
1997-10-01,1997,4,139625.0,6693.0,26413.0,11727.0,84318.0,10474.0
1998-01-01,1998,1,130326.0,4838.0,27765.0,10382.0,75307.0,12034.0
1998-04-01,1998,2,139959.0,6932.0,27559.0,12146.0,81798.0,11524.0
1998-07-01,1998,3,136326.0,4805.0,25932.0,11073.0,82216.0,12300.0
1998-10-01,1998,4,148948.0,6452.0,27095.0,12961.0,89994.0,12446.0
1999-01-01,1999,1,140866.0,5262.0,28983.0,11681.0,80794.0,14146.0
1999-04-01,1999,2,149764.0,6386.0,28722.0,13857.0,87586.0,13213.0
1999-07-01,1999,3,145812.0,4670.0,27396.0,12354.0,88200.0,13192.0
1999-10-01,1999,4,158800.0,6380.0,28711.0,14515.0,95346.0,13848.0
2000-01-01,2000,1,153640.0,5470.0,31013.0,13498.0,87526.0,16133.0
2000-04-01,2000,2,162868.0,6603.0,30957.0,15760.0,94364.0,15184.0
2000-07-01,2000,3,158906.0,5123.0,29214.0,14077.0,96369.0,14123.0
2000-10-01,2000,4,172155.0,7051.0,30651.0,16283.0,104636.0,13534.0
2001-01-01,2001,1,166473.0,5518.0,32849.0,15140.0,95624.0,17342.0
2001-04-01,2001,2,176507.0,7316.0,32852.0,17914.0,103760.0,14665.0
2001-07-01,2001,3,171969.0,5522.0,30927.0,15893.0,104947.0,14680.0
2001-10-01,2001,4,186009.0,7399.0,32010.0,18603.0,112698.0,15299.0
2002-01-01,2002,1,177746.0,6059.0,33731.0,17179.0,102204.0,18573.0
2002-04-01,2002,2,189869.0,7220.0,33885.0,19795.0,112536.0,16433.0
2002-07-01,2002,3,183563.0,5504.0,31953.0,17488.0,112159.0,16459.0
2002-10-01,2002,4,198566.0,7324.0,33585.0,20546.0,122197.0,14914.0
2003-01-01,2003,1,190941.0,5526.0,35264.0,18808.0,110492.0,20851.0
2003-04-01,2003,2,202900.0,7783.0,34990.0,21615.0,120568.0,17944.0
2003-07-01,2003,3,196602.0,5705.0,33451.0,19289.0,120405.0,17752.0
2003-10-01,2003,4,212240.0,8444.0,34495.0,22139.0,129208.0,17954.0
2004-01-01,2004,1,203881.0,5887.0,36402.0,19981.0,119027.0,22584.0
2004-04-01,2004,2,217312.0,8287.0,36013.0,23059.0,129306.0,20647.0
2004-07-01,2004,3,210604.0,5381.0,34663.0,20818.0,128996.0,20746.0
2004-10-01,2004,4,228262.0,7260.0,36022.0,24978.0,139792.0,20210.0
2005-01-01,2005,1,219830.0,5824.0,37851.0,22779.0,127894.0,25482.0
2005-04-01,2005,2,235268.0,7327.0,38055.0,25954.0,139197.0,24735.0
2005-07-01,2005,3,226879.0,5340.0,36553.0,24208.0,139201.0,21577.0
2005-10-01,2005,4,246145.0,7110.0,38454.0,27962.0,149322.0,23297.0
2006-01-01,2006,1,238537.0,5307.0,40309.0,25090.0,138400.0,29431.0
2006-04-01,2006,2,254453.0,7053.0,39864.0,28942.0,152366.0,26228.0
2006-07-01,2006,3,245333.0,5112.0,38586.0,27349.0,151435.0,22851.0
2006-10-01,2006,4,266653.0,6655.0,39993.0,30191.0,161610.0,28204.0
2007-01-01,2007,1,256655.0,5462.0,41763.0,26826.0,151721.0,30883.0
2007-04-01,2007,2,273252.0,7663.0,41789.0,30614.0,165342.0,27844.0
2007-07-01,2007,3,261431.0,5638.0,40339.0,28190.0,165808.0,21456.0
2007-10-01,2007,4,286203.0,8118.0,42684.0,30832.0,178208.0,26361.0
2008-01-01,2008,1,268484.0,5740.0,43078.0,27342.0,164954.0,27370.0
2008-04-01,2008,2,285886.0,8345.0,44501.0,31560.0,179897.0,21583.0
2008-07-01,2008,3,270562.0,5401.0,43113.0,28790.0,176302.0,16956.0
2008-10-01,2008,4,287500.0,6697.0,42051.0,30877.0,186656.0,21219.0
