CÓDIGO DE LA SERIE,D_1NEACJ20
NÚMERO SECUENCIAL,656547
ALIAS DE LA SERIE,BE_26_21.4
DESCRIPCIÓN DE LA SERIE,Estadísticas Generales. IPC. España
DESCRIPCIÓN DE LAS UNIDADES,Base 2015 = 100
FRECUENCIA,MENSUAL
fecha,Estadísticas Generales. IPC. España
1/1/1950,
2/1/1950,
3/1/1950,
4/1/1950,
5/1/1950,
6/1/1950,
7/1/1950,
8/1/1950,
9/1/1950,
10/1/1950,
11/1/1950,
12/1/1950,
1/1/1951,
2/1/1951,
3/1/1951,
4/1/1951,
5/1/1951,
6/1/1951,
7/1/1951,
8/1/1951,
9/1/1951,
10/1/1951,
11/1/1951,
12/1/1951,
1/1/1952,
2/1/1952,
3/1/1952,
4/1/1952,
5/1/1952,
6/1/1952,
7/1/1952,
8/1/1952,
9/1/1952,
10/1/1952,
11/1/1952,
12/1/1952,
1/1/1953,
2/1/1953,
3/1/1953,
4/1/1953,
5/1/1953,
6/1/1953,
7/1/1953,
8/1/1953,
9/1/1953,
10/1/1953,
11/1/1953,
12/1/1953,
1/1/1954,
2/1/1954,
3/1/1954,1.79
4/1/1954,1.79
5/1/1954,1.79
6/1/1954,1.78
7/1/1954,1.78
8/1/1954,1.78
9/1/1954,1.78
10/1/1954,1.79
11/1/1954,1.8
12/1/1954,1.82
1/1/1955,1.83
2/1/1955,1.84
3/1/1955,1.84
4/1/1955,1.85
5/1/1955,1.86
6/1/1955,1.85
7/1/1955,1.85
8/1/1955,1.85
9/1/1955,1.87
10/1/1955,1.88
11/1/1955,1.89
12/1/1955,1.9
1/1/1956,1.9
2/1/1956,1.92
3/1/1956,1.94
4/1/1956,1.96
5/1/1956,1.97
6/1/1956,1.96
7/1/1956,1.96
8/1/1956,1.96
9/1/1956,1.98
10/1/1956,1.99
11/1/1956,2.02
12/1/1956,2.06
1/1/1957,2.09
2/1/1957,2.11
3/1/1957,2.12
4/1/1957,2.13
5/1/1957,2.13
6/1/1957,2.13
7/1/1957,2.16
8/1/1957,2.19
9/1/1957,2.22
10/1/1957,2.27
11/1/1957,2.3
12/1/1957,2.33
1/1/1958,2.34
2/1/1958,2.35
3/1/1958,2.39
4/1/1958,2.44
5/1/1958,2.46
6/1/1958,2.46
7/1/1958,2.47
8/1/1958,2.49
9/1/1958,2.53
10/1/1958,2.55
11/1/1958,2.57
12/1/1958,2.6
1/1/1959,2.61
2/1/1959,2.62
3/1/1959,2.64
4/1/1959,2.65
5/1/1959,2.66
6/1/1959,2.64
7/1/1959,2.64
8/1/1959,2.65
9/1/1959,2.66
10/1/1959,2.67
11/1/1959,2.68
12/1/1959,2.7
1/1/1960,2.68
2/1/1960,2.68
3/1/1960,2.68
4/1/1960,2.68
5/1/1960,2.67
6/1/1960,2.67
7/1/1960,2.67
8/1/1960,2.67
9/1/1960,2.69
10/1/1960,2.7
11/1/1960,2.7
12/1/1960,2.72
1/1/1961,2.73
2/1/1961,2.71
3/1/1961,2.7
4/1/1961,2.7
5/1/1961,2.7
6/1/1961,2.68
7/1/1961,2.68
8/1/1961,2.69
9/1/1961,2.69
10/1/1961,2.7
11/1/1961,2.74
12/1/1961,2.75
1/1/1962,2.74
2/1/1962,2.75
3/1/1962,2.78
4/1/1962,2.82
5/1/1962,2.85
6/1/1962,2.87
7/1/1962,2.87
8/1/1962,2.86
9/1/1962,2.88
10/1/1962,2.91
11/1/1962,2.98
12/1/1962,3.02
1/1/1963,3.03
2/1/1963,3.05
3/1/1963,3.11
4/1/1963,3.11
5/1/1963,3.12
6/1/1963,3.07
7/1/1963,3.1
8/1/1963,3.13
9/1/1963,3.12
10/1/1963,3.13
11/1/1963,3.17
12/1/1963,3.18
1/1/1964,3.18
2/1/1964,3.18
3/1/1964,3.19
4/1/1964,3.2
5/1/1964,3.21
6/1/1964,3.25
7/1/1964,3.32
8/1/1964,3.38
9/1/1964,3.41
10/1/1964,3.47
11/1/1964,3.55
12/1/1964,3.59
1/1/1965,3.62
2/1/1965,3.68
3/1/1965,3.71
4/1/1965,3.74
5/1/1965,3.76
6/1/1965,3.74
7/1/1965,3.74
8/1/1965,3.76
9/1/1965,3.8
10/1/1965,3.82
11/1/1965,3.9
12/1/1965,3.92
1/1/1966,3.92
2/1/1966,3.91
3/1/1966,3.91
4/1/1966,3.95
5/1/1966,4.01
6/1/1966,4.02
7/1/1966,4.01
8/1/1966,4.02
9/1/1966,4.01
10/1/1966,4.03
11/1/1966,4.1
12/1/1966,4.13
1/1/1967,4.13
2/1/1967,4.16
3/1/1967,4.18
4/1/1967,4.24
5/1/1967,4.25
6/1/1967,4.22
7/1/1967,4.22
8/1/1967,4.28
9/1/1967,4.29
10/1/1967,4.31
11/1/1967,4.4
12/1/1967,4.4
1/1/1968,4.41
2/1/1968,4.41
3/1/1968,4.46
4/1/1968,4.5
5/1/1968,4.48
6/1/1968,4.5
7/1/1968,4.46
8/1/1968,4.46
9/1/1968,4.45
10/1/1968,4.47
11/1/1968,4.5
12/1/1968,4.53
1/1/1969,4.52
2/1/1969,4.49
3/1/1969,4.52
4/1/1969,4.57
5/1/1969,4.57
6/1/1969,4.52
7/1/1969,4.55
8/1/1969,4.57
9/1/1969,4.58
10/1/1969,4.59
11/1/1969,4.63
12/1/1969,4.68
1/1/1970,4.7
2/1/1970,4.69
3/1/1970,4.72
4/1/1970,4.75
5/1/1970,4.72
6/1/1970,4.74
7/1/1970,4.83
8/1/1970,4.9
9/1/1970,4.92
10/1/1970,4.97
11/1/1970,4.99
12/1/1970,5
1/1/1971,5.05
2/1/1971,5.05
3/1/1971,5.1
4/1/1971,5.16
5/1/1971,5.19
6/1/1971,5.21
7/1/1971,5.21
8/1/1971,5.22
9/1/1971,5.28
10/1/1971,5.34
11/1/1971,5.41
12/1/1971,5.48
1/1/1972,5.49
2/1/1972,5.48
3/1/1972,5.54
4/1/1972,5.54
5/1/1972,5.56
6/1/1972,5.58
7/1/1972,5.65
8/1/1972,5.71
9/1/1972,5.79
10/1/1972,5.83
11/1/1972,5.84
12/1/1972,5.88
1/1/1973,5.93
2/1/1973,5.94
3/1/1973,5.99
4/1/1973,6.07
5/1/1973,6.16
6/1/1973,6.25
7/1/1973,6.32
8/1/1973,6.43
9/1/1973,6.54
10/1/1973,6.64
11/1/1973,6.65
12/1/1973,6.72
1/1/1974,6.76
2/1/1974,6.78
3/1/1974,6.93
4/1/1974,7.08
5/1/1974,7.17
6/1/1974,7.2
7/1/1974,7.29
8/1/1974,7.41
9/1/1974,7.52
10/1/1974,7.6
11/1/1974,7.81
12/1/1974,7.92
1/1/1975,8.03
2/1/1975,8.11
3/1/1975,8.16
4/1/1975,8.31
5/1/1975,8.41
6/1/1975,8.43
7/1/1975,8.56
8/1/1975,8.7
9/1/1975,8.84
10/1/1975,8.84
11/1/1975,8.9
12/1/1975,9.04
1/1/1976,9.15
2/1/1976,9.25
3/1/1976,9.46
4/1/1976,9.65
