CÓDIGO DE LA SERIE,DCIIPR2021IND.M,DCIIPR2021IND_D09B00.M,DCIIPR2021IND_D09C00.M,DCIIPR2021IND_D09D00.M,DCIIPR2021IND_D09E00.M,DCIIPR2021IND_D09ENR.M,DCIIPR2021IND_D09EQP.M,DCIIPR2021IND_D09INT.M,DCIIPR2021IND_D09CNS.M,DCIIPR2021IND_D09CNSD.M,DCIIPR2021IND_D09CNSX.M
NÚMERO SECUENCIAL,4628277,4628278,4628281,4628280,4628279,4628263,4628269,4628266,4628274,4628271,4628270
ALIAS DE LA SERIE,BE_25_3.1,BE_25_3.2,BE_25_3.3,BE_25_3.4,BE_25_3.5,BE_25_3.6,BE_25_3.7,BE_25_3.8,BE_25_3.9,BE_25_3.10,BE_25_3.11
DESCRIPCIÓN DE LA SERIE,Estadísticas Generales. IPRI. Base 2021. Mercado interior. Total industria,Estadísticas generales. INE. IPRI.  Mercado interior. Industrias extractivas. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Industria manufacturera. Base 2021. Índice. Mensual,"Estadísticas generales. INE. IPRI.  Mercado interior. Suministro de energía eléctrica, gas, vapor y aire acondicionado. Base 2021. Índice. Mensual","Estadísticas generales. INE. IPRI.  Mercado interior. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación. Base 2021. Índice. Mensual",Estadísticas generales. INE. IPRI.  Mercado interior. Energía. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de equipo. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes intermedios. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo duradero. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo no duradero. Base 2021. Índice. Mensual
DESCRIPCIÓN DE LAS UNIDADES,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100,Base 2021 = 100
FRECUENCIA,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL
FUENTE,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística
fecha,Estadísticas Generales. IPRI. Base 2021. Mercado interior. Total industria,Estadísticas generales. INE. IPRI.  Mercado interior. Industrias extractivas. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Industria manufacturera. Base 2021. Índice. Mensual,"Estadísticas generales. INE. IPRI.  Mercado interior. Suministro de energía eléctrica, gas, vapor y aire acondicionado. Base 2021. Índice. Mensual","Estadísticas generales. INE. IPRI.  Mercado interior. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación. Base 2021. Índice. Mensual",Estadísticas generales. INE. IPRI.  Mercado interior. Energía. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de equipo. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes intermedios. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo duradero. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo no duradero. Base 2021. Índice. Mensual
1/1/1975,10.8,11.34,11.84,6.03,,6.04,11.87,13,12.04,13.45,11.76
2/1/1975,11.01,12.39,12.06,6.85,,6.83,12.2,13.14,12.12,13.45,11.92
3/1/1975,11.08,12.56,12.06,6.89,,6.89,12.37,13.14,12.2,13.45,11.92
4/1/1975,11.08,12.56,12.13,6.89,,6.89,12.45,13.14,12.28,13.61,12.07
5/1/1975,11.21,12.72,12.28,6.89,,6.89,12.53,13.14,12.44,13.78,12.23
6/1/1975,11.21,12.8,12.28,6.89,,6.89,12.53,13.14,12.52,13.86,12.23
7/1/1975,11.28,12.88,12.28,6.89,,6.89,12.62,13.21,12.52,13.86,12.31
8/1/1975,11.28,12.88,12.36,6.89,,6.89,12.86,13.21,12.6,13.94,12.39
9/1/1975,11.35,13.04,12.43,6.89,,6.89,13.03,13.21,12.67,13.94,12.39
10/1/1975,11.42,13.12,12.43,6.89,,6.89,13.28,13.21,12.67,14.02,12.46
11/1/1975,11.42,13.12,12.51,6.89,,6.89,13.28,13.28,12.67,14.02,12.54
12/1/1975,11.62,13.85,12.66,8.03,,7.89,13.28,13.28,12.75,14.02,12.54
1/1/1976,11.76,14.82,12.73,8.03,,7.89,13.53,13.42,12.99,14.26,12.7
2/1/1976,11.9,14.82,12.96,8.03,,7.89,13.69,13.7,13.15,14.34,12.93
3/1/1976,12.1,14.82,13.18,8.17,,8.05,13.78,13.98,13.3,14.59,13.09
4/1/1976,12.45,14.82,13.56,8.17,,8.05,13.78,14.74,13.46,14.91,13.25
5/1/1976,12.65,15.07,13.71,8.17,,8.1,13.86,15.09,13.62,15.23,13.41
6/1/1976,12.79,15.15,13.93,8.22,,8.1,14.44,15.3,13.78,15.32,13.41
7/1/1976,12.92,15.15,14.08,8.22,,8.1,14.52,15.51,13.85,15.48,13.56
8/1/1976,12.99,15.23,14.16,8.22,,8.1,14.69,15.58,13.93,15.4,13.72
9/1/1976,12.99,15.23,14.23,8.22,,8.1,14.69,15.58,14.09,15.56,13.72
10/1/1976,13.2,15.31,14.46,8.22,,8.1,14.94,15.79,14.41,16.04,14.11
11/1/1976,13.33,15.31,14.53,8.22,,8.16,14.94,15.79,14.56,16.29,14.27
12/1/1976,13.33,15.31,14.53,8.22,,8.16,15.02,15.79,14.72,16.45,14.35
1/1/1977,13.68,15.47,14.98,8.22,,8.16,15.85,16,15.19,16.94,14.82
2/1/1977,13.88,15.47,15.21,8.22,,8.21,16.18,16.28,15.35,17.1,15.13
3/1/1977,14.36,16.2,15.66,9.36,,8.74,16.68,16.7,15.9,17.67,15.6
4/1/1977,14.77,17.5,16.1,9.36,,9.22,16.93,17.33,16.14,17.83,15.84
5/1/1977,14.91,18.31,16.25,9.36,,9.27,17.18,17.54,16.29,17.99,15.99
6/1/1977,15.04,18.39,16.4,9.36,,9.27,17.26,17.68,16.53,18.07,16.31
7/1/1977,15.32,18.39,16.7,9.36,,9.27,18.18,17.82,16.77,18.39,16.46
8/1/1977,15.8,18.39,17.23,9.9,,10.22,18.43,18.17,17.4,19.37,16.93
9/1/1977,16.07,20.49,17.53,9.9,,10.33,18.59,18.59,17.63,19.85,17.25
10/1/1977,16.34,20.49,17.9,9.9,,10.33,19.09,18.94,18.03,20.26,17.64
11/1/1977,16.55,20.74,18.05,9.9,,10.38,19.34,19.15,18.34,20.66,17.87
12/1/1977,16.62,20.74,18.2,9.9,,10.38,19.42,19.22,18.34,20.74,17.87
1/1/1978,16.82,20.74,18.43,9.9,,10.38,19.84,19.43,18.66,20.99,18.19
2/1/1978,16.96,21.14,18.58,9.9,,10.38,19.92,19.57,18.89,21.31,18.5
3/1/1978,17.1,21.22,18.73,9.9,,10.38,20.09,19.7,19.13,21.47,18.66
4/1/1978,17.3,21.3,18.95,9.9,,10.38,20.42,19.98,19.36,21.88,18.97
5/1/1978,17.64,21.87,19.33,9.9,,10.38,20.92,20.54,19.52,21.88,19.13
6/1/1978,17.85,21.95,19.63,9.9,,10.38,21.33,20.89,19.76,22.28,19.21
7/1/1978,17.98,21.95,19.7,9.9,,10.38,21.41,21.1,19.84,22.45,19.36
8/1/1978,18.05,21.95,19.85,9.9,,10.38,21.41,21.1,19.92,22.69,19.44
9/1/1978,18.19,21.95,19.92,9.9,,10.43,21.75,21.31,20.07,22.93,19.6
10/1/1978,18.39,22.11,20.22,9.9,,10.43,22.41,21.52,20.31,23.09,19.83
11/1/1978,18.53,22.11,20.3,9.9,,10.43,22.58,21.59,20.39,23.26,19.91
12/1/1978,18.6,22.68,20.45,9.9,,10.43,22.66,21.73,20.55,23.5,19.99
1/1/1979,19.01,23,20.82,9.9,,10.43,23.41,22.15,21.02,24.15,20.38
2/1/1979,19.28,23,21.2,9.9,,10.49,23.65,22.64,21.33,24.55,20.77
3/1/1979,19.42,24.14,21.42,9.9,,10.54,23.82,22.92,21.57,24.8,20.93
4/1/1979,19.63,24.38,21.65,9.95,,10.54,23.9,23.13,21.88,24.88,21.32
5/1/1979,19.76,24.46,21.8,9.95,,10.54,24.07,23.34,22.12,24.96,21.56
6/1/1979,20.1,24.46,22.17,9.95,,11.23,24.82,23.48,22.28,25.28,21.71
7/1/1979,20.51,25.19,22.55,9.95,,12.34,24.9,23.69,22.43,25.53,21.87
8/1/1979,20.86,25.27,22.92,11.27,,12.82,25.31,24.11,22.67,25.69,22.11
9/1/1979,21.2,25.27,23.22,11.27,,12.82,25.9,24.53,23.06,26.5,22.34
10/1/1979,21.4,25.27,23.52,11.37,,12.87,25.98,24.81,23.46,28.04,22.58
11/1/1979,21.47,25.27,23.6,11.41,,12.87,26.14,25.02,23.54,27.96,22.65
12/1/1979,21.68,25.43,23.82,11.41,,12.87,26.39,25.23,23.77,29.01,22.73
1/1/1980,22.16,25.6,24.34,11.41,,12.92,26.73,25.64,24.64,31.76,23.13
2/1/1980,23.11,28.27,25.32,13.28,,15.57,27.06,26.48,25.19,34.03,23.36
3/1/1980,23.32,28.11,25.62,13.28,,15.57,27.14,26.83,25.27,33.79,23.6
4/1/1980,23.39,28.75,25.62,13.33,,15.57,27.39,27.04,25.27,32.9,23.67
