CÓDIGO DE LA SERIE,D_1T9L0001,D_1T9L0008
NÚMERO SECUENCIAL,254838,474026
ALIAS DE LA SERIE,BE_19_1.16,BE_19_1.18
DESCRIPCIÓN DE LA SERIE,Tipo de interés. Tipos legales. Interés legal,Tipo de interés. Tipos legales. Interés de demora a efectos tributarios
DESCRIPCIÓN DE LAS UNIDADES,Porcentaje,Porcentaje
FRECUENCIA,MENSUAL,MENSUAL
fecha,interes_legal,interes_demora_efectos_tributarios
1/1/1973,4,4
2/1/1973,4,4
3/1/1973,4,4
4/1/1973,4,4
5/1/1973,4,4
6/1/1973,4,4
7/1/1973,4,4
8/1/1973,4,4
9/1/1973,4,4
10/1/1973,4,4
11/1/1973,4,4
12/1/1973,4,4
1/1/1974,4,4
2/1/1974,4,4
3/1/1974,4,4
4/1/1974,4,4
5/1/1974,4,4
6/1/1974,4,4
7/1/1974,4,4
8/1/1974,4,4
9/1/1974,4,4
10/1/1974,4,4
11/1/1974,4,7
12/1/1974,4,7
1/1/1975,4,7
2/1/1975,4,7
3/1/1975,4,7
4/1/1975,4,7
5/1/1975,4,7
6/1/1975,4,7
7/1/1975,4,7
8/1/1975,4,7
9/1/1975,4,7
10/1/1975,4,7
11/1/1975,4,7
12/1/1975,4,7
1/1/1976,4,7
2/1/1976,4,7
3/1/1976,4,7
4/1/1976,4,7
5/1/1976,4,7
6/1/1976,4,7
7/1/1976,4,7
8/1/1976,4,7
9/1/1976,4,7
10/1/1976,4,7
11/1/1976,4,7
12/1/1976,4,7
1/1/1977,4,7
2/1/1977,4,7
3/1/1977,4,7
4/1/1977,4,7
5/1/1977,4,7
6/1/1977,4,7
7/1/1977,4,8
8/1/1977,4,8
9/1/1977,4,8
10/1/1977,4,8
11/1/1977,4,8
12/1/1977,4,8
1/1/1978,4,8
2/1/1978,4,8
3/1/1978,4,8
4/1/1978,4,8
5/1/1978,4,8
6/1/1978,4,8
7/1/1978,4,8
8/1/1978,4,8
9/1/1978,4,8
10/1/1978,4,8
11/1/1978,4,8
12/1/1978,4,8
1/1/1979,4,8
2/1/1979,4,8
3/1/1979,4,8
4/1/1979,4,8
5/1/1979,4,8
6/1/1979,4,8
7/1/1979,4,8
8/1/1979,4,8
9/1/1979,4,8
10/1/1979,4,8
11/1/1979,4,8
12/1/1979,4,8
1/1/1980,4,8
2/1/1980,4,8
3/1/1980,4,8
4/1/1980,4,8
5/1/1980,4,8
6/1/1980,4,8
7/1/1980,4,8
8/1/1980,4,8
9/1/1980,4,8
10/1/1980,4,8
