CÓDIGO DE LA SERIE,D_BFTA0000NS,D_BFSA0002NS,D_BFD11000S,D_BFEA1000S,D_BFP10000NS,D_BFEA2202NS,D_BFP14100NS,D_BFSA2222NS,D_BFP14200S,D_BFE11000NS,D_BFY0000ONS,D_EDEU0000S,D_BFPU4000
NÚMERO SECUENCIAL,3073390,3073391,3073406,3073407,3073392,3073393,3073394,3073395,3073408,3073396,3073397,3073398,1920872
ALIAS DE LA SERIE,BE_4_51.1,BE_4_51.2,BE_4_51.3,BE_4_51.4,BE_4_51.5,BE_4_51.6,BE_4_51.7,BE_4_51.8,BE_4_51.9,BE_4_51.10,BE_4_51.11,BE_4_51.12,BE_4_51.13
DESCRIPCIÓN DE LA SERIE,ED. Balance componentes. Activo. Total,ED. Balance componentes. Activo. Créditos. Residentes en España. Sistema crediticio,ED. Créditos. A AAPP,ED. Créditos. A OSR,ED. Balance componentes. Activo. Créditos. Resto del mundo,ED. Balance componentes. Activo. Valores distintos de acciones y participaciones. Residentes en España,ED. Balance componentes. Activo. Valores distintos de acciones y participaciones. Resto del mundo,ED. Balance componentes. Activo. acciones y participaciones. Residentes en España,ED. Balance componentes. Activo. acciones y participaciones. Resto del mundo,ED. Balance componentes. Activo. Activos no sectorizados. Efectivo,ED. Balance componentes. Activo. Activos no sectorizados. Otros,ED. Balance componentes. Activo. Dudosos,Entidades de depósito. Información según estados de supervisión. Activo. Morosos [discontinuada]
DESCRIPCIÓN DE LAS UNIDADES,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros
FRECUENCIA,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL
fecha,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_no_sectorizados,ed_activo_dudosos,morosos_discontinuada
1/1/1962,2033194,529420,3684,1457244,41019,,,,1827,,,,
2/1/1962,2070974,539523,3642,1484536,41422,,,,1851,,,,
3/1/1962,2107647,545545,3504,1514238,42486,,,,1875,,,,
4/1/1962,2143377,548357,3366,1548003,41752,,,,1899,,,,
5/1/1962,2181464,550359,3354,1582699,43129,,,,1923,,,,
6/1/1962,2184571,520284,3648,1616260,42431,,,,1947,,,,
7/1/1962,2204464,505151,3498,1649688,44156,,,,1971,,,,
8/1/1962,2282440,544926,3546,1688946,43026,,,,1995,,,,
9/1/1962,2344861,566147,3528,1730158,43002,,,,2025,,,,
10/1/1962,2379828,551789,3714,1776988,45280,,,,2055,,,,
11/1/1962,2414103,550353,3756,1811757,46152,,,,2086,,,,
12/1/1962,2470713,556056,4243,1861046,47252,,,,2116,,,,
1/1/1963,2515921,588926,4039,1871323,49499,,,,2134,,,,
2/1/1963,2544836,589485,3895,1898086,51218,,,,2152,,,,
3/1/1963,2577639,573035,3871,1944274,54289,,,,2170,,,,
4/1/1963,2602100,550527,3901,1987120,58364,,,,2188,,,,
5/1/1963,2597250,503931,4826,2027046,59242,,,,2206,,,,
6/1/1963,2611139,488443,4844,2052757,62872,,,,2224,,,,
7/1/1963,2605273,463753,4946,2074513,59819,,,,2242,,,,
8/1/1963,2679252,522550,5012,2087784,61646,,,,2260,,,,
9/1/1963,2762546,567770,5547,2121519,65426,,,,2284,,,,
10/1/1963,2835076,593752,5535,2167057,66424,,,,2308,,,,
11/1/1963,2888043,612810,5535,2198346,69020,,,,2332,,,,
12/1/1963,2923635,593145,7002,2246890,74243,,,,2356,,,,
1/1/1964,3004526,689643,6791,2228324,77206,,,,2560,,,,
2/1/1964,3022460,700359,7068,2234064,78198,,,,2771,,,,
3/1/1964,3087790,746187,6942,2258928,72753,,,,2981,,,,
4/1/1964,3158998,766687,6827,2309449,72843,,,,3191,,,,
5/1/1964,3172244,740585,6906,2349326,72025,,,,3402,,,,
6/1/1964,3181542,693556,6846,2404048,73480,,,,3612,,,,
7/1/1964,3189752,683080,6948,2421340,74562,,,,3822,,,,
8/1/1964,3327690,790782,7074,2450188,75613,,,,4033,,,,
9/1/1964,3414374,847379,7074,2479217,76461,,,,4243,,,,
10/1/1964,3496947,878776,7074,2529131,77513,,,,4454,,,,
11/1/1964,3531848,847511,7290,2593818,78564,,,,4664,,,,
12/1/1964,3536109,765167,7777,2675105,83186,,,,4874,,,,
1/1/1965,3608603,849873,7981,2665645,80127,,,,4976,,,,
2/1/1965,3593379,802706,8348,2695311,81936,,,,5079,,,,
3/1/1965,3638341,797110,8174,2745574,82303,,,,5181,,,,
4/1/1965,3676247,767757,8294,2814588,80325,,,,5283,,,,
5/1/1965,3706351,732544,8354,2881246,78823,,,,5385,,,,
6/1/1965,3777758,736643,8102,2947117,80409,,,,5487,,,,
7/1/1965,3857362,710474,8042,3055203,78053,,,,5589,,,,
8/1/1965,3981867,786911,8060,3103633,77573,,,,5692,,,,
9/1/1965,4068335,836645,8264,3132607,85025,,,,5794,,,,
10/1/1965,4096547,768358,8366,3233986,79941,,,,5896,,,,
11/1/1965,4157032,765010,8480,3297164,80379,,,,5998,,,,
12/1/1965,4201958,691242,8492,3414187,81936,,,,6100,,,,
1/1/1966,4243260,741775,8582,3406483,80319,,,,6100,,,,
2/1/1966,4277367,737959,8871,3445590,78841,,,,6106,,,,
3/1/1966,4255424,676277,9003,3485642,78396,,,,6106,,,,
4/1/1966,4265792,650505,8925,3524323,75926,,,,6112,,,,
5/1/1966,4360697,723168,9081,3547756,74580,,,,6112,,,,
6/1/1966,4410648,718185,9015,3602202,75127,,,,6118,,,,
7/1/1966,4484025,728721,9105,3669798,70282,,,,6118,,,,
8/1/1966,4595699,820315,9045,3677431,82783,,,,6124,,,,
9/1/1966,4717596,896452,8967,3718859,87195,,,,6124,,,,
10/1/1966,4742394,860667,9298,3792230,74069,,,,6130,,,,
11/1/1966,4824078,882430,9430,3845131,80956,,,,6130,,,,
12/1/1966,4895099,844368,9394,3947964,87237,,,,6136,,,,
1/1/1967,4932813,905575,9472,3925841,85782,,,,6142,,,,
2/1/1967,4985702,911200,9796,3975016,83541,,,,6148,,,,
3/1/1967,5018752,909842,9863,4002969,89929,,,,6148,,,,
4/1/1967,5064435,873661,9887,4088607,86125,,,,6154,,,,
5/1/1967,5102112,885201,10211,4108873,91672,,,,6154,,,,
6/1/1967,5179961,880296,10013,4187696,95801,,,,6154,,,,
