CÓDIGO DE LA SERIE,D_BFP00000NS,D_BFDE1000NS,D_BFSP0001NS,D_BFD21000S,D_BFL01000NS,D_BFP20000NS,D_BFP01000NS,D_BFK00000NS,D_BPY0000PNS,D_BFPFE000NS
NÚMERO SECUENCIAL,3073399,3073400,3073401,3073410,3073402,3073403,3073404,3073405,3073411,3073412
ALIAS DE LA SERIE,BE_4_52.1,BE_4_52.2,BE_4_52.3,BE_4_52.4,BE_4_52.5,BE_4_52.6,BE_4_52.7,BE_4_52.8,BE_4_52.9,BE_4_52.10
DESCRIPCIÓN DE LA SERIE,ED. Balance componentes. Pasivo. Total,ED. Balance componentes. Pasivo. Depósitos. Total,ED. Balance componentes. Pasivo. Depósitos. Residentes en España. Sistema crediticio,ED. Depósitos. De AAPP,ED. Pasivos. Frente a OSR,ED. Balance componentes. Pasivo. Depósitos. Resto del mundo,ED. Balance componentes. Pasivo. Pasivos no sectorizados. Valores distintos de acciones y participaciones,"ED. Balance componentes. Pasivo. Pasivos no sectorizados. Patrimonio, ajustes y correcciones",EC y EFC. Balance agregado estados supervisión. Pasivo. Pasivos no sectorizados. Pasivos de obra benéfico-social,ED. Balance componentes. Pasivo. Pasivos no sectorizados. Periodificación y otros pasivos
DESCRIPCIÓN DE LAS UNIDADES,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros,Miles de euros
FRECUENCIA,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL
fecha,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros
1/1/1962,,2828856,643672,9093,2141520,34570,,,11960,
2/1/1962,,2863288,644604,9959,2173284,35442,,,12020,
3/1/1962,,2900376,648726,10464,2205029,36157,,,11906,
4/1/1962,,2941143,661660,11155,2230500,37828,,,8102,
5/1/1962,,2984085,673843,11654,2259595,38994,,,8102,
6/1/1962,,3001076,659959,11539,2291725,37852,,,8102,
7/1/1962,,3027689,656600,11551,2319757,39781,,,8102,
8/1/1962,,3103290,679949,12345,2370632,40364,,,8102,
9/1/1962,,3156281,690719,12844,2412727,39991,,,8102,
10/1/1962,,3203839,691597,13024,2455405,43814,,,8102,
11/1/1962,,3242310,688568,13541,2492626,47576,,,8102,
