Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2026T1;122,0050
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T4;128,3448
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T3;123,2859
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T2;124,3696
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T1;118,7490
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T4;124,5496
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T3;120,0439
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T2;121,0447
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T1;115,5187
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T4;120,2630
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T3;115,8913
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T2;116,5584
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T1;112,3744
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T4;117,7441
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T3;114,0324
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T2;114,3184
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T1;107,8221
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T4;112,7361
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T3;107,3614
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T2;106,4344
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T1;100,2007
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T4;105,2514
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T3;101,7546
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T2;89,1487
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T1;103,8453
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T4;115,3974
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T3;111,5926
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T2;113,8167
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T1;108,3292
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T4;113,7290
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T3;109,6224
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T2;111,7631
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T1;105,3824
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T4;110,9135
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T3;107,4891
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T2;109,0386
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T1;102,7508
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T4;107,5364
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T3;104,4333
