Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;Total;Población de 16 y más años;2001TIV;34.246,3
Ambos sexos;Total;Población de 16 y más años;2001TIII;34.126,9
Ambos sexos;Total;Población de 16 y más años;2001TII;34.007,4
Ambos sexos;Total;Población de 16 y más años;2001TI;33.888,0
Ambos sexos;Total;Población de 16 y más años;2000TIV;33.769,5
Ambos sexos;Total;Población de 16 y más años;2000TIII;33.651,9
Ambos sexos;Total;Población de 16 y más años;2000TII;33.534,2
Ambos sexos;Total;Población de 16 y más años;2000TI;33.416,6
Ambos sexos;Total;Población de 16 y más años;1999TIV;33.315,9
Ambos sexos;Total;Población de 16 y más años;1999TIII;33.232,1
Ambos sexos;Total;Población de 16 y más años;1999TII;33.148,2
Ambos sexos;Total;Población de 16 y más años;1999TI;33.064,4
Ambos sexos;Total;Población de 16 y más años;1998TIV;32.985,0
Ambos sexos;Total;Población de 16 y más años;1998TIII;32.910,2
Ambos sexos;Total;Población de 16 y más años;1998TII;32.835,4
Ambos sexos;Total;Población de 16 y más años;1998TI;32.760,7
Ambos sexos;Total;Población de 16 y más años;1997TIV;32.688,6
Ambos sexos;Total;Población de 16 y más años;1997TIII;32.619,2
Ambos sexos;Total;Población de 16 y más años;1997TII;32.549,8
Ambos sexos;Total;Población de 16 y más años;1997TI;32.480,5
Ambos sexos;Total;Población de 16 y más años;1996TIV;32.375,6
Ambos sexos;Total;Población de 16 y más años;1996TIII;32.270,8
Ambos sexos;Total;Población de 16 y más años;1996TII;32.166,0
Ambos sexos;Total;Población de 16 y más años;1996TI;32.061,1
Ambos sexos;Total;Activos;2001TIV;18.292,0
Ambos sexos;Total;Activos;2001TIII;18.164,0
Ambos sexos;Total;Activos;2001TII;17.932,1
Ambos sexos;Total;Activos;2001TI;17.814,7
Ambos sexos;Total;Activos;2000TIV;18.227,8
Ambos sexos;Total;Activos;2000TIII;18.137,4
Ambos sexos;Total;Activos;2000TII;17.899,8
Ambos sexos;Total;Activos;2000TI;17.744,1
Ambos sexos;Total;Activos;1999TIV;17.639,1
Ambos sexos;Total;Activos;1999TIII;17.507,8
Ambos sexos;Total;Activos;1999TII;17.288,3
Ambos sexos;Total;Activos;1999TI;17.213,0
Ambos sexos;Total;Activos;1998TIV;17.219,8
Ambos sexos;Total;Activos;1998TIII;17.197,6
Ambos sexos;Total;Activos;1998TII;16.991,2
Ambos sexos;Total;Activos;1998TI;16.915,3
Ambos sexos;Total;Activos;1997TIV;16.941,3
Ambos sexos;Total;Activos;1997TIII;16.873,0
Ambos sexos;Total;Activos;1997TII;16.745,4
Ambos sexos;Total;Activos;1997TI;16.678,9
Ambos sexos;Total;Activos;1996TIV;16.663,4
Ambos sexos;Total;Activos;1996TIII;16.616,7
Ambos sexos;Total;Activos;1996TII;16.429,0
Ambos sexos;Total;Activos;1996TI;16.362,0
Ambos sexos;Total;Ocupados;2001TIV;16.348,2
Ambos sexos;Total;Ocupados;2001TIII;16.294,3
Ambos sexos;Total;Ocupados;2001TII;16.076,3
Ambos sexos;Total;Ocupados;2001TI;15.866,3
Ambos sexos;Total;Ocupados;2000TIV;15.782,3
Ambos sexos;Total;Ocupados;2000TIII;15.681,8
Ambos sexos;Total;Ocupados;2000TII;15.440,2
Ambos sexos;Total;Ocupados;2000TI;15.119,3
Ambos sexos;Total;Ocupados;1999TIV;14.959,8
Ambos sexos;Total;Ocupados;1999TIII;14.848,8
Ambos sexos;Total;Ocupados;1999TII;14.626,4
Ambos sexos;Total;Ocupados;1999TI;14.324,3
Ambos sexos;Total;Ocupados;1998TIV;14.122,0
Ambos sexos;Total;Ocupados;1998TIII;14.047,6
Ambos sexos;Total;Ocupados;1998TII;13.814,2
Ambos sexos;Total;Ocupados;1998TI;13.632,9
Ambos sexos;Total;Ocupados;1997TIV;13.534,5
Ambos sexos;Total;Ocupados;1997TIII;13.445,8
Ambos sexos;Total;Ocupados;1997TII;13.275,5
Ambos sexos;Total;Ocupados;1997TI;13.126,5
Ambos sexos;Total;Ocupados;1996TIV;13.064,5
Ambos sexos;Total;Ocupados;1996TIII;13.007,8
Ambos sexos;Total;Ocupados;1996TII;12.787,1
Ambos sexos;Total;Ocupados;1996TI;12.626,7
Ambos sexos;Total;Parados;2001TIV;1.943,8
Ambos sexos;Total;Parados;2001TIII;1.869,7
Ambos sexos;Total;Parados;2001TII;1.855,8
Ambos sexos;Total;Parados;2001TI;1.948,3
Ambos sexos;Total;Parados;2000TIV;2.445,4
Ambos sexos;Total;Parados;2000TIII;2.455,6
Ambos sexos;Total;Parados;2000TII;2.459,6
Ambos sexos;Total;Parados;2000TI;2.624,8
Ambos sexos;Total;Parados;1999TIV;2.679,3
Ambos sexos;Total;Parados;1999TIII;2.659,0
Ambos sexos;Total;Parados;1999TII;2.661,9
Ambos sexos;Total;Parados;1999TI;2.888,7
Ambos sexos;Total;Parados;1998TIV;3.097,8
Ambos sexos;Total;Parados;1998TIII;3.150,0
Ambos sexos;Total;Parados;1998TII;3.177,0
Ambos sexos;Total;Parados;1998TI;3.282,4
Ambos sexos;Total;Parados;1997TIV;3.406,8
Ambos sexos;Total;Parados;1997TIII;3.427,3
Ambos sexos;Total;Parados;1997TII;3.469,9
Ambos sexos;Total;Parados;1997TI;3.552,3
Ambos sexos;Total;Parados;1996TIV;3.598,9
Ambos sexos;Total;Parados;1996TIII;3.609,0
Ambos sexos;Total;Parados;1996TII;3.641,9
Ambos sexos;Total;Parados;1996TI;3.735,3
Ambos sexos;Total;Parados que buscan primer empleo;2001TIV;340,1
Ambos sexos;Total;Parados que buscan primer empleo;2001TIII;351,4
Ambos sexos;Total;Parados que buscan primer empleo;2001TII;325,0
Ambos sexos;Total;Parados que buscan primer empleo;2001TI;316,8
Ambos sexos;Total;Parados que buscan primer empleo;2000TIV;485,6
Ambos sexos;Total;Parados que buscan primer empleo;2000TIII;525,9
Ambos sexos;Total;Parados que buscan primer empleo;2000TII;512,9
Ambos sexos;Total;Parados que buscan primer empleo;2000TI;552,7
Ambos sexos;Total;Parados que buscan primer empleo;1999TIV;603,1
Ambos sexos;Total;Parados que buscan primer empleo;1999TIII;627,9
Ambos sexos;Total;Parados que buscan primer empleo;1999TII;618,0
Ambos sexos;Total;Parados que buscan primer empleo;1999TI;655,7
Ambos sexos;Total;Parados que buscan primer empleo;1998TIV;757,8
Ambos sexos;Total;Parados que buscan primer empleo;1998TIII;789,4
Ambos sexos;Total;Parados que buscan primer empleo;1998TII;731,6
Ambos sexos;Total;Parados que buscan primer empleo;1998TI;747,2
Ambos sexos;Total;Parados que buscan primer empleo;1997TIV;804,1
Ambos sexos;Total;Parados que buscan primer empleo;1997TIII;810,8
Ambos sexos;Total;Parados que buscan primer empleo;1997TII;783,2
Ambos sexos;Total;Parados que buscan primer empleo;1997TI;792,5
Ambos sexos;Total;Parados que buscan primer empleo;1996TIV;820,9
Ambos sexos;Total;Parados que buscan primer empleo;1996TIII;830,1
Ambos sexos;Total;Parados que buscan primer empleo;1996TII;780,7
Ambos sexos;Total;Parados que buscan primer empleo;1996TI;803,0
Ambos sexos;Total;Inactivos;2001TIV;15.931,5
Ambos sexos;Total;Inactivos;2001TIII;15.929,9
Ambos sexos;Total;Inactivos;2001TII;16.029,1
Ambos sexos;Total;Inactivos;2001TI;16.017,3
Ambos sexos;Total;Inactivos;2000TIV;15.479,2
Ambos sexos;Total;Inactivos;2000TIII;15.443,7
Ambos sexos;Total;Inactivos;2000TII;15.543,9
Ambos sexos;Total;Inactivos;2000TI;15.569,5
Ambos sexos;Total;Inactivos;1999TIV;15.568,4
Ambos sexos;Total;Inactivos;1999TIII;15.610,0
Ambos sexos;Total;Inactivos;1999TII;15.735,6
Ambos sexos;Total;Inactivos;1999TI;15.730,2
Ambos sexos;Total;Inactivos;1998TIV;15.668,4
Ambos sexos;Total;Inactivos;1998TIII;15.604,3
Ambos sexos;Total;Inactivos;1998TII;15.718,3
Ambos sexos;Total;Inactivos;1998TI;15.717,7
Ambos sexos;Total;Inactivos;1997TIV;15.607,1
Ambos sexos;Total;Inactivos;1997TIII;15.599,0
Ambos sexos;Total;Inactivos;1997TII;15.657,6
Ambos sexos;Total;Inactivos;1997TI;15.652,7
Ambos sexos;Total;Inactivos;1996TIV;15.566,9
Ambos sexos;Total;Inactivos;1996TIII;15.502,1
Ambos sexos;Total;Inactivos;1996TII;15.583,0
Ambos sexos;Total;Inactivos;1996TI;15.536,4
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2001TIV;2.026,6
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2001TIII;2.045,7
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2001TII;2.065,7
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2001TI;2.084,4
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2000TIV;2.104,2
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2000TIII;2.126,8
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2000TII;2.149,1
Ambos sexos;De 16 a 19 años;Población de 16 y más años;2000TI;2.171,4
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1999TIV;2.193,8
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1999TIII;2.216,7
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1999TII;2.239,5
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1999TI;2.262,7
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1998TIV;2.286,4
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1998TIII;2.309,4
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1998TII;2.332,4
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1998TI;2.355,6
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1997TIV;2.378,7
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1997TIII;2.400,9
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1997TII;2.424,0
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1997TI;2.446,9
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1996TIV;2.462,6
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1996TIII;2.477,9
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1996TII;2.493,3
Ambos sexos;De 16 a 19 años;Población de 16 y más años;1996TI;2.508,6
Ambos sexos;De 16 a 19 años;Activos;2001TIV;518,1
Ambos sexos;De 16 a 19 años;Activos;2001TIII;568,2
Ambos sexos;De 16 a 19 años;Activos;2001TII;509,5
Ambos sexos;De 16 a 19 años;Activos;2001TI;508,0
Ambos sexos;De 16 a 19 años;Activos;2000TIV;547,0
Ambos sexos;De 16 a 19 años;Activos;2000TIII;603,8
Ambos sexos;De 16 a 19 años;Activos;2000TII;555,1
Ambos sexos;De 16 a 19 años;Activos;2000TI;539,7
Ambos sexos;De 16 a 19 años;Activos;1999TIV;565,7
Ambos sexos;De 16 a 19 años;Activos;1999TIII;588,9
Ambos sexos;De 16 a 19 años;Activos;1999TII;543,0
Ambos sexos;De 16 a 19 años;Activos;1999TI;554,9
Ambos sexos;De 16 a 19 años;Activos;1998TIV;562,4
Ambos sexos;De 16 a 19 años;Activos;1998TIII;589,6
Ambos sexos;De 16 a 19 años;Activos;1998TII;557,0
Ambos sexos;De 16 a 19 años;Activos;1998TI;545,2
Ambos sexos;De 16 a 19 años;Activos;1997TIV;561,4
Ambos sexos;De 16 a 19 años;Activos;1997TIII;594,9
Ambos sexos;De 16 a 19 años;Activos;1997TII;574,1
Ambos sexos;De 16 a 19 años;Activos;1997TI;576,0
Ambos sexos;De 16 a 19 años;Activos;1996TIV;604,7
Ambos sexos;De 16 a 19 años;Activos;1996TIII;632,1
Ambos sexos;De 16 a 19 años;Activos;1996TII;585,6
Ambos sexos;De 16 a 19 años;Activos;1996TI;592,6
Ambos sexos;De 16 a 19 años;Ocupados;2001TIV;365,9
Ambos sexos;De 16 a 19 años;Ocupados;2001TIII;412,9
Ambos sexos;De 16 a 19 años;Ocupados;2001TII;355,0
Ambos sexos;De 16 a 19 años;Ocupados;2001TI;357,7
Ambos sexos;De 16 a 19 años;Ocupados;2000TIV;362,4
Ambos sexos;De 16 a 19 años;Ocupados;2000TIII;407,4
Ambos sexos;De 16 a 19 años;Ocupados;2000TII;365,9
Ambos sexos;De 16 a 19 años;Ocupados;2000TI;338,8
Ambos sexos;De 16 a 19 años;Ocupados;1999TIV;352,0
Ambos sexos;De 16 a 19 años;Ocupados;1999TIII;381,1
Ambos sexos;De 16 a 19 años;Ocupados;1999TII;335,8
Ambos sexos;De 16 a 19 años;Ocupados;1999TI;329,6
Ambos sexos;De 16 a 19 años;Ocupados;1998TIV;318,2
Ambos sexos;De 16 a 19 años;Ocupados;1998TIII;334,8
Ambos sexos;De 16 a 19 años;Ocupados;1998TII;309,6
Ambos sexos;De 16 a 19 años;Ocupados;1998TI;289,1
Ambos sexos;De 16 a 19 años;Ocupados;1997TIV;282,1
Ambos sexos;De 16 a 19 años;Ocupados;1997TIII;292,3
Ambos sexos;De 16 a 19 años;Ocupados;1997TII;281,2
Ambos sexos;De 16 a 19 años;Ocupados;1997TI;277,0
Ambos sexos;De 16 a 19 años;Ocupados;1996TIV;289,5
Ambos sexos;De 16 a 19 años;Ocupados;1996TIII;314,4
Ambos sexos;De 16 a 19 años;Ocupados;1996TII;287,8
Ambos sexos;De 16 a 19 años;Ocupados;1996TI;295,1
Ambos sexos;De 16 a 19 años;Parados;2001TIV;152,2
Ambos sexos;De 16 a 19 años;Parados;2001TIII;155,3
Ambos sexos;De 16 a 19 años;Parados;2001TII;154,5
Ambos sexos;De 16 a 19 años;Parados;2001TI;150,3
Ambos sexos;De 16 a 19 años;Parados;2000TIV;184,6
Ambos sexos;De 16 a 19 años;Parados;2000TIII;196,5
Ambos sexos;De 16 a 19 años;Parados;2000TII;189,3
Ambos sexos;De 16 a 19 años;Parados;2000TI;200,9
Ambos sexos;De 16 a 19 años;Parados;1999TIV;213,7
Ambos sexos;De 16 a 19 años;Parados;1999TIII;207,8
Ambos sexos;De 16 a 19 años;Parados;1999TII;207,2
Ambos sexos;De 16 a 19 años;Parados;1999TI;225,2
Ambos sexos;De 16 a 19 años;Parados;1998TIV;244,2
Ambos sexos;De 16 a 19 años;Parados;1998TIII;254,8
Ambos sexos;De 16 a 19 años;Parados;1998TII;247,5
Ambos sexos;De 16 a 19 años;Parados;1998TI;256,0
Ambos sexos;De 16 a 19 años;Parados;1997TIV;279,4
Ambos sexos;De 16 a 19 años;Parados;1997TIII;302,6
Ambos sexos;De 16 a 19 años;Parados;1997TII;292,9
Ambos sexos;De 16 a 19 años;Parados;1997TI;299,0
Ambos sexos;De 16 a 19 años;Parados;1996TIV;315,1
Ambos sexos;De 16 a 19 años;Parados;1996TIII;317,7
Ambos sexos;De 16 a 19 años;Parados;1996TII;297,8
Ambos sexos;De 16 a 19 años;Parados;1996TI;297,5
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2001TIV;74,9
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2001TIII;80,0
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2001TII;76,9
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2001TI;66,3
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2000TIV;93,6
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2000TIII;108,0
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2000TII;106,9
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;2000TI;108,3
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1999TIV;116,6
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1999TIII;123,0
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1999TII;125,4
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1999TI;131,5
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1998TIV;152,2
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1998TIII;161,7
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1998TII;161,5
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1998TI;163,8
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1997TIV;183,6
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1997TIII;201,7
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1997TII;187,1
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1997TI;191,3
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1996TIV;203,5
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1996TIII;210,4
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1996TII;189,1
Ambos sexos;De 16 a 19 años;Parados que buscan primer empleo;1996TI;186,3
Ambos sexos;De 16 a 19 años;Inactivos;2001TIV;1.497,7
Ambos sexos;De 16 a 19 años;Inactivos;2001TIII;1.464,1
Ambos sexos;De 16 a 19 años;Inactivos;2001TII;1.534,8
Ambos sexos;De 16 a 19 años;Inactivos;2001TI;1.552,6
Ambos sexos;De 16 a 19 años;Inactivos;2000TIV;1.533,6
Ambos sexos;De 16 a 19 años;Inactivos;2000TIII;1.498,3
Ambos sexos;De 16 a 19 años;Inactivos;2000TII;1.562,1
Ambos sexos;De 16 a 19 años;Inactivos;2000TI;1.593,8
Ambos sexos;De 16 a 19 años;Inactivos;1999TIV;1.585,1
Ambos sexos;De 16 a 19 años;Inactivos;1999TIII;1.582,2
Ambos sexos;De 16 a 19 años;Inactivos;1999TII;1.650,6
Ambos sexos;De 16 a 19 años;Inactivos;1999TI;1.665,3
Ambos sexos;De 16 a 19 años;Inactivos;1998TIV;1.681,9
Ambos sexos;De 16 a 19 años;Inactivos;1998TIII;1.669,7
Ambos sexos;De 16 a 19 años;Inactivos;1998TII;1.723,2
Ambos sexos;De 16 a 19 años;Inactivos;1998TI;1.758,3
Ambos sexos;De 16 a 19 años;Inactivos;1997TIV;1.748,7
Ambos sexos;De 16 a 19 años;Inactivos;1997TIII;1.732,9
Ambos sexos;De 16 a 19 años;Inactivos;1997TII;1.780,8
Ambos sexos;De 16 a 19 años;Inactivos;1997TI;1.802,5
Ambos sexos;De 16 a 19 años;Inactivos;1996TIV;1.791,1
Ambos sexos;De 16 a 19 años;Inactivos;1996TIII;1.773,1
Ambos sexos;De 16 a 19 años;Inactivos;1996TII;1.831,3
Ambos sexos;De 16 a 19 años;Inactivos;1996TI;1.834,0
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2001TIV;3.156,2
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2001TIII;3.170,4
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2001TII;3.183,7
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2001TI;3.198,4
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2000TIV;3.210,6
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2000TIII;3.218,8
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2000TII;3.227,3
Ambos sexos;De 20 a 24 años;Población de 16 y más años;2000TI;3.235,9
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1999TIV;3.245,6
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1999TIII;3.256,1
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1999TII;3.266,7
Ambos sexos;De 20 a 24 años;Población de 16 y más años;1999TI;3.276,8
