Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;Total;Población de 16 y más años;1995TIV;31.956,3
Ambos sexos;Total;Población de 16 y más años;1995TIII;31.883,6
Ambos sexos;Total;Población de 16 y más años;1995TII;31.810,9
Ambos sexos;Total;Población de 16 y más años;1995TI;31.738,2
Ambos sexos;Total;Población de 16 y más años;1994TIV;31.665,5
Ambos sexos;Total;Población de 16 y más años;1994TIII;31.592,8
Ambos sexos;Total;Población de 16 y más años;1994TII;31.520,1
Ambos sexos;Total;Población de 16 y más años;1994TI;31.447,4
Ambos sexos;Total;Población de 16 y más años;1993TIV;31.374,6
Ambos sexos;Total;Población de 16 y más años;1993TIII;31.306,1
Ambos sexos;Total;Población de 16 y más años;1993TII;31.238,2
Ambos sexos;Total;Población de 16 y más años;1993TI;31.169,4
Ambos sexos;Total;Población de 16 y más años;1992TIV;31.099,0
Ambos sexos;Total;Población de 16 y más años;1992TIII;31.026,2
Ambos sexos;Total;Población de 16 y más años;1992TII;30.953,4
Ambos sexos;Total;Población de 16 y más años;1992TI;30.880,3
Ambos sexos;Total;Población de 16 y más años;1991TIV;30.805,5
Ambos sexos;Total;Población de 16 y más años;1991TIII;30.727,8
Ambos sexos;Total;Población de 16 y más años;1991TII;30.651,5
Ambos sexos;Total;Población de 16 y más años;1991TI;30.574,2
Ambos sexos;Total;Población de 16 y más años;1990TIV;30.496,4
Ambos sexos;Total;Población de 16 y más años;1990TIII;30.451,7
Ambos sexos;Total;Población de 16 y más años;1990TII;30.407,8
Ambos sexos;Total;Población de 16 y más años;1990TI;30.363,0
Ambos sexos;Total;Población de 16 y más años;1989TIV;30.318,9
Ambos sexos;Total;Población de 16 y más años;1989TIII;30.221,4
Ambos sexos;Total;Población de 16 y más años;1989TII;30.124,2
Ambos sexos;Total;Población de 16 y más años;1989TI;30.027,7
Ambos sexos;Total;Población de 16 y más años;1988TIV;29.932,0
Ambos sexos;Total;Población de 16 y más años;1988TIII;29.835,9
Ambos sexos;Total;Población de 16 y más años;1988TII;29.740,2
