Edad;Sexo;Periodo;Total
Total;Ambos sexos;2025T4;58,94
Total;Ambos sexos;2025T3;59,3
Total;Ambos sexos;2025T2;59,03
Total;Ambos sexos;2025T1;58,57
Total;Ambos sexos;2024T4;58,49
Total;Ambos sexos;2024T3;59,04
Total;Ambos sexos;2024T2;58,9
Total;Ambos sexos;2024T1;58,63
Total;Ambos sexos;2023T4;58,83
Total;Ambos sexos;2023T3;59,29
Total;Ambos sexos;2023T2;58,85
Total;Ambos sexos;2023T1;58,44
Total;Ambos sexos;2022T4;58,4
Total;Ambos sexos;2022T3;58,76
Total;Ambos sexos;2022T2;58,6
Total;Ambos sexos;2022T1;58,36
Total;Ambos sexos;2021T4;58,53
Total;Ambos sexos;2021T3;59,01
Total;Ambos sexos;2021T2;58,42
Total;Ambos sexos;2021T1;57,56
Total;Ambos sexos;2020T4;58,19
Total;Ambos sexos;2020T3;57,83
Total;Ambos sexos;2020T2;55,54
Total;Ambos sexos;2020T1;58,18
Total;Ambos sexos;2019T4;58,74
Total;Ambos sexos;2019T3;58,72
Total;Ambos sexos;2019T2;58,74
Total;Ambos sexos;2019T1;58,35
Total;Ambos sexos;2018T4;58,61
Total;Ambos sexos;2018T3;58,73
Total;Ambos sexos;2018T2;58,8
Total;Ambos sexos;2018T1;58,46
Total;Ambos sexos;2017T4;58,8
Total;Ambos sexos;2017T3;58,92
Total;Ambos sexos;2017T2;58,84
Total;Ambos sexos;2017T1;58,78
Total;Ambos sexos;2016T4;58,95
Total;Ambos sexos;2016T3;59,28
Total;Ambos sexos;2016T2;59,41
Total;Ambos sexos;2016T1;59,29
Total;Ambos sexos;2015T4;59,43
Total;Ambos sexos;2015T3;59,5
Total;Ambos sexos;2015T2;59,79
Total;Ambos sexos;2015T1;59,45
Total;Ambos sexos;2014T4;59,77
Total;Ambos sexos;2014T3;59,53
Total;Ambos sexos;2014T2;59,63
Total;Ambos sexos;2014T1;59,46
Total;Ambos sexos;2013T4;59,86
Total;Ambos sexos;2013T3;60,04
Total;Ambos sexos;2013T2;60
Total;Ambos sexos;2013T1;60,18
Total;Ambos sexos;2012T4;60,23
Total;Ambos sexos;2012T3;60,55
Total;Ambos sexos;2012T2;60,5
Total;Ambos sexos;2012T1;60,31
Total;Ambos sexos;2011T4;60,29
Total;Ambos sexos;2011T3;60,44
Total;Ambos sexos;2011T2;60,44
Total;Ambos sexos;2011T1;60,16
Total;Ambos sexos;2010T4;60,25
Total;Ambos sexos;2010T3;60,37
Total;Ambos sexos;2010T2;60,41
Total;Ambos sexos;2010T1;60,09
Total;Ambos sexos;2009T4;59,99
Total;Ambos sexos;2009T3;60,05
Total;Ambos sexos;2009T2;60,3
Total;Ambos sexos;2009T1;60,39
Total;Ambos sexos;2008T4;60,35
Total;Ambos sexos;2008T3;60,23
Total;Ambos sexos;2008T2;60,07
Total;Ambos sexos;2008T1;59,67
Total;Ambos sexos;2007T4;59,47
Total;Ambos sexos;2007T3;59,5
Total;Ambos sexos;2007T2;59,23
Total;Ambos sexos;2007T1;58,9
Total;Ambos sexos;2006T4;58,88
Total;Ambos sexos;2006T3;58,74
Total;Ambos sexos;2006T2;58,63
Total;Ambos sexos;2006T1;58,3
Total;Ambos sexos;2005T4;58,08
Total;Ambos sexos;2005T3;57,86
Total;Ambos sexos;2005T2;57,86
Total;Ambos sexos;2005T1;57,38
Total;Ambos sexos;2004T4;57,12
Total;Ambos sexos;2004T3;56,93
Total;Ambos sexos;2004T2;56,55
Total;Ambos sexos;2004T1;56,24
Total;Ambos sexos;2003T4;56,25
Total;Ambos sexos;2003T3;56,15
Total;Ambos sexos;2003T2;55,65
Total;Ambos sexos;2003T1;55,28
Total;Ambos sexos;2002T4;54,95
Total;Ambos sexos;2002T3;54,92
Total;Ambos sexos;2002T2;54,48
Total;Ambos sexos;2002T1;54,06
Total;Hombres;2025T4;63,84
Total;Hombres;2025T3;64,13
Total;Hombres;2025T2;63,93
Total;Hombres;2025T1;63,36
Total;Hombres;2024T4;63,67
Total;Hombres;2024T3;64,28
Total;Hombres;2024T2;63,9
Total;Hombres;2024T1;63,73
Total;Hombres;2023T4;63,78
Total;Hombres;2023T3;64,55
Total;Hombres;2023T2;64,07
Total;Hombres;2023T1;63,38
Total;Hombres;2022T4;63,7
Total;Hombres;2022T3;64,4
Total;Hombres;2022T2;63,95
Total;Hombres;2022T1;63,68
Total;Hombres;2021T4;63,79
Total;Hombres;2021T3;64,46
Total;Hombres;2021T2;63,7
Total;Hombres;2021T1;62,88
Total;Hombres;2020T4;63,3
Total;Hombres;2020T3;63,44
Total;Hombres;2020T2;61,35
Total;Hombres;2020T1;63,63
Total;Hombres;2019T4;64,24
Total;Hombres;2019T3;64,46
Total;Hombres;2019T2;64,42
Total;Hombres;2019T1;63,99
Total;Hombres;2018T4;64,45
Total;Hombres;2018T3;64,86
Total;Hombres;2018T2;64,62
Total;Hombres;2018T1;64,29
Total;Hombres;2017T4;64,57
Total;Hombres;2017T3;65,04
Total;Hombres;2017T2;64,7
Total;Hombres;2017T1;64,62
Total;Hombres;2016T4;64,8
Total;Hombres;2016T3;65,26
Total;Hombres;2016T2;65,21
Total;Hombres;2016T1;65,25
Total;Hombres;2015T4;65,37
Total;Hombres;2015T3;65,9
Total;Hombres;2015T2;65,84
Total;Hombres;2015T1;65,66
Total;Hombres;2014T4;65,95
Total;Hombres;2014T3;66,02
Total;Hombres;2014T2;65,86
Total;Hombres;2014T1;65,48
Total;Hombres;2013T4;66,05
Total;Hombres;2013T3;66,61
Total;Hombres;2013T2;66,32
Total;Hombres;2013T1;66,57
Total;Hombres;2012T4;66,72
Total;Hombres;2012T3;67,37
Total;Hombres;2012T2;67,32
Total;Hombres;2012T1;66,99
Total;Hombres;2011T4;67,42
Total;Hombres;2011T3;67,77
Total;Hombres;2011T2;67,55
Total;Hombres;2011T1;67,5
Total;Hombres;2010T4;67,76
Total;Hombres;2010T3;68,35
Total;Hombres;2010T2;68,46
Total;Hombres;2010T1;68,02
Total;Hombres;2009T4;68,16
Total;Hombres;2009T3;68,43
Total;Hombres;2009T2;68,88
Total;Hombres;2009T1;69,11
Total;Hombres;2008T4;69,21
Total;Hombres;2008T3;69,83
Total;Hombres;2008T2;69,71
Total;Hombres;2008T1;69,42
Total;Hombres;2007T4;69,34
Total;Hombres;2007T3;69,74
Total;Hombres;2007T2;69,48
Total;Hombres;2007T1;69,04
Total;Hombres;2006T4;69,08
Total;Hombres;2006T3;69,57
Total;Hombres;2006T2;69,2
Total;Hombres;2006T1;69,03
Total;Hombres;2005T4;69,08
Total;Hombres;2005T3;69,23
Total;Hombres;2005T2;69
Total;Hombres;2005T1;68,67
Total;Hombres;2004T4;68,37
Total;Hombres;2004T3;68,54
Total;Hombres;2004T2;68,05
Total;Hombres;2004T1;67,83
Total;Hombres;2003T4;68,07
Total;Hombres;2003T3;68,23
Total;Hombres;2003T2;67,72
Total;Hombres;2003T1;67,41
Total;Hombres;2002T4;67,26
Total;Hombres;2002T3;67,47
Total;Hombres;2002T2;66,9
Total;Hombres;2002T1;66,69
Total;Mujeres;2025T4;54,29
Total;Mujeres;2025T3;54,71
Total;Mujeres;2025T2;54,39
Total;Mujeres;2025T1;54,04
Total;Mujeres;2024T4;53,58
Total;Mujeres;2024T3;54,08
Total;Mujeres;2024T2;54,16
Total;Mujeres;2024T1;53,8
Total;Mujeres;2023T4;54,15
Total;Mujeres;2023T3;54,31
Total;Mujeres;2023T2;53,92
Total;Mujeres;2023T1;53,76
Total;Mujeres;2022T4;53,39
Total;Mujeres;2022T3;53,42
Total;Mujeres;2022T2;53,54
Total;Mujeres;2022T1;53,33
Total;Mujeres;2021T4;53,56
Total;Mujeres;2021T3;53,85
Total;Mujeres;2021T2;53,42
Total;Mujeres;2021T1;52,53
Total;Mujeres;2020T4;53,35
Total;Mujeres;2020T3;52,53
Total;Mujeres;2020T2;50,05
Total;Mujeres;2020T1;53,03
Total;Mujeres;2019T4;53,53
Total;Mujeres;2019T3;53,28
Total;Mujeres;2019T2;53,37
Total;Mujeres;2019T1;53,02
Total;Mujeres;2018T4;53,08
Total;Mujeres;2018T3;52,93
Total;Mujeres;2018T2;53,29
Total;Mujeres;2018T1;52,94
Total;Mujeres;2017T4;53,33
Total;Mujeres;2017T3;53,13
Total;Mujeres;2017T2;53,28
Total;Mujeres;2017T1;53,24
Total;Mujeres;2016T4;53,41
Total;Mujeres;2016T3;53,61
Total;Mujeres;2016T2;53,91
Total;Mujeres;2016T1;53,64
Total;Mujeres;2015T4;53,79
Total;Mujeres;2015T3;53,42
Total;Mujeres;2015T2;54,03
Total;Mujeres;2015T1;53,55
Total;Mujeres;2014T4;53,9
Total;Mujeres;2014T3;53,35
Total;Mujeres;2014T2;53,71
Total;Mujeres;2014T1;53,75
Total;Mujeres;2013T4;53,96
Total;Mujeres;2013T3;53,78
Total;Mujeres;2013T2;53,96
Total;Mujeres;2013T1;54,07
Total;Mujeres;2012T4;54,03
Total;Mujeres;2012T3;54,02
Total;Mujeres;2012T2;53,97
Total;Mujeres;2012T1;53,91
Total;Mujeres;2011T4;53,44
Total;Mujeres;2011T3;53,4
Total;Mujeres;2011T2;53,6
Total;Mujeres;2011T1;53,1
Total;Mujeres;2010T4;53,01
Total;Mujeres;2010T3;52,68
Total;Mujeres;2010T2;52,65
Total;Mujeres;2010T1;52,45
Total;Mujeres;2009T4;52,12
Total;Mujeres;2009T3;51,96
Total;Mujeres;2009T2;52,01
Total;Mujeres;2009T1;51,95
Total;Mujeres;2008T4;51,78
Total;Mujeres;2008T3;50,95
Total;Mujeres;2008T2;50,75
Total;Mujeres;2008T1;50,25
Total;Mujeres;2007T4;49,94
Total;Mujeres;2007T3;49,61
Total;Mujeres;2007T2;49,34
Total;Mujeres;2007T1;49,13
Total;Mujeres;2006T4;49,06
Total;Mujeres;2006T3;48,32
Total;Mujeres;2006T2;48,46
Total;Mujeres;2006T1;47,97
Total;Mujeres;2005T4;47,49
Total;Mujeres;2005T3;46,93
Total;Mujeres;2005T2;47,15
Total;Mujeres;2005T1;46,55
Total;Mujeres;2004T4;46,34
Total;Mujeres;2004T3;45,83
Total;Mujeres;2004T2;45,56
Total;Mujeres;2004T1;45,17
Total;Mujeres;2003T4;44,98
Total;Mujeres;2003T3;44,62
Total;Mujeres;2003T2;44,15
Total;Mujeres;2003T1;43,73
Total;Mujeres;2002T4;43,24
Total;Mujeres;2002T3;42,99
Total;Mujeres;2002T2;42,67
Total;Mujeres;2002T1;42,08
De 16 a 19 años;Ambos sexos;2025T4;11,81
De 16 a 19 años;Ambos sexos;2025T3;17,5
De 16 a 19 años;Ambos sexos;2025T2;14,83
De 16 a 19 años;Ambos sexos;2025T1;12,08
De 16 a 19 años;Ambos sexos;2024T4;13,95
De 16 a 19 años;Ambos sexos;2024T3;18,19
De 16 a 19 años;Ambos sexos;2024T2;15,68
De 16 a 19 años;Ambos sexos;2024T1;13,65
De 16 a 19 años;Ambos sexos;2023T4;13,28
De 16 a 19 años;Ambos sexos;2023T3;17,72
De 16 a 19 años;Ambos sexos;2023T2;14,31
De 16 a 19 años;Ambos sexos;2023T1;12,62
De 16 a 19 años;Ambos sexos;2022T4;13,14
De 16 a 19 años;Ambos sexos;2022T3;16,4
De 16 a 19 años;Ambos sexos;2022T2;15,33
De 16 a 19 años;Ambos sexos;2022T1;13,16
De 16 a 19 años;Ambos sexos;2021T4;12,42
De 16 a 19 años;Ambos sexos;2021T3;16,95
De 16 a 19 años;Ambos sexos;2021T2;13,69
De 16 a 19 años;Ambos sexos;2021T1;10,45
De 16 a 19 años;Ambos sexos;2020T4;11,29
De 16 a 19 años;Ambos sexos;2020T3;13,96
De 16 a 19 años;Ambos sexos;2020T2;10,36
De 16 a 19 años;Ambos sexos;2020T1;12,91
De 16 a 19 años;Ambos sexos;2019T4;13,78
De 16 a 19 años;Ambos sexos;2019T3;16,4
De 16 a 19 años;Ambos sexos;2019T2;14,91
De 16 a 19 años;Ambos sexos;2019T1;13,5
De 16 a 19 años;Ambos sexos;2018T4;13,91
De 16 a 19 años;Ambos sexos;2018T3;16,59
De 16 a 19 años;Ambos sexos;2018T2;14,9
De 16 a 19 años;Ambos sexos;2018T1;13,11
De 16 a 19 años;Ambos sexos;2017T4;14,42
De 16 a 19 años;Ambos sexos;2017T3;16,72
De 16 a 19 años;Ambos sexos;2017T2;14,2
De 16 a 19 años;Ambos sexos;2017T1;12,97
De 16 a 19 años;Ambos sexos;2016T4;13,34
De 16 a 19 años;Ambos sexos;2016T3;15,3
De 16 a 19 años;Ambos sexos;2016T2;13,36
De 16 a 19 años;Ambos sexos;2016T1;12,91
De 16 a 19 años;Ambos sexos;2015T4;13,58
De 16 a 19 años;Ambos sexos;2015T3;16,94
De 16 a 19 años;Ambos sexos;2015T2;14,88
De 16 a 19 años;Ambos sexos;2015T1;14,14
De 16 a 19 años;Ambos sexos;2014T4;14,6
De 16 a 19 años;Ambos sexos;2014T3;16,09
De 16 a 19 años;Ambos sexos;2014T2;14,23
De 16 a 19 años;Ambos sexos;2014T1;14,14
De 16 a 19 años;Ambos sexos;2013T4;15,55
De 16 a 19 años;Ambos sexos;2013T3;18,79
De 16 a 19 años;Ambos sexos;2013T2;16,27
De 16 a 19 años;Ambos sexos;2013T1;15,8
De 16 a 19 años;Ambos sexos;2012T4;15,11
De 16 a 19 años;Ambos sexos;2012T3;19,28
De 16 a 19 años;Ambos sexos;2012T2;18,36
De 16 a 19 años;Ambos sexos;2012T1;16,99
De 16 a 19 años;Ambos sexos;2011T4;16,92
De 16 a 19 años;Ambos sexos;2011T3;22,1
De 16 a 19 años;Ambos sexos;2011T2;19,71
De 16 a 19 años;Ambos sexos;2011T1;18,44
De 16 a 19 años;Ambos sexos;2010T4;19,06
De 16 a 19 años;Ambos sexos;2010T3;22,59
De 16 a 19 años;Ambos sexos;2010T2;22,88
De 16 a 19 años;Ambos sexos;2010T1;21,45
De 16 a 19 años;Ambos sexos;2009T4;20,89
De 16 a 19 años;Ambos sexos;2009T3;26,62
De 16 a 19 años;Ambos sexos;2009T2;25,61
De 16 a 19 años;Ambos sexos;2009T1;25,65
De 16 a 19 años;Ambos sexos;2008T4;26,71
De 16 a 19 años;Ambos sexos;2008T3;32,3
De 16 a 19 años;Ambos sexos;2008T2;29,37
De 16 a 19 años;Ambos sexos;2008T1;28,1
De 16 a 19 años;Ambos sexos;2007T4;28,27
De 16 a 19 años;Ambos sexos;2007T3;33,27
De 16 a 19 años;Ambos sexos;2007T2;30,45
De 16 a 19 años;Ambos sexos;2007T1;27,53
De 16 a 19 años;Ambos sexos;2006T4;28,47
De 16 a 19 años;Ambos sexos;2006T3;32,4
De 16 a 19 años;Ambos sexos;2006T2;29,31
De 16 a 19 años;Ambos sexos;2006T1;27,01
De 16 a 19 años;Ambos sexos;2005T4;27,82
De 16 a 19 años;Ambos sexos;2005T3;31,76
De 16 a 19 años;Ambos sexos;2005T2;29,46
De 16 a 19 años;Ambos sexos;2005T1;26,99
De 16 a 19 años;Ambos sexos;2004T4;25,4
De 16 a 19 años;Ambos sexos;2004T3;27,93
De 16 a 19 años;Ambos sexos;2004T2;24,67
De 16 a 19 años;Ambos sexos;2004T1;24,2
De 16 a 19 años;Ambos sexos;2003T4;25,19
De 16 a 19 años;Ambos sexos;2003T3;27,28
De 16 a 19 años;Ambos sexos;2003T2;25,57
De 16 a 19 años;Ambos sexos;2003T1;24,32
De 16 a 19 años;Ambos sexos;2002T4;25,33
