Sexo;Ocupación;Situación profesional;Periodo;Total
Ambos sexos;Total;Total;2010T4;18.674,9
Ambos sexos;Total;Total;2010T3;18.819,0
Ambos sexos;Total;Total;2010T2;18.751,1
Ambos sexos;Total;Total;2010T1;18.652,9
Ambos sexos;Total;Total;2009T4;18.890,4
Ambos sexos;Total;Total;2009T3;19.098,4
Ambos sexos;Total;Total;2009T2;19.154,2
Ambos sexos;Total;Total;2009T1;19.284,4
Ambos sexos;Total;Total;2008T4;20.055,3
Ambos sexos;Total;Total;2008T3;20.556,4
Ambos sexos;Total;Total;2008T2;20.646,9
Ambos sexos;Total;Total;2008T1;20.620,0
Ambos sexos;Total;Total;2007T4;20.717,9
Ambos sexos;Total;Total;2007T3;20.753,4
Ambos sexos;Total;Total;2007T2;20.580,9
Ambos sexos;Total;Total;2007T1;20.267,5
Ambos sexos;Total;Total;2006T4;20.195,4
Ambos sexos;Total;Total;2006T3;20.091,0
Ambos sexos;Total;Total;2006T2;19.891,6
Ambos sexos;Total;Total;2006T1;19.578,4
Ambos sexos;Total;Total;2005T4;19.509,2
Ambos sexos;Total;Total;2005T3;19.422,1
Ambos sexos;Total;Total;2005T2;19.160,6
Ambos sexos;Total;Total;2005T1;18.736,1
Ambos sexos;Total;Total;2004T4;18.490,8
Ambos sexos;Total;Total;2004T3;18.289,1
Ambos sexos;Total;Total;2004T2;18.018,9
Ambos sexos;Total;Total;2004T1;17.770,2
Ambos sexos;Total;Total;2003T4;17.740,5
Ambos sexos;Total;Total;2003T3;17.646,0
Ambos sexos;Total;Total;2003T2;17.423,2
Ambos sexos;Total;Total;2003T1;17.092,7
Ambos sexos;Total;Total;2002T4;16.991,9
Ambos sexos;Total;Total;2002T3;16.919,3
Ambos sexos;Total;Total;2002T2;16.766,9
Ambos sexos;Total;Total;2002T1;16.482,3
Ambos sexos;Total;Trabajador por cuenta propia;2010T4;3.110,3
Ambos sexos;Total;Trabajador por cuenta propia;2010T3;3.108,3
Ambos sexos;Total;Trabajador por cuenta propia;2010T2;3.120,9
Ambos sexos;Total;Trabajador por cuenta propia;2010T1;3.152,2
Ambos sexos;Total;Trabajador por cuenta propia;2009T4;3.152,8
Ambos sexos;Total;Trabajador por cuenta propia;2009T3;3.224,2
Ambos sexos;Total;Trabajador por cuenta propia;2009T2;3.218,2
Ambos sexos;Total;Trabajador por cuenta propia;2009T1;3.264,9
Ambos sexos;Total;Trabajador por cuenta propia;2008T4;3.563,8
Ambos sexos;Total;Trabajador por cuenta propia;2008T3;3.622,0
Ambos sexos;Total;Trabajador por cuenta propia;2008T2;3.599,7
Ambos sexos;Total;Trabajador por cuenta propia;2008T1;3.599,6
Ambos sexos;Total;Trabajador por cuenta propia;2007T4;3.616,0
Ambos sexos;Total;Trabajador por cuenta propia;2007T3;3.651,2
Ambos sexos;Total;Trabajador por cuenta propia;2007T2;3.590,3
Ambos sexos;Total;Trabajador por cuenta propia;2007T1;3.553,1
Ambos sexos;Total;Trabajador por cuenta propia;2006T4;3.538,9
Ambos sexos;Total;Trabajador por cuenta propia;2006T3;3.529,1
Ambos sexos;Total;Trabajador por cuenta propia;2006T2;3.575,9
Ambos sexos;Total;Trabajador por cuenta propia;2006T1;3.479,0
Ambos sexos;Total;Trabajador por cuenta propia;2005T4;3.457,2
