Sexo;Situación profesional;Periodo;Total
ambos sexos;total;1995TIV;12.590,0
ambos sexos;total;1995TIII;12.603,8
ambos sexos;total;1995TII;12.494,8
ambos sexos;total;1995TI;12.359,6
ambos sexos;total;1994TIV;12.278,0
ambos sexos;total;1994TIII;12.277,9
ambos sexos;total;1994TII;12.186,1
ambos sexos;total;1994TI;12.088,5
ambos sexos;total;1993TIV;12.203,3
ambos sexos;total;1993TIII;12.321,3
ambos sexos;total;1993TII;12.323,6
ambos sexos;total;1993TI;12.327,0
ambos sexos;total;1992TIV;12.616,8
ambos sexos;total;1992TIII;12.869,8
ambos sexos;total;1992TII;12.893,3
ambos sexos;total;1992TI;12.909,4
ambos sexos;total;1991TIV;13.015,1
ambos sexos;total;1991TIII;13.120,2
ambos sexos;total;1991TII;13.067,6
ambos sexos;total;1991TI;13.025,4
ambos sexos;total;1990TIV;13.041,8
ambos sexos;total;1990TIII;13.033,6
ambos sexos;total;1990TII;12.906,8
ambos sexos;total;1990TI;12.837,5
ambos sexos;total;1989TIV;12.781,7
ambos sexos;total;1989TIII;12.792,7
ambos sexos;total;1989TII;12.571,0
ambos sexos;total;1989TI;12.407,5
ambos sexos;total;1988TIV;12.371,2
ambos sexos;total;1988TIII;12.319,1
ambos sexos;total;1988TII;12.110,3
ambos sexos;total;1988TI;12.013,9
ambos sexos;total;1987TIV;12.011,1
ambos sexos;total;1987TIII;11.911,9
ambos sexos;total;1987TII;11.690,3
ambos sexos;total;1987TI;11.382,9
ambos sexos;total;1986TIV;11.359,2
ambos sexos;total;1986TIII;11.275,9
ambos sexos;total;1986TII;11.151,0
ambos sexos;total;1986TI;11.049,1
ambos sexos;total;1985TIV;11.056,3
ambos sexos;total;1985TIII;11.029,4
ambos sexos;total;1985TII;10.949,1
ambos sexos;total;1985TI;10.981,2
ambos sexos;total;1984TIV;11.040,3
ambos sexos;total;1984TIII;11.143,5
ambos sexos;total;1984TII;11.119,3
ambos sexos;total;1984TI;11.172,2
ambos sexos;total;1983TIV;11.414,0
ambos sexos;total;1983TIII;11.494,1
ambos sexos;total;1983TII;11.415,8
ambos sexos;total;1983TI;11.362,9
ambos sexos;total;1982TIV;11.477,8
ambos sexos;total;1982TIII;11.500,8
ambos sexos;total;1982TII;11.477,4
ambos sexos;total;1982TI;11.469,3
ambos sexos;total;1981TIV;11.521,3
ambos sexos;total;1981TIII;11.597,0
ambos sexos;total;1981TII;11.579,2
ambos sexos;total;1981TI;11.655,8
ambos sexos;total;1980TIV;11.790,5
ambos sexos;total;1980TIII;11.883,1
ambos sexos;total;1980TII;11.892,7
ambos sexos;total;1980TI;12.013,3
ambos sexos;total;1979TIV;12.162,4
ambos sexos;total;1979TIII;12.247,5
ambos sexos;total;1979TII;12.212,7
ambos sexos;total;1979TI;12.287,3
ambos sexos;total;1978TIV;12.325,5
ambos sexos;total;1978TIII;12.394,5
ambos sexos;total;1978TII;12.401,6
ambos sexos;total;1978TI;12.471,1
ambos sexos;total;1977TIV;12.591,6
ambos sexos;total;1977TIII;12.590,1
ambos sexos;total;1977TII;12.580,3
ambos sexos;total;1977TI;12.615,6
ambos sexos;total;1976TIV;12.668,8
ambos sexos;total;1976TIII;12.777,3
ambos sexos;empresario con o sin asalariados;1995TIV;2.562,4
ambos sexos;empresario con o sin asalariados;1995TIII;2.558,1
ambos sexos;empresario con o sin asalariados;1995TII;2.555,7
ambos sexos;empresario con o sin asalariados;1995TI;2.540,7
ambos sexos;empresario con o sin asalariados;1994TIV;2.492,6
ambos sexos;empresario con o sin asalariados;1994TIII;2.538,9
ambos sexos;empresario con o sin asalariados;1994TII;2.536,2
ambos sexos;empresario con o sin asalariados;1994TI;2.495,2
ambos sexos;empresario con o sin asalariados;1993TIV;2.477,0
ambos sexos;empresario con o sin asalariados;1993TIII;2.499,2
ambos sexos;empresario con o sin asalariados;1993TII;2.495,2
ambos sexos;empresario con o sin asalariados;1993TI;2.497,2
ambos sexos;empresario con o sin asalariados;1992TIV;2.529,0
ambos sexos;empresario con o sin asalariados;1992TIII;2.553,7
ambos sexos;empresario con o sin asalariados;1992TII;2.577,7
ambos sexos;empresario con o sin asalariados;1992TI;2.585,7
ambos sexos;empresario con o sin asalariados;1991TIV;2.517,9
ambos sexos;empresario con o sin asalariados;1991TIII;2.523,8
ambos sexos;empresario con o sin asalariados;1991TII;2.510,4
ambos sexos;empresario con o sin asalariados;1991TI;2.499,4
ambos sexos;empresario con o sin asalariados;1990TIV;2.500,7
ambos sexos;empresario con o sin asalariados;1990TIII;2.533,5
ambos sexos;empresario con o sin asalariados;1990TII;2.557,5
ambos sexos;empresario con o sin asalariados;1990TI;2.544,9
ambos sexos;empresario con o sin asalariados;1989TIV;2.556,6
ambos sexos;empresario con o sin asalariados;1989TIII;2.584,4
ambos sexos;empresario con o sin asalariados;1989TII;2.596,8
ambos sexos;empresario con o sin asalariados;1989TI;2.541,1
ambos sexos;empresario con o sin asalariados;1988TIV;2.580,2
ambos sexos;empresario con o sin asalariados;1988TIII;2.583,3
ambos sexos;empresario con o sin asalariados;1988TII;2.592,5
ambos sexos;empresario con o sin asalariados;1988TI;2.579,0
ambos sexos;empresario con o sin asalariados;1987TIV;2.589,4
ambos sexos;empresario con o sin asalariados;1987TIII;2.595,8
ambos sexos;empresario con o sin asalariados;1987TII;2.622,3
ambos sexos;empresario con o sin asalariados;1987TI;2.513,1
ambos sexos;empresario con o sin asalariados;1986TIV;2.472,0
ambos sexos;empresario con o sin asalariados;1986TIII;2.438,7
ambos sexos;empresario con o sin asalariados;1986TII;2.459,0
ambos sexos;empresario con o sin asalariados;1986TI;2.450,7
ambos sexos;empresario con o sin asalariados;1985TIV;2.460,8
ambos sexos;empresario con o sin asalariados;1985TIII;2.480,2
ambos sexos;empresario con o sin asalariados;1985TII;2.508,1
ambos sexos;empresario con o sin asalariados;1985TI;2.508,4
ambos sexos;empresario con o sin asalariados;1984TIV;2.509,8
ambos sexos;empresario con o sin asalariados;1984TIII;2.553,8
ambos sexos;empresario con o sin asalariados;1984TII;2.534,9
ambos sexos;empresario con o sin asalariados;1984TI;2.514,5
ambos sexos;empresario con o sin asalariados;1983TIV;2.510,7
ambos sexos;empresario con o sin asalariados;1983TIII;2.533,0
ambos sexos;empresario con o sin asalariados;1983TII;2.497,0
ambos sexos;empresario con o sin asalariados;1983TI;2.472,7
ambos sexos;empresario con o sin asalariados;1982TIV;2.463,0
ambos sexos;empresario con o sin asalariados;1982TIII;2.447,7
ambos sexos;empresario con o sin asalariados;1982TII;2.458,5
ambos sexos;empresario con o sin asalariados;1982TI;2.434,5
ambos sexos;empresario con o sin asalariados;1981TIV;2.445,7
ambos sexos;empresario con o sin asalariados;1981TIII;2.472,3
ambos sexos;empresario con o sin asalariados;1981TII;2.475,6
ambos sexos;empresario con o sin asalariados;1981TI;2.516,4
ambos sexos;empresario con o sin asalariados;1980TIV;2.521,5
ambos sexos;empresario con o sin asalariados;1980TIII;2.550,3
ambos sexos;empresario con o sin asalariados;1980TII;2.550,8
ambos sexos;empresario con o sin asalariados;1980TI;2.533,6
ambos sexos;empresario con o sin asalariados;1979TIV;2.570,4
ambos sexos;empresario con o sin asalariados;1979TIII;2.589,2
ambos sexos;empresario con o sin asalariados;1979TII;2.575,0
ambos sexos;empresario con o sin asalariados;1979TI;2.550,2
ambos sexos;empresario con o sin asalariados;1978TIV;2.553,5
ambos sexos;empresario con o sin asalariados;1978TIII;2.564,1
ambos sexos;empresario con o sin asalariados;1978TII;2.567,6
ambos sexos;empresario con o sin asalariados;1978TI;2.579,5
ambos sexos;empresario con o sin asalariados;1977TIV;2.586,5
ambos sexos;empresario con o sin asalariados;1977TIII;2.601,4
ambos sexos;empresario con o sin asalariados;1977TII;2.609,2
ambos sexos;empresario con o sin asalariados;1977TI;2.602,1
ambos sexos;empresario con o sin asalariados;1976TIV;2.632,1
ambos sexos;empresario con o sin asalariados;1976TIII;2.660,8
ambos sexos;miembro de cooperativa;1995TIV;113,4
ambos sexos;miembro de cooperativa;1995TIII;112,8
ambos sexos;miembro de cooperativa;1995TII;121,4
ambos sexos;miembro de cooperativa;1995TI;121,1
ambos sexos;miembro de cooperativa;1994TIV;122,8
ambos sexos;miembro de cooperativa;1994TIII;120,1
ambos sexos;miembro de cooperativa;1994TII;114,6
ambos sexos;miembro de cooperativa;1994TI;118,7
ambos sexos;miembro de cooperativa;1993TIV;124,6
ambos sexos;miembro de cooperativa;1993TIII;133,1
ambos sexos;miembro de cooperativa;1993TII;128,9
ambos sexos;miembro de cooperativa;1993TI;118,3
ambos sexos;miembro de cooperativa;1992TIV;105,2
ambos sexos;miembro de cooperativa;1992TIII;106,6
ambos sexos;miembro de cooperativa;1992TII;106,8
ambos sexos;miembro de cooperativa;1992TI;110,3
ambos sexos;miembro de cooperativa;1991TIV;100,3
ambos sexos;miembro de cooperativa;1991TIII;103,7
ambos sexos;miembro de cooperativa;1991TII;110,9
ambos sexos;miembro de cooperativa;1991TI;112,4
ambos sexos;miembro de cooperativa;1990TIV;100,7
ambos sexos;miembro de cooperativa;1990TIII;95,8
ambos sexos;miembro de cooperativa;1990TII;97,7
ambos sexos;miembro de cooperativa;1990TI;96,3
ambos sexos;miembro de cooperativa;1989TIV;93,3
ambos sexos;miembro de cooperativa;1989TIII;90,3
ambos sexos;miembro de cooperativa;1989TII;90,7
ambos sexos;miembro de cooperativa;1989TI;98,5
ambos sexos;miembro de cooperativa;1988TIV;91,0
ambos sexos;miembro de cooperativa;1988TIII;96,9
ambos sexos;miembro de cooperativa;1988TII;100,5
ambos sexos;miembro de cooperativa;1988TI;95,0
ambos sexos;miembro de cooperativa;1987TIV;86,3
ambos sexos;miembro de cooperativa;1987TIII;84,0
ambos sexos;miembro de cooperativa;1987TII;75,2
ambos sexos;miembro de cooperativa;1987TI;0,0
ambos sexos;miembro de cooperativa;1986TIV;0,0
ambos sexos;miembro de cooperativa;1986TIII;0,0
ambos sexos;miembro de cooperativa;1986TII;0,0
