Sexo;Situación profesional;Periodo;Total
ambos sexos;total;2001TIV;16.348,2
ambos sexos;total;2001TIII;16.294,3
ambos sexos;total;2001TII;16.076,3
ambos sexos;total;2001TI;15.866,3
ambos sexos;total;2000TIV;15.782,3
ambos sexos;total;2000TIII;15.681,8
ambos sexos;total;2000TII;15.440,2
ambos sexos;total;2000TI;15.119,3
ambos sexos;total;1999TIV;14.959,8
ambos sexos;total;1999TIII;14.848,8
ambos sexos;total;1999TII;14.626,4
ambos sexos;total;1999TI;14.324,3
ambos sexos;total;1998TIV;14.122,0
ambos sexos;total;1998TIII;14.047,6
ambos sexos;total;1998TII;13.814,2
ambos sexos;total;1998TI;13.632,9
ambos sexos;total;1997TIV;13.534,5
ambos sexos;total;1997TIII;13.445,8
ambos sexos;total;1997TII;13.275,5
ambos sexos;total;1997TI;13.126,5
ambos sexos;total;1996TIV;13.064,5
ambos sexos;total;1996TIII;13.007,8
ambos sexos;total;1996TII;12.787,1
ambos sexos;total;1996TI;12.626,7
ambos sexos;empresario con o sin asalariados;2001TIV;2.795,9
ambos sexos;empresario con o sin asalariados;2001TIII;2.771,1
ambos sexos;empresario con o sin asalariados;2001TII;2.797,7
ambos sexos;empresario con o sin asalariados;2001TI;2.761,5
ambos sexos;empresario con o sin asalariados;2000TIV;2.719,2
ambos sexos;empresario con o sin asalariados;2000TIII;2.708,8
ambos sexos;empresario con o sin asalariados;2000TII;2.682,8
ambos sexos;empresario con o sin asalariados;2000TI;2.672,7
ambos sexos;empresario con o sin asalariados;1999TIV;2.647,8
ambos sexos;empresario con o sin asalariados;1999TIII;2.668,9
ambos sexos;empresario con o sin asalariados;1999TII;2.687,2
ambos sexos;empresario con o sin asalariados;1999TI;2.670,2
ambos sexos;empresario con o sin asalariados;1998TIV;2.680,2
ambos sexos;empresario con o sin asalariados;1998TIII;2.702,1
ambos sexos;empresario con o sin asalariados;1998TII;2.665,2
ambos sexos;empresario con o sin asalariados;1998TI;2.642,1
ambos sexos;empresario con o sin asalariados;1997TIV;2.634,8
ambos sexos;empresario con o sin asalariados;1997TIII;2.637,5
ambos sexos;empresario con o sin asalariados;1997TII;2.639,3
ambos sexos;empresario con o sin asalariados;1997TI;2.635,9
ambos sexos;empresario con o sin asalariados;1996TIV;2.629,3
ambos sexos;empresario con o sin asalariados;1996TIII;2.629,5
ambos sexos;empresario con o sin asalariados;1996TII;2.617,4
ambos sexos;empresario con o sin asalariados;1996TI;2.576,7
ambos sexos;miembro de cooperativa;2001TIV;90,6
ambos sexos;miembro de cooperativa;2001TIII;91,0
ambos sexos;miembro de cooperativa;2001TII;101,2
ambos sexos;miembro de cooperativa;2001TI;89,9
ambos sexos;miembro de cooperativa;2000TIV;87,1
ambos sexos;miembro de cooperativa;2000TIII;85,0
ambos sexos;miembro de cooperativa;2000TII;94,7
ambos sexos;miembro de cooperativa;2000TI;99,1
ambos sexos;miembro de cooperativa;1999TIV;97,5
ambos sexos;miembro de cooperativa;1999TIII;94,7
ambos sexos;miembro de cooperativa;1999TII;96,4
ambos sexos;miembro de cooperativa;1999TI;96,4
ambos sexos;miembro de cooperativa;1998TIV;90,1
ambos sexos;miembro de cooperativa;1998TIII;85,7
ambos sexos;miembro de cooperativa;1998TII;87,5
ambos sexos;miembro de cooperativa;1998TI;85,6
ambos sexos;miembro de cooperativa;1997TIV;89,8
ambos sexos;miembro de cooperativa;1997TIII;98,7
ambos sexos;miembro de cooperativa;1997TII;101,1
ambos sexos;miembro de cooperativa;1997TI;102,3
ambos sexos;miembro de cooperativa;1996TIV;112,5
ambos sexos;miembro de cooperativa;1996TIII;108,2
ambos sexos;miembro de cooperativa;1996TII;104,2
ambos sexos;miembro de cooperativa;1996TI;109,4
ambos sexos;ayuda familiar;2001TIV;295,4
ambos sexos;ayuda familiar;2001TIII;298,0
ambos sexos;ayuda familiar;2001TII;302,6
ambos sexos;ayuda familiar;2001TI;314,9
ambos sexos;ayuda familiar;2000TIV;318,3
ambos sexos;ayuda familiar;2000TIII;321,1
ambos sexos;ayuda familiar;2000TII;322,7
ambos sexos;ayuda familiar;2000TI;335,6
ambos sexos;ayuda familiar;1999TIV;336,6
ambos sexos;ayuda familiar;1999TIII;336,2
ambos sexos;ayuda familiar;1999TII;346,0
ambos sexos;ayuda familiar;1999TI;359,7
ambos sexos;ayuda familiar;1998TIV;373,9
ambos sexos;ayuda familiar;1998TIII;388,7
ambos sexos;ayuda familiar;1998TII;379,0
ambos sexos;ayuda familiar;1998TI;394,4
ambos sexos;ayuda familiar;1997TIV;377,4
ambos sexos;ayuda familiar;1997TIII;387,8
ambos sexos;ayuda familiar;1997TII;393,9
ambos sexos;ayuda familiar;1997TI;400,9
ambos sexos;ayuda familiar;1996TIV;413,6
ambos sexos;ayuda familiar;1996TIII;433,1
ambos sexos;ayuda familiar;1996TII;435,4
ambos sexos;ayuda familiar;1996TI;476,9
ambos sexos;asalariados sector público;2001TIV;2.547,5
ambos sexos;asalariados sector público;2001TIII;2.545,2
ambos sexos;asalariados sector público;2001TII;2.472,2
ambos sexos;asalariados sector público;2001TI;2.457,9
ambos sexos;asalariados sector público;2000TIV;2.487,5
ambos sexos;asalariados sector público;2000TIII;2.476,0
ambos sexos;asalariados sector público;2000TII;2.415,4
ambos sexos;asalariados sector público;2000TI;2.387,0
ambos sexos;asalariados sector público;1999TIV;2.349,1
ambos sexos;asalariados sector público;1999TIII;2.407,8
ambos sexos;asalariados sector público;1999TII;2.343,5
ambos sexos;asalariados sector público;1999TI;2.330,4
ambos sexos;asalariados sector público;1998TIV;2.305,2
ambos sexos;asalariados sector público;1998TIII;2.338,3
ambos sexos;asalariados sector público;1998TII;2.330,1
ambos sexos;asalariados sector público;1998TI;2.339,2
ambos sexos;asalariados sector público;1997TIV;2.371,9
ambos sexos;asalariados sector público;1997TIII;2.394,1
ambos sexos;asalariados sector público;1997TII;2.357,4
ambos sexos;asalariados sector público;1997TI;2.330,6
ambos sexos;asalariados sector público;1996TIV;2.337,2
ambos sexos;asalariados sector público;1996TIII;2.355,9
ambos sexos;asalariados sector público;1996TII;2.334,8
ambos sexos;asalariados sector público;1996TI;2.264,9
ambos sexos;asalariados sector privado;2001TIV;10.600,5
ambos sexos;asalariados sector privado;2001TIII;10.570,1
ambos sexos;asalariados sector privado;2001TII;10.383,6
ambos sexos;asalariados sector privado;2001TI;10.220,7
ambos sexos;asalariados sector privado;2000TIV;10.153,4
ambos sexos;asalariados sector privado;2000TIII;10.073,5
ambos sexos;asalariados sector privado;2000TII;9.907,4
ambos sexos;asalariados sector privado;2000TI;9.612,3
ambos sexos;asalariados sector privado;1999TIV;9.511,1
ambos sexos;asalariados sector privado;1999TIII;9.321,0
ambos sexos;asalariados sector privado;1999TII;9.135,8
ambos sexos;asalariados sector privado;1999TI;8.844,9
ambos sexos;asalariados sector privado;1998TIV;8.653,5
ambos sexos;asalariados sector privado;1998TIII;8.509,9
ambos sexos;asalariados sector privado;1998TII;8.329,3
ambos sexos;asalariados sector privado;1998TI;8.146,3
ambos sexos;asalariados sector privado;1997TIV;8.032,2
ambos sexos;asalariados sector privado;1997TIII;7.904,2
ambos sexos;asalariados sector privado;1997TII;7.756,2
ambos sexos;asalariados sector privado;1997TI;7.626,0
ambos sexos;asalariados sector privado;1996TIV;7.549,0
ambos sexos;asalariados sector privado;1996TIII;7.451,6
ambos sexos;asalariados sector privado;1996TII;7.265,0
ambos sexos;asalariados sector privado;1996TI;7.165,7
ambos sexos;otra situación;2001TIV;18,3
ambos sexos;otra situación;2001TIII;18,9
ambos sexos;otra situación;2001TII;19,1
ambos sexos;otra situación;2001TI;21,5
ambos sexos;otra situación;2000TIV;16,8
ambos sexos;otra situación;2000TIII;17,4
ambos sexos;otra situación;2000TII;17,1
ambos sexos;otra situación;2000TI;12,6
ambos sexos;otra situación;1999TIV;17,8
ambos sexos;otra situación;1999TIII;20,3
ambos sexos;otra situación;1999TII;17,6
ambos sexos;otra situación;1999TI;22,7
ambos sexos;otra situación;1998TIV;19,2
ambos sexos;otra situación;1998TIII;22,9
ambos sexos;otra situación;1998TII;23,2
ambos sexos;otra situación;1998TI;25,2
ambos sexos;otra situación;1997TIV;28,4
ambos sexos;otra situación;1997TIII;23,6
ambos sexos;otra situación;1997TII;27,7
ambos sexos;otra situación;1997TI;30,9
ambos sexos;otra situación;1996TIV;22,8
ambos sexos;otra situación;1996TIII;29,5
ambos sexos;otra situación;1996TII;30,3
ambos sexos;otra situación;1996TI;33,1
varones;total;2001TIV;10.247,4
varones;total;2001TIII;10.254,0
varones;total;2001TII;10.129,9
varones;total;2001TI;9.970,8
varones;total;2000TIV;9.962,9
varones;total;2000TIII;9.952,1
varones;total;2000TII;9.774,5
varones;total;2000TI;9.595,0
varones;total;1999TIV;9.539,6
varones;total;1999TIII;9.560,1
varones;total;1999TII;9.402,7
varones;total;1999TI;9.232,7
varones;total;1998TIV;9.167,0
varones;total;1998TIII;9.147,5
varones;total;1998TII;8.979,6
varones;total;1998TI;8.837,4
varones;total;1997TIV;8.780,5
varones;total;1997TIII;8.743,5
varones;total;1997TII;8.611,9
varones;total;1997TI;8.526,0
varones;total;1996TIV;8.508,0
varones;total;1996TIII;8.506,0
varones;total;1996TII;8.359,5
varones;total;1996TI;8.262,9
varones;empresario con o sin asalariados;2001TIV;2.047,0
varones;empresario con o sin asalariados;2001TIII;2.035,3
varones;empresario con o sin asalariados;2001TII;2.044,6
