Sexo;Grupo de edad (4);Sector económico ( 5);Periodo;Total
ambos sexos;de 16 a 19;Total;1995TIV;8,18
ambos sexos;de 16 a 19;Total;1995TIII;9,08
ambos sexos;de 16 a 19;Total;1995TII;8,71
ambos sexos;de 16 a 19;Total;1995TI;9,02
ambos sexos;de 16 a 19;Total;1994TIV;9,28
ambos sexos;de 16 a 19;Total;1994TIII;9,89
ambos sexos;de 16 a 19;Total;1994TII;9,48
ambos sexos;de 16 a 19;Total;1994TI;9,89
ambos sexos;de 16 a 19;Total;1993TIV;10,17
ambos sexos;de 16 a 19;Total;1993TIII;10,74
ambos sexos;de 16 a 19;Total;1993TII;10,55
ambos sexos;de 16 a 19;Total;1993TI;10,57
ambos sexos;de 16 a 19;Total;1992TIV;10,37
ambos sexos;de 16 a 19;Total;1992TIII;11,23
ambos sexos;de 16 a 19;Total;1992TII;10,36
ambos sexos;de 16 a 19;Total;1992TI;10,68
ambos sexos;de 16 a 19;Total;1991TIV;10,30
ambos sexos;de 16 a 19;Total;1991TIII;11,15
ambos sexos;de 16 a 19;Total;1991TII;10,74
ambos sexos;de 16 a 19;Total;1991TI;11,16
ambos sexos;de 16 a 19;Total;1990TIV;11,72
ambos sexos;de 16 a 19;Total;1990TIII;13,15
ambos sexos;de 16 a 19;Total;1990TII;12,29
ambos sexos;de 16 a 19;Total;1990TI;12,66
ambos sexos;de 16 a 19;Total;1989TIV;12,24
ambos sexos;de 16 a 19;Total;1989TIII;13,61
ambos sexos;de 16 a 19;Total;1989TII;12,78
ambos sexos;de 16 a 19;Total;1989TI;13,50
ambos sexos;de 16 a 19;Total;1988TIV;14,35
ambos sexos;de 16 a 19;Total;1988TIII;15,35
ambos sexos;de 16 a 19;Total;1988TII;15,41
ambos sexos;de 16 a 19;Total;1988TI;15,88
ambos sexos;de 16 a 19;Total;1987TIV;16,69
ambos sexos;de 16 a 19;Total;1987TIII;16,30
ambos sexos;de 16 a 19;Total;1987TII;16,76
ambos sexos;de 16 a 19;Total;1987TI;16,00
ambos sexos;de 16 a 19;Total;1986TIV;16,50
ambos sexos;de 16 a 19;Total;1986TIII;16,12
ambos sexos;de 16 a 19;Total;1986TII;16,02
ambos sexos;de 16 a 19;Total;1986TI;16,81
ambos sexos;de 16 a 19;Total;1985TIV;17,54
ambos sexos;de 16 a 19;Total;1985TIII;17,70
ambos sexos;de 16 a 19;Total;1985TII;17,69
ambos sexos;de 16 a 19;Total;1985TI;19,50
ambos sexos;de 16 a 19;Total;1984TIV;20,23
ambos sexos;de 16 a 19;Total;1984TIII;20,76
ambos sexos;de 16 a 19;Total;1984TII;20,68
ambos sexos;de 16 a 19;Total;1984TI;20,98
ambos sexos;de 16 a 19;Total;1983TIV;22,16
ambos sexos;de 16 a 19;Total;1983TIII;22,87
ambos sexos;de 16 a 19;Total;1983TII;22,63
ambos sexos;de 16 a 19;Total;1983TI;23,29
ambos sexos;de 16 a 19;Total;1982TIV;24,54
ambos sexos;de 16 a 19;Total;1982TIII;24,59
ambos sexos;de 16 a 19;Total;1982TII;24,59
ambos sexos;de 16 a 19;Total;1982TI;24,20
ambos sexos;de 16 a 19;Total;1981TIV;25,74
ambos sexos;de 16 a 19;Total;1981TIII;26,39
ambos sexos;de 16 a 19;Total;1981TII;25,33
ambos sexos;de 16 a 19;Total;1981TI;26,08
ambos sexos;de 16 a 19;Total;1980TIV;27,03
ambos sexos;de 16 a 19;Total;1980TIII;26,95
ambos sexos;de 16 a 19;Total;1980TII;26,40
ambos sexos;de 16 a 19;Total;1980TI;26,04
ambos sexos;de 16 a 19;Total;1979TIV;27,11
ambos sexos;de 16 a 19;Total;1979TIII;28,29
ambos sexos;de 16 a 19;Total;1979TII;27,41
ambos sexos;de 16 a 19;Total;1979TI;27,89
ambos sexos;de 16 a 19;Total;1978TIV;29,21
ambos sexos;de 16 a 19;Total;1978TIII;29,78
