Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;total;ambos sexos;1995TIV;3.710,4
total;total;ambos sexos;1995TIII;3.689,7
total;total;ambos sexos;1995TII;3.668,1
total;total;ambos sexos;1995TI;3.794,1
total;total;ambos sexos;1994TIV;3.856,7
total;total;ambos sexos;1994TIII;3.835,2
total;total;ambos sexos;1994TII;3.895,5
total;total;ambos sexos;1994TI;3.932,9
total;total;ambos sexos;1993TIV;3.817,0
total;total;ambos sexos;1993TIII;3.653,6
total;total;ambos sexos;1993TII;3.510,2
total;total;ambos sexos;1993TI;3.414,3
total;total;ambos sexos;1992TIV;3.161,0
total;total;ambos sexos;1992TIII;2.877,1
total;total;ambos sexos;1992TII;2.775,7
total;total;ambos sexos;1992TI;2.719,8
total;total;ambos sexos;1991TIV;2.653,0
total;total;ambos sexos;1991TIII;2.560,2
total;total;ambos sexos;1991TII;2.466,8
total;total;ambos sexos;1991TI;2.500,7
total;total;ambos sexos;1990TIV;2.499,8
total;total;ambos sexos;1990TIII;2.454,1
total;total;ambos sexos;1990TII;2.503,6
total;total;ambos sexos;1990TI;2.584,4
total;total;ambos sexos;1989TIV;2.596,5
total;total;ambos sexos;1989TIII;2.538,1
total;total;ambos sexos;1989TII;2.623,0
total;total;ambos sexos;1989TI;2.772,2
total;total;ambos sexos;1988TIV;2.773,6
total;total;ambos sexos;1988TIII;2.896,5
total;total;ambos sexos;1988TII;2.954,7
total;total;ambos sexos;1988TI;3.001,1
total;total;ambos sexos;1987TIV;2.955,2
total;total;ambos sexos;1987TIII;2.964,1
total;total;ambos sexos;1987TII;2.959,7
total;total;ambos sexos;1987TI;3.027,9
total;total;ambos sexos;1986TIV;2.954,8
total;total;ambos sexos;1986TIII;2.924,1
total;total;ambos sexos;1986TII;2.968,5
total;total;ambos sexos;1986TI;3.053,1
total;total;ambos sexos;1985TIV;3.024,4
total;total;ambos sexos;1985TIII;2.985,2
total;total;ambos sexos;1985TII;3.003,7
total;total;ambos sexos;1985TI;3.007,0
total;total;ambos sexos;1984TIV;2.948,4
total;total;ambos sexos;1984TIII;2.779,8
total;total;ambos sexos;1984TII;2.722,7
total;total;ambos sexos;1984TI;2.723,2
total;total;ambos sexos;1983TIV;2.501,1
total;total;ambos sexos;1983TIII;2.384,3
total;total;ambos sexos;1983TII;2.318,4
total;total;ambos sexos;1983TI;2.373,6
total;total;ambos sexos;1982TIV;2.285,9
total;total;ambos sexos;1982TIII;2.178,5
total;total;ambos sexos;1982TII;2.077,6
total;total;ambos sexos;1982TI;2.105,3
total;total;ambos sexos;1981TIV;2.031,9
total;total;ambos sexos;1981TIII;1.905,0
total;total;ambos sexos;1981TII;1.829,2
total;total;ambos sexos;1981TI;1.800,2
