Sexo;Grupo de edad (4);Sector económico ( 5);Periodo;Total
ambos sexos;de 16 a 19;Total;2001TIV;7,83
ambos sexos;de 16 a 19;Total;2001TIII;8,31
ambos sexos;de 16 a 19;Total;2001TII;8,33
ambos sexos;de 16 a 19;Total;2001TI;7,71
ambos sexos;de 16 a 19;Total;2000TIV;7,55
ambos sexos;de 16 a 19;Total;2000TIII;8,00
ambos sexos;de 16 a 19;Total;2000TII;7,70
ambos sexos;de 16 a 19;Total;2000TI;7,65
ambos sexos;de 16 a 19;Total;1999TIV;7,97
ambos sexos;de 16 a 19;Total;1999TIII;7,81
ambos sexos;de 16 a 19;Total;1999TII;7,78
ambos sexos;de 16 a 19;Total;1999TI;7,80
ambos sexos;de 16 a 19;Total;1998TIV;7,88
ambos sexos;de 16 a 19;Total;1998TIII;8,09
ambos sexos;de 16 a 19;Total;1998TII;7,79
ambos sexos;de 16 a 19;Total;1998TI;7,80
ambos sexos;de 16 a 19;Total;1997TIV;8,20
ambos sexos;de 16 a 19;Total;1997TIII;8,83
ambos sexos;de 16 a 19;Total;1997TII;8,44
ambos sexos;de 16 a 19;Total;1997TI;8,42
ambos sexos;de 16 a 19;Total;1996TIV;8,76
ambos sexos;de 16 a 19;Total;1996TIII;8,80
ambos sexos;de 16 a 19;Total;1996TII;8,18
ambos sexos;de 16 a 19;Total;1996TI;7,97
ambos sexos;de 16 a 19;agricultura;2001TIV;4,46
ambos sexos;de 16 a 19;agricultura;2001TIII;4,97
ambos sexos;de 16 a 19;agricultura;2001TII;7,08
ambos sexos;de 16 a 19;agricultura;2001TI;7,34
ambos sexos;de 16 a 19;agricultura;2000TIV;6,23
ambos sexos;de 16 a 19;agricultura;2000TIII;6,75
ambos sexos;de 16 a 19;agricultura;2000TII;6,30
ambos sexos;de 16 a 19;agricultura;2000TI;5,91
ambos sexos;de 16 a 19;agricultura;1999TIV;6,95
ambos sexos;de 16 a 19;agricultura;1999TIII;6,78
ambos sexos;de 16 a 19;agricultura;1999TII;6,70
ambos sexos;de 16 a 19;agricultura;1999TI;6,10
ambos sexos;de 16 a 19;agricultura;1998TIV;6,13
ambos sexos;de 16 a 19;agricultura;1998TIII;6,68
ambos sexos;de 16 a 19;agricultura;1998TII;5,86
ambos sexos;de 16 a 19;agricultura;1998TI;4,71
ambos sexos;de 16 a 19;agricultura;1997TIV;5,94
ambos sexos;de 16 a 19;agricultura;1997TIII;6,73
ambos sexos;de 16 a 19;agricultura;1997TII;6,48
ambos sexos;de 16 a 19;agricultura;1997TI;6,51
ambos sexos;de 16 a 19;agricultura;1996TIV;6,70
ambos sexos;de 16 a 19;agricultura;1996TIII;6,83
ambos sexos;de 16 a 19;agricultura;1996TII;5,03
ambos sexos;de 16 a 19;agricultura;1996TI;5,61
ambos sexos;de 16 a 19;industria;2001TIV;6,70
ambos sexos;de 16 a 19;industria;2001TIII;7,49
ambos sexos;de 16 a 19;industria;2001TII;6,28
ambos sexos;de 16 a 19;industria;2001TI;6,74
ambos sexos;de 16 a 19;industria;2000TIV;8,39
ambos sexos;de 16 a 19;industria;2000TIII;9,06
ambos sexos;de 16 a 19;industria;2000TII;6,38
ambos sexos;de 16 a 19;industria;2000TI;7,77
ambos sexos;de 16 a 19;industria;1999TIV;9,42
ambos sexos;de 16 a 19;industria;1999TIII;6,18
ambos sexos;de 16 a 19;industria;1999TII;6,13
ambos sexos;de 16 a 19;industria;1999TI;6,35
ambos sexos;de 16 a 19;industria;1998TIV;5,81
ambos sexos;de 16 a 19;industria;1998TIII;5,80
ambos sexos;de 16 a 19;industria;1998TII;6,76
ambos sexos;de 16 a 19;industria;1998TI;7,34
ambos sexos;de 16 a 19;industria;1997TIV;6,39
ambos sexos;de 16 a 19;industria;1997TIII;6,71
ambos sexos;de 16 a 19;industria;1997TII;6,18
ambos sexos;de 16 a 19;industria;1997TI;6,45
ambos sexos;de 16 a 19;industria;1996TIV;6,72
ambos sexos;de 16 a 19;industria;1996TIII;7,46
ambos sexos;de 16 a 19;industria;1996TII;7,42
ambos sexos;de 16 a 19;industria;1996TI;6,59
ambos sexos;de 16 a 19;construcción;2001TIV;7,86
ambos sexos;de 16 a 19;construcción;2001TIII;5,61
ambos sexos;de 16 a 19;construcción;2001TII;5,85
ambos sexos;de 16 a 19;construcción;2001TI;4,84
ambos sexos;de 16 a 19;construcción;2000TIV;5,31
ambos sexos;de 16 a 19;construcción;2000TIII;5,25
ambos sexos;de 16 a 19;construcción;2000TII;5,72
ambos sexos;de 16 a 19;construcción;2000TI;4,20
ambos sexos;de 16 a 19;construcción;1999TIV;4,09
ambos sexos;de 16 a 19;construcción;1999TIII;5,28
ambos sexos;de 16 a 19;construcción;1999TII;4,68
ambos sexos;de 16 a 19;construcción;1999TI;4,98
ambos sexos;de 16 a 19;construcción;1998TIV;5,38
ambos sexos;de 16 a 19;construcción;1998TIII;3,21
ambos sexos;de 16 a 19;construcción;1998TII;3,86
ambos sexos;de 16 a 19;construcción;1998TI;3,87
ambos sexos;de 16 a 19;construcción;1997TIV;3,63
ambos sexos;de 16 a 19;construcción;1997TIII;3,27
ambos sexos;de 16 a 19;construcción;1997TII;3,49
ambos sexos;de 16 a 19;construcción;1997TI;3,27
ambos sexos;de 16 a 19;construcción;1996TIV;2,67
ambos sexos;de 16 a 19;construcción;1996TIII;2,56
ambos sexos;de 16 a 19;construcción;1996TII;3,18
ambos sexos;de 16 a 19;construcción;1996TI;2,91
ambos sexos;de 16 a 19;servicios;2001TIV;5,29
ambos sexos;de 16 a 19;servicios;2001TIII;5,75
ambos sexos;de 16 a 19;servicios;2001TII;5,91
ambos sexos;de 16 a 19;servicios;2001TI;6,19
