Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;total;ambos sexos;2001TIV;1.943,8
total;total;ambos sexos;2001TIII;1.869,7
total;total;ambos sexos;2001TII;1.855,8
total;total;ambos sexos;2001TI;1.948,3
total;total;ambos sexos;2000TIV;2.445,4
total;total;ambos sexos;2000TIII;2.455,6
total;total;ambos sexos;2000TII;2.459,6
total;total;ambos sexos;2000TI;2.624,8
total;total;ambos sexos;1999TIV;2.679,3
total;total;ambos sexos;1999TIII;2.659,0
total;total;ambos sexos;1999TII;2.661,9
total;total;ambos sexos;1999TI;2.888,7
total;total;ambos sexos;1998TIV;3.097,8
total;total;ambos sexos;1998TIII;3.150,0
total;total;ambos sexos;1998TII;3.177,0
total;total;ambos sexos;1998TI;3.282,4
total;total;ambos sexos;1997TIV;3.406,8
total;total;ambos sexos;1997TIII;3.427,3
total;total;ambos sexos;1997TII;3.469,9
total;total;ambos sexos;1997TI;3.552,3
total;total;ambos sexos;1996TIV;3.598,9
total;total;ambos sexos;1996TIII;3.609,0
total;total;ambos sexos;1996TII;3.641,9
total;total;ambos sexos;1996TI;3.735,3
total;total;varones;2001TIV;845,7
total;total;varones;2001TIII;806,1
total;total;varones;2001TII;803,3
total;total;varones;2001TI;857,2
total;total;varones;2000TIV;1.020,0
total;total;varones;2000TIII;1.003,7
total;total;varones;2000TII;1.019,6
total;total;varones;2000TI;1.106,4
total;total;varones;1999TIV;1.123,2
total;total;varones;1999TIII;1.101,7
total;total;varones;1999TII;1.128,0
total;total;varones;1999TI;1.280,2
total;total;varones;1998TIV;1.353,1
total;total;varones;1998TIII;1.377,6
total;total;varones;1998TII;1.420,6
total;total;varones;1998TI;1.519,5
total;total;varones;1997TIV;1.571,7
total;total;varones;1997TIII;1.577,1
total;total;varones;1997TII;1.653,9
total;total;varones;1997TI;1.716,0
total;total;varones;1996TIV;1.735,7
total;total;varones;1996TIII;1.725,9
total;total;varones;1996TII;1.782,4
total;total;varones;1996TI;1.852,7
total;total;mujeres;2001TIV;1.098,0
total;total;mujeres;2001TIII;1.063,7
total;total;mujeres;2001TII;1.052,5
total;total;mujeres;2001TI;1.091,2
total;total;mujeres;2000TIV;1.425,5
total;total;mujeres;2000TIII;1.451,9
total;total;mujeres;2000TII;1.440,0
total;total;mujeres;2000TI;1.518,4
total;total;mujeres;1999TIV;1.556,1
total;total;mujeres;1999TIII;1.557,3
total;total;mujeres;1999TII;1.533,9
