Sexo;Edad;Sector económico;Periodo;Total
Ambos sexos;Total;Total;2025T4;100
Ambos sexos;Total;Total;2025T3;100
Ambos sexos;Total;Total;2025T2;100
Ambos sexos;Total;Total;2025T1;100
Ambos sexos;Total;Total;2024T4;100
Ambos sexos;Total;Total;2024T3;100
Ambos sexos;Total;Total;2024T2;100
Ambos sexos;Total;Total;2024T1;100
Ambos sexos;Total;Total;2023T4;100
Ambos sexos;Total;Total;2023T3;100
Ambos sexos;Total;Total;2023T2;100
Ambos sexos;Total;Total;2023T1;100
Ambos sexos;Total;Total;2022T4;100
Ambos sexos;Total;Total;2022T3;100
Ambos sexos;Total;Total;2022T2;100
Ambos sexos;Total;Total;2022T1;100
Ambos sexos;Total;Total;2021T4;100
Ambos sexos;Total;Total;2021T3;100
Ambos sexos;Total;Total;2021T2;100
Ambos sexos;Total;Total;2021T1;100
Ambos sexos;Total;Total;2020T4;100
Ambos sexos;Total;Total;2020T3;100
Ambos sexos;Total;Total;2020T2;100
Ambos sexos;Total;Total;2020T1;100
Ambos sexos;Total;Total;2019T4;100
Ambos sexos;Total;Total;2019T3;100
Ambos sexos;Total;Total;2019T2;100
Ambos sexos;Total;Total;2019T1;100
Ambos sexos;Total;Total;2018T4;100
Ambos sexos;Total;Total;2018T3;100
Ambos sexos;Total;Total;2018T2;100
Ambos sexos;Total;Total;2018T1;100
Ambos sexos;Total;Total;2017T4;100
Ambos sexos;Total;Total;2017T3;100
Ambos sexos;Total;Total;2017T2;100
Ambos sexos;Total;Total;2017T1;100
Ambos sexos;Total;Total;2016T4;100
Ambos sexos;Total;Total;2016T3;100
Ambos sexos;Total;Total;2016T2;100
Ambos sexos;Total;Total;2016T1;100
Ambos sexos;Total;Total;2015T4;100
Ambos sexos;Total;Total;2015T3;100
Ambos sexos;Total;Total;2015T2;100
Ambos sexos;Total;Total;2015T1;100
Ambos sexos;Total;Total;2014T4;100
Ambos sexos;Total;Total;2014T3;100
Ambos sexos;Total;Total;2014T2;100
Ambos sexos;Total;Total;2014T1;100
Ambos sexos;Total;Total;2013T4;100
Ambos sexos;Total;Total;2013T3;100
Ambos sexos;Total;Total;2013T2;100
Ambos sexos;Total;Total;2013T1;100
Ambos sexos;Total;Total;2012T4;100
Ambos sexos;Total;Total;2012T3;100
Ambos sexos;Total;Total;2012T2;100
Ambos sexos;Total;Total;2012T1;100
Ambos sexos;Total;Total;2011T4;100
Ambos sexos;Total;Total;2011T3;100
Ambos sexos;Total;Total;2011T2;100
Ambos sexos;Total;Total;2011T1;100
Ambos sexos;Total;Total;2010T4;100
Ambos sexos;Total;Total;2010T3;100
Ambos sexos;Total;Total;2010T2;100
Ambos sexos;Total;Total;2010T1;100
Ambos sexos;Total;Total;2009T4;100
Ambos sexos;Total;Total;2009T3;100
Ambos sexos;Total;Total;2009T2;100
Ambos sexos;Total;Total;2009T1;100
Ambos sexos;Total;Total;2008T4;100
Ambos sexos;Total;Total;2008T3;100
Ambos sexos;Total;Total;2008T2;100
Ambos sexos;Total;Total;2008T1;100
Ambos sexos;Total;Agricultura;2025T4;4,9
Ambos sexos;Total;Agricultura;2025T3;5,1
Ambos sexos;Total;Agricultura;2025T2;4,8
Ambos sexos;Total;Agricultura;2025T1;4,7
Ambos sexos;Total;Agricultura;2024T4;4,9
Ambos sexos;Total;Agricultura;2024T3;5,2
Ambos sexos;Total;Agricultura;2024T2;4,4
