Situación de inactividad;Sexo;Periodo;Total
total;ambos sexos;1995TIV;15.493,8
total;ambos sexos;1995TIII;15.420,7
total;ambos sexos;1995TII;15.495,1
total;ambos sexos;1995TI;15.438,1
total;ambos sexos;1994TIV;15.381,7
total;ambos sexos;1994TIII;15.318,9
total;ambos sexos;1994TII;15.273,2
total;ambos sexos;1994TI;15.272,1
total;ambos sexos;1993TIV;15.199,1
total;ambos sexos;1993TIII;15.179,2
total;ambos sexos;1993TII;15.246,9
total;ambos sexos;1993TI;15.272,3
total;ambos sexos;1992TIV;15.157,7
total;ambos sexos;1992TIII;15.081,7
total;ambos sexos;1992TII;15.100,0
total;ambos sexos;1992TI;15.043,4
total;ambos sexos;1991TIV;14.920,1
total;ambos sexos;1991TIII;14.822,5
total;ambos sexos;1991TII;14.899,5
total;ambos sexos;1991TI;14.829,0
total;ambos sexos;1990TIV;14.738,3
total;ambos sexos;1990TIII;14.742,7
total;ambos sexos;1990TII;14.767,8
total;ambos sexos;1990TI;14.716,4
total;ambos sexos;1989TIV;14.705,7
total;ambos sexos;1989TIII;14.647,5
total;ambos sexos;1989TII;14.675,4
total;ambos sexos;1989TI;14.596,3
total;ambos sexos;1988TIV;14.539,4
total;ambos sexos;1988TIII;14.376,6
total;ambos sexos;1988TII;14.431,5
total;ambos sexos;1988TI;14.287,9
total;ambos sexos;1987TIV;14.238,9
total;ambos sexos;1987TIII;14.231,8
total;ambos sexos;1987TII;14.371,6
total;ambos sexos;1987TI;14.507,8
total;ambos sexos;1986TIV;14.496,1
total;ambos sexos;1986TIII;14.512,4
total;ambos sexos;1986TII;14.498,2
total;ambos sexos;1986TI;14.428,1
total;ambos sexos;1985TIV;14.378,6
total;ambos sexos;1985TIII;14.347,3
total;ambos sexos;1985TII;14.307,0
total;ambos sexos;1985TI;14.155,9
total;ambos sexos;1984TIV;14.051,7
total;ambos sexos;1984TIII;14.011,5
total;ambos sexos;1984TII;13.994,0
total;ambos sexos;1984TI;13.853,2
total;ambos sexos;1983TIV;13.716,7
total;ambos sexos;1983TIII;13.676,2
total;ambos sexos;1983TII;13.720,4
total;ambos sexos;1983TI;13.637,8
total;ambos sexos;1982TIV;13.538,6
total;ambos sexos;1982TIII;13.504,9
total;ambos sexos;1982TII;13.553,6
total;ambos sexos;1982TI;13.465,4
total;ambos sexos;1981TIV;13.362,7
total;ambos sexos;1981TIII;13.332,5
total;ambos sexos;1981TII;13.323,8
total;ambos sexos;1981TI;13.209,5
total;ambos sexos;1980TIV;13.109,1
total;ambos sexos;1980TIII;13.043,7
total;ambos sexos;1980TII;12.986,0
total;ambos sexos;1980TI;12.828,8
total;ambos sexos;1979TIV;12.726,6
total;ambos sexos;1979TIII;12.680,4
total;ambos sexos;1979TII;12.698,0
total;ambos sexos;1979TI;12.544,4
total;ambos sexos;1978TIV;12.478,7
total;ambos sexos;1978TIII;12.415,0
total;ambos sexos;1978TII;12.402,1
total;ambos sexos;1978TI;12.246,1
total;ambos sexos;1977TIV;12.157,0
total;ambos sexos;1977TIII;12.131,8
total;ambos sexos;1977TII;12.147,8
total;ambos sexos;1977TI;12.005,0
total;ambos sexos;1976TIV;11.904,3
total;ambos sexos;1976TIII;11.811,8
total;varones;1995TIV;5.267,5
total;varones;1995TIII;5.212,2
total;varones;1995TII;5.256,5
