Sexo;Grupo de edad (5);Periodo;Total
ambos sexos;total;2001TIV;15.931,5
ambos sexos;total;2001TIII;15.929,9
ambos sexos;total;2001TII;16.029,1
ambos sexos;total;2001TI;16.017,3
ambos sexos;total;2000TIV;15.479,2
ambos sexos;total;2000TIII;15.443,7
ambos sexos;total;2000TII;15.543,9
ambos sexos;total;2000TI;15.569,5
ambos sexos;total;1999TIV;15.568,4
ambos sexos;total;1999TIII;15.610,0
ambos sexos;total;1999TII;15.735,6
ambos sexos;total;1999TI;15.730,2
ambos sexos;total;1998TIV;15.668,4
ambos sexos;total;1998TIII;15.604,3
ambos sexos;total;1998TII;15.718,3
ambos sexos;total;1998TI;15.717,7
ambos sexos;total;1997TIV;15.607,1
ambos sexos;total;1997TIII;15.599,0
ambos sexos;total;1997TII;15.657,6
ambos sexos;total;1997TI;15.652,7
ambos sexos;total;1996TIV;15.566,9
ambos sexos;total;1996TIII;15.502,1
ambos sexos;total;1996TII;15.583,0
ambos sexos;total;1996TI;15.536,4
ambos sexos;de 16 a 19 años;2001TIV;1.497,7
ambos sexos;de 16 a 19 años;2001TIII;1.464,1
ambos sexos;de 16 a 19 años;2001TII;1.534,8
ambos sexos;de 16 a 19 años;2001TI;1.552,6
ambos sexos;de 16 a 19 años;2000TIV;1.533,6
ambos sexos;de 16 a 19 años;2000TIII;1.498,3
ambos sexos;de 16 a 19 años;2000TII;1.562,1
ambos sexos;de 16 a 19 años;2000TI;1.593,8
ambos sexos;de 16 a 19 años;1999TIV;1.585,1
ambos sexos;de 16 a 19 años;1999TIII;1.582,2
ambos sexos;de 16 a 19 años;1999TII;1.650,6
ambos sexos;de 16 a 19 años;1999TI;1.665,3
ambos sexos;de 16 a 19 años;1998TIV;1.681,9
ambos sexos;de 16 a 19 años;1998TIII;1.669,7
ambos sexos;de 16 a 19 años;1998TII;1.723,2
ambos sexos;de 16 a 19 años;1998TI;1.758,3
ambos sexos;de 16 a 19 años;1997TIV;1.748,7
ambos sexos;de 16 a 19 años;1997TIII;1.732,9
ambos sexos;de 16 a 19 años;1997TII;1.780,8
ambos sexos;de 16 a 19 años;1997TI;1.802,5
ambos sexos;de 16 a 19 años;1996TIV;1.791,1
ambos sexos;de 16 a 19 años;1996TIII;1.773,1
ambos sexos;de 16 a 19 años;1996TII;1.831,3
ambos sexos;de 16 a 19 años;1996TI;1.834,0
ambos sexos;de 20 a 24 años;2001TIV;1.221,3
ambos sexos;de 20 a 24 años;2001TIII;1.204,3
ambos sexos;de 20 a 24 años;2001TII;1.272,1
ambos sexos;de 20 a 24 años;2001TI;1.296,6
ambos sexos;de 20 a 24 años;2000TIV;1.190,2
ambos sexos;de 20 a 24 años;2000TIII;1.165,4
ambos sexos;de 20 a 24 años;2000TII;1.247,3
ambos sexos;de 20 a 24 años;2000TI;1.239,6
ambos sexos;de 20 a 24 años;1999TIV;1.223,8
ambos sexos;de 20 a 24 años;1999TIII;1.199,4
ambos sexos;de 20 a 24 años;1999TII;1.276,2
ambos sexos;de 20 a 24 años;1999TI;1.266,0
ambos sexos;de 20 a 24 años;1998TIV;1.272,9
ambos sexos;de 20 a 24 años;1998TIII;1.246,0
ambos sexos;de 20 a 24 años;1998TII;1.310,2
ambos sexos;de 20 a 24 años;1998TI;1.301,8
ambos sexos;de 20 a 24 años;1997TIV;1.273,3
