Situación de inactividad;Sexo;Periodo;Total
total;ambos sexos;2001TIV;15.931,5
total;ambos sexos;2001TIII;15.929,9
total;ambos sexos;2001TII;16.029,1
total;ambos sexos;2001TI;16.017,3
total;ambos sexos;2000TIV;15.479,2
total;ambos sexos;2000TIII;15.443,7
total;ambos sexos;2000TII;15.543,9
total;ambos sexos;2000TI;15.569,5
total;ambos sexos;1999TIV;15.568,4
total;ambos sexos;1999TIII;15.610,0
total;ambos sexos;1999TII;15.735,6
total;ambos sexos;1999TI;15.730,2
total;ambos sexos;1998TIV;15.668,4
total;ambos sexos;1998TIII;15.604,3
total;ambos sexos;1998TII;15.718,3
total;ambos sexos;1998TI;15.717,7
total;ambos sexos;1997TIV;15.607,1
total;ambos sexos;1997TIII;15.599,0
total;ambos sexos;1997TII;15.657,6
total;ambos sexos;1997TI;15.652,7
total;ambos sexos;1996TIV;15.566,9
total;ambos sexos;1996TIII;15.502,1
total;ambos sexos;1996TII;15.583,0
total;ambos sexos;1996TI;15.536,4
total;varones;2001TIV;5.554,3
total;varones;2001TIII;5.515,1
total;varones;2001TII;5.566,7
total;varones;2001TI;5.600,0
total;varones;2000TIV;5.376,9
total;varones;2000TIII;5.334,2
total;varones;2000TII;5.414,7
total;varones;2000TI;5.433,4
total;varones;1999TIV;5.415,1
total;varones;1999TIII;5.368,8
total;varones;1999TII;5.448,3
total;varones;1999TI;5.427,8
total;varones;1998TIV;5.405,8
total;varones;1998TIII;5.352,5
total;varones;1998TII;5.423,0
total;varones;1998TI;5.427,8
total;varones;1997TIV;5.384,4
total;varones;1997TIII;5.374,7
total;varones;1997TII;5.395,4
total;varones;1997TI;5.382,7
total;varones;1996TIV;5.329,8
total;varones;1996TIII;5.280,5
total;varones;1996TII;5.313,7
total;varones;1996TI;5.276,6
total;mujeres;2001TIV;10.377,3
total;mujeres;2001TIII;10.414,8
total;mujeres;2001TII;10.462,4
total;mujeres;2001TI;10.417,3
total;mujeres;2000TIV;10.102,3
total;mujeres;2000TIII;10.109,5
total;mujeres;2000TII;10.129,2
total;mujeres;2000TI;10.136,1
total;mujeres;1999TIV;10.153,3
total;mujeres;1999TIII;10.241,3
total;mujeres;1999TII;10.287,3
total;mujeres;1999TI;10.302,4
total;mujeres;1998TIV;10.262,6
total;mujeres;1998TIII;10.251,8
total;mujeres;1998TII;10.295,3
total;mujeres;1998TI;10.289,9
total;mujeres;1997TIV;10.222,7
total;mujeres;1997TIII;10.224,3
total;mujeres;1997TII;10.262,1
total;mujeres;1997TI;10.270,0
total;mujeres;1996TIV;10.237,0
total;mujeres;1996TIII;10.221,7
total;mujeres;1996TII;10.269,3
total;mujeres;1996TI;10.259,8
estudiante;ambos sexos;2001TIV;2.821,0
estudiante;ambos sexos;2001TIII;2.705,5
