Edad;Sexo;Unidad;Periodo;Total
Total;Ambos sexos;Valor absoluto;2026T1;17.476,8
Total;Ambos sexos;Valor absoluto;2025T4;17.374,9
Total;Ambos sexos;Valor absoluto;2025T3;17.161,2
Total;Ambos sexos;Valor absoluto;2025T2;17.226,7
Total;Ambos sexos;Valor absoluto;2025T1;17.366,8
Total;Ambos sexos;Valor absoluto;2024T4;17.356,7
Total;Ambos sexos;Valor absoluto;2024T3;17.052,4
Total;Ambos sexos;Valor absoluto;2024T2;17.057,0
Total;Ambos sexos;Valor absoluto;2024T1;17.098,6
Total;Ambos sexos;Valor absoluto;2023T4;16.970,5
Total;Ambos sexos;Valor absoluto;2023T3;16.716,1
Total;Ambos sexos;Valor absoluto;2023T2;16.824,8
Total;Ambos sexos;Valor absoluto;2023T1;16.940,6
Total;Ambos sexos;Valor absoluto;2022T4;16.896,9
Total;Ambos sexos;Valor absoluto;2022T3;16.684,8
Total;Ambos sexos;Valor absoluto;2022T2;16.675,2
Total;Ambos sexos;Valor absoluto;2022T1;16.705,6
Total;Ambos sexos;Valor absoluto;2021T4;16.592,9
Total;Ambos sexos;Valor absoluto;2021T3;16.372,1
Total;Ambos sexos;Valor absoluto;2021T2;16.584,8
Total;Ambos sexos;Valor absoluto;2021T1;16.914,7
Total;Ambos sexos;Valor absoluto;2020T4;16.571,4
Total;Ambos sexos;Valor absoluto;2020T3;16.696,0
Total;Ambos sexos;Valor absoluto;2020T2;17.588,7
Total;Ambos sexos;Valor absoluto;2020T1;16.525,9
Total;Ambos sexos;Valor absoluto;2019T4;16.268,4
Total;Ambos sexos;Valor absoluto;2019T3;16.233,3
Total;Ambos sexos;Valor absoluto;2019T2;16.177,6
Total;Ambos sexos;Valor absoluto;2019T1;16.289,4
Total;Ambos sexos;Valor absoluto;2018T4;16.150,6
Total;Ambos sexos;Valor absoluto;2018T3;16.058,4
Total;Ambos sexos;Valor absoluto;2018T2;16.001,2
Total;Ambos sexos;Valor absoluto;2018T1;16.109,5
Total;Ambos sexos;Valor absoluto;2017T4;15.951,6
Total;Ambos sexos;Valor absoluto;2017T3;15.881,8
Total;Ambos sexos;Valor absoluto;2017T2;15.901,5
Total;Ambos sexos;Valor absoluto;2017T1;15.914,7
Total;Ambos sexos;Valor absoluto;2016T4;15.839,0
Total;Ambos sexos;Valor absoluto;2016T3;15.695,3
