Sector económico (5);Periodo;Total
agricultura;2001TIV;6,54
agricultura;2001TIII;6,41
agricultura;2001TII;6,80
agricultura;2001TI;7,03
agricultura;2000TIV;6,77
agricultura;2000TIII;6,82
agricultura;2000TII;7,00
agricultura;2000TI;7,08
agricultura;1999TIV;7,16
agricultura;1999TIII;7,17
agricultura;1999TII;7,26
agricultura;1999TI;7,46
agricultura;1998TIV;7,48
agricultura;1998TIII;7,59
agricultura;1998TII;7,71
agricultura;1998TI;8,10
agricultura;1997TIV;7,88
agricultura;1997TIII;7,84
agricultura;1997TII;7,95
agricultura;1997TI;8,14
agricultura;1996TIV;7,85
agricultura;1996TIII;7,81
agricultura;1996TII;8,01
agricultura;1996TI;8,32
industria;2001TIV;18,44
industria;2001TIII;18,71
industria;2001TII;18,87
industria;2001TI;18,96
industria;2000TIV;18,52
industria;2000TIII;18,36
industria;2000TII;18,34
industria;2000TI;18,22
industria;1999TIV;18,22
industria;1999TIII;18,31
industria;1999TII;18,41
industria;1999TI;18,50
industria;1998TIV;18,46
industria;1998TIII;18,36
industria;1998TII;18,30
industria;1998TI;18,11
industria;1997TIV;18,20
industria;1997TIII;17,97
industria;1997TII;17,72
industria;1997TI;17,65
industria;1996TIV;17,84
industria;1996TIII;17,88
industria;1996TII;17,82
industria;1996TI;17,97
construcción;2001TIV;11,52
construcción;2001TIII;11,41
construcción;2001TII;11,42
construcción;2001TI;11,19
construcción;2000TIV;10,88
construcción;2000TIII;10,78
construcción;2000TII;10,57
construcción;2000TI;10,44
construcción;1999TIV;10,54
construcción;1999TIII;10,25
construcción;1999TII;10,06
construcción;1999TI;9,89
construcción;1998TIV;9,77
construcción;1998TIII;9,57
construcción;1998TII;9,58
construcción;1998TI;9,45
construcción;1997TIV;9,44
construcción;1997TIII;9,59
construcción;1997TII;9,82
construcción;1997TI;9,74
construcción;1996TIV;9,77
construcción;1996TIII;9,62
construcción;1996TII;9,56
construcción;1996TI;9,43
servicios;2001TIV;60,18
servicios;2001TIII;60,14
servicios;2001TII;59,62
servicios;2001TI;59,42
servicios;2000TIV;59,00
servicios;2000TIII;58,83
servicios;2000TII;58,75
servicios;2000TI;58,43
servicios;1999TIV;57,81
servicios;1999TIII;57,82
servicios;1999TII;57,72
servicios;1999TI;57,11
servicios;1998TIV;56,35
servicios;1998TIII;56,10
servicios;1998TII;56,18
servicios;1998TI;55,84
servicios;1997TIV;55,55
servicios;1997TIII;55,43
servicios;1997TII;55,47
servicios;1997TI;55,22
servicios;1996TIV;55,32
servicios;1996TIII;55,12
servicios;1996TII;55,15
servicios;1996TI;54,64
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2001TIV;3,33
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2001TIII;3,34
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2001TII;3,29
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2001TI;3,41
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2000TIV;4,83
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2000TIII;5,21
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2000TII;5,34
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;2000TI;5,83
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1999TIV;6,27
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1999TIII;6,45
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1999TII;6,55
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1999TI;7,03
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1998TIV;7,95
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1998TIII;8,38
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1998TII;8,24
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1998TI;8,50
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1997TIV;8,92
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1997TIII;9,16
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1997TII;9,04
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1997TI;9,26
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1996TIV;9,23
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1996TIII;9,57
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1996TII;9,47
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1996TI;9,65
