Sexo;Sector económico;Periodo;Total
Ambos sexos;Total;2026T1;100
Ambos sexos;Agricultura;2026T1;3,7
Ambos sexos;Industria;2026T1;12,8
Ambos sexos;Construcción;2026T1;6,6
Ambos sexos;Servicios;2026T1;72,1
Ambos sexos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2026T1;4,8
Hombres;Total;2026T1;100
Hombres;Agricultura;2026T1;5,2
Hombres;Industria;2026T1;17,3
Hombres;Construcción;2026T1;11,3
Hombres;Servicios;2026T1;62,2
Hombres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2026T1;4
Mujeres;Total;2026T1;100
Mujeres;Agricultura;2026T1;2,1
Mujeres;Industria;2026T1;7,8
Mujeres;Construcción;2026T1;1,3
Mujeres;Servicios;2026T1;83
Mujeres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2026T1;5,8
