Número de perceptores de ingresos en el hogar;Número de parados en el hogar;Periodo;Total
Total;Total;2025T4;6.253
Total;Total;2025T3;6.235,8
Total;Total;2025T2;6.250,6
Total;Total;2025T1;6.355,1
Total;Total;2024T4;6.274
Total;Total;2024T3;6.207,9
Total;Total;2024T2;6.218,3
Total;Total;2024T1;6.382,6
Total;Total;2023T4;6.252,2
Total;Total;2023T3;6.267,6
Total;Total;2023T2;6.275,5
Total;Total;2023T1;6.423,8
Total;Total;2022T4;6.366,2
Total;Total;2022T3;6.237,5
Total;Total;2022T2;6.270,9
Total;Total;2022T1;6.293,7
Total;Total;2021T4;6.232,4
Total;Total;2021T3;6.306,8
Total;Total;2021T2;6.359,2
Total;Total;2021T1;6.444,2
Total;Total;2020T4;6.487,5
Total;Total;2020T3;6.517,2
Total;Total;2020T2;6.687,3
Total;Total;2020T1;6.318,9
Total;Total;2019T4;6.228,5
Total;Total;2019T3;6.276,2
Total;Total;2019T2;6.252,8
Total;Total;2019T1;6.357,2
Total;Total;2018T4;6.284,3
Total;Total;2018T3;6.306,9
Total;Total;2018T2;6.302,3
Total;Total;2018T1;6.434,2
Total;Total;2017T4;6.381,7
Total;Total;2017T3;6.347,7
Total;Total;2017T2;6.401,1
Total;Total;2017T1;6.536,8
Total;Total;2016T4;6.476
Total;Total;2016T3;6.512,9
Total;Total;2016T2;6.515,6
Total;Total;2016T1;6.602,5
Total;Total;2015T4;6.560,4
Total;Total;2015T3;6.579,8
Total;Total;2015T2;6.623,9
Total;Total;2015T1;6.743,8
Total;Total;2014T4;6.687,6
Total;Total;2014T3;6.780
Total;Total;2014T2;6.790,5
Total;Total;2014T1;6.902,9
Total;Total;2013T4;6.813,6
Total;Total;2013T3;6.776,5
Total;Total;2013T2;6.752,8
Total;Total;2013T1;6.787,8
Total;Total;2012T4;6.675,8
Total;Total;2012T3;6.512,8
Total;Total;2012T2;6.449,8
Total;Total;2012T1;6.435,5
Total;Total;2011T4;6.237,6
Total;Total;2011T3;6.075,8
Total;Total;2011T2;5.957,6
Total;Total;2011T1;5.984,2
Total;Total;2010T4;5.875,2
Total;Total;2010T3;5.812,6
Total;Total;2010T2;5.789,2
Total;Total;2010T1;5.772,9
Total;Total;2009T4;5.662,4
Total;Total;2009T3;5.531
Total;Total;2009T2;5.435,7
Total;Total;2009T1;5.364
Total;Total;2008T4;5.110,3
Total;Total;2008T3;4.912,4
Total;Total;2008T2;4.784,4
Total;Total;2008T1;4.761,3
Total;Total;2007T4;4.693,3
Total;Total;2007T3;4.624,8
Total;Total;2007T2;4.589,6
Total;Total;2007T1;4.611,8
Total;Total;2006T4;4.549,2
Total;Total;2006T3;4.537,9
Total;Total;2006T2;4.508,6
Total;Total;2006T1;4.502,5
Total;Total;2005T4;4.463,3
Total;Total;2005T3;4.393,9
Total;Total;2005T2;4.412,1
Total;Total;2005T1;4.469,6
Total;Total;2004T4;4.490,7
Total;Total;2004T3;4.497,4
Total;Total;2004T2;4.474,3
Total;Total;2004T1;4.480,9
Total;Total;2003T4;4.438,5
Total;Total;2003T3;4.418,7
Total;Total;2003T2;4.382,3
Total;Total;2003T1;4.395,2
Total;Total;2002T4;4.381
Total;Total;2002T3;4.360,3
Total;Total;2002T2;4.310,3
Total;Total;2002T1;4.348,1
Total;0;2025T4;5.480,7
Total;0;2025T3;5.445
Total;0;2025T2;5.453,7
Total;0;2025T1;5.472,1
Total;0;2024T4;5.440,5
Total;0;2024T3;5.353,4
Total;0;2024T2;5.350,1
Total;0;2024T1;5.404,7
Total;0;2023T4;5.324,1
Total;0;2023T3;5.338,3
Total;0;2023T2;5.356,7
Total;0;2023T1;5.357,8
Total;0;2022T4;5.314
Total;0;2022T3;5.261,8
Total;0;2022T2;5.276,7
Total;0;2022T1;5.248,5
Total;0;2021T4;5.220,1
Total;0;2021T3;5.191
Total;0;2021T2;5.218
Total;0;2021T1;5.238,7
Total;0;2020T4;5.290,4
Total;0;2020T3;5.344,5
Total;0;2020T2;5.538,5
Total;0;2020T1;5.245,1
Total;0;2019T4;5.215,3
Total;0;2019T3;5.266,3
Total;0;2019T2;5.260
Total;0;2019T1;5.267,9
Total;0;2018T4;5.230,8
Total;0;2018T3;5.223,2
Total;0;2018T2;5.189,2
Total;0;2018T1;5.192,4
Total;0;2017T4;5.171,2
Total;0;2017T3;5.153,9
Total;0;2017T2;5.123,5
Total;0;2017T1;5.142,1
Total;0;2016T4;5.088,3
Total;0;2016T3;5.074,7
Total;0;2016T2;5.021,9
Total;0;2016T1;4.991,6
Total;0;2015T4;5.003,9
Total;0;2015T3;5.006,8
Total;0;2015T2;4.966,4
Total;0;2015T1;4.950,2
Total;0;2014T4;4.921,3
Total;0;2014T3;4.990,6
Total;0;2014T2;4.956,5
Total;0;2014T1;4.924
Total;0;2013T4;4.887,7
Total;0;2013T3;4.882,9
Total;0;2013T2;4.836,2
Total;0;2013T1;4.774,9
Total;0;2012T4;4.755,7
Total;0;2012T3;4.701,6
Total;0;2012T2;4.643,4
Total;0;2012T1;4.641,6
Total;0;2011T4;4.616,5
Total;0;2011T3;4.609,5
Total;0;2011T2;4.554,9
Total;0;2011T1;4.567,6
Total;0;2010T4;4.522,1
Total;0;2010T3;4.492,3
Total;0;2010T2;4.451,2
Total;0;2010T1;4.460,1
Total;0;2009T4;4.431,6
Total;0;2009T3;4.395,7
Total;0;2009T2;4.314,3
Total;0;2009T1;4.285,8
Total;0;2008T4;4.279
Total;0;2008T3;4.270
Total;0;2008T2;4.223
Total;0;2008T1;4.234,9
Total;0;2007T4;4.239,1
Total;0;2007T3;4.234,5
Total;0;2007T2;4.199,7
Total;0;2007T1;4.188,6
Total;0;2006T4;4.147,8
Total;0;2006T3;4.143,9
Total;0;2006T2;4.091,4
Total;0;2006T1;4.066,9
Total;0;2005T4;4.038,7
Total;0;2005T3;3.995,1
Total;0;2005T2;3.933,3
Total;0;2005T1;3.978,2
Total;0;2004T4;3.979,3
Total;0;2004T3;3.962,8
Total;0;2004T2;3.920,5
Total;0;2004T1;3.925,3
Total;0;2003T4;3.901,3
Total;0;2003T3;3.891,6
Total;0;2003T2;3.869,1
Total;0;2003T1;3.843,2
Total;0;2002T4;3.848,4
Total;0;2002T3;3.843,6
Total;0;2002T2;3.821,5
Total;0;2002T1;3.832,7
Total;1;2025T4;653
Total;1;2025T3;651,5
Total;1;2025T2;644,8
Total;1;2025T1;709,1
Total;1;2024T4;676
Total;1;2024T3;705
Total;1;2024T2;716,2
Total;1;2024T1;779,6
Total;1;2023T4;753,4
Total;1;2023T3;741,8
Total;1;2023T2;750,3
Total;1;2023T1;844,2
Total;1;2022T4;843,7
Total;1;2022T3;775,3
Total;1;2022T2;803,8
Total;1;2022T1;818,1
Total;1;2021T4;800
Total;1;2021T3;849,9
Total;1;2021T2;878,4
Total;1;2021T1;927,3
Total;1;2020T4;901,4
Total;1;2020T3;886,7
Total;1;2020T2;891,4
Total;1;2020T1;833,8
Total;1;2019T4;783,4
Total;1;2019T3;775,4
Total;1;2019T2;768,1
Total;1;2019T1;840,1
Total;1;2018T4;819,3
Total;1;2018T3;831,3
Total;1;2018T2;847,6
Total;1;2018T1;931,5
Total;1;2017T4;895,6
Total;1;2017T3;905,4
Total;1;2017T2;956,8
Total;1;2017T1;1.022,5
Total;1;2016T4;1.021,5
Total;1;2016T3;1.053,6
Total;1;2016T2;1.063,2
Total;1;2016T1;1.139
Total;1;2015T4;1.083
Total;1;2015T3;1.107,1
Total;1;2015T2;1.113,3
Total;1;2015T1;1.198,1
Total;1;2014T4;1.190,5
Total;1;2014T3;1.207,6
Total;1;2014T2;1.247,3
Total;1;2014T1;1.336,1
Total;1;2013T4;1.290,3
Total;1;2013T3;1.245,6
Total;1;2013T2;1.242,7
Total;1;2013T1;1.305,4
Total;1;2012T4;1.239,9
Total;1;2012T3;1.189,4
Total;1;2012T2;1.187,3
Total;1;2012T1;1.173,8
Total;1;2011T4;1.080,6
