Sexo;Edad;Nacionalidad;Periodo;Total
Ambos sexos;Total;Total;2025T4;49.111,2
Ambos sexos;Total;Total;2025T3;48.965,9
Ambos sexos;Total;Total;2025T2;48.842,9
Ambos sexos;Total;Total;2025T1;48.745,2
Ambos sexos;Total;Total;2024T4;48.649,3
Ambos sexos;Total;Total;2024T3;48.490,1
Ambos sexos;Total;Total;2024T2;48.369,9
Ambos sexos;Total;Total;2024T1;48.278,4
Ambos sexos;Total;Total;2023T4;48.186
Ambos sexos;Total;Total;2023T3;48.079,1
Ambos sexos;Total;Total;2023T2;47.945,6
Ambos sexos;Total;Total;2023T1;47.805,2
Ambos sexos;Total;Total;2022T4;47.662,2
Ambos sexos;Total;Total;2022T3;47.513,2
Ambos sexos;Total;Total;2022T2;47.350,7
Ambos sexos;Total;Total;2022T1;47.206,2
Ambos sexos;Total;Total;2021T4;47.116,3
Ambos sexos;Total;Total;2021T3;47.048,7
Ambos sexos;Total;Total;2021T2;47.016,4
Ambos sexos;Total;Total;2021T1;47.044,3
Ambos sexos;Total;Total;2020T4;46.910,1
Ambos sexos;Total;Total;2020T3;46.903,7
Ambos sexos;Total;Total;2020T2;46.895,8
Ambos sexos;Total;Total;2020T1;46.874,4
Ambos sexos;Total;Total;2019T4;46.793,6
Ambos sexos;Total;Total;2019T3;46.702,4
Ambos sexos;Total;Total;2019T2;46.599
Ambos sexos;Total;Total;2019T1;46.522,8
Ambos sexos;Total;Total;2018T4;46.435,4
Ambos sexos;Total;Total;2018T3;46.326,2
Ambos sexos;Total;Total;2018T2;46.241
Ambos sexos;Total;Total;2018T1;46.182,8
Ambos sexos;Total;Total;2017T4;46.134,6
Ambos sexos;Total;Total;2017T3;46.090,4
Ambos sexos;Total;Total;2017T2;46.055,6
Ambos sexos;Total;Total;2017T1;46.038,4
Ambos sexos;Total;Total;2016T4;46.019,6
Ambos sexos;Total;Total;2016T3;45.982,8
Ambos sexos;Total;Total;2016T2;45.955,5
Ambos sexos;Total;Total;2016T1;45.953,2
Ambos sexos;Total;Total;2015T4;45.957,8
Ambos sexos;Total;Total;2015T3;45.953,7
Ambos sexos;Total;Total;2015T2;45.970,2
Ambos sexos;Total;Total;2015T1;45.986,4
Ambos sexos;Total;Total;2014T4;46.000,5
Ambos sexos;Total;Total;2014T3;45.998,6
Ambos sexos;Total;Total;2014T2;46.004
Ambos sexos;Total;Total;2014T1;45.976,7
Ambos sexos;Total;Total;2013T4;46.044,4
