Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;Total;2025T4;42.315,3
Ambos sexos;Total;Total;2025T3;42.161,5
Ambos sexos;Total;Total;2025T2;42.048,5
Ambos sexos;Total;Total;2025T1;41.921,3
Ambos sexos;Total;Total;2024T4;41.810,1
Ambos sexos;Total;Total;2024T3;41.629,6
Ambos sexos;Total;Total;2024T2;41.497,0
Ambos sexos;Total;Total;2024T1;41.326,5
Ambos sexos;Total;Total;2023T4;41.221,1
Ambos sexos;Total;Total;2023T3;41.057,1
Ambos sexos;Total;Total;2023T2;40.891,5
Ambos sexos;Total;Total;2023T1;40.761,2
Ambos sexos;Total;Total;2022T4;40.619,1
Ambos sexos;Total;Total;2022T3;40.456,0
Ambos sexos;Total;Total;2022T2;40.277,1
Ambos sexos;Total;Total;2022T1;40.116,9
Ambos sexos;Total;Total;2021T4;40.016,5
Ambos sexos;Total;Total;2021T3;39.942,7
Ambos sexos;Total;Total;2021T2;39.887,3
Ambos sexos;Total;Total;2021T1;39.857,6
Ambos sexos;Total;Total;2020T4;39.635,5
Ambos sexos;Total;Total;2020T3;39.595,8
Ambos sexos;Total;Total;2020T2;39.563,9
Ambos sexos;Total;Total;2020T1;39.520,1
Ambos sexos;Total;Total;2019T4;39.427,2
Ambos sexos;Total;Total;2019T3;39.322,0
Ambos sexos;Total;Total;2019T2;39.213,1
Ambos sexos;Total;Total;2019T1;39.114,7
Ambos sexos;Total;Total;2018T4;39.019,5
Ambos sexos;Total;Total;2018T3;38.912,4
Ambos sexos;Total;Total;2018T2;38.835,4
Ambos sexos;Total;Total;2018T1;38.779,8
Ambos sexos;Total;Total;2017T4;38.716,6
Ambos sexos;Total;Total;2017T3;38.662,7
Ambos sexos;Total;Total;2017T2;38.629,1
Ambos sexos;Total;Total;2017T1;38.608,0
Ambos sexos;Total;Total;2016T4;38.584,9
Ambos sexos;Total;Total;2016T3;38.543,6
Ambos sexos;Total;Total;2016T2;38.505,7
Ambos sexos;Total;Total;2016T1;38.491,9
Ambos sexos;Total;Total;2015T4;38.489,6
Ambos sexos;Total;Total;2015T3;38.486,8
Ambos sexos;Total;Total;2015T2;38.496,6
Ambos sexos;Total;Total;2015T1;38.517,2
Ambos sexos;Total;Total;2014T4;38.523,4
Ambos sexos;Total;Total;2014T3;38.523,2
Ambos sexos;Total;Total;2014T2;38.528,1
Ambos sexos;Total;Total;2014T1;38.483,6
Ambos sexos;Total;De 16 a 19 años;2025T4;2.132,9
Ambos sexos;Total;De 16 a 19 años;2025T3;2.129,5
Ambos sexos;Total;De 16 a 19 años;2025T2;2.157,3
Ambos sexos;Total;De 16 a 19 años;2025T1;2.148,0
Ambos sexos;Total;De 16 a 19 años;2024T4;2.150,0
Ambos sexos;Total;De 16 a 19 años;2024T3;2.133,2
Ambos sexos;Total;De 16 a 19 años;2024T2;2.125,0
Ambos sexos;Total;De 16 a 19 años;2024T1;2.074,7
Ambos sexos;Total;De 16 a 19 años;2023T4;2.074,8
Ambos sexos;Total;De 16 a 19 años;2023T3;2.027,1
Ambos sexos;Total;De 16 a 19 años;2023T2;2.003,7
Ambos sexos;Total;De 16 a 19 años;2023T1;2.022,2
Ambos sexos;Total;De 16 a 19 años;2022T4;2.021,8
Ambos sexos;Total;De 16 a 19 años;2022T3;1.998,3
Ambos sexos;Total;De 16 a 19 años;2022T2;1.968,9
Ambos sexos;Total;De 16 a 19 años;2022T1;1.946,8
Ambos sexos;Total;De 16 a 19 años;2021T4;1.936,2
Ambos sexos;Total;De 16 a 19 años;2021T3;1.929,2
Ambos sexos;Total;De 16 a 19 años;2021T2;1.919,6
Ambos sexos;Total;De 16 a 19 años;2021T1;1.895,5
Ambos sexos;Total;De 16 a 19 años;2020T4;1.930,8
Ambos sexos;Total;De 16 a 19 años;2020T3;1.923,5
Ambos sexos;Total;De 16 a 19 años;2020T2;1.917,6
Ambos sexos;Total;De 16 a 19 años;2020T1;1.908,4
Ambos sexos;Total;De 16 a 19 años;2019T4;1.895,7
Ambos sexos;Total;De 16 a 19 años;2019T3;1.882,2
Ambos sexos;Total;De 16 a 19 años;2019T2;1.869,0
Ambos sexos;Total;De 16 a 19 años;2019T1;1.855,2
Ambos sexos;Total;De 16 a 19 años;2018T4;1.841,3
Ambos sexos;Total;De 16 a 19 años;2018T3;1.827,5
Ambos sexos;Total;De 16 a 19 años;2018T2;1.814,8
Ambos sexos;Total;De 16 a 19 años;2018T1;1.804,2
Ambos sexos;Total;De 16 a 19 años;2017T4;1.793,1
Ambos sexos;Total;De 16 a 19 años;2017T3;1.783,6
Ambos sexos;Total;De 16 a 19 años;2017T2;1.775,1
Ambos sexos;Total;De 16 a 19 años;2017T1;1.765,8
Ambos sexos;Total;De 16 a 19 años;2016T4;1.756,7
Ambos sexos;Total;De 16 a 19 años;2016T3;1.748,1
Ambos sexos;Total;De 16 a 19 años;2016T2;1.741,5
Ambos sexos;Total;De 16 a 19 años;2016T1;1.734,7
Ambos sexos;Total;De 16 a 19 años;2015T4;1.727,7
Ambos sexos;Total;De 16 a 19 años;2015T3;1.721,4
Ambos sexos;Total;De 16 a 19 años;2015T2;1.718,2
Ambos sexos;Total;De 16 a 19 años;2015T1;1.714,0
Ambos sexos;Total;De 16 a 19 años;2014T4;1.711,8
Ambos sexos;Total;De 16 a 19 años;2014T3;1.710,5
Ambos sexos;Total;De 16 a 19 años;2014T2;1.708,7
Ambos sexos;Total;De 16 a 19 años;2014T1;1.708,2
Ambos sexos;Total;De 20 a 24 años;2025T4;2.733,7
Ambos sexos;Total;De 20 a 24 años;2025T3;2.710,4
Ambos sexos;Total;De 20 a 24 años;2025T2;2.695,1
Ambos sexos;Total;De 20 a 24 años;2025T1;2.678,0
Ambos sexos;Total;De 20 a 24 años;2024T4;2.658,4
Ambos sexos;Total;De 20 a 24 años;2024T3;2.631,9
Ambos sexos;Total;De 20 a 24 años;2024T2;2.614,4
Ambos sexos;Total;De 20 a 24 años;2024T1;2.594,6
Ambos sexos;Total;De 20 a 24 años;2023T4;2.572,9
Ambos sexos;Total;De 20 a 24 años;2023T3;2.550,3
Ambos sexos;Total;De 20 a 24 años;2023T2;2.527,6
Ambos sexos;Total;De 20 a 24 años;2023T1;2.502,0
Ambos sexos;Total;De 20 a 24 años;2022T4;2.474,7
Ambos sexos;Total;De 20 a 24 años;2022T3;2.450,1
Ambos sexos;Total;De 20 a 24 años;2022T2;2.428,9
Ambos sexos;Total;De 20 a 24 años;2022T1;2.407,2
Ambos sexos;Total;De 20 a 24 años;2021T4;2.387,3
Ambos sexos;Total;De 20 a 24 años;2021T3;2.373,0
Ambos sexos;Total;De 20 a 24 años;2021T2;2.366,5
Ambos sexos;Total;De 20 a 24 años;2021T1;2.364,7
Ambos sexos;Total;De 20 a 24 años;2020T4;2.371,9
Ambos sexos;Total;De 20 a 24 años;2020T3;2.364,5
Ambos sexos;Total;De 20 a 24 años;2020T2;2.356,0
Ambos sexos;Total;De 20 a 24 años;2020T1;2.343,3
Ambos sexos;Total;De 20 a 24 años;2019T4;2.324,5
Ambos sexos;Total;De 20 a 24 años;2019T3;2.308,1
Ambos sexos;Total;De 20 a 24 años;2019T2;2.294,1
Ambos sexos;Total;De 20 a 24 años;2019T1;2.279,7
Ambos sexos;Total;De 20 a 24 años;2018T4;2.266,8
Ambos sexos;Total;De 20 a 24 años;2018T3;2.258,9
Ambos sexos;Total;De 20 a 24 años;2018T2;2.253,6
Ambos sexos;Total;De 20 a 24 años;2018T1;2.244,7
Ambos sexos;Total;De 20 a 24 años;2017T4;2.239,3
Ambos sexos;Total;De 20 a 24 años;2017T3;2.237,0
Ambos sexos;Total;De 20 a 24 años;2017T2;2.237,4
Ambos sexos;Total;De 20 a 24 años;2017T1;2.239,6
Ambos sexos;Total;De 20 a 24 años;2016T4;2.242,2
Ambos sexos;Total;De 20 a 24 años;2016T3;2.247,3
Ambos sexos;Total;De 20 a 24 años;2016T2;2.254,0
Ambos sexos;Total;De 20 a 24 años;2016T1;2.261,2
Ambos sexos;Total;De 20 a 24 años;2015T4;2.270,3
Ambos sexos;Total;De 20 a 24 años;2015T3;2.282,9
Ambos sexos;Total;De 20 a 24 años;2015T2;2.292,9
Ambos sexos;Total;De 20 a 24 años;2015T1;2.303,3
Ambos sexos;Total;De 20 a 24 años;2014T4;2.313,7
Ambos sexos;Total;De 20 a 24 años;2014T3;2.323,0
Ambos sexos;Total;De 20 a 24 años;2014T2;2.337,4
Ambos sexos;Total;De 20 a 24 años;2014T1;2.345,8
Ambos sexos;Total;De 25 a 29 años;2025T4;2.751,3
Ambos sexos;Total;De 25 a 29 años;2025T3;2.724,4
Ambos sexos;Total;De 25 a 29 años;2025T2;2.701,9
Ambos sexos;Total;De 25 a 29 años;2025T1;2.681,1
Ambos sexos;Total;De 25 a 29 años;2024T4;2.664,1
Ambos sexos;Total;De 25 a 29 años;2024T3;2.643,5
Ambos sexos;Total;De 25 a 29 años;2024T2;2.631,6
Ambos sexos;Total;De 25 a 29 años;2024T1;2.614,2
Ambos sexos;Total;De 25 a 29 años;2023T4;2.602,3
Ambos sexos;Total;De 25 a 29 años;2023T3;2.594,1
Ambos sexos;Total;De 25 a 29 años;2023T2;2.581,1
Ambos sexos;Total;De 25 a 29 años;2023T1;2.564,8
Ambos sexos;Total;De 25 a 29 años;2022T4;2.549,3
Ambos sexos;Total;De 25 a 29 años;2022T3;2.532,5
Ambos sexos;Total;De 25 a 29 años;2022T2;2.520,6
Ambos sexos;Total;De 25 a 29 años;2022T1;2.508,8
Ambos sexos;Total;De 25 a 29 años;2021T4;2.502,1
Ambos sexos;Total;De 25 a 29 años;2021T3;2.502,1
Ambos sexos;Total;De 25 a 29 años;2021T2;2.508,4
Ambos sexos;Total;De 25 a 29 años;2021T1;2.520,0
Ambos sexos;Total;De 25 a 29 años;2020T4;2.514,4
Ambos sexos;Total;De 25 a 29 años;2020T3;2.519,5
Ambos sexos;Total;De 25 a 29 años;2020T2;2.525,1
Ambos sexos;Total;De 25 a 29 años;2020T1;2.527,3
Ambos sexos;Total;De 25 a 29 años;2019T4;2.521,8
Ambos sexos;Total;De 25 a 29 años;2019T3;2.516,9
Ambos sexos;Total;De 25 a 29 años;2019T2;2.512,4
Ambos sexos;Total;De 25 a 29 años;2019T1;2.509,0
Ambos sexos;Total;De 25 a 29 años;2018T4;2.503,3
Ambos sexos;Total;De 25 a 29 años;2018T3;2.497,9
Ambos sexos;Total;De 25 a 29 años;2018T2;2.495,0
Ambos sexos;Total;De 25 a 29 años;2018T1;2.491,6
Ambos sexos;Total;De 25 a 29 años;2017T4;2.486,8
Ambos sexos;Total;De 25 a 29 años;2017T3;2.485,6
