Sexo;Edad;Estudios reglados;Periodo;Total
Ambos sexos;Total;Total;2025T4;42.315,3
Ambos sexos;Total;Total;2025T3;42.161,5
Ambos sexos;Total;Total;2025T2;42.048,5
Ambos sexos;Total;Total;2025T1;41.921,3
Ambos sexos;Total;Total;2024T4;41.810,1
Ambos sexos;Total;Total;2024T3;41.629,6
Ambos sexos;Total;Total;2024T2;41.497,0
Ambos sexos;Total;Total;2024T1;41.326,5
Ambos sexos;Total;Total;2023T4;41.221,1
Ambos sexos;Total;Total;2023T3;41.057,1
Ambos sexos;Total;Total;2023T2;40.891,5
Ambos sexos;Total;Total;2023T1;40.761,2
Ambos sexos;Total;Total;2022T4;40.619,1
Ambos sexos;Total;Total;2022T3;40.456,0
Ambos sexos;Total;Total;2022T2;40.277,1
Ambos sexos;Total;Total;2022T1;40.116,9
Ambos sexos;Total;Total;2021T4;40.016,5
Ambos sexos;Total;Total;2021T3;39.942,7
Ambos sexos;Total;Total;2021T2;39.887,3
Ambos sexos;Total;Total;2021T1;39.857,6
Ambos sexos;Total;Total;2020T4;39.635,5
Ambos sexos;Total;Total;2020T3;39.595,8
Ambos sexos;Total;Total;2020T2;39.563,9
Ambos sexos;Total;Total;2020T1;39.520,1
Ambos sexos;Total;Total;2019T4;39.427,2
Ambos sexos;Total;Total;2019T3;39.322,0
Ambos sexos;Total;Total;2019T2;39.213,1
Ambos sexos;Total;Total;2019T1;39.114,7
Ambos sexos;Total;Total;2018T4;39.019,5
Ambos sexos;Total;Total;2018T3;38.912,4
Ambos sexos;Total;Total;2018T2;38.835,4
Ambos sexos;Total;Total;2018T1;38.779,8
Ambos sexos;Total;Total;2017T4;38.716,6
Ambos sexos;Total;Total;2017T3;38.662,7
Ambos sexos;Total;Total;2017T2;38.629,1
Ambos sexos;Total;Total;2017T1;38.608,0
Ambos sexos;Total;Total;2016T4;38.584,9
Ambos sexos;Total;Total;2016T3;38.543,6
Ambos sexos;Total;Total;2016T2;38.505,7
Ambos sexos;Total;Total;2016T1;38.491,9
Ambos sexos;Total;Total;2015T4;38.489,6
Ambos sexos;Total;Total;2015T3;38.486,8
Ambos sexos;Total;Total;2015T2;38.496,6
Ambos sexos;Total;Total;2015T1;38.517,2
Ambos sexos;Total;Total;2014T4;38.523,4
Ambos sexos;Total;Total;2014T3;38.523,2
Ambos sexos;Total;Total;2014T2;38.528,1
Ambos sexos;Total;Total;2014T1;38.483,6
Ambos sexos;Total;Total;2013T4;38.543,2
Ambos sexos;Total;Total;2013T3;38.597,3
Ambos sexos;Total;Total;2013T2;38.680,7
Ambos sexos;Total;Total;2013T1;38.733,2
Ambos sexos;Total;Total;2012T4;38.783,1
Ambos sexos;Total;Total;2012T3;38.799,1
Ambos sexos;Total;Total;2012T2;38.823,6
Ambos sexos;Total;Total;2012T1;38.854,2
Ambos sexos;Total;Total;2011T4;38.881,9
Ambos sexos;Total;Total;2011T3;38.851,6
Ambos sexos;Total;Total;2011T2;38.827,1
Ambos sexos;Total;Total;2011T1;38.808,7
Ambos sexos;Total;Total;2010T4;38.801,8
Ambos sexos;Total;Total;2010T3;38.768,7
Ambos sexos;Total;Total;2010T2;38.745,0
Ambos sexos;Total;Total;2010T1;38.725,0
Ambos sexos;Total;Total;2009T4;38.713,0
Ambos sexos;Total;Total;2009T3;38.670,1
Ambos sexos;Total;Total;2009T2;38.631,4
Ambos sexos;Total;Total;2009T1;38.589,3
Ambos sexos;Total;Total;2008T4;38.546,6
Ambos sexos;Total;Total;2008T3;38.447,8
Ambos sexos;Total;Total;2008T2;38.341,7
Ambos sexos;Total;Total;2008T1;38.224,5
Ambos sexos;Total;Total;2007T4;38.101,1
Ambos sexos;Total;Total;2007T3;37.916,4
Ambos sexos;Total;Total;2007T2;37.743,9
Ambos sexos;Total;Total;2007T1;37.570,9
Ambos sexos;Total;Total;2006T4;37.388,6
Ambos sexos;Total;Total;2006T3;37.209,5
Ambos sexos;Total;Total;2006T2;37.055,7
Ambos sexos;Total;Total;2006T1;36.917,5
Ambos sexos;Total;Total;2005T4;36.796,4
Ambos sexos;Total;Total;2005T3;36.650,6
Ambos sexos;Total;Total;2005T2;36.519,2
Ambos sexos;Total;Total;2005T1;36.351,4
Ambos sexos;Total;No cursa estudios;2025T4;33.882,2
Ambos sexos;Total;No cursa estudios;2025T3;35.084,6
Ambos sexos;Total;No cursa estudios;2025T2;33.391,6
Ambos sexos;Total;No cursa estudios;2025T1;33.362,1
Ambos sexos;Total;No cursa estudios;2024T4;33.255,9
Ambos sexos;Total;No cursa estudios;2024T3;34.717,3
Ambos sexos;Total;No cursa estudios;2024T2;33.098,7
Ambos sexos;Total;No cursa estudios;2024T1;32.957,1
Ambos sexos;Total;No cursa estudios;2023T4;32.919,9
Ambos sexos;Total;No cursa estudios;2023T3;34.287,7
Ambos sexos;Total;No cursa estudios;2023T2;32.672,7
Ambos sexos;Total;No cursa estudios;2023T1;32.634,8
Ambos sexos;Total;No cursa estudios;2022T4;32.542,6
Ambos sexos;Total;No cursa estudios;2022T3;34.009,3
Ambos sexos;Total;No cursa estudios;2022T2;32.548,2
Ambos sexos;Total;No cursa estudios;2022T1;32.456,0
Ambos sexos;Total;No cursa estudios;2021T4;32.440,7
Ambos sexos;Total;No cursa estudios;2021T3;33.693,7
Ambos sexos;Total;No cursa estudios;2021T2;32.455,6
Ambos sexos;Total;No cursa estudios;2021T1;32.644,2
Ambos sexos;Total;No cursa estudios;2020T4;32.968,1
Ambos sexos;Total;No cursa estudios;2020T3;34.225,6
Ambos sexos;Total;No cursa estudios;2020T2;33.523,9
Ambos sexos;Total;No cursa estudios;2020T1;33.485,5
Ambos sexos;Total;No cursa estudios;2019T4;33.045,6
Ambos sexos;Total;No cursa estudios;2019T3;34.389,1
Ambos sexos;Total;No cursa estudios;2019T2;33.018,4
Ambos sexos;Total;No cursa estudios;2019T1;33.080,7
Ambos sexos;Total;No cursa estudios;2018T4;32.906,6
Ambos sexos;Total;No cursa estudios;2018T3;34.034,0
Ambos sexos;Total;No cursa estudios;2018T2;32.756,9
Ambos sexos;Total;No cursa estudios;2018T1;32.854,7
Ambos sexos;Total;No cursa estudios;2017T4;32.929,8
Ambos sexos;Total;No cursa estudios;2017T3;34.152,5
Ambos sexos;Total;No cursa estudios;2017T2;32.742,9
Ambos sexos;Total;No cursa estudios;2017T1;32.769,5
Ambos sexos;Total;No cursa estudios;2016T4;32.886,0
Ambos sexos;Total;No cursa estudios;2016T3;34.087,9
Ambos sexos;Total;No cursa estudios;2016T2;32.829,0
Ambos sexos;Total;No cursa estudios;2016T1;32.893,7
Ambos sexos;Total;No cursa estudios;2015T4;32.665,3
Ambos sexos;Total;No cursa estudios;2015T3;34.002,2
Ambos sexos;Total;No cursa estudios;2015T2;32.652,8
Ambos sexos;Total;No cursa estudios;2015T1;32.764,0
Ambos sexos;Total;No cursa estudios;2014T4;32.634,5
Ambos sexos;Total;No cursa estudios;2014T3;34.054,5
Ambos sexos;Total;No cursa estudios;2014T2;32.606,4
Ambos sexos;Total;No cursa estudios;2014T1;32.546,7
Ambos sexos;Total;No cursa estudios;2013T4;32.241,3
Ambos sexos;Total;No cursa estudios;2013T3;33.772,5
Ambos sexos;Total;No cursa estudios;2013T2;32.141,5
Ambos sexos;Total;No cursa estudios;2013T1;32.410,5
Ambos sexos;Total;No cursa estudios;2012T4;32.566,8
Ambos sexos;Total;No cursa estudios;2012T3;34.019,1
Ambos sexos;Total;No cursa estudios;2012T2;32.357,2
Ambos sexos;Total;No cursa estudios;2012T1;32.428,5
Ambos sexos;Total;No cursa estudios;2011T4;32.535,5
Ambos sexos;Total;No cursa estudios;2011T3;34.148,6
Ambos sexos;Total;No cursa estudios;2011T2;32.557,5
Ambos sexos;Total;No cursa estudios;2011T1;32.456,1
Ambos sexos;Total;No cursa estudios;2010T4;32.410,8
Ambos sexos;Total;No cursa estudios;2010T3;34.072,4
Ambos sexos;Total;No cursa estudios;2010T2;32.467,7
Ambos sexos;Total;No cursa estudios;2010T1;32.458,3
Ambos sexos;Total;No cursa estudios;2009T4;32.524,0
Ambos sexos;Total;No cursa estudios;2009T3;34.168,3
Ambos sexos;Total;No cursa estudios;2009T2;32.479,9
Ambos sexos;Total;No cursa estudios;2009T1;32.593,8
Ambos sexos;Total;No cursa estudios;2008T4;32.587,6
Ambos sexos;Total;No cursa estudios;2008T3;34.021,5
Ambos sexos;Total;No cursa estudios;2008T2;32.240,8
Ambos sexos;Total;No cursa estudios;2008T1;32.320,4
Ambos sexos;Total;No cursa estudios;2007T4;32.211,5
Ambos sexos;Total;No cursa estudios;2007T3;33.532,4
Ambos sexos;Total;No cursa estudios;2007T2;31.686,6
Ambos sexos;Total;No cursa estudios;2007T1;31.685,6
Ambos sexos;Total;No cursa estudios;2006T4;31.630,4
Ambos sexos;Total;No cursa estudios;2006T3;32.865,2
Ambos sexos;Total;No cursa estudios;2006T2;31.168,4
Ambos sexos;Total;No cursa estudios;2006T1;30.975,6
Ambos sexos;Total;No cursa estudios;2005T4;30.938,8
Ambos sexos;Total;No cursa estudios;2005T3;32.515,4
Ambos sexos;Total;No cursa estudios;2005T2;30.532,1
Ambos sexos;Total;No cursa estudios;2005T1;30.602,5
Ambos sexos;Total;Cursa estudios: Total;2025T4;8.433,1
Ambos sexos;Total;Cursa estudios: Total;2025T3;7.076,9
Ambos sexos;Total;Cursa estudios: Total;2025T2;8.656,9
Ambos sexos;Total;Cursa estudios: Total;2025T1;8.559,2
Ambos sexos;Total;Cursa estudios: Total;2024T4;8.554,1
Ambos sexos;Total;Cursa estudios: Total;2024T3;6.912,3
Ambos sexos;Total;Cursa estudios: Total;2024T2;8.398,3
Ambos sexos;Total;Cursa estudios: Total;2024T1;8.369,4
Ambos sexos;Total;Cursa estudios: Total;2023T4;8.301,1
Ambos sexos;Total;Cursa estudios: Total;2023T3;6.769,4
Ambos sexos;Total;Cursa estudios: Total;2023T2;8.218,8
Ambos sexos;Total;Cursa estudios: Total;2023T1;8.126,4
Ambos sexos;Total;Cursa estudios: Total;2022T4;8.076,5
Ambos sexos;Total;Cursa estudios: Total;2022T3;6.446,8
Ambos sexos;Total;Cursa estudios: Total;2022T2;7.728,9
Ambos sexos;Total;Cursa estudios: Total;2022T1;7.661,0
Ambos sexos;Total;Cursa estudios: Total;2021T4;7.575,8
Ambos sexos;Total;Cursa estudios: Total;2021T3;6.249,1
Ambos sexos;Total;Cursa estudios: Total;2021T2;7.431,7
Ambos sexos;Total;Cursa estudios: Total;2021T1;7.213,5
Ambos sexos;Total;Cursa estudios: Total;2020T4;6.667,4
Ambos sexos;Total;Cursa estudios: Total;2020T3;5.370,2
