Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;Total;2025T4;24.940,4
Ambos sexos;Total;Total;2025T3;25.000,3
Ambos sexos;Total;Total;2025T2;24.821,8
Ambos sexos;Total;Total;2025T1;24.554,5
Ambos sexos;Total;Total;2024T4;24.453,3
Ambos sexos;Total;Total;2024T3;24.577,1
Ambos sexos;Total;Total;2024T2;24.440
Ambos sexos;Total;Total;2024T1;24.227,9
Ambos sexos;Total;Total;2023T4;24.250,6
Ambos sexos;Total;Total;2023T3;24.341
Ambos sexos;Total;Total;2023T2;24.066,7
Ambos sexos;Total;Total;2023T1;23.820,5
Ambos sexos;Total;Total;2022T4;23.722,3
Ambos sexos;Total;Total;2022T3;23.771,2
Ambos sexos;Total;Total;2022T2;23.601,9
Ambos sexos;Total;Total;2022T1;23.411,3
Ambos sexos;Total;Total;2021T4;23.423,5
Ambos sexos;Total;Total;2021T3;23.570,6
Ambos sexos;Total;Total;2021T2;23.302,5
Ambos sexos;Total;Total;2021T1;22.943
Ambos sexos;Total;Total;2020T4;23.064,1
Ambos sexos;Total;Total;2020T3;22.899,8
Ambos sexos;Total;Total;2020T2;21.975,2
Ambos sexos;Total;Total;2020T1;22.994,2
Ambos sexos;Total;Total;2019T4;23.158,8
Ambos sexos;Total;Total;2019T3;23.088,7
Ambos sexos;Total;Total;2019T2;23.035,5
Ambos sexos;Total;Total;2019T1;22.825,4
Ambos sexos;Total;Total;2018T4;22.868,8
Ambos sexos;Total;Total;2018T3;22.854
Ambos sexos;Total;Total;2018T2;22.834,2
Ambos sexos;Total;Total;2018T1;22.670,3
Ambos sexos;Total;Total;2017T4;22.765
Ambos sexos;Total;Total;2017T3;22.780,9
Ambos sexos;Total;Total;2017T2;22.727,6
Ambos sexos;Total;Total;2017T1;22.693,3
Ambos sexos;Total;Total;2016T4;22.745,9
Ambos sexos;Total;Total;2016T3;22.848,3
Ambos sexos;Total;Total;2016T2;22.875,7
Ambos sexos;Total;Total;2016T1;22.821
Ambos sexos;Total;Total;2015T4;22.873,7
Ambos sexos;Total;Total;2015T3;22.899,5
Ambos sexos;Total;Total;2015T2;23.015,5
Ambos sexos;Total;Total;2015T1;22.899,4
Ambos sexos;Total;Total;2014T4;23.026,8
Ambos sexos;Total;Total;2014T3;22.931,7
Ambos sexos;Total;Total;2014T2;22.975,9
Ambos sexos;Total;Total;2014T1;22.883,9
Ambos sexos;Total;De 16 a 19 años;2025T4;252
Ambos sexos;Total;De 16 a 19 años;2025T3;372,7
Ambos sexos;Total;De 16 a 19 años;2025T2;319,9
Ambos sexos;Total;De 16 a 19 años;2025T1;259,5
Ambos sexos;Total;De 16 a 19 años;2024T4;299,9
Ambos sexos;Total;De 16 a 19 años;2024T3;387,9
Ambos sexos;Total;De 16 a 19 años;2024T2;333,3
Ambos sexos;Total;De 16 a 19 años;2024T1;283,2
Ambos sexos;Total;De 16 a 19 años;2023T4;275,5
Ambos sexos;Total;De 16 a 19 años;2023T3;359,1
Ambos sexos;Total;De 16 a 19 años;2023T2;286,8
Ambos sexos;Total;De 16 a 19 años;2023T1;255,1
Ambos sexos;Total;De 16 a 19 años;2022T4;265,6
Ambos sexos;Total;De 16 a 19 años;2022T3;327,8
Ambos sexos;Total;De 16 a 19 años;2022T2;301,9
