Sexo;Sector económico;Periodo;Total
ambos sexos;total;1995TIV;12.590,0
ambos sexos;total;1995TIII;12.603,8
ambos sexos;total;1995TII;12.494,8
ambos sexos;total;1995TI;12.359,6
ambos sexos;total;1994TIV;12.278,0
ambos sexos;total;1994TIII;12.277,9
ambos sexos;total;1994TII;12.186,1
ambos sexos;total;1994TI;12.088,5
ambos sexos;total;1993TIV;12.203,3
ambos sexos;total;1993TIII;12.321,3
ambos sexos;total;1993TII;12.323,6
ambos sexos;total;1993TI;12.327,0
ambos sexos;total;1992TIV;12.616,8
ambos sexos;total;1992TIII;12.869,8
ambos sexos;total;1992TII;12.893,3
ambos sexos;total;1992TI;12.909,4
ambos sexos;total;1991TIV;13.015,1
ambos sexos;total;1991TIII;13.120,2
ambos sexos;total;1991TII;13.067,6
ambos sexos;total;1991TI;13.025,4
ambos sexos;total;1990TIV;13.041,8
ambos sexos;total;1990TIII;13.033,6
ambos sexos;total;1990TII;12.906,8
ambos sexos;total;1990TI;12.837,5
ambos sexos;total;1989TIV;12.781,7
ambos sexos;total;1989TIII;12.792,7
ambos sexos;total;1989TII;12.571,0
ambos sexos;total;1989TI;12.407,5
ambos sexos;total;1988TIV;12.371,2
ambos sexos;total;1988TIII;12.319,1
ambos sexos;total;1988TII;12.110,3
ambos sexos;total;1988TI;12.013,9
ambos sexos;total;1987TIV;12.011,1
ambos sexos;total;1987TIII;11.911,9
ambos sexos;total;1987TII;11.690,3
ambos sexos;total;1987TI;11.382,9
ambos sexos;total;1986TIV;11.359,2
ambos sexos;total;1986TIII;11.275,9
ambos sexos;total;1986TII;11.151,0
ambos sexos;total;1986TI;11.049,1
ambos sexos;total;1985TIV;11.056,3
ambos sexos;total;1985TIII;11.029,4
ambos sexos;total;1985TII;10.949,1
ambos sexos;total;1985TI;10.981,2
ambos sexos;total;1984TIV;11.040,3
ambos sexos;total;1984TIII;11.143,5
ambos sexos;total;1984TII;11.119,3
ambos sexos;total;1984TI;11.172,2
ambos sexos;total;1983TIV;11.414,0
ambos sexos;total;1983TIII;11.494,1
ambos sexos;total;1983TII;11.415,8
ambos sexos;total;1983TI;11.362,9
ambos sexos;total;1982TIV;11.477,8
ambos sexos;total;1982TIII;11.500,8
ambos sexos;total;1982TII;11.477,4
ambos sexos;total;1982TI;11.469,3
ambos sexos;total;1981TIV;11.521,3
ambos sexos;total;1981TIII;11.597,0
ambos sexos;total;1981TII;11.579,2
ambos sexos;total;1981TI;11.655,8
ambos sexos;total;1980TIV;11.790,5
ambos sexos;total;1980TIII;11.883,1
ambos sexos;total;1980TII;11.892,7
ambos sexos;total;1980TI;12.013,3
ambos sexos;total;1979TIV;12.162,4
ambos sexos;total;1979TIII;12.247,5
ambos sexos;total;1979TII;12.212,7
ambos sexos;total;1979TI;12.287,3
ambos sexos;total;1978TIV;12.325,5
ambos sexos;total;1978TIII;12.394,5
ambos sexos;total;1978TII;12.401,6
ambos sexos;total;1978TI;12.471,1
ambos sexos;total;1977TIV;12.591,6
ambos sexos;total;1977TIII;12.590,1
ambos sexos;total;1977TII;12.580,3
ambos sexos;total;1977TI;12.615,6
ambos sexos;total;1976TIV;12.668,8
ambos sexos;total;1976TIII;12.777,3
ambos sexos;agricultura;1995TIV;1.072,3
ambos sexos;agricultura;1995TIII;1.089,5
ambos sexos;agricultura;1995TII;1.123,2
ambos sexos;agricultura;1995TI;1.141,0
ambos sexos;agricultura;1994TIV;1.111,0
ambos sexos;agricultura;1994TIII;1.114,3
ambos sexos;agricultura;1994TII;1.156,5
ambos sexos;agricultura;1994TI;1.203,4
ambos sexos;agricultura;1993TIV;1.177,9
ambos sexos;agricultura;1993TIII;1.170,9
ambos sexos;agricultura;1993TII;1.205,6
ambos sexos;agricultura;1993TI;1.215,9
ambos sexos;agricultura;1992TIV;1.230,0
ambos sexos;agricultura;1992TIII;1.217,0
ambos sexos;agricultura;1992TII;1.253,3
ambos sexos;agricultura;1992TI;1.297,5
ambos sexos;agricultura;1991TIV;1.267,8
ambos sexos;agricultura;1991TIII;1.306,6
ambos sexos;agricultura;1991TII;1.373,8
ambos sexos;agricultura;1991TI;1.418,1
ambos sexos;agricultura;1990TIV;1.420,8
ambos sexos;agricultura;1990TIII;1.450,0
ambos sexos;agricultura;1990TII;1.497,5
ambos sexos;agricultura;1990TI;1.568,7
ambos sexos;agricultura;1989TIV;1.540,2
ambos sexos;agricultura;1989TIII;1.613,2
ambos sexos;agricultura;1989TII;1.599,4
ambos sexos;agricultura;1989TI;1.625,2
ambos sexos;agricultura;1988TIV;1.681,0
ambos sexos;agricultura;1988TIII;1.679,4
ambos sexos;agricultura;1988TII;1.672,7
ambos sexos;agricultura;1988TI;1.754,0
ambos sexos;agricultura;1987TIV;1.722,3
ambos sexos;agricultura;1987TIII;1.703,9
ambos sexos;agricultura;1987TII;1.715,8
ambos sexos;agricultura;1987TI;1.726,5
ambos sexos;agricultura;1986TIV;1.723,3
ambos sexos;agricultura;1986TIII;1.722,3
ambos sexos;agricultura;1986TII;1.757,9
ambos sexos;agricultura;1986TI;1.834,2
ambos sexos;agricultura;1985TIV;1.884,3
ambos sexos;agricultura;1985TIII;1.909,5
ambos sexos;agricultura;1985TII;1.930,4
ambos sexos;agricultura;1985TI;2.042,2
ambos sexos;agricultura;1984TIV;1.980,2
ambos sexos;agricultura;1984TIII;1.963,0
ambos sexos;agricultura;1984TII;1.937,2
ambos sexos;agricultura;1984TI;1.997,7
ambos sexos;agricultura;1983TIV;2.040,3
ambos sexos;agricultura;1983TIII;2.056,8
ambos sexos;agricultura;1983TII;2.018,2
ambos sexos;agricultura;1983TI;2.097,0
ambos sexos;agricultura;1982TIV;2.075,7
ambos sexos;agricultura;1982TIII;2.042,6
ambos sexos;agricultura;1982TII;1.995,7
ambos sexos;agricultura;1982TI;2.041,1
ambos sexos;agricultura;1981TIV;2.054,8
ambos sexos;agricultura;1981TIII;2.061,1
ambos sexos;agricultura;1981TII;2.056,1
ambos sexos;agricultura;1981TI;2.143,0
ambos sexos;agricultura;1980TIV;2.188,9
ambos sexos;agricultura;1980TIII;2.185,0
ambos sexos;agricultura;1980TII;2.187,9
ambos sexos;agricultura;1980TI;2.274,7
ambos sexos;agricultura;1979TIV;2.321,6
ambos sexos;agricultura;1979TIII;2.328,0
ambos sexos;agricultura;1979TII;2.333,1
ambos sexos;agricultura;1979TI;2.439,4
ambos sexos;agricultura;1978TIV;2.416,6
ambos sexos;agricultura;1978TIII;2.464,2
ambos sexos;agricultura;1978TII;2.471,1
ambos sexos;agricultura;1978TI;2.545,3
ambos sexos;agricultura;1977TIV;2.536,6
ambos sexos;agricultura;1977TIII;2.548,7
ambos sexos;agricultura;1977TII;2.542,9
ambos sexos;agricultura;1977TI;2.668,6
ambos sexos;agricultura;1976TIV;2.690,9
ambos sexos;agricultura;1976TIII;2.762,7
ambos sexos;industria;1995TIV;2.582,5
ambos sexos;industria;1995TIII;2.589,7
ambos sexos;industria;1995TII;2.575,9
ambos sexos;industria;1995TI;2.552,7
ambos sexos;industria;1994TIV;2.592,1
ambos sexos;industria;1994TIII;2.581,5
ambos sexos;industria;1994TII;2.568,4
ambos sexos;industria;1994TI;2.566,5
ambos sexos;industria;1993TIV;2.595,3
ambos sexos;industria;1993TIII;2.636,2
ambos sexos;industria;1993TII;2.666,6
ambos sexos;industria;1993TI;2.690,2
ambos sexos;industria;1992TIV;2.816,5
ambos sexos;industria;1992TIII;2.908,0
ambos sexos;industria;1992TII;2.962,8
ambos sexos;industria;1992TI;2.968,4
ambos sexos;industria;1991TIV;2.986,1
ambos sexos;industria;1991TIII;2.990,9
ambos sexos;industria;1991TII;3.002,3
ambos sexos;industria;1991TI;3.008,8
ambos sexos;industria;1990TIV;3.066,9
ambos sexos;industria;1990TIII;3.070,9
ambos sexos;industria;1990TII;3.076,4
ambos sexos;industria;1990TI;3.069,7
ambos sexos;industria;1989TIV;3.026,3
ambos sexos;industria;1989TIII;3.001,2
ambos sexos;industria;1989TII;2.980,6
ambos sexos;industria;1989TI;2.950,3
ambos sexos;industria;1988TIV;2.931,7
ambos sexos;industria;1988TIII;2.923,9
ambos sexos;industria;1988TII;2.934,6
ambos sexos;industria;1988TI;2.888,6
ambos sexos;industria;1987TIV;2.917,7
ambos sexos;industria;1987TIII;2.878,4
ambos sexos;industria;1987TII;2.851,1
ambos sexos;industria;1987TI;2.765,7
ambos sexos;industria;1986TIV;2.762,2
ambos sexos;industria;1986TIII;2.731,6
ambos sexos;industria;1986TII;2.727,1
ambos sexos;industria;1986TI;2.701,4
ambos sexos;industria;1985TIV;2.691,3
ambos sexos;industria;1985TIII;2.693,0
ambos sexos;industria;1985TII;2.705,9
ambos sexos;industria;1985TI;2.734,7
ambos sexos;industria;1984TIV;2.775,0
ambos sexos;industria;1984TIII;2.806,9
ambos sexos;industria;1984TII;2.841,9
ambos sexos;industria;1984TI;2.858,8
ambos sexos;industria;1983TIV;2.866,5
ambos sexos;industria;1983TIII;2.874,3
ambos sexos;industria;1983TII;2.879,6
ambos sexos;industria;1983TI;2.862,0
ambos sexos;industria;1982TIV;2.892,0
ambos sexos;industria;1982TIII;2.900,0
ambos sexos;industria;1982TII;2.962,8
ambos sexos;industria;1982TI;2.972,8
ambos sexos;industria;1981TIV;3.024,7
ambos sexos;industria;1981TIII;3.086,1
ambos sexos;industria;1981TII;3.149,7
ambos sexos;industria;1981TI;3.180,7
ambos sexos;industria;1980TIV;3.212,7
ambos sexos;industria;1980TIII;3.238,2
ambos sexos;industria;1980TII;3.221,1
ambos sexos;industria;1980TI;3.282,9
ambos sexos;industria;1979TIV;3.302,3
ambos sexos;industria;1979TIII;3.337,3
ambos sexos;industria;1979TII;3.371,3
ambos sexos;industria;1979TI;3.372,8
ambos sexos;industria;1978TIV;3.407,1
ambos sexos;industria;1978TIII;3.411,5
ambos sexos;industria;1978TII;3.424,5
ambos sexos;industria;1978TI;3.440,2
ambos sexos;industria;1977TIV;3.482,0
