Sector económico (4);Sexo;Periodo;Total
total;ambos sexos;1995TIV;62,2
total;ambos sexos;1995TIII;62,0
total;ambos sexos;1995TII;63,3
total;ambos sexos;1995TI;59,1
total;ambos sexos;1994TIV;53,8
total;ambos sexos;1994TIII;55,9
total;ambos sexos;1994TII;51,3
total;ambos sexos;1994TI;48,9
total;ambos sexos;1993TIV;46,3
total;ambos sexos;1993TIII;37,5
total;ambos sexos;1993TII;42,4
total;ambos sexos;1993TI;35,5
total;ambos sexos;1992TIV;36,7
total;ambos sexos;1992TIII;31,8
total;ambos sexos;1992TII;37,6
total;ambos sexos;1992TI;37,3
total;ambos sexos;1991TIV;38,4
total;ambos sexos;1991TIII;31,2
total;ambos sexos;1991TII;34,9
total;ambos sexos;1991TI;38,2
total;ambos sexos;1990TIV;39,2
total;ambos sexos;1990TIII;41,4
total;ambos sexos;1990TII;46,7
total;ambos sexos;1990TI;44,3
total;ambos sexos;1989TIV;42,3
total;ambos sexos;1989TIII;41,5
total;ambos sexos;1989TII;50,5
total;ambos sexos;1989TI;50,8
total;ambos sexos;1988TIV;49,9
total;ambos sexos;1988TIII;62,8
total;ambos sexos;1988TII;63,3
total;ambos sexos;1988TI;59,2
total;ambos sexos;1987TIV;64,8
total;ambos sexos;1987TIII;71,5
total;ambos sexos;1987TII;96,8
total;varones;1995TIV;18,5
total;varones;1995TIII;21,6
total;varones;1995TII;20,7
total;varones;1995TI;19,8
total;varones;1994TIV;20,3
total;varones;1994TIII;21,8
total;varones;1994TII;16,9
total;varones;1994TI;15,2
total;varones;1993TIV;16,9
total;varones;1993TIII;10,0
total;varones;1993TII;13,1
total;varones;1993TI;12,2
total;varones;1992TIV;12,7
total;varones;1992TIII;11,6
total;varones;1992TII;12,8
total;varones;1992TI;11,5
total;varones;1991TIV;8,7
total;varones;1991TIII;10,5
total;varones;1991TII;10,9
total;varones;1991TI;12,9
total;varones;1990TIV;11,5
total;varones;1990TIII;10,8
total;varones;1990TII;15,1
total;varones;1990TI;11,8
total;varones;1989TIV;9,2
total;varones;1989TIII;12,5
total;varones;1989TII;15,9
total;varones;1989TI;14,8
total;varones;1988TIV;13,4
total;varones;1988TIII;17,3
total;varones;1988TII;23,5
total;varones;1988TI;19,7
total;varones;1987TIV;26,4
total;varones;1987TIII;25,7
total;varones;1987TII;33,6
total;mujeres;1995TIV;43,7
total;mujeres;1995TIII;40,3
total;mujeres;1995TII;42,6
total;mujeres;1995TI;39,4
total;mujeres;1994TIV;33,5
total;mujeres;1994TIII;34,1
total;mujeres;1994TII;34,4
total;mujeres;1994TI;33,6
total;mujeres;1993TIV;29,4
total;mujeres;1993TIII;27,5
total;mujeres;1993TII;29,3
total;mujeres;1993TI;23,3
total;mujeres;1992TIV;23,9
total;mujeres;1992TIII;20,2
total;mujeres;1992TII;24,8
total;mujeres;1992TI;25,8
total;mujeres;1991TIV;29,7
total;mujeres;1991TIII;20,7
total;mujeres;1991TII;24,0
total;mujeres;1991TI;25,4
total;mujeres;1990TIV;27,7
total;mujeres;1990TIII;30,6
total;mujeres;1990TII;31,6
total;mujeres;1990TI;32,4
total;mujeres;1989TIV;33,1
total;mujeres;1989TIII;29,0
total;mujeres;1989TII;34,6
total;mujeres;1989TI;36,0
total;mujeres;1988TIV;36,4
total;mujeres;1988TIII;45,5
total;mujeres;1988TII;39,7
total;mujeres;1988TI;39,5
total;mujeres;1987TIV;38,4
total;mujeres;1987TIII;45,8
total;mujeres;1987TII;63,2
