Sexo;Sector económico;Periodo;Total
ambos sexos;total;2001TIV;16.348,2
ambos sexos;total;2001TIII;16.294,3
ambos sexos;total;2001TII;16.076,3
ambos sexos;total;2001TI;15.866,3
ambos sexos;total;2000TIV;15.782,3
ambos sexos;total;2000TIII;15.681,8
ambos sexos;total;2000TII;15.440,2
ambos sexos;total;2000TI;15.119,3
ambos sexos;total;1999TIV;14.959,8
ambos sexos;total;1999TIII;14.848,8
ambos sexos;total;1999TII;14.626,4
ambos sexos;total;1999TI;14.324,3
ambos sexos;total;1998TIV;14.122,0
ambos sexos;total;1998TIII;14.047,6
ambos sexos;total;1998TII;13.814,2
ambos sexos;total;1998TI;13.632,9
ambos sexos;total;1997TIV;13.534,5
ambos sexos;total;1997TIII;13.445,8
ambos sexos;total;1997TII;13.275,5
ambos sexos;total;1997TI;13.126,5
ambos sexos;total;1996TIV;13.064,5
ambos sexos;total;1996TIII;13.007,8
ambos sexos;total;1996TII;12.787,1
ambos sexos;total;1996TI;12.626,7
ambos sexos;agricultura;2001TIV;1.033,5
ambos sexos;agricultura;2001TIII;1.001,0
ambos sexos;agricultura;2001TII;1.053,7
ambos sexos;agricultura;2001TI;1.092,7
ambos sexos;agricultura;2000TIV;1.037,2
ambos sexos;agricultura;2000TIII;1.004,0
ambos sexos;agricultura;2000TII;1.032,6
ambos sexos;agricultura;2000TI;1.041,1
ambos sexos;agricultura;1999TIV;1.040,5
ambos sexos;agricultura;1999TIII;1.026,8
ambos sexos;agricultura;1999TII;1.054,2
ambos sexos;agricultura;1999TI;1.073,4
ambos sexos;agricultura;1998TIV;1.058,1
ambos sexos;agricultura;1998TIII;1.057,5
ambos sexos;agricultura;1998TII;1.063,6
ambos sexos;agricultura;1998TI;1.158,7
ambos sexos;agricultura;1997TIV;1.060,5
ambos sexos;agricultura;1997TIII;1.054,5
ambos sexos;agricultura;1997TII;1.067,9
ambos sexos;agricultura;1997TI;1.135,4
ambos sexos;agricultura;1996TIV;1.062,2
ambos sexos;agricultura;1996TIII;1.055,4
ambos sexos;agricultura;1996TII;1.069,0
ambos sexos;agricultura;1996TI;1.130,0
ambos sexos;industria;2001TIV;3.165,9
ambos sexos;industria;2001TIII;3.191,5
ambos sexos;industria;2001TII;3.182,0
ambos sexos;industria;2001TI;3.167,5
ambos sexos;industria;2000TIV;3.155,6
ambos sexos;industria;2000TIII;3.110,5
ambos sexos;industria;2000TII;3.059,3
ambos sexos;industria;2000TI;3.004,4
ambos sexos;industria;1999TIV;2.990,1
ambos sexos;industria;1999TIII;2.976,6
ambos sexos;industria;1999TII;2.946,4
ambos sexos;industria;1999TI;2.918,5
ambos sexos;industria;1998TIV;2.920,0
ambos sexos;industria;1998TIII;2.901,6
ambos sexos;industria;1998TII;2.845,4
ambos sexos;industria;1998TI;2.766,2
ambos sexos;industria;1997TIV;2.790,4
ambos sexos;industria;1997TIII;2.736,0
ambos sexos;industria;1997TII;2.653,0
ambos sexos;industria;1997TI;2.610,0
ambos sexos;industria;1996TIV;2.633,1
ambos sexos;industria;1996TIII;2.622,4
ambos sexos;industria;1996TII;2.561,8
ambos sexos;industria;1996TI;2.553,9
ambos sexos;construcción;2001TIV;1.927,8
ambos sexos;construcción;2001TIII;1.897,8
ambos sexos;construcción;2001TII;1.875,7
ambos sexos;construcción;2001TI;1.803,6
ambos sexos;construcción;2000TIV;1.776,6
ambos sexos;construcción;2000TIII;1.756,9
ambos sexos;construcción;2000TII;1.700,7
ambos sexos;construcción;2000TI;1.656,6
ambos sexos;construcción;1999TIV;1.655,9
ambos sexos;construcción;1999TIII;1.610,3
ambos sexos;construcción;1999TII;1.540,7
ambos sexos;construcción;1999TI;1.481,9
ambos sexos;construcción;1998TIV;1.453,3
ambos sexos;construcción;1998TIII;1.409,6
ambos sexos;construcción;1998TII;1.369,2
ambos sexos;construcción;1998TI;1.309,1
ambos sexos;construcción;1997TIV;1.305,3
ambos sexos;construcción;1997TIII;1.316,5
ambos sexos;construcción;1997TII;1.318,0
ambos sexos;construcción;1997TI;1.283,3
ambos sexos;construcción;1996TIV;1.285,2
ambos sexos;construcción;1996TIII;1.254,4
ambos sexos;construcción;1996TII;1.206,2
ambos sexos;construcción;1996TI;1.166,5
ambos sexos;servicios;2001TIV;10.221,0
ambos sexos;servicios;2001TIII;10.203,9
ambos sexos;servicios;2001TII;9.965,0
ambos sexos;servicios;2001TI;9.802,5
ambos sexos;servicios;2000TIV;9.812,9
ambos sexos;servicios;2000TIII;9.810,5
ambos sexos;servicios;2000TII;9.647,6
ambos sexos;servicios;2000TI;9.417,1
ambos sexos;servicios;1999TIV;9.273,2
ambos sexos;servicios;1999TIII;9.235,1
ambos sexos;servicios;1999TII;9.085,1
ambos sexos;servicios;1999TI;8.850,4
ambos sexos;servicios;1998TIV;8.690,6
ambos sexos;servicios;1998TIII;8.678,9
ambos sexos;servicios;1998TII;8.536,0
ambos sexos;servicios;1998TI;8.398,9
ambos sexos;servicios;1997TIV;8.378,2
ambos sexos;servicios;1997TIII;8.338,7
ambos sexos;servicios;1997TII;8.236,7
ambos sexos;servicios;1997TI;8.097,9
ambos sexos;servicios;1996TIV;8.084,0
ambos sexos;servicios;1996TIII;8.075,6
ambos sexos;servicios;1996TII;7.950,2
ambos sexos;servicios;1996TI;7.776,3
varones;total;2001TIV;10.247,4
varones;total;2001TIII;10.254,0
varones;total;2001TII;10.129,9
varones;total;2001TI;9.970,8
varones;total;2000TIV;9.962,9
varones;total;2000TIII;9.952,1
varones;total;2000TII;9.774,5
varones;total;2000TI;9.595,0
varones;total;1999TIV;9.539,6
varones;total;1999TIII;9.560,1
varones;total;1999TII;9.402,7
varones;total;1999TI;9.232,7
varones;total;1998TIV;9.167,0
varones;total;1998TIII;9.147,5
varones;total;1998TII;8.979,6
varones;total;1998TI;8.837,4
varones;total;1997TIV;8.780,5
varones;total;1997TIII;8.743,5
varones;total;1997TII;8.611,9
varones;total;1997TI;8.526,0
varones;total;1996TIV;8.508,0
varones;total;1996TIII;8.506,0
varones;total;1996TII;8.359,5
varones;total;1996TI;8.262,9
varones;agricultura;2001TIV;773,6
varones;agricultura;2001TIII;762,3
varones;agricultura;2001TII;785,8
varones;agricultura;2001TI;780,6
varones;agricultura;2000TIV;764,9
varones;agricultura;2000TIII;759,7
varones;agricultura;2000TII;761,9
varones;agricultura;2000TI;758,2
varones;agricultura;1999TIV;769,3
varones;agricultura;1999TIII;781,2
varones;agricultura;1999TII;789,6
varones;agricultura;1999TI;797,4
varones;agricultura;1998TIV;795,6
varones;agricultura;1998TIII;810,0
varones;agricultura;1998TII;805,6
varones;agricultura;1998TI;853,2
varones;agricultura;1997TIV;790,2
varones;agricultura;1997TIII;795,8
varones;agricultura;1997TII;795,0
varones;agricultura;1997TI;827,9
varones;agricultura;1996TIV;793,9
varones;agricultura;1996TIII;794,1
varones;agricultura;1996TII;797,3
varones;agricultura;1996TI;825,8
varones;industria;2001TIV;2.393,4
varones;industria;2001TIII;2.414,2
varones;industria;2001TII;2.414,0
varones;industria;2001TI;2.389,5
varones;industria;2000TIV;2.378,7
varones;industria;2000TIII;2.360,5
varones;industria;2000TII;2.322,4
varones;industria;2000TI;2.291,3
varones;industria;1999TIV;2.291,2
varones;industria;1999TIII;2.312,0
varones;industria;1999TII;2.300,3
varones;industria;1999TI;2.278,7
varones;industria;1998TIV;2.285,5
varones;industria;1998TIII;2.271,4
varones;industria;1998TII;2.229,5
varones;industria;1998TI;2.180,5
varones;industria;1997TIV;2.185,3
varones;industria;1997TIII;2.139,9
varones;industria;1997TII;2.064,7
varones;industria;1997TI;2.040,4
varones;industria;1996TIV;2.047,3
varones;industria;1996TIII;2.045,5
varones;industria;1996TII;2.008,9
varones;industria;1996TI;2.005,1
varones;construcción;2001TIV;1.837,2
varones;construcción;2001TIII;1.813,4
varones;construcción;2001TII;1.787,3
varones;construcción;2001TI;1.718,5
varones;construcción;2000TIV;1.690,4
varones;construcción;2000TIII;1.671,6
varones;construcción;2000TII;1.617,0
varones;construcción;2000TI;1.582,1
varones;construcción;1999TIV;1.578,1
varones;construcción;1999TIII;1.545,2
varones;construcción;1999TII;1.480,0
varones;construcción;1999TI;1.426,9
varones;construcción;1998TIV;1.403,2
varones;construcción;1998TIII;1.359,5
varones;construcción;1998TII;1.319,0
varones;construcción;1998TI;1.261,5
varones;construcción;1997TIV;1.261,6
varones;construcción;1997TIII;1.272,3
varones;construcción;1997TII;1.268,0
varones;construcción;1997TI;1.228,2
varones;construcción;1996TIV;1.227,4
varones;construcción;1996TIII;1.197,5
varones;construcción;1996TII;1.155,3
varones;construcción;1996TI;1.115,3
varones;servicios;2001TIV;5.243,3
varones;servicios;2001TIII;5.264,2
varones;servicios;2001TII;5.142,9
varones;servicios;2001TI;5.082,1
varones;servicios;2000TIV;5.128,9
varones;servicios;2000TIII;5.160,4
varones;servicios;2000TII;5.073,2
varones;servicios;2000TI;4.963,4
varones;servicios;1999TIV;4.901,1
varones;servicios;1999TIII;4.921,7
varones;servicios;1999TII;4.832,8
varones;servicios;1999TI;4.729,7
varones;servicios;1998TIV;4.682,7
varones;servicios;1998TIII;4.706,7
varones;servicios;1998TII;4.625,5
varones;servicios;1998TI;4.542,2
varones;servicios;1997TIV;4.543,5
varones;servicios;1997TIII;4.535,6
varones;servicios;1997TII;4.484,1
varones;servicios;1997TI;4.429,5
varones;servicios;1996TIV;4.439,5
