Sector económico (4);Sexo;Periodo;Total
total;ambos sexos;2001TIV;472,7
total;ambos sexos;2001TIII;443,9
total;ambos sexos;2001TII;488,2
total;ambos sexos;2001TI;477,2
total;ambos sexos;2000TIV;461,9
total;ambos sexos;2000TIII;479,2
total;ambos sexos;2000TII;517,3
total;ambos sexos;2000TI;500,8
total;ambos sexos;1999TIV;488,4
total;ambos sexos;1999TIII;463,2
total;ambos sexos;1999TII;504,4
total;ambos sexos;1999TI;481,2
total;ambos sexos;1998TIV;88,2
total;ambos sexos;1998TIII;84,7
total;ambos sexos;1998TII;91,3
total;ambos sexos;1998TI;93,0
total;ambos sexos;1997TIV;84,2
total;ambos sexos;1997TIII;83,0
total;ambos sexos;1997TII;83,5
total;ambos sexos;1997TI;83,0
total;ambos sexos;1996TIV;73,9
total;ambos sexos;1996TIII;67,4
total;ambos sexos;1996TII;76,3
total;ambos sexos;1996TI;68,3
total;varones;2001TIV;153,4
total;varones;2001TIII;153,4
total;varones;2001TII;160,4
total;varones;2001TI;153,1
total;varones;2000TIV;150,7
total;varones;2000TIII;168,5
total;varones;2000TII;174,1
total;varones;2000TI;169,6
total;varones;1999TIV;166,8
total;varones;1999TIII;164,2
total;varones;1999TII;181,9
total;varones;1999TI;184,5
total;varones;1998TIV;26,5
total;varones;1998TIII;22,3
total;varones;1998TII;27,2
total;varones;1998TI;23,1
total;varones;1997TIV;22,2
total;varones;1997TIII;27,4
total;varones;1997TII;26,2
total;varones;1997TI;24,7
total;varones;1996TIV;23,7
total;varones;1996TIII;23,8
total;varones;1996TII;26,7
total;varones;1996TI;18,8
total;mujeres;2001TIV;319,3
total;mujeres;2001TIII;290,5
total;mujeres;2001TII;327,7
total;mujeres;2001TI;324,2
total;mujeres;2000TIV;311,1
total;mujeres;2000TIII;310,8
total;mujeres;2000TII;343,2
total;mujeres;2000TI;331,1
total;mujeres;1999TIV;321,6
total;mujeres;1999TIII;299,0
total;mujeres;1999TII;322,5
total;mujeres;1999TI;296,7
total;mujeres;1998TIV;61,6
total;mujeres;1998TIII;62,4
total;mujeres;1998TII;64,1
total;mujeres;1998TI;69,8
total;mujeres;1997TIV;61,9
total;mujeres;1997TIII;55,5
total;mujeres;1997TII;57,2
total;mujeres;1997TI;58,3
total;mujeres;1996TIV;50,2
total;mujeres;1996TIII;43,6
total;mujeres;1996TII;49,6
total;mujeres;1996TI;49,5
agricultura;ambos sexos;2001TIV;15,7
agricultura;ambos sexos;2001TIII;22,1
agricultura;ambos sexos;2001TII;23,4
agricultura;ambos sexos;2001TI;15,9
agricultura;ambos sexos;2000TIV;21,5
agricultura;ambos sexos;2000TIII;24,1
agricultura;ambos sexos;2000TII;24,6
agricultura;ambos sexos;2000TI;25,3
agricultura;ambos sexos;1999TIV;20,2
agricultura;ambos sexos;1999TIII;21,6
agricultura;ambos sexos;1999TII;26,4
agricultura;ambos sexos;1999TI;28,8
agricultura;ambos sexos;1998TIV;2,9
agricultura;ambos sexos;1998TIII;1,9
agricultura;ambos sexos;1998TII;3,5
agricultura;ambos sexos;1998TI;2,0
agricultura;ambos sexos;1997TIV;0,8
agricultura;ambos sexos;1997TIII;3,3
agricultura;ambos sexos;1997TII;2,0
agricultura;ambos sexos;1997TI;2,5
agricultura;ambos sexos;1996TIV;2,9
agricultura;ambos sexos;1996TIII;4,1
agricultura;ambos sexos;1996TII;3,0
agricultura;ambos sexos;1996TI;2,8
agricultura;varones;2001TIV;12,6
agricultura;varones;2001TIII;18,4
agricultura;varones;2001TII;19,6
agricultura;varones;2001TI;11,6
agricultura;varones;2000TIV;17,1
agricultura;varones;2000TIII;19,1
agricultura;varones;2000TII;18,6
agricultura;varones;2000TI;18,6
agricultura;varones;1999TIV;14,1
agricultura;varones;1999TIII;16,6
agricultura;varones;1999TII;19,6
agricultura;varones;1999TI;21,6
agricultura;varones;1998TIV;2,1
agricultura;varones;1998TIII;1,5
agricultura;varones;1998TII;2,7
agricultura;varones;1998TI;1,9
agricultura;varones;1997TIV;0,7
agricultura;varones;1997TIII;2,5
agricultura;varones;1997TII;1,2
agricultura;varones;1997TI;2,1
agricultura;varones;1996TIV;2,5
agricultura;varones;1996TIII;4,0
agricultura;varones;1996TII;1,8
agricultura;varones;1996TI;2,6
agricultura;mujeres;2001TIV;3,0
agricultura;mujeres;2001TIII;3,7
agricultura;mujeres;2001TII;3,7
agricultura;mujeres;2001TI;4,3
agricultura;mujeres;2000TIV;4,4
agricultura;mujeres;2000TIII;5,0
agricultura;mujeres;2000TII;6,1
agricultura;mujeres;2000TI;6,7
agricultura;mujeres;1999TIV;6,1
agricultura;mujeres;1999TIII;5,0
agricultura;mujeres;1999TII;6,9
agricultura;mujeres;1999TI;7,2
agricultura;mujeres;1998TIV;0,8
agricultura;mujeres;1998TIII;0,5
agricultura;mujeres;1998TII;0,8
agricultura;mujeres;1998TI;0,1
agricultura;mujeres;1997TIV;0,1
agricultura;mujeres;1997TIII;0,8
agricultura;mujeres;1997TII;0,8
agricultura;mujeres;1997TI;0,4
agricultura;mujeres;1996TIV;0,3
agricultura;mujeres;1996TIII;0,1
agricultura;mujeres;1996TII;1,2
agricultura;mujeres;1996TI;0,2
industria;ambos sexos;2001TIV;48,4
industria;ambos sexos;2001TIII;39,9
industria;ambos sexos;2001TII;45,3
industria;ambos sexos;2001TI;41,9
industria;ambos sexos;2000TIV;40,6
industria;ambos sexos;2000TIII;47,4
industria;ambos sexos;2000TII;48,3
industria;ambos sexos;2000TI;49,6
industria;ambos sexos;1999TIV;49,1
industria;ambos sexos;1999TIII;38,6
industria;ambos sexos;1999TII;50,9
industria;ambos sexos;1999TI;53,8
industria;ambos sexos;1998TIV;3,6
industria;ambos sexos;1998TIII;3,4
industria;ambos sexos;1998TII;4,5
industria;ambos sexos;1998TI;5,1
industria;ambos sexos;1997TIV;6,0
industria;ambos sexos;1997TIII;6,3
industria;ambos sexos;1997TII;5,3
industria;ambos sexos;1997TI;4,7
industria;ambos sexos;1996TIV;7,4
industria;ambos sexos;1996TIII;7,6
industria;ambos sexos;1996TII;7,9
industria;ambos sexos;1996TI;5,8
industria;varones;2001TIV;28,7
industria;varones;2001TIII;26,5
industria;varones;2001TII;28,0
industria;varones;2001TI;26,2
industria;varones;2000TIV;25,6
industria;varones;2000TIII;29,6
industria;varones;2000TII;30,1
industria;varones;2000TI;28,8
industria;varones;1999TIV;30,4
industria;varones;1999TIII;22,6
industria;varones;1999TII;32,6
industria;varones;1999TI;35,9
industria;varones;1998TIV;1,8
industria;varones;1998TIII;1,4
industria;varones;1998TII;2,0
industria;varones;1998TI;1,4
industria;varones;1997TIV;2,5
industria;varones;1997TIII;3,3
industria;varones;1997TII;2,8
industria;varones;1997TI;1,6
industria;varones;1996TIV;1,8
industria;varones;1996TIII;2,4
industria;varones;1996TII;4,8
industria;varones;1996TI;3,0
industria;mujeres;2001TIV;19,8
industria;mujeres;2001TIII;13,4
industria;mujeres;2001TII;17,3
industria;mujeres;2001TI;15,7
industria;mujeres;2000TIV;14,9
industria;mujeres;2000TIII;17,8
industria;mujeres;2000TII;18,2
industria;mujeres;2000TI;20,9
industria;mujeres;1999TIV;18,6
industria;mujeres;1999TIII;16,0
industria;mujeres;1999TII;18,3
industria;mujeres;1999TI;17,9
industria;mujeres;1998TIV;1,8
industria;mujeres;1998TIII;2,1
industria;mujeres;1998TII;2,5
industria;mujeres;1998TI;3,6
industria;mujeres;1997TIV;3,4
industria;mujeres;1997TIII;3,0
industria;mujeres;1997TII;2,5
industria;mujeres;1997TI;3,1
industria;mujeres;1996TIV;5,7
industria;mujeres;1996TIII;5,2
industria;mujeres;1996TII;3,1
industria;mujeres;1996TI;2,7
construcción;ambos sexos;2001TIV;25,0
construcción;ambos sexos;2001TIII;23,0
construcción;ambos sexos;2001TII;26,0
construcción;ambos sexos;2001TI;29,2
construcción;ambos sexos;2000TIV;21,2
construcción;ambos sexos;2000TIII;21,8
construcción;ambos sexos;2000TII;20,4
construcción;ambos sexos;2000TI;20,7
construcción;ambos sexos;1999TIV;21,8
construcción;ambos sexos;1999TIII;19,0
construcción;ambos sexos;1999TII;20,1
construcción;ambos sexos;1999TI;22,4
construcción;ambos sexos;1998TIV;4,6
construcción;ambos sexos;1998TIII;1,9
construcción;ambos sexos;1998TII;3,1
construcción;ambos sexos;1998TI;2,3
construcción;ambos sexos;1997TIV;1,4
construcción;ambos sexos;1997TIII;3,5
construcción;ambos sexos;1997TII;3,8
construcción;ambos sexos;1997TI;3,8
construcción;ambos sexos;1996TIV;4,8
construcción;ambos sexos;1996TIII;2,8
construcción;ambos sexos;1996TII;4,5
construcción;ambos sexos;1996TI;2,1
construcción;varones;2001TIV;22,2
construcción;varones;2001TIII;21,8
construcción;varones;2001TII;23,3
construcción;varones;2001TI;25,3
construcción;varones;2000TIV;18,1
construcción;varones;2000TIII;18,2
construcción;varones;2000TII;17,7
construcción;varones;2000TI;18,4
construcción;varones;1999TIV;19,7
construcción;varones;1999TIII;17,1
construcción;varones;1999TII;18,8
construcción;varones;1999TI;20,5
construcción;varones;1998TIV;4,3
construcción;varones;1998TIII;1,7
construcción;varones;1998TII;2,9
construcción;varones;1998TI;1,7
construcción;varones;1997TIV;1,3
construcción;varones;1997TIII;2,9
construcción;varones;1997TII;3,2
construcción;varones;1997TI;3,1
construcción;varones;1996TIV;4,6
construcción;varones;1996TIII;2,7
construcción;varones;1996TII;3,9
construcción;varones;1996TI;1,5
construcción;mujeres;2001TIV;2,8
construcción;mujeres;2001TIII;1,2
construcción;mujeres;2001TII;2,7
construcción;mujeres;2001TI;3,9
construcción;mujeres;2000TIV;3,1
construcción;mujeres;2000TIII;3,6
construcción;mujeres;2000TII;2,7
construcción;mujeres;2000TI;2,3
construcción;mujeres;1999TIV;2,1
construcción;mujeres;1999TIII;1,9
construcción;mujeres;1999TII;1,3
construcción;mujeres;1999TI;1,9
construcción;mujeres;1998TIV;0,3
construcción;mujeres;1998TIII;0,2
construcción;mujeres;1998TII;0,3
construcción;mujeres;1998TI;0,6
construcción;mujeres;1997TIV;0,1
construcción;mujeres;1997TIII;0,6
construcción;mujeres;1997TII;0,6
construcción;mujeres;1997TI;0,7
construcción;mujeres;1996TIV;0,1
construcción;mujeres;1996TIII;0,1
construcción;mujeres;1996TII;0,6
construcción;mujeres;1996TI;0,6
servicios;ambos sexos;2001TIV;383,6
servicios;ambos sexos;2001TIII;358,9
servicios;ambos sexos;2001TII;393,5
servicios;ambos sexos;2001TI;390,2
servicios;ambos sexos;2000TIV;378,6
servicios;ambos sexos;2000TIII;385,9
servicios;ambos sexos;2000TII;424,0
servicios;ambos sexos;2000TI;405,1
servicios;ambos sexos;1999TIV;397,4
servicios;ambos sexos;1999TIII;384,0
servicios;ambos sexos;1999TII;407,0
servicios;ambos sexos;1999TI;376,3
servicios;ambos sexos;1998TIV;77,1
servicios;ambos sexos;1998TIII;77,4
servicios;ambos sexos;1998TII;80,3
servicios;ambos sexos;1998TI;83,6
servicios;ambos sexos;1997TIV;76,0
servicios;ambos sexos;1997TIII;69,8
servicios;ambos sexos;1997TII;72,4
servicios;ambos sexos;1997TI;72,0
servicios;ambos sexos;1996TIV;58,8
servicios;ambos sexos;1996TIII;52,9
servicios;ambos sexos;1996TII;60,9
servicios;ambos sexos;1996TI;57,7
servicios;varones;2001TIV;89,9
servicios;varones;2001TIII;86,7
servicios;varones;2001TII;89,5
servicios;varones;2001TI;90,0
servicios;varones;2000TIV;89,9
servicios;varones;2000TIII;101,5
servicios;varones;2000TII;107,8
servicios;varones;2000TI;103,8
servicios;varones;1999TIV;102,6
servicios;varones;1999TIII;108,0
servicios;varones;1999TII;111,0
servicios;varones;1999TI;106,6
servicios;varones;1998TIV;18,3
servicios;varones;1998TIII;17,8
servicios;varones;1998TII;19,7
servicios;varones;1998TI;18,1
servicios;varones;1997TIV;17,7
servicios;varones;1997TIII;18,7
servicios;varones;1997TII;19,0
servicios;varones;1997TI;17,8
servicios;varones;1996TIV;14,8
servicios;varones;1996TIII;14,8
servicios;varones;1996TII;16,2
servicios;varones;1996TI;11,6
servicios;mujeres;2001TIV;293,7
servicios;mujeres;2001TIII;272,3
servicios;mujeres;2001TII;303,9
servicios;mujeres;2001TI;300,2
servicios;mujeres;2000TIV;288,7
servicios;mujeres;2000TIII;284,4
servicios;mujeres;2000TII;316,2
servicios;mujeres;2000TI;301,3
servicios;mujeres;1999TIV;294,8
servicios;mujeres;1999TIII;276,1
servicios;mujeres;1999TII;296,0
servicios;mujeres;1999TI;269,7
servicios;mujeres;1998TIV;58,8
servicios;mujeres;1998TIII;59,7
servicios;mujeres;1998TII;60,5
servicios;mujeres;1998TI;65,5
servicios;mujeres;1997TIV;58,3
servicios;mujeres;1997TIII;51,1
servicios;mujeres;1997TII;53,3
servicios;mujeres;1997TI;54,1
servicios;mujeres;1996TIV;44,1
servicios;mujeres;1996TIII;38,1
servicios;mujeres;1996TII;44,7
servicios;mujeres;1996TI;46,1
