Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Total;2025T4;3.641,4
Ambos sexos;Total;Total;2025T3;3.532,7
Ambos sexos;Total;Total;2025T2;3.521,9
Ambos sexos;Total;Total;2025T1;3.499,1
Ambos sexos;Total;Total;2024T4;3.591,2
Ambos sexos;Total;Total;2024T3;3.540,8
Ambos sexos;Total;Total;2024T2;3.557,9
Ambos sexos;Total;Total;2024T1;3.551
Ambos sexos;Total;Total;2023T4;3.576,6
Ambos sexos;Total;Total;2023T3;3.516,2
Ambos sexos;Total;Total;2023T2;3.503,9
Ambos sexos;Total;Total;2023T1;3.495
Ambos sexos;Total;Total;2022T4;3.497,2
Ambos sexos;Total;Total;2022T3;3.487,8
Ambos sexos;Total;Total;2022T2;3.431,9
Ambos sexos;Total;Total;2022T1;3.450,2
Ambos sexos;Total;Total;2021T4;3.457,5
Ambos sexos;Total;Total;2021T3;3.458,9
Ambos sexos;Total;Total;2021T2;3.409
Ambos sexos;Total;Total;2021T1;3.369,7
Ambos sexos;Total;Total;2020T4;3.379,1
Ambos sexos;Total;Total;2020T3;3.337,1
Ambos sexos;Total;Total;2020T2;3.225,9
Ambos sexos;Total;Total;2020T1;3.248
Ambos sexos;Total;Total;2019T4;3.253,3
Ambos sexos;Total;Total;2019T3;3.228,7
Ambos sexos;Total;Total;2019T2;3.194,5
Ambos sexos;Total;Total;2019T1;3.213,6
Ambos sexos;Total;Total;2018T4;3.211
Ambos sexos;Total;Total;2018T3;3.167,5
Ambos sexos;Total;Total;2018T2;3.117,8
Ambos sexos;Total;Total;2018T1;3.105,8
Ambos sexos;Total;Total;2017T4;3.074,7
Ambos sexos;Total;Total;2017T3;3.062,1
Ambos sexos;Total;Total;2017T2;3.003,8
Ambos sexos;Total;Total;2017T1;2.973,8
Ambos sexos;Total;Total;2016T4;2.986,1
Ambos sexos;Total;Total;2016T3;3.003,9
Ambos sexos;Total;Total;2016T2;2.995
Ambos sexos;Total;Total;2016T1;3.018,3
Ambos sexos;Total;Total;2015T4;3.000,7
Ambos sexos;Total;Total;2015T3;2.986,4
Ambos sexos;Total;Total;2015T2;2.956,3
Ambos sexos;Total;Total;2015T1;2.956,7
Ambos sexos;Total;Total;2014T4;2.927,5
Ambos sexos;Total;Total;2014T3;2.925,6
Ambos sexos;Total;Total;2014T2;2.929,5
Ambos sexos;Total;Total;2014T1;2.920,5
Ambos sexos;Total;Total;2013T4;2.909,4
Ambos sexos;Total;Total;2013T3;2.943,2
Ambos sexos;Total;Total;2013T2;2.945
Ambos sexos;Total;Total;2013T1;2.951,7
Ambos sexos;Total;Total;2012T4;3.021,1
Ambos sexos;Total;Total;2012T3;3.087,3
Ambos sexos;Total;Total;2012T2;3.140,5
Ambos sexos;Total;Total;2012T1;3.200,5
Ambos sexos;Total;Total;2011T4;3.234,7
Ambos sexos;Total;Total;2011T3;3.306,6
