Sexo;Rama de actividad CNAE 2009;Realizan o no, horas extraordinarias;Periodo;Total
Ambos sexos;Total;Total;2025T4;19.159,1
Ambos sexos;Total;Total;2025T3;19.107,8
Ambos sexos;Total;Total;2025T2;18.978,6
Ambos sexos;Total;Total;2025T1;18.499,2
Ambos sexos;Total;Total;2024T4;18.589,2
Ambos sexos;Total;Total;2024T3;18.665
Ambos sexos;Total;Total;2024T2;18.441
Ambos sexos;Total;Total;2024T1;18.063,9
Ambos sexos;Total;Total;2023T4;18.133,7
Ambos sexos;Total;Total;2023T3;18.249,7
Ambos sexos;Total;Total;2023T2;17.998,8
Ambos sexos;Total;Total;2023T1;17.469,6
Ambos sexos;Total;Total;2022T4;17.494,2
Ambos sexos;Total;Total;2022T3;17.559
Ambos sexos;Total;Total;2022T2;17.406,6
Ambos sexos;Total;Total;2022T1;17.017,8
Ambos sexos;Total;Total;2021T4;17.038,1
Ambos sexos;Total;Total;2021T3;16.958,8
Ambos sexos;Total;Total;2021T2;16.527,5
Ambos sexos;Total;Total;2021T1;16.118,6
Ambos sexos;Total;Total;2020T4;16.241,5
Ambos sexos;Total;Total;2020T3;16.108
Ambos sexos;Total;Total;2020T2;15.526,8
Ambos sexos;Total;Total;2020T1;16.560,1
Ambos sexos;Total;Total;2019T4;16.846,1
Ambos sexos;Total;Total;2019T3;16.790
Ambos sexos;Total;Total;2019T2;16.688,3
Ambos sexos;Total;Total;2019T1;16.357,7
Ambos sexos;Total;Total;2018T4;16.453,6
Ambos sexos;Total;Total;2018T3;16.433,6
Ambos sexos;Total;Total;2018T2;16.257,3
Ambos sexos;Total;Total;2018T1;15.792,2
Ambos sexos;Total;Total;2017T4;15.922,6
Ambos sexos;Total;Total;2017T3;15.906,7
Ambos sexos;Total;Total;2017T2;15.690,3
Ambos sexos;Total;Total;2017T1;15.340,8
Ambos sexos;Total;Total;2016T4;15.385,4
Ambos sexos;Total;Total;2016T3;15.404,6
Ambos sexos;Total;Total;2016T2;15.187,8
Ambos sexos;Total;Total;2016T1;14.935,1
Ambos sexos;Total;Total;2015T4;14.988,8
Ambos sexos;Total;Total;2015T3;14.948,9
Ambos sexos;Total;Total;2015T2;14.762,3
Ambos sexos;Total;Total;2015T1;14.393,9
Ambos sexos;Total;Total;2014T4;14.483,1
Ambos sexos;Total;Total;2014T3;14.413,1
Ambos sexos;Total;Total;2014T2;14.317,5
Ambos sexos;Total;Total;2014T1;13.929,5
Ambos sexos;Total;Total;2013T4;14.093,4
Ambos sexos;Total;Total;2013T3;14.123,9
Ambos sexos;Total;Total;2013T2;14.072,2
Ambos sexos;Total;Total;2013T1;13.987
Ambos sexos;Total;Total;2012T4;14.288,7
Ambos sexos;Total;Total;2012T3;14.560,9
Ambos sexos;Total;Total;2012T2;14.720,3
Ambos sexos;Total;Total;2012T1;14.723,7
Ambos sexos;Total;Total;2011T4;15.150,5
Ambos sexos;Total;Total;2011T3;15.479,3
Ambos sexos;Total;Total;2011T2;15.579,5
Ambos sexos;Total;Total;2011T1;15.367,4
Ambos sexos;Total;Total;2010T4;15.554,7
Ambos sexos;Total;Total;2010T3;15.705,1
Ambos sexos;Total;Total;2010T2;15.619,9
Ambos sexos;Total;Total;2010T1;15.489,6
Ambos sexos;Total;Total;2009T4;15.724,6
Ambos sexos;Total;Total;2009T3;15.863,8
Ambos sexos;Total;Total;2009T2;15.923,1
Ambos sexos;Total;Total;2009T1;16.013
Ambos sexos;Total;Total;2008T4;16.477,2
Ambos sexos;Total;Total;2008T3;16.920,1
Ambos sexos;Total;Total;2008T2;17.037,5
Ambos sexos;Total;Total;2008T1;17.010,1
Ambos sexos;Total;No realizan horas extra;2025T4;18.197,3
Ambos sexos;Total;No realizan horas extra;2025T3;18.213,3
Ambos sexos;Total;No realizan horas extra;2025T2;17.966,1
Ambos sexos;Total;No realizan horas extra;2025T1;17.589,1
Ambos sexos;Total;No realizan horas extra;2024T4;17.554,7
Ambos sexos;Total;No realizan horas extra;2024T3;17.786,6
Ambos sexos;Total;No realizan horas extra;2024T2;17.432
Ambos sexos;Total;No realizan horas extra;2024T1;17.178,9
Ambos sexos;Total;No realizan horas extra;2023T4;17.238,2
Ambos sexos;Total;No realizan horas extra;2023T3;17.479,7
Ambos sexos;Total;No realizan horas extra;2023T2;17.121
Ambos sexos;Total;No realizan horas extra;2023T1;16.605,7
Ambos sexos;Total;No realizan horas extra;2022T4;16.585,9
Ambos sexos;Total;No realizan horas extra;2022T3;16.741,4
Ambos sexos;Total;No realizan horas extra;2022T2;16.531,4
Ambos sexos;Total;No realizan horas extra;2022T1;16.159
Ambos sexos;Total;No realizan horas extra;2021T4;16.205
Ambos sexos;Total;No realizan horas extra;2021T3;16.279,2
Ambos sexos;Total;No realizan horas extra;2021T2;15.705,3
Ambos sexos;Total;No realizan horas extra;2021T1;15.380,4
Ambos sexos;Total;No realizan horas extra;2020T4;15.469,5
Ambos sexos;Total;No realizan horas extra;2020T3;15.460,5
Ambos sexos;Total;No realizan horas extra;2020T2;14.907,6
Ambos sexos;Total;No realizan horas extra;2020T1;15.672,6
Ambos sexos;Total;No realizan horas extra;2019T4;16.027,3
Ambos sexos;Total;No realizan horas extra;2019T3;16.105,9
Ambos sexos;Total;No realizan horas extra;2019T2;15.924,2
Ambos sexos;Total;No realizan horas extra;2019T1;15.622,2
Ambos sexos;Total;No realizan horas extra;2018T4;15.656,6
Ambos sexos;Total;No realizan horas extra;2018T3;15.716,5
Ambos sexos;Total;No realizan horas extra;2018T2;15.431,8
Ambos sexos;Total;No realizan horas extra;2018T1;15.007,9
Ambos sexos;Total;No realizan horas extra;2017T4;15.185,8
Ambos sexos;Total;No realizan horas extra;2017T3;15.262,8
Ambos sexos;Total;No realizan horas extra;2017T2;14.944,2
Ambos sexos;Total;No realizan horas extra;2017T1;14.596,3
Ambos sexos;Total;No realizan horas extra;2016T4;14.696,2
Ambos sexos;Total;No realizan horas extra;2016T3;14.805,2
Ambos sexos;Total;No realizan horas extra;2016T2;14.449,7
Ambos sexos;Total;No realizan horas extra;2016T1;14.223,7
Ambos sexos;Total;No realizan horas extra;2015T4;14.261,2
Ambos sexos;Total;No realizan horas extra;2015T3;14.285,3
Ambos sexos;Total;No realizan horas extra;2015T2;13.994,2
Ambos sexos;Total;No realizan horas extra;2015T1;13.721,7
Ambos sexos;Total;No realizan horas extra;2014T4;13.827,5
Ambos sexos;Total;No realizan horas extra;2014T3;13.818,4
Ambos sexos;Total;No realizan horas extra;2014T2;13.664,5
Ambos sexos;Total;No realizan horas extra;2014T1;13.251,9
Ambos sexos;Total;No realizan horas extra;2013T4;13.336,4
Ambos sexos;Total;No realizan horas extra;2013T3;13.534,1
Ambos sexos;Total;No realizan horas extra;2013T2;13.339,9
Ambos sexos;Total;No realizan horas extra;2013T1;13.365,5
Ambos sexos;Total;No realizan horas extra;2012T4;13.680,5
Ambos sexos;Total;No realizan horas extra;2012T3;14.028
Ambos sexos;Total;No realizan horas extra;2012T2;14.058,3
Ambos sexos;Total;No realizan horas extra;2012T1;14.078
Ambos sexos;Total;No realizan horas extra;2011T4;14.495,1
Ambos sexos;Total;No realizan horas extra;2011T3;14.859,5
Ambos sexos;Total;No realizan horas extra;2011T2;14.846,5
Ambos sexos;Total;No realizan horas extra;2011T1;14.612,5
Ambos sexos;Total;No realizan horas extra;2010T4;14.863,8
Ambos sexos;Total;No realizan horas extra;2010T3;15.097,1
Ambos sexos;Total;No realizan horas extra;2010T2;14.860,3
Ambos sexos;Total;No realizan horas extra;2010T1;14.746,3
