Sexo;Edad;Motivos de la jornada parcial;Periodo;Total
Ambos sexos;Total;Total;2025T4;3.089,7
Ambos sexos;Total;Total;2025T3;2.897,8
Ambos sexos;Total;Total;2025T2;3.093,9
Ambos sexos;Total;Total;2025T1;3.075,9
Ambos sexos;Total;Total;2024T4;3.059
Ambos sexos;Total;Total;2024T3;2.793,9
Ambos sexos;Total;Total;2024T2;2.942,6
Ambos sexos;Total;Total;2024T1;2.941,5
Ambos sexos;Total;Total;2023T4;2.881,6
Ambos sexos;Total;Total;2023T3;2.689,8
Ambos sexos;Total;Total;2023T2;2.876,3
Ambos sexos;Total;Total;2023T1;2.826,8
Ambos sexos;Total;Total;2022T4;2.804,8
Ambos sexos;Total;Total;2022T3;2.664,1
Ambos sexos;Total;Total;2022T2;2.838,2
Ambos sexos;Total;Total;2022T1;2.832,5
Ambos sexos;Total;Total;2021T4;2.747,7
Ambos sexos;Total;Total;2021T3;2.703,7
Ambos sexos;Total;Total;2021T2;2.845,1
Ambos sexos;Total;Total;2021T1;2.707,9
Ambos sexos;Total;Total;2020T4;2.799,1
Ambos sexos;Total;Total;2020T3;2.654,7
Ambos sexos;Total;Total;2020T2;2.486,1
Ambos sexos;Total;Total;2020T1;2.848,3
Ambos sexos;Total;Total;2019T4;2.944,8
Ambos sexos;Total;Total;2019T3;2.789,2
Ambos sexos;Total;Total;2019T2;2.951,5
Ambos sexos;Total;Total;2019T1;2.900,7
Ambos sexos;Total;Total;2018T4;2.894,8
Ambos sexos;Total;Total;2018T3;2.713,8
Ambos sexos;Total;Total;2018T2;2.899,7
Ambos sexos;Total;Total;2018T1;2.814,3
Ambos sexos;Total;Total;2017T4;2.805,4
Ambos sexos;Total;Total;2017T3;2.725,8
Ambos sexos;Total;Total;2017T2;2.870,1
Ambos sexos;Total;Total;2017T1;2.874,3
Ambos sexos;Total;Total;2016T4;2.833
Ambos sexos;Total;Total;2016T3;2.697,1
Ambos sexos;Total;Total;2016T2;2.801,1
Ambos sexos;Total;Total;2016T1;2.830,8
Ambos sexos;Total;Total;2015T4;2.843,7
Ambos sexos;Total;Total;2015T3;2.750,4
Ambos sexos;Total;Total;2015T2;2.818,1
Ambos sexos;Total;Total;2015T1;2.836,6
Ambos sexos;Total;Total;2014T4;2.820,4
Ambos sexos;Total;Total;2014T3;2.624,5
Ambos sexos;Total;Total;2014T2;2.844,1
Ambos sexos;Total;Total;2014T1;2.746,1
Ambos sexos;Total;Total;2013T4;2.753,9
Ambos sexos;Total;Total;2013T3;2.613,7
Ambos sexos;Total;Total;2013T2;2.771,1
Ambos sexos;Total;Total;2013T1;2.690,4
Ambos sexos;Total;Total;2012T4;2.616
Ambos sexos;Total;Total;2012T3;2.495,4
Ambos sexos;Total;Total;2012T2;2.606
Ambos sexos;Total;Total;2012T1;2.501,4
Ambos sexos;Total;Total;2011T4;2.452,6
Ambos sexos;Total;Total;2011T3;2.395,3
Ambos sexos;Total;Total;2011T2;2.586,5
Ambos sexos;Total;Total;2011T1;2.557,9
Ambos sexos;Total;Total;2010T4;2.466
Ambos sexos;Total;Total;2010T3;2.361,3
Ambos sexos;Total;Total;2010T2;2.482,5
Ambos sexos;Total;Total;2010T1;2.442,8
Ambos sexos;Total;Total;2009T4;2.457,4
Ambos sexos;Total;Total;2009T3;2.300,5
Ambos sexos;Total;Total;2009T2;2.425,3
Ambos sexos;Total;Total;2009T1;2.403,6
Ambos sexos;Total;Total;2008T4;2.459,3
Ambos sexos;Total;Total;2008T3;2.298,8
Ambos sexos;Total;Total;2008T2;2.431,7
Ambos sexos;Total;Total;2008T1;2.434,2
Ambos sexos;Total;Total;2007T4;2.368,9
Ambos sexos;Total;Total;2007T3;2.265,4
Ambos sexos;Total;Total;2007T2;2.420,8
Ambos sexos;Total;Total;2007T1;2.483,1
Ambos sexos;Total;Total;2006T4;2.362,2
Ambos sexos;Total;Total;2006T3;2.239,6
Ambos sexos;Total;Total;2006T2;2.396,6
Ambos sexos;Total;Total;2006T1;2.400,8
Ambos sexos;Total;Total;2005T4;2.306,1
Ambos sexos;Total;Total;2005T3;2.223,6
Ambos sexos;Total;Total;2005T2;2.416,2
Ambos sexos;Total;Total;2005T1;2.427,4
