Sexo;Sector económico;Edad;Periodo;Total
Ambos sexos;Total;Total;2026T1;22.293
Ambos sexos;Total;De 16 a 19 años;2026T1;174,1
Ambos sexos;Total;De 20 a 24 años;2026T1;1.180,4
Ambos sexos;Total;De 25 a 54 años;2026T1;16.005,4
Ambos sexos;Total;De 55 y más años;2026T1;4.933
Ambos sexos;Agricultura;Total;2026T1;793,4
Ambos sexos;Agricultura;De 16 a 19 años;2026T1;9,7
Ambos sexos;Agricultura;De 20 a 24 años;2026T1;33,4
Ambos sexos;Agricultura;De 25 a 54 años;2026T1;508,5
Ambos sexos;Agricultura;De 55 y más años;2026T1;241,8
Ambos sexos;Industria;Total;2026T1;3.064,9
Ambos sexos;Industria;De 16 a 19 años;2026T1;19,3
Ambos sexos;Industria;De 20 a 24 años;2026T1;143,1
Ambos sexos;Industria;De 25 a 54 años;2026T1;2.298,9
Ambos sexos;Industria;De 55 y más años;2026T1;603,6
Ambos sexos;Construcción;Total;2026T1;1.555,4
Ambos sexos;Construcción;De 16 a 19 años;2026T1;15
Ambos sexos;Construcción;De 20 a 24 años;2026T1;55,8
Ambos sexos;Construcción;De 25 a 54 años;2026T1;1.153,3
Ambos sexos;Construcción;De 55 y más años;2026T1;331,4
Ambos sexos;Servicios;Total;2026T1;16.879,3
Ambos sexos;Servicios;De 16 a 19 años;2026T1;130,1
Ambos sexos;Servicios;De 20 a 24 años;2026T1;948,1
Ambos sexos;Servicios;De 25 a 54 años;2026T1;12.044,8
Ambos sexos;Servicios;De 55 y más años;2026T1;3.756,2
Hombres;Total;Total;2026T1;11.925,7
Hombres;Total;De 16 a 19 años;2026T1;112
Hombres;Total;De 20 a 24 años;2026T1;656
Hombres;Total;De 25 a 54 años;2026T1;8.515
Hombres;Total;De 55 y más años;2026T1;2.642,7
Hombres;Agricultura;Total;2026T1;593,5
Hombres;Agricultura;De 16 a 19 años;2026T1;8
Hombres;Agricultura;De 20 a 24 años;2026T1;26,8
Hombres;Agricultura;De 25 a 54 años;2026T1;378,6
Hombres;Agricultura;De 55 y más años;2026T1;180,1
Hombres;Industria;Total;2026T1;2.194,1
Hombres;Industria;De 16 a 19 años;2026T1;14,8
Hombres;Industria;De 20 a 24 años;2026T1;102,9
Hombres;Industria;De 25 a 54 años;2026T1;1.624,7
Hombres;Industria;De 55 y más años;2026T1;451,8
Hombres;Construcción;Total;2026T1;1.408,8
Hombres;Construcción;De 16 a 19 años;2026T1;14,9
Hombres;Construcción;De 20 a 24 años;2026T1;49,9
Hombres;Construcción;De 25 a 54 años;2026T1;1.037,7
Hombres;Construcción;De 55 y más años;2026T1;306,3
Hombres;Servicios;Total;2026T1;7.729,3
Hombres;Servicios;De 16 a 19 años;2026T1;74,4
Hombres;Servicios;De 20 a 24 años;2026T1;476,4
Hombres;Servicios;De 25 a 54 años;2026T1;5.474,1
Hombres;Servicios;De 55 y más años;2026T1;1.704,5
Mujeres;Total;Total;2026T1;10.367,2
Mujeres;Total;De 16 a 19 años;2026T1;62,1
Mujeres;Total;De 20 a 24 años;2026T1;524,5
Mujeres;Total;De 25 a 54 años;2026T1;7.490,4
Mujeres;Total;De 55 y más años;2026T1;2.290,3
Mujeres;Agricultura;Total;2026T1;199,9
Mujeres;Agricultura;De 16 a 19 años;2026T1;1,7
Mujeres;Agricultura;De 20 a 24 años;2026T1;6,6
Mujeres;Agricultura;De 25 a 54 años;2026T1;129,9
Mujeres;Agricultura;De 55 y más años;2026T1;61,7
Mujeres;Industria;Total;2026T1;870,8
Mujeres;Industria;De 16 a 19 años;2026T1;4,6
Mujeres;Industria;De 20 a 24 años;2026T1;40,2
Mujeres;Industria;De 25 a 54 años;2026T1;674,2
Mujeres;Industria;De 55 y más años;2026T1;151,8
Mujeres;Construcción;Total;2026T1;146,6
Mujeres;Construcción;De 16 a 19 años;2026T1;0,1
Mujeres;Construcción;De 20 a 24 años;2026T1;5,9
Mujeres;Construcción;De 25 a 54 años;2026T1;115,6
Mujeres;Construcción;De 55 y más años;2026T1;25
Mujeres;Servicios;Total;2026T1;9.150
Mujeres;Servicios;De 16 a 19 años;2026T1;55,7
Mujeres;Servicios;De 20 a 24 años;2026T1;471,7
Mujeres;Servicios;De 25 a 54 años;2026T1;6.570,7
Mujeres;Servicios;De 55 y más años;2026T1;2.051,7
