Sexo;Ocupación CNO-11;Situación profesional;Periodo;Total
Ambos sexos;Total;Total;2025T4;22.463,3
Ambos sexos;Total;Total;2025T3;22.387,1
Ambos sexos;Total;Total;2025T2;22.268,7
Ambos sexos;Total;Total;2025T1;21.765,4
Ambos sexos;Total;Total;2024T4;21.857,9
Ambos sexos;Total;Total;2024T3;21.823
Ambos sexos;Total;Total;2024T2;21.684,7
Ambos sexos;Total;Total;2024T1;21.250
Ambos sexos;Total;Total;2023T4;21.389,7
Ambos sexos;Total;Total;2023T3;21.446,5
Ambos sexos;Total;Total;2023T2;21.258,4
Ambos sexos;Total;Total;2023T1;20.634,2
Ambos sexos;Total;Total;2022T4;20.640,7
Ambos sexos;Total;Total;2022T3;20.745,4
Ambos sexos;Total;Total;2022T2;20.607,2
Ambos sexos;Total;Total;2022T1;20.196,7
Ambos sexos;Total;Total;2021T4;20.274,8
Ambos sexos;Total;Total;2021T3;20.103,3
Ambos sexos;Total;Total;2021T2;19.716,1
Ambos sexos;Total;Total;2021T1;19.239,6
Ambos sexos;Total;Total;2020T4;19.344,3
Ambos sexos;Total;Total;2020T3;19.176,9
Ambos sexos;Total;Total;2020T2;18.607,2
Ambos sexos;Total;Total;2020T1;19.681,3
Ambos sexos;Total;Total;2019T4;19.966,9
Ambos sexos;Total;Total;2019T3;19.874,3
Ambos sexos;Total;Total;2019T2;19.804,9
Ambos sexos;Total;Total;2019T1;19.471,1
Ambos sexos;Total;Total;2018T4;19.564,6
Ambos sexos;Total;Total;2018T3;19.528
Ambos sexos;Total;Total;2018T2;19.344,1
Ambos sexos;Total;Total;2018T1;18.874,2
Ambos sexos;Total;Total;2017T4;18.998,4
Ambos sexos;Total;Total;2017T3;19.049,2
Ambos sexos;Total;Total;2017T2;18.813,3
Ambos sexos;Total;Total;2017T1;18.438,3
Ambos sexos;Total;Total;2016T4;18.508,1
Ambos sexos;Total;Total;2016T3;18.527,5
Ambos sexos;Total;Total;2016T2;18.301
Ambos sexos;Total;Total;2016T1;18.029,6
Ambos sexos;Total;Total;2015T4;18.094,2
Ambos sexos;Total;Total;2015T3;18.048,7
Ambos sexos;Total;Total;2015T2;17.866,5
Ambos sexos;Total;Total;2015T1;17.454,8
Ambos sexos;Total;Total;2014T4;17.569,1
Ambos sexos;Total;Total;2014T3;17.504
Ambos sexos;Total;Total;2014T2;17.353
Ambos sexos;Total;Total;2014T1;16.950,6
Ambos sexos;Total;Total;2013T4;17.135,2
Ambos sexos;Total;Total;2013T3;17.230
Ambos sexos;Total;Total;2013T2;17.160,6
Ambos sexos;Total;Total;2013T1;17.030,2
Ambos sexos;Total;Total;2012T4;17.339,4
Ambos sexos;Total;Total;2012T3;17.667,7
Ambos sexos;Total;Total;2012T2;17.758,5
Ambos sexos;Total;Total;2012T1;17.765,1
Ambos sexos;Total;Total;2011T4;18.153
Ambos sexos;Total;Total;2011T3;18.484,5
Ambos sexos;Total;Total;2011T2;18.622
Ambos sexos;Total;Total;2011T1;18.426,2
Ambos sexos;Total;Trabajador por cuenta propia;2025T4;3.294,9
Ambos sexos;Total;Trabajador por cuenta propia;2025T3;3.272,6
Ambos sexos;Total;Trabajador por cuenta propia;2025T2;3.283,1
Ambos sexos;Total;Trabajador por cuenta propia;2025T1;3.259,5
Ambos sexos;Total;Trabajador por cuenta propia;2024T4;3.258,1
Ambos sexos;Total;Trabajador por cuenta propia;2024T3;3.150,2
Ambos sexos;Total;Trabajador por cuenta propia;2024T2;3.238
Ambos sexos;Total;Trabajador por cuenta propia;2024T1;3.179,7
Ambos sexos;Total;Trabajador por cuenta propia;2023T4;3.249,5
Ambos sexos;Total;Trabajador por cuenta propia;2023T3;3.186,8
Ambos sexos;Total;Trabajador por cuenta propia;2023T2;3.252,8
Ambos sexos;Total;Trabajador por cuenta propia;2023T1;3.159,8
Ambos sexos;Total;Trabajador por cuenta propia;2022T4;3.141,1
Ambos sexos;Total;Trabajador por cuenta propia;2022T3;3.165,2
Ambos sexos;Total;Trabajador por cuenta propia;2022T2;3.187,8
Ambos sexos;Total;Trabajador por cuenta propia;2022T1;3.164
Ambos sexos;Total;Trabajador por cuenta propia;2021T4;3.222,5
Ambos sexos;Total;Trabajador por cuenta propia;2021T3;3.131,2
Ambos sexos;Total;Trabajador por cuenta propia;2021T2;3.176,4
Ambos sexos;Total;Trabajador por cuenta propia;2021T1;3.098,1
Ambos sexos;Total;Trabajador por cuenta propia;2020T4;3.092,2
Ambos sexos;Total;Trabajador por cuenta propia;2020T3;3.063,3
Ambos sexos;Total;Trabajador por cuenta propia;2020T2;3.073,7
Ambos sexos;Total;Trabajador por cuenta propia;2020T1;3.109,8
Ambos sexos;Total;Trabajador por cuenta propia;2019T4;3.112
Ambos sexos;Total;Trabajador por cuenta propia;2019T3;3.077,7
Ambos sexos;Total;Trabajador por cuenta propia;2019T2;3.108,3
Ambos sexos;Total;Trabajador por cuenta propia;2019T1;3.106,2
Ambos sexos;Total;Trabajador por cuenta propia;2018T4;3.104,5
Ambos sexos;Total;Trabajador por cuenta propia;2018T3;3.086,5
Ambos sexos;Total;Trabajador por cuenta propia;2018T2;3.079,3
Ambos sexos;Total;Trabajador por cuenta propia;2018T1;3.075,8
Ambos sexos;Total;Trabajador por cuenta propia;2017T4;3.069,8
Ambos sexos;Total;Trabajador por cuenta propia;2017T3;3.136,2
Ambos sexos;Total;Trabajador por cuenta propia;2017T2;3.115,2
Ambos sexos;Total;Trabajador por cuenta propia;2017T1;3.091,4
Ambos sexos;Total;Trabajador por cuenta propia;2016T4;3.115,2
Ambos sexos;Total;Trabajador por cuenta propia;2016T3;3.116,9
Ambos sexos;Total;Trabajador por cuenta propia;2016T2;3.106
Ambos sexos;Total;Trabajador por cuenta propia;2016T1;3.090,3
Ambos sexos;Total;Trabajador por cuenta propia;2015T4;3.101,2
Ambos sexos;Total;Trabajador por cuenta propia;2015T3;3.094,4
Ambos sexos;Total;Trabajador por cuenta propia;2015T2;3.099,2
Ambos sexos;Total;Trabajador por cuenta propia;2015T1;3.055
Ambos sexos;Total;Trabajador por cuenta propia;2014T4;3.078
Ambos sexos;Total;Trabajador por cuenta propia;2014T3;3.085,3
Ambos sexos;Total;Trabajador por cuenta propia;2014T2;3.026,7
Ambos sexos;Total;Trabajador por cuenta propia;2014T1;3.014,3
Ambos sexos;Total;Trabajador por cuenta propia;2013T4;3.034,6
Ambos sexos;Total;Trabajador por cuenta propia;2013T3;3.095,9
Ambos sexos;Total;Trabajador por cuenta propia;2013T2;3.078,9
Ambos sexos;Total;Trabajador por cuenta propia;2013T1;3.033,4
Ambos sexos;Total;Trabajador por cuenta propia;2012T4;3.040,8
Ambos sexos;Total;Trabajador por cuenta propia;2012T3;3.098
Ambos sexos;Total;Trabajador por cuenta propia;2012T2;3.030,8
Ambos sexos;Total;Trabajador por cuenta propia;2012T1;3.034,5
Ambos sexos;Total;Trabajador por cuenta propia;2011T4;2.993,4
Ambos sexos;Total;Trabajador por cuenta propia;2011T3;2.997,8
Ambos sexos;Total;Trabajador por cuenta propia;2011T2;3.034,2
Ambos sexos;Total;Trabajador por cuenta propia;2011T1;3.052,6
Ambos sexos;Total;Empleador;2025T4;965,2
Ambos sexos;Total;Empleador;2025T3;962,9
Ambos sexos;Total;Empleador;2025T2;960,8
Ambos sexos;Total;Empleador;2025T1;927,7
Ambos sexos;Total;Empleador;2024T4;973,2
Ambos sexos;Total;Empleador;2024T3;943,4
Ambos sexos;Total;Empleador;2024T2;956
Ambos sexos;Total;Empleador;2024T1;971,1
Ambos sexos;Total;Empleador;2023T4;1.019,3
Ambos sexos;Total;Empleador;2023T3;1.032,7
Ambos sexos;Total;Empleador;2023T2;1.028,8
Ambos sexos;Total;Empleador;2023T1;998,5
Ambos sexos;Total;Empleador;2022T4;1.004
Ambos sexos;Total;Empleador;2022T3;987,1
Ambos sexos;Total;Empleador;2022T2;1.009,3
Ambos sexos;Total;Empleador;2022T1;974,4
Ambos sexos;Total;Empleador;2021T4;993,2
Ambos sexos;Total;Empleador;2021T3;954,5
Ambos sexos;Total;Empleador;2021T2;944
Ambos sexos;Total;Empleador;2021T1;913,8
Ambos sexos;Total;Empleador;2020T4;861,9
Ambos sexos;Total;Empleador;2020T3;893,9
Ambos sexos;Total;Empleador;2020T2;868,7
Ambos sexos;Total;Empleador;2020T1;926,4
Ambos sexos;Total;Empleador;2019T4;959,1
Ambos sexos;Total;Empleador;2019T3;968
Ambos sexos;Total;Empleador;2019T2;941,8
Ambos sexos;Total;Empleador;2019T1;949,8
Ambos sexos;Total;Empleador;2018T4;959,1
Ambos sexos;Total;Empleador;2018T3;981,4
Ambos sexos;Total;Empleador;2018T2;949,2
Ambos sexos;Total;Empleador;2018T1;950,7
Ambos sexos;Total;Empleador;2017T4;968,3
Ambos sexos;Total;Empleador;2017T3;969,7
Ambos sexos;Total;Empleador;2017T2;977
Ambos sexos;Total;Empleador;2017T1;928,4
Ambos sexos;Total;Empleador;2016T4;905,5
Ambos sexos;Total;Empleador;2016T3;918,2
Ambos sexos;Total;Empleador;2016T2;914,8
Ambos sexos;Total;Empleador;2016T1;899,1
Ambos sexos;Total;Empleador;2015T4;922,6
Ambos sexos;Total;Empleador;2015T3;885,5
Ambos sexos;Total;Empleador;2015T2;890,7
Ambos sexos;Total;Empleador;2015T1;854,2
Ambos sexos;Total;Empleador;2014T4;892,9
Ambos sexos;Total;Empleador;2014T3;905,3
Ambos sexos;Total;Empleador;2014T2;857
Ambos sexos;Total;Empleador;2014T1;853,9
Ambos sexos;Total;Empleador;2013T4;879,2
Ambos sexos;Total;Empleador;2013T3;889,4
Ambos sexos;Total;Empleador;2013T2;866,7
Ambos sexos;Total;Empleador;2013T1;852,5
Ambos sexos;Total;Empleador;2012T4;886
Ambos sexos;Total;Empleador;2012T3;935,5
Ambos sexos;Total;Empleador;2012T2;927
Ambos sexos;Total;Empleador;2012T1;911,9
Ambos sexos;Total;Empleador;2011T4;909,9
Ambos sexos;Total;Empleador;2011T3;943,4
Ambos sexos;Total;Empleador;2011T2;961,2
Ambos sexos;Total;Empleador;2011T1;984,5
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2025T4;2.221,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2025T3;2.214,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2025T2;2.239,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2025T1;2.249,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2024T4;2.190,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2024T3;2.132
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2024T2;2.192,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2024T1;2.120,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2023T4;2.132,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2023T3;2.069,5
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2023T2;2.142,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2023T1;2.073,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2022T4;2.029,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2022T3;2.063,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2022T2;2.072,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2022T1;2.100
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2021T4;2.123,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2021T3;2.065,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2021T2;2.119,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2021T1;2.075,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2020T4;2.128,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2020T3;2.076,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2020T2;2.124,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2020T1;2.088,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2019T4;2.048,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2019T3;2.009,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2019T2;2.060,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2019T1;2.063,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2018T4;2.063,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2018T3;2.001
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2018T2;2.026,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2018T1;2.019,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2017T4;1.998,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2017T3;2.046,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2017T2;2.032,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2017T1;2.052,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2016T4;2.098,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2016T3;2.077,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2016T2;2.086,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2016T1;2.072,5
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2015T4;2.065,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2015T3;2.083,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2015T2;2.073,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2015T1;2.081,5
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2014T4;2.062,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2014T3;2.040,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2014T2;2.045,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2014T1;2.037
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2013T4;2.020,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2013T3;2.069,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2013T2;2.066,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2013T1;2.046,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2012T4;2.020,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2012T3;2.008,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2012T2;1.948,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2012T1;1.963
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2011T4;1.924,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2011T3;1.898,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2011T2;1.893,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2011T1;1.881,2
Ambos sexos;Total;Miembro de una cooperativa;2025T4;25,5
Ambos sexos;Total;Miembro de una cooperativa;2025T3;25,3
Ambos sexos;Total;Miembro de una cooperativa;2025T2;22,5
Ambos sexos;Total;Miembro de una cooperativa;2025T1;21,4
Ambos sexos;Total;Miembro de una cooperativa;2024T4;23,1
Ambos sexos;Total;Miembro de una cooperativa;2024T3;17,4
Ambos sexos;Total;Miembro de una cooperativa;2024T2;29,7
Ambos sexos;Total;Miembro de una cooperativa;2024T1;29
Ambos sexos;Total;Miembro de una cooperativa;2023T4;33,9
Ambos sexos;Total;Miembro de una cooperativa;2023T3;19,1
Ambos sexos;Total;Miembro de una cooperativa;2023T2;21,3
Ambos sexos;Total;Miembro de una cooperativa;2023T1;24,2
Ambos sexos;Total;Miembro de una cooperativa;2022T4;29,2
Ambos sexos;Total;Miembro de una cooperativa;2022T3;23,6
Ambos sexos;Total;Miembro de una cooperativa;2022T2;27,6
Ambos sexos;Total;Miembro de una cooperativa;2022T1;27,2
Ambos sexos;Total;Miembro de una cooperativa;2021T4;26,9
Ambos sexos;Total;Miembro de una cooperativa;2021T3;26,9
Ambos sexos;Total;Miembro de una cooperativa;2021T2;28,9
Ambos sexos;Total;Miembro de una cooperativa;2021T1;22,2
Ambos sexos;Total;Miembro de una cooperativa;2020T4;20,1
Ambos sexos;Total;Miembro de una cooperativa;2020T3;21
Ambos sexos;Total;Miembro de una cooperativa;2020T2;24,3
Ambos sexos;Total;Miembro de una cooperativa;2020T1;23,8
Ambos sexos;Total;Miembro de una cooperativa;2019T4;22,9
Ambos sexos;Total;Miembro de una cooperativa;2019T3;24,4
Ambos sexos;Total;Miembro de una cooperativa;2019T2;29,3
Ambos sexos;Total;Miembro de una cooperativa;2019T1;25,4
Ambos sexos;Total;Miembro de una cooperativa;2018T4;20,6
Ambos sexos;Total;Miembro de una cooperativa;2018T3;27,4
Ambos sexos;Total;Miembro de una cooperativa;2018T2;26,4
Ambos sexos;Total;Miembro de una cooperativa;2018T1;29,3
Ambos sexos;Total;Miembro de una cooperativa;2017T4;22,2
Ambos sexos;Total;Miembro de una cooperativa;2017T3;26,2
Ambos sexos;Total;Miembro de una cooperativa;2017T2;25,9
Ambos sexos;Total;Miembro de una cooperativa;2017T1;21
Ambos sexos;Total;Miembro de una cooperativa;2016T4;24,9
Ambos sexos;Total;Miembro de una cooperativa;2016T3;28,8
Ambos sexos;Total;Miembro de una cooperativa;2016T2;24,3
Ambos sexos;Total;Miembro de una cooperativa;2016T1;27,2
Ambos sexos;Total;Miembro de una cooperativa;2015T4;24
Ambos sexos;Total;Miembro de una cooperativa;2015T3;22,2
Ambos sexos;Total;Miembro de una cooperativa;2015T2;23
Ambos sexos;Total;Miembro de una cooperativa;2015T1;21,5
Ambos sexos;Total;Miembro de una cooperativa;2014T4;24,7
Ambos sexos;Total;Miembro de una cooperativa;2014T3;26,3
Ambos sexos;Total;Miembro de una cooperativa;2014T2;20,8
Ambos sexos;Total;Miembro de una cooperativa;2014T1;26,1
Ambos sexos;Total;Miembro de una cooperativa;2013T4;25,4
Ambos sexos;Total;Miembro de una cooperativa;2013T3;25,7
Ambos sexos;Total;Miembro de una cooperativa;2013T2;20,9
Ambos sexos;Total;Miembro de una cooperativa;2013T1;21,4
Ambos sexos;Total;Miembro de una cooperativa;2012T4;24,2
Ambos sexos;Total;Miembro de una cooperativa;2012T3;24,2
Ambos sexos;Total;Miembro de una cooperativa;2012T2;30,1
Ambos sexos;Total;Miembro de una cooperativa;2012T1;33,5
Ambos sexos;Total;Miembro de una cooperativa;2011T4;30,2
Ambos sexos;Total;Miembro de una cooperativa;2011T3;31,4
Ambos sexos;Total;Miembro de una cooperativa;2011T2;35,1
Ambos sexos;Total;Miembro de una cooperativa;2011T1;33,3
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2025T4;83
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2025T3;69,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2025T2;60
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2025T1;60,6
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2024T4;70,9
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2024T3;57,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2024T2;60
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2024T1;59
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2023T4;64
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2023T3;65,6
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2023T2;60,6
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2023T1;63,5
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2022T4;78,2
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2022T3;91,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2022T2;78,1
