Sexo;Tipo de jornada;Tipo de contrato o relación laboral;Periodo;Total
Ambos sexos;Total;Total;2025T4;22.463,3
Ambos sexos;Total;Total;2025T3;22.387,1
Ambos sexos;Total;Total;2025T2;22.268,7
Ambos sexos;Total;Total;2025T1;21.765,4
Ambos sexos;Total;Total;2024T4;21.857,9
Ambos sexos;Total;Total;2024T3;21.823,0
Ambos sexos;Total;Total;2024T2;21.684,7
Ambos sexos;Total;Total;2024T1;21.250,0
Ambos sexos;Total;Total;2023T4;21.389,7
Ambos sexos;Total;Total;2023T3;21.446,5
Ambos sexos;Total;Total;2023T2;21.258,4
Ambos sexos;Total;Total;2023T1;20.634,2
Ambos sexos;Total;Total;2022T4;20.640,7
Ambos sexos;Total;Total;2022T3;20.745,4
Ambos sexos;Total;Total;2022T2;20.607,2
Ambos sexos;Total;Total;2022T1;20.196,7
Ambos sexos;Total;Total;2021T4;20.274,8
Ambos sexos;Total;Total;2021T3;20.103,3
Ambos sexos;Total;Total;2021T2;19.716,1
Ambos sexos;Total;Total;2021T1;19.239,6
Ambos sexos;Total;Total;2020T4;19.344,3
Ambos sexos;Total;Total;2020T3;19.176,9
Ambos sexos;Total;Total;2020T2;18.607,2
Ambos sexos;Total;Total;2020T1;19.681,3
Ambos sexos;Total;Total;2019T4;19.966,9
Ambos sexos;Total;Total;2019T3;19.874,3
Ambos sexos;Total;Total;2019T2;19.804,9
Ambos sexos;Total;Total;2019T1;19.471,1
Ambos sexos;Total;Total;2018T4;19.564,6
Ambos sexos;Total;Total;2018T3;19.528,0
Ambos sexos;Total;Total;2018T2;19.344,1
Ambos sexos;Total;Total;2018T1;18.874,2
Ambos sexos;Total;Total;2017T4;18.998,4
Ambos sexos;Total;Total;2017T3;19.049,2
Ambos sexos;Total;Total;2017T2;18.813,3
Ambos sexos;Total;Total;2017T1;18.438,3
Ambos sexos;Total;Total;2016T4;18.508,1
Ambos sexos;Total;Total;2016T3;18.527,5
Ambos sexos;Total;Total;2016T2;18.301,0
Ambos sexos;Total;Total;2016T1;18.029,6
Ambos sexos;Total;Total;2015T4;18.094,2
Ambos sexos;Total;Total;2015T3;18.048,7
Ambos sexos;Total;Total;2015T2;17.866,5
Ambos sexos;Total;Total;2015T1;17.454,8
Ambos sexos;Total;Total;2014T4;17.569,1
Ambos sexos;Total;Total;2014T3;17.504,0
Ambos sexos;Total;Total;2014T2;17.353,0
Ambos sexos;Total;Total;2014T1;16.950,6
Ambos sexos;Total;Total;2013T4;17.135,2
Ambos sexos;Total;Total;2013T3;17.230,0
Ambos sexos;Total;Total;2013T2;17.160,6
Ambos sexos;Total;Total;2013T1;17.030,2
Ambos sexos;Total;Total;2012T4;17.339,4
Ambos sexos;Total;Total;2012T3;17.667,7
Ambos sexos;Total;Total;2012T2;17.758,5
Ambos sexos;Total;Total;2012T1;17.765,1
Ambos sexos;Total;Total;2011T4;18.153,0
Ambos sexos;Total;Total;2011T3;18.484,5
Ambos sexos;Total;Total;2011T2;18.622,0
Ambos sexos;Total;Total;2011T1;18.426,2
Ambos sexos;Total;Total;2010T4;18.674,9
Ambos sexos;Total;Total;2010T3;18.819,0
Ambos sexos;Total;Total;2010T2;18.751,1
Ambos sexos;Total;Total;2010T1;18.652,9
Ambos sexos;Total;Total;2009T4;18.890,4
Ambos sexos;Total;Total;2009T3;19.098,4
Ambos sexos;Total;Total;2009T2;19.154,2
Ambos sexos;Total;Total;2009T1;19.284,4
Ambos sexos;Total;Total;2008T4;20.055,3
Ambos sexos;Total;Total;2008T3;20.556,4
Ambos sexos;Total;Total;2008T2;20.646,9
Ambos sexos;Total;Total;2008T1;20.620,0
Ambos sexos;Total;Total;2007T4;20.717,9
Ambos sexos;Total;Total;2007T3;20.753,4
Ambos sexos;Total;Total;2007T2;20.580,9
Ambos sexos;Total;Total;2007T1;20.267,5
Ambos sexos;Total;Total;2006T4;20.195,4
Ambos sexos;Total;Total;2006T3;20.091,0
Ambos sexos;Total;Total;2006T2;19.891,6
Ambos sexos;Total;Total;2006T1;19.578,4
Ambos sexos;Total;Total;2005T4;19.509,2
Ambos sexos;Total;Total;2005T3;19.422,1
Ambos sexos;Total;Total;2005T2;19.160,6
Ambos sexos;Total;Total;2005T1;18.736,1
Ambos sexos;Total;Total;2004T4;18.490,8
Ambos sexos;Total;Total;2004T3;18.289,1
Ambos sexos;Total;Total;2004T2;18.018,9
Ambos sexos;Total;Total;2004T1;17.770,2
Ambos sexos;Total;Total;2003T4;17.740,5
Ambos sexos;Total;Total;2003T3;17.646,0
Ambos sexos;Total;Total;2003T2;17.423,2
Ambos sexos;Total;Total;2003T1;17.092,7
Ambos sexos;Total;Total;2002T4;16.991,9
Ambos sexos;Total;Total;2002T3;16.919,3
Ambos sexos;Total;Total;2002T2;16.766,9
Ambos sexos;Total;Total;2002T1;16.482,3
Ambos sexos;Total;No asalariados;2025T4;3.304,1
Ambos sexos;Total;No asalariados;2025T3;3.279,3
Ambos sexos;Total;No asalariados;2025T2;3.290,1
Ambos sexos;Total;No asalariados;2025T1;3.266,1
Ambos sexos;Total;No asalariados;2024T4;3.268,7
Ambos sexos;Total;No asalariados;2024T3;3.158,0
Ambos sexos;Total;No asalariados;2024T2;3.243,7
Ambos sexos;Total;No asalariados;2024T1;3.186,1
Ambos sexos;Total;No asalariados;2023T4;3.256,1
Ambos sexos;Total;No asalariados;2023T3;3.196,7
Ambos sexos;Total;No asalariados;2023T2;3.259,6
Ambos sexos;Total;No asalariados;2023T1;3.164,6
Ambos sexos;Total;No asalariados;2022T4;3.146,5
Ambos sexos;Total;No asalariados;2022T3;3.186,4
Ambos sexos;Total;No asalariados;2022T2;3.200,6
Ambos sexos;Total;No asalariados;2022T1;3.178,8
Ambos sexos;Total;No asalariados;2021T4;3.236,8
Ambos sexos;Total;No asalariados;2021T3;3.144,5
Ambos sexos;Total;No asalariados;2021T2;3.188,6
Ambos sexos;Total;No asalariados;2021T1;3.121,1
Ambos sexos;Total;No asalariados;2020T4;3.102,8
Ambos sexos;Total;No asalariados;2020T3;3.068,8
Ambos sexos;Total;No asalariados;2020T2;3.080,4
Ambos sexos;Total;No asalariados;2020T1;3.121,1
Ambos sexos;Total;No asalariados;2019T4;3.120,7
Ambos sexos;Total;No asalariados;2019T3;3.084,3
Ambos sexos;Total;No asalariados;2019T2;3.116,6
Ambos sexos;Total;No asalariados;2019T1;3.113,4
Ambos sexos;Total;No asalariados;2018T4;3.111,0
Ambos sexos;Total;No asalariados;2018T3;3.094,4
Ambos sexos;Total;No asalariados;2018T2;3.086,8
Ambos sexos;Total;No asalariados;2018T1;3.082,0
Ambos sexos;Total;No asalariados;2017T4;3.075,8
Ambos sexos;Total;No asalariados;2017T3;3.142,6
Ambos sexos;Total;No asalariados;2017T2;3.123,1
Ambos sexos;Total;No asalariados;2017T1;3.097,5
Ambos sexos;Total;No asalariados;2016T4;3.122,7
Ambos sexos;Total;No asalariados;2016T3;3.122,9
Ambos sexos;Total;No asalariados;2016T2;3.113,2
Ambos sexos;Total;No asalariados;2016T1;3.094,5
Ambos sexos;Total;No asalariados;2015T4;3.105,4
Ambos sexos;Total;No asalariados;2015T3;3.099,8
Ambos sexos;Total;No asalariados;2015T2;3.104,3
Ambos sexos;Total;No asalariados;2015T1;3.060,9
Ambos sexos;Total;No asalariados;2014T4;3.086,0
Ambos sexos;Total;No asalariados;2014T3;3.090,9
Ambos sexos;Total;No asalariados;2014T2;3.035,6
Ambos sexos;Total;No asalariados;2014T1;3.021,1
Ambos sexos;Total;No asalariados;2013T4;3.041,8
Ambos sexos;Total;No asalariados;2013T3;3.106,2
Ambos sexos;Total;No asalariados;2013T2;3.088,4
Ambos sexos;Total;No asalariados;2013T1;3.043,2
Ambos sexos;Total;No asalariados;2012T4;3.050,7
Ambos sexos;Total;No asalariados;2012T3;3.106,8
Ambos sexos;Total;No asalariados;2012T2;3.038,1
Ambos sexos;Total;No asalariados;2012T1;3.041,4
Ambos sexos;Total;No asalariados;2011T4;3.002,5
Ambos sexos;Total;No asalariados;2011T3;3.005,1
Ambos sexos;Total;No asalariados;2011T2;3.042,4
Ambos sexos;Total;No asalariados;2011T1;3.058,8
Ambos sexos;Total;No asalariados;2010T4;3.120,2
Ambos sexos;Total;No asalariados;2010T3;3.113,9
Ambos sexos;Total;No asalariados;2010T2;3.131,2
Ambos sexos;Total;No asalariados;2010T1;3.163,3
Ambos sexos;Total;No asalariados;2009T4;3.165,8
Ambos sexos;Total;No asalariados;2009T3;3.234,7
Ambos sexos;Total;No asalariados;2009T2;3.231,1
Ambos sexos;Total;No asalariados;2009T1;3.271,4
Ambos sexos;Total;No asalariados;2008T4;3.578,0
Ambos sexos;Total;No asalariados;2008T3;3.636,3
Ambos sexos;Total;No asalariados;2008T2;3.609,4
Ambos sexos;Total;No asalariados;2008T1;3.609,9
Ambos sexos;Total;No asalariados;2007T4;3.622,9
Ambos sexos;Total;No asalariados;2007T3;3.658,8
Ambos sexos;Total;No asalariados;2007T2;3.599,5
Ambos sexos;Total;No asalariados;2007T1;3.566,3
Ambos sexos;Total;No asalariados;2006T4;3.550,5
Ambos sexos;Total;No asalariados;2006T3;3.542,2
Ambos sexos;Total;No asalariados;2006T2;3.591,4
Ambos sexos;Total;No asalariados;2006T1;3.509,9
Ambos sexos;Total;No asalariados;2005T4;3.484,0
Ambos sexos;Total;No asalariados;2005T3;3.452,8
Ambos sexos;Total;No asalariados;2005T2;3.470,8
Ambos sexos;Total;No asalariados;2005T1;3.524,7
Ambos sexos;Total;No asalariados;2004T4;3.279,3
Ambos sexos;Total;No asalariados;2004T3;3.268,8
Ambos sexos;Total;No asalariados;2004T2;3.267,0
Ambos sexos;Total;No asalariados;2004T1;3.234,6
Ambos sexos;Total;No asalariados;2003T4;3.194,0
Ambos sexos;Total;No asalariados;2003T3;3.177,4
Ambos sexos;Total;No asalariados;2003T2;3.171,3
Ambos sexos;Total;No asalariados;2003T1;3.154,5
Ambos sexos;Total;No asalariados;2002T4;3.122,3
Ambos sexos;Total;No asalariados;2002T3;3.141,8
Ambos sexos;Total;No asalariados;2002T2;3.181,8
Ambos sexos;Total;No asalariados;2002T1;3.178,8
Ambos sexos;Total;Total asalariados;2025T4;19.159,1
Ambos sexos;Total;Total asalariados;2025T3;19.107,8
Ambos sexos;Total;Total asalariados;2025T2;18.978,6
Ambos sexos;Total;Total asalariados;2025T1;18.499,2
Ambos sexos;Total;Total asalariados;2024T4;18.589,2
Ambos sexos;Total;Total asalariados;2024T3;18.665,0
Ambos sexos;Total;Total asalariados;2024T2;18.441,0
Ambos sexos;Total;Total asalariados;2024T1;18.063,9
Ambos sexos;Total;Total asalariados;2023T4;18.133,7
Ambos sexos;Total;Total asalariados;2023T3;18.249,7
Ambos sexos;Total;Total asalariados;2023T2;17.998,8
Ambos sexos;Total;Total asalariados;2023T1;17.469,6
Ambos sexos;Total;Total asalariados;2022T4;17.494,2
Ambos sexos;Total;Total asalariados;2022T3;17.559,0
Ambos sexos;Total;Total asalariados;2022T2;17.406,6
Ambos sexos;Total;Total asalariados;2022T1;17.017,8
Ambos sexos;Total;Total asalariados;2021T4;17.038,1
Ambos sexos;Total;Total asalariados;2021T3;16.958,8
Ambos sexos;Total;Total asalariados;2021T2;16.527,5
Ambos sexos;Total;Total asalariados;2021T1;16.118,6
Ambos sexos;Total;Total asalariados;2020T4;16.241,5
Ambos sexos;Total;Total asalariados;2020T3;16.108,0
Ambos sexos;Total;Total asalariados;2020T2;15.526,8
Ambos sexos;Total;Total asalariados;2020T1;16.560,1
Ambos sexos;Total;Total asalariados;2019T4;16.846,1
Ambos sexos;Total;Total asalariados;2019T3;16.790,0
Ambos sexos;Total;Total asalariados;2019T2;16.688,3
Ambos sexos;Total;Total asalariados;2019T1;16.357,7
Ambos sexos;Total;Total asalariados;2018T4;16.453,6
Ambos sexos;Total;Total asalariados;2018T3;16.433,6
Ambos sexos;Total;Total asalariados;2018T2;16.257,3
Ambos sexos;Total;Total asalariados;2018T1;15.792,2
Ambos sexos;Total;Total asalariados;2017T4;15.922,6
Ambos sexos;Total;Total asalariados;2017T3;15.906,7
Ambos sexos;Total;Total asalariados;2017T2;15.690,3
Ambos sexos;Total;Total asalariados;2017T1;15.340,8
Ambos sexos;Total;Total asalariados;2016T4;15.385,4
Ambos sexos;Total;Total asalariados;2016T3;15.404,6
Ambos sexos;Total;Total asalariados;2016T2;15.187,8
Ambos sexos;Total;Total asalariados;2016T1;14.935,1
Ambos sexos;Total;Total asalariados;2015T4;14.988,8
Ambos sexos;Total;Total asalariados;2015T3;14.948,9
Ambos sexos;Total;Total asalariados;2015T2;14.762,3
Ambos sexos;Total;Total asalariados;2015T1;14.393,9
Ambos sexos;Total;Total asalariados;2014T4;14.483,1
Ambos sexos;Total;Total asalariados;2014T3;14.413,1
Ambos sexos;Total;Total asalariados;2014T2;14.317,5
Ambos sexos;Total;Total asalariados;2014T1;13.929,5
Ambos sexos;Total;Total asalariados;2013T4;14.093,4
Ambos sexos;Total;Total asalariados;2013T3;14.123,9
Ambos sexos;Total;Total asalariados;2013T2;14.072,2
Ambos sexos;Total;Total asalariados;2013T1;13.987,0
Ambos sexos;Total;Total asalariados;2012T4;14.288,7
Ambos sexos;Total;Total asalariados;2012T3;14.560,9
Ambos sexos;Total;Total asalariados;2012T2;14.720,3
Ambos sexos;Total;Total asalariados;2012T1;14.723,7
Ambos sexos;Total;Total asalariados;2011T4;15.150,5
Ambos sexos;Total;Total asalariados;2011T3;15.479,3
Ambos sexos;Total;Total asalariados;2011T2;15.579,5
Ambos sexos;Total;Total asalariados;2011T1;15.367,4
Ambos sexos;Total;Total asalariados;2010T4;15.554,7
Ambos sexos;Total;Total asalariados;2010T3;15.705,1
Ambos sexos;Total;Total asalariados;2010T2;15.619,9
Ambos sexos;Total;Total asalariados;2010T1;15.489,6
Ambos sexos;Total;Total asalariados;2009T4;15.724,6
Ambos sexos;Total;Total asalariados;2009T3;15.863,8
Ambos sexos;Total;Total asalariados;2009T2;15.923,1
Ambos sexos;Total;Total asalariados;2009T1;16.013,0
Ambos sexos;Total;Total asalariados;2008T4;16.477,2
Ambos sexos;Total;Total asalariados;2008T3;16.920,1
Ambos sexos;Total;Total asalariados;2008T2;17.037,5
Ambos sexos;Total;Total asalariados;2008T1;17.010,1
Ambos sexos;Total;Total asalariados;2007T4;17.095,0
Ambos sexos;Total;Total asalariados;2007T3;17.094,6
Ambos sexos;Total;Total asalariados;2007T2;16.981,4
Ambos sexos;Total;Total asalariados;2007T1;16.701,3
Ambos sexos;Total;Total asalariados;2006T4;16.644,9
Ambos sexos;Total;Total asalariados;2006T3;16.548,7
Ambos sexos;Total;Total asalariados;2006T2;16.300,2
Ambos sexos;Total;Total asalariados;2006T1;16.068,5
Ambos sexos;Total;Total asalariados;2005T4;16.025,2
Ambos sexos;Total;Total asalariados;2005T3;15.969,3
Ambos sexos;Total;Total asalariados;2005T2;15.689,7
Ambos sexos;Total;Total asalariados;2005T1;15.211,3
Ambos sexos;Total;Total asalariados;2004T4;15.211,6
Ambos sexos;Total;Total asalariados;2004T3;15.020,3
Ambos sexos;Total;Total asalariados;2004T2;14.751,9
Ambos sexos;Total;Total asalariados;2004T1;14.535,6
Ambos sexos;Total;Total asalariados;2003T4;14.546,4
Ambos sexos;Total;Total asalariados;2003T3;14.468,6
Ambos sexos;Total;Total asalariados;2003T2;14.252,0
Ambos sexos;Total;Total asalariados;2003T1;13.938,2
Ambos sexos;Total;Total asalariados;2002T4;13.869,6
Ambos sexos;Total;Total asalariados;2002T3;13.777,5
Ambos sexos;Total;Total asalariados;2002T2;13.585,1
Ambos sexos;Total;Total asalariados;2002T1;13.303,4
Ambos sexos;Total;Asalariados con contrato indefinido;2025T4;16.260,0
Ambos sexos;Total;Asalariados con contrato indefinido;2025T3;16.132,1
Ambos sexos;Total;Asalariados con contrato indefinido;2025T2;16.057,4
Ambos sexos;Total;Asalariados con contrato indefinido;2025T1;15.702,7
Ambos sexos;Total;Asalariados con contrato indefinido;2024T4;15.712,5
Ambos sexos;Total;Asalariados con contrato indefinido;2024T3;15.601,5
Ambos sexos;Total;Asalariados con contrato indefinido;2024T2;15.498,8
Ambos sexos;Total;Asalariados con contrato indefinido;2024T1;15.226,8
Ambos sexos;Total;Asalariados con contrato indefinido;2023T4;15.123,1
Ambos sexos;Total;Asalariados con contrato indefinido;2023T3;15.077,3
Ambos sexos;Total;Asalariados con contrato indefinido;2023T2;14.849,5
Ambos sexos;Total;Asalariados con contrato indefinido;2023T1;14.412,4
Ambos sexos;Total;Asalariados con contrato indefinido;2022T4;14.314,6
Ambos sexos;Total;Asalariados con contrato indefinido;2022T3;13.972,9
Ambos sexos;Total;Asalariados con contrato indefinido;2022T2;13.494,2
Ambos sexos;Total;Asalariados con contrato indefinido;2022T1;12.877,2
Ambos sexos;Total;Asalariados con contrato indefinido;2021T4;12.680,3
Ambos sexos;Total;Asalariados con contrato indefinido;2021T3;12.523,0
Ambos sexos;Total;Asalariados con contrato indefinido;2021T2;12.356,5
Ambos sexos;Total;Asalariados con contrato indefinido;2021T1;12.257,7
Ambos sexos;Total;Asalariados con contrato indefinido;2020T4;12.240,8
Ambos sexos;Total;Asalariados con contrato indefinido;2020T3;12.214,5
Ambos sexos;Total;Asalariados con contrato indefinido;2020T2;12.056,2
Ambos sexos;Total;Asalariados con contrato indefinido;2020T1;12.417,5
Ambos sexos;Total;Asalariados con contrato indefinido;2019T4;12.448,3
Ambos sexos;Total;Asalariados con contrato indefinido;2019T3;12.313,6
Ambos sexos;Total;Asalariados con contrato indefinido;2019T2;12.288,5
Ambos sexos;Total;Asalariados con contrato indefinido;2019T1;12.124,0
Ambos sexos;Total;Asalariados con contrato indefinido;2018T4;12.034,1
Ambos sexos;Total;Asalariados con contrato indefinido;2018T3;11.925,7
Ambos sexos;Total;Asalariados con contrato indefinido;2018T2;11.900,3
Ambos sexos;Total;Asalariados con contrato indefinido;2018T1;11.669,0
Ambos sexos;Total;Asalariados con contrato indefinido;2017T4;11.670,4
Ambos sexos;Total;Asalariados con contrato indefinido;2017T3;11.551,6
Ambos sexos;Total;Asalariados con contrato indefinido;2017T2;11.484,1
Ambos sexos;Total;Asalariados con contrato indefinido;2017T1;11.390,5
Ambos sexos;Total;Asalariados con contrato indefinido;2016T4;11.312,5
Ambos sexos;Total;Asalariados con contrato indefinido;2016T3;11.252,3
Ambos sexos;Total;Asalariados con contrato indefinido;2016T2;11.281,3
Ambos sexos;Total;Asalariados con contrato indefinido;2016T1;11.194,9
Ambos sexos;Total;Asalariados con contrato indefinido;2015T4;11.142,6
Ambos sexos;Total;Asalariados con contrato indefinido;2015T3;11.039,2
Ambos sexos;Total;Asalariados con contrato indefinido;2015T2;11.058,0
Ambos sexos;Total;Asalariados con contrato indefinido;2015T1;10.997,3
Ambos sexos;Total;Asalariados con contrato indefinido;2014T4;10.972,0
Ambos sexos;Total;Asalariados con contrato indefinido;2014T3;10.861,1
Ambos sexos;Total;Asalariados con contrato indefinido;2014T2;10.887,8
Ambos sexos;Total;Asalariados con contrato indefinido;2014T1;10.707,6
Ambos sexos;Total;Asalariados con contrato indefinido;2013T4;10.759,2
Ambos sexos;Total;Asalariados con contrato indefinido;2013T3;10.726,5
Ambos sexos;Total;Asalariados con contrato indefinido;2013T2;10.851,2
Ambos sexos;Total;Asalariados con contrato indefinido;2013T1;10.917,6
Ambos sexos;Total;Asalariados con contrato indefinido;2012T4;11.028,7
Ambos sexos;Total;Asalariados con contrato indefinido;2012T3;11.086,8
Ambos sexos;Total;Asalariados con contrato indefinido;2012T2;11.271,8
Ambos sexos;Total;Asalariados con contrato indefinido;2012T1;11.260,5
Ambos sexos;Total;Asalariados con contrato indefinido;2011T4;11.393,6
Ambos sexos;Total;Asalariados con contrato indefinido;2011T3;11.478,1
Ambos sexos;Total;Asalariados con contrato indefinido;2011T2;11.634,7
