Sexo;Motivos de no trabajar;Sector económico;Periodo;Total
Ambos sexos;Total;Total;2025T4;2.133,2
Ambos sexos;Total;Total;2025T3;4.410,5
Ambos sexos;Total;Total;2025T2;1.959,2
Ambos sexos;Total;Total;2025T1;2.004,9
Ambos sexos;Total;Total;2024T4;2.144,1
Ambos sexos;Total;Total;2024T3;4.316,4
Ambos sexos;Total;Total;2024T2;1.664,6
Ambos sexos;Total;Total;2024T1;2.087,5
Ambos sexos;Total;Total;2023T4;2.093,4
Ambos sexos;Total;Total;2023T3;4.107,2
Ambos sexos;Total;Total;2023T2;1.678,3
Ambos sexos;Total;Total;2023T1;1.660,1
Ambos sexos;Total;Total;2022T4;1.959,2
Ambos sexos;Total;Total;2022T3;3.896,2
Ambos sexos;Total;Total;2022T2;1.637,9
Ambos sexos;Total;Total;2022T1;1.811,9
Ambos sexos;Total;Total;2021T4;1.941,1
Ambos sexos;Total;Total;2021T3;3.798,8
Ambos sexos;Total;Total;2021T2;1.493,6
Ambos sexos;Total;Total;2021T1;1.948,1
Ambos sexos;Total;Total;2020T4;1.889,1
Ambos sexos;Total;Total;2020T3;3.592,8
Ambos sexos;Total;Total;2020T2;4.706,2
Ambos sexos;Total;Total;2020T1;1.966,9
Ambos sexos;Total;Total;2019T4;1.457,1
Ambos sexos;Total;Total;2019T3;3.136,8
Ambos sexos;Total;Total;2019T2;1.094,1
Ambos sexos;Total;Total;2019T1;1.135,4
Ambos sexos;Total;Total;2018T4;1.337,7
Ambos sexos;Total;Total;2018T3;3.005,9
Ambos sexos;Total;Total;2018T2;958,4
Ambos sexos;Total;Total;2018T1;1.127,2
Ambos sexos;Total;Total;2017T4;1.286,5
Ambos sexos;Total;Total;2017T3;2.969,4
Ambos sexos;Total;Total;2017T2;997,7
Ambos sexos;Total;Total;2017T1;969,2
Ambos sexos;Total;Total;2016T4;1.213,7
Ambos sexos;Total;Total;2016T3;2.776,8
Ambos sexos;Total;Total;2016T2;829,6
Ambos sexos;Total;Total;2016T1;965,4
Ambos sexos;Total;Total;2015T4;1.013,1
Ambos sexos;Total;Total;2015T3;2.640,4
Ambos sexos;Total;Total;2015T2;845,5
Ambos sexos;Total;Total;2015T1;1.004,4
Ambos sexos;Total;Total;2014T4;965,5
