Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;Total;Total;2025T4;1.687,4
Ambos sexos;Total;Total;2025T3;1.619,5
Ambos sexos;Total;Total;2025T2;1.701,2
Ambos sexos;Total;Total;2025T1;1.774,8
Ambos sexos;Total;Total;2024T4;1.700,8
Ambos sexos;Total;Total;2024T3;1.640
Ambos sexos;Total;Total;2024T2;1.651,1
Ambos sexos;Total;Total;2024T1;1.651,7
Ambos sexos;Total;Total;2023T4;1.658,6
Ambos sexos;Total;Total;2023T3;1.606,5
Ambos sexos;Total;Total;2023T2;1.702
Ambos sexos;Total;Total;2023T1;1.672,3
Ambos sexos;Total;Total;2022T4;1.693,4
Ambos sexos;Total;Total;2022T3;1.655
Ambos sexos;Total;Total;2022T2;1.730,1
Ambos sexos;Total;Total;2022T1;1.827
Ambos sexos;Total;Total;2021T4;1.799,2
Ambos sexos;Total;Total;2021T3;1.737,4
Ambos sexos;Total;Total;2021T2;1.955,7
Ambos sexos;Total;Total;2021T1;1.911,2
Ambos sexos;Total;Total;2020T4;1.821,7
Ambos sexos;Total;Total;2020T3;1.783,3
Ambos sexos;Total;Total;2020T2;1.499,1
Ambos sexos;Total;Total;2020T1;1.642,9
Ambos sexos;Total;Total;2019T4;1.806,1
Ambos sexos;Total;Total;2019T3;1.658,3
Ambos sexos;Total;Total;2019T2;1.752,4
Ambos sexos;Total;Total;2019T1;1.774,4
Ambos sexos;Total;Total;2018T4;1.809,8
Ambos sexos;Total;Total;2018T3;1.761
Ambos sexos;Total;Total;2018T2;1.835,9
Ambos sexos;Total;Total;2018T1;1.864
Ambos sexos;Total;Total;2017T4;1.864,7
Ambos sexos;Total;Total;2017T3;1.815,4
Ambos sexos;Total;Total;2017T2;1.941,1
Ambos sexos;Total;Total;2017T1;1.980,7
Ambos sexos;Total;Total;2016T4;1.988
Ambos sexos;Total;Total;2016T3;1.836
Ambos sexos;Total;Total;2016T2;1.965,5
Ambos sexos;Total;Total;2016T1;2.045,3
Ambos sexos;Total;Total;2015T4;2.108,8
Ambos sexos;Total;Total;2015T3;2.097,5
Ambos sexos;Total;Total;2015T2;2.236,3
Ambos sexos;Total;Total;2015T1;2.244,5
Ambos sexos;Total;Total;2014T4;2.290,7
Ambos sexos;Total;Total;2014T3;2.251,2
Ambos sexos;Total;Total;2014T2;2.432,7
Ambos sexos;Total;Total;2014T1;2.429,9
Ambos sexos;Total;Analfabetos;2025T4;6,5
Ambos sexos;Total;Analfabetos;2025T3;5,3
Ambos sexos;Total;Analfabetos;2025T2;4,2
Ambos sexos;Total;Analfabetos;2025T1;7
Ambos sexos;Total;Analfabetos;2024T4;4
Ambos sexos;Total;Analfabetos;2024T3;5,4
Ambos sexos;Total;Analfabetos;2024T2;4,7
Ambos sexos;Total;Analfabetos;2024T1;3,5
Ambos sexos;Total;Analfabetos;2023T4;5
Ambos sexos;Total;Analfabetos;2023T3;2,7
Ambos sexos;Total;Analfabetos;2023T2;6,8
Ambos sexos;Total;Analfabetos;2023T1;5,7
Ambos sexos;Total;Analfabetos;2022T4;7,6
Ambos sexos;Total;Analfabetos;2022T3;6
Ambos sexos;Total;Analfabetos;2022T2;7,9
Ambos sexos;Total;Analfabetos;2022T1;9
Ambos sexos;Total;Analfabetos;2021T4;8,4
Ambos sexos;Total;Analfabetos;2021T3;4,7
Ambos sexos;Total;Analfabetos;2021T2;11,1
Ambos sexos;Total;Analfabetos;2021T1;6,8
Ambos sexos;Total;Analfabetos;2020T4;4,6
Ambos sexos;Total;Analfabetos;2020T3;5,4
Ambos sexos;Total;Analfabetos;2020T2;5,2
Ambos sexos;Total;Analfabetos;2020T1;3,4
Ambos sexos;Total;Analfabetos;2019T4;2,6
Ambos sexos;Total;Analfabetos;2019T3;4,7
Ambos sexos;Total;Analfabetos;2019T2;7
Ambos sexos;Total;Analfabetos;2019T1;6,3
Ambos sexos;Total;Analfabetos;2018T4;3,4
Ambos sexos;Total;Analfabetos;2018T3;3,3
Ambos sexos;Total;Analfabetos;2018T2;3,7
Ambos sexos;Total;Analfabetos;2018T1;3,4
