Método de búsqueda de empleo;Sexo;Periodo;Total
Total;Ambos sexos;2025T4;2.477,1
Total;Ambos sexos;2025T3;2.613,2
Total;Ambos sexos;2025T2;2.553,1
Total;Ambos sexos;2025T1;2.789,2
Total;Ambos sexos;2024T4;2.595,5
Total;Ambos sexos;2024T3;2.754,1
Total;Ambos sexos;2024T2;2.755,3
Total;Ambos sexos;2024T1;2.977,9
Total;Ambos sexos;2023T4;2.860,8
Total;Ambos sexos;2023T3;2.894,5
Total;Ambos sexos;2023T2;2.808,2
Total;Ambos sexos;2023T1;3.186,3
Total;Ambos sexos;2022T4;3.081,6
Total;Ambos sexos;2022T3;3.025,8
Total;Ambos sexos;2022T2;2.994,7
Total;Ambos sexos;2022T1;3.214,7
Total;Ambos sexos;2021T4;3.148,7
Total;Ambos sexos;2021T3;3.467,4
Total;Ambos sexos;2021T2;3.586,4
Total;Ambos sexos;2021T1;3.703,3
Total;Hombres;2025T4;1.153,3
Total;Hombres;2025T3;1.180,4
Total;Hombres;2025T2;1.203
Total;Hombres;2025T1;1.310
Total;Hombres;2024T4;1.232,9
Total;Hombres;2024T3;1.303,6
Total;Hombres;2024T2;1.299,5
Total;Hombres;2024T1;1.408,7
Total;Hombres;2023T4;1.331,1
Total;Hombres;2023T3;1.328,1
Total;Hombres;2023T2;1.307
Total;Hombres;2023T1;1.466,3
Total;Hombres;2022T4;1.438,7
Total;Hombres;2022T3;1.368,2
Total;Hombres;2022T2;1.398,9
Total;Hombres;2022T1;1.511,3
Total;Hombres;2021T4;1.480,1
Total;Hombres;2021T3;1.647,5
Total;Hombres;2021T2;1.675,9
Total;Hombres;2021T1;1.734,7
Total;Mujeres;2025T4;1.323,8
Total;Mujeres;2025T3;1.432,8
Total;Mujeres;2025T2;1.350
Total;Mujeres;2025T1;1.479,1
Total;Mujeres;2024T4;1.362,6
Total;Mujeres;2024T3;1.450,5
Total;Mujeres;2024T2;1.455,8
Total;Mujeres;2024T1;1.569,2
Total;Mujeres;2023T4;1.529,7
Total;Mujeres;2023T3;1.566,5
Total;Mujeres;2023T2;1.501,2
Total;Mujeres;2023T1;1.720
Total;Mujeres;2022T4;1.642,9
Total;Mujeres;2022T3;1.657,6
Total;Mujeres;2022T2;1.595,8
Total;Mujeres;2022T1;1.703,3
Total;Mujeres;2021T4;1.668,6
Total;Mujeres;2021T3;1.819,8
Total;Mujeres;2021T2;1.910,4
Total;Mujeres;2021T1;1.968,6
Ha contactado con una oficina pública de empleo;Ambos sexos;2025T4;485,4
Ha contactado con una oficina pública de empleo;Ambos sexos;2025T3;501,4
Ha contactado con una oficina pública de empleo;Ambos sexos;2025T2;518,1
Ha contactado con una oficina pública de empleo;Ambos sexos;2025T1;560,6
Ha contactado con una oficina pública de empleo;Ambos sexos;2024T4;526,4
Ha contactado con una oficina pública de empleo;Ambos sexos;2024T3;512,8
Ha contactado con una oficina pública de empleo;Ambos sexos;2024T2;508
Ha contactado con una oficina pública de empleo;Ambos sexos;2024T1;581,5
Ha contactado con una oficina pública de empleo;Ambos sexos;2023T4;562,8
Ha contactado con una oficina pública de empleo;Ambos sexos;2023T3;524
Ha contactado con una oficina pública de empleo;Ambos sexos;2023T2;575,2
Ha contactado con una oficina pública de empleo;Ambos sexos;2023T1;681,2
Ha contactado con una oficina pública de empleo;Ambos sexos;2022T4;664,8
Ha contactado con una oficina pública de empleo;Ambos sexos;2022T3;600,7
Ha contactado con una oficina pública de empleo;Ambos sexos;2022T2;612,9
Ha contactado con una oficina pública de empleo;Ambos sexos;2022T1;705
Ha contactado con una oficina pública de empleo;Ambos sexos;2021T4;719,3
Ha contactado con una oficina pública de empleo;Ambos sexos;2021T3;712,4
Ha contactado con una oficina pública de empleo;Ambos sexos;2021T2;757,3
Ha contactado con una oficina pública de empleo;Ambos sexos;2021T1;796,6
Ha contactado con una oficina pública de empleo;Hombres;2025T4;197,6
Ha contactado con una oficina pública de empleo;Hombres;2025T3;215,7
Ha contactado con una oficina pública de empleo;Hombres;2025T2;226,3
Ha contactado con una oficina pública de empleo;Hombres;2025T1;248,1
Ha contactado con una oficina pública de empleo;Hombres;2024T4;236
Ha contactado con una oficina pública de empleo;Hombres;2024T3;235,5
Ha contactado con una oficina pública de empleo;Hombres;2024T2;243
Ha contactado con una oficina pública de empleo;Hombres;2024T1;252,5
Ha contactado con una oficina pública de empleo;Hombres;2023T4;249,7
Ha contactado con una oficina pública de empleo;Hombres;2023T3;233,1
Ha contactado con una oficina pública de empleo;Hombres;2023T2;248,1
Ha contactado con una oficina pública de empleo;Hombres;2023T1;303,2
Ha contactado con una oficina pública de empleo;Hombres;2022T4;303,9
Ha contactado con una oficina pública de empleo;Hombres;2022T3;270,8
Ha contactado con una oficina pública de empleo;Hombres;2022T2;274,6
