Nivel de formación alcanzado;Sexo;Unidad;Periodo;Total
Total;Ambos sexos;Valor absoluto;2025T4;236,4
Total;Ambos sexos;Valor absoluto;2025T3;314,9
Total;Ambos sexos;Valor absoluto;2025T2;265,4
Total;Ambos sexos;Valor absoluto;2025T1;261,7
Total;Ambos sexos;Valor absoluto;2024T4;250,5
Total;Ambos sexos;Valor absoluto;2024T3;327,9
Total;Ambos sexos;Valor absoluto;2024T2;286,1
Total;Ambos sexos;Valor absoluto;2024T1;271,2
Total;Ambos sexos;Valor absoluto;2023T4;306,7
Total;Ambos sexos;Valor absoluto;2023T3;337,3
Total;Ambos sexos;Valor absoluto;2023T2;296,7
Total;Ambos sexos;Valor absoluto;2023T1;319,5
Total;Ambos sexos;Valor absoluto;2022T4;329,5
Total;Ambos sexos;Valor absoluto;2022T3;356,3
Total;Ambos sexos;Valor absoluto;2022T2;327,9
Total;Ambos sexos;Valor absoluto;2022T1;318,4
Total;Ambos sexos;Valor absoluto;2021T4;324
Total;Ambos sexos;Valor absoluto;2021T3;361,9
Total;Ambos sexos;Valor absoluto;2021T2;385,8
Total;Ambos sexos;Valor absoluto;2021T1;333,7
Total;Ambos sexos;Valor absoluto;2020T4;319,5
Total;Ambos sexos;Valor absoluto;2020T3;349,3
Total;Ambos sexos;Valor absoluto;2020T2;242
Total;Ambos sexos;Valor absoluto;2020T1;304,4
Total;Ambos sexos;Valor absoluto;2019T4;309,1
Total;Ambos sexos;Valor absoluto;2019T3;367,1
Total;Ambos sexos;Valor absoluto;2019T2;333,2
Total;Ambos sexos;Valor absoluto;2019T1;321,2
Total;Ambos sexos;Valor absoluto;2018T4;330
Total;Ambos sexos;Valor absoluto;2018T3;369,2
Total;Ambos sexos;Valor absoluto;2018T2;360,7
Total;Ambos sexos;Valor absoluto;2018T1;352,4
Total;Ambos sexos;Valor absoluto;2017T4;399,3
Total;Ambos sexos;Valor absoluto;2017T3;425,2
Total;Ambos sexos;Valor absoluto;2017T2;413,8
Total;Ambos sexos;Valor absoluto;2017T1;404,6
Total;Ambos sexos;Valor absoluto;2016T4;429,8
Total;Ambos sexos;Valor absoluto;2016T3;471,1
Total;Ambos sexos;Valor absoluto;2016T2;472,7
Total;Ambos sexos;Valor absoluto;2016T1;431,9
Total;Ambos sexos;Valor absoluto;2015T4;468,7
Total;Ambos sexos;Valor absoluto;2015T3;566,8
Total;Ambos sexos;Valor absoluto;2015T2;561,6
Total;Ambos sexos;Valor absoluto;2015T1;539,1
Total;Ambos sexos;Valor absoluto;2014T4;560,4
Total;Ambos sexos;Valor absoluto;2014T3;579,2
Total;Ambos sexos;Valor absoluto;2014T2;539,6
Total;Ambos sexos;Valor absoluto;2014T1;525
Total;Ambos sexos;Porcentaje;2025T4;100
Total;Ambos sexos;Porcentaje;2025T3;100
Total;Ambos sexos;Porcentaje;2025T2;100
Total;Ambos sexos;Porcentaje;2025T1;100
Total;Ambos sexos;Porcentaje;2024T4;100
Total;Ambos sexos;Porcentaje;2024T3;100
Total;Ambos sexos;Porcentaje;2024T2;100
Total;Ambos sexos;Porcentaje;2024T1;100
Total;Ambos sexos;Porcentaje;2023T4;100
Total;Ambos sexos;Porcentaje;2023T3;100
Total;Ambos sexos;Porcentaje;2023T2;100
Total;Ambos sexos;Porcentaje;2023T1;100
Total;Ambos sexos;Porcentaje;2022T4;100
Total;Ambos sexos;Porcentaje;2022T3;100
Total;Ambos sexos;Porcentaje;2022T2;100
Total;Ambos sexos;Porcentaje;2022T1;100
Total;Ambos sexos;Porcentaje;2021T4;100
Total;Ambos sexos;Porcentaje;2021T3;100
Total;Ambos sexos;Porcentaje;2021T2;100
Total;Ambos sexos;Porcentaje;2021T1;100
Total;Ambos sexos;Porcentaje;2020T4;100
Total;Ambos sexos;Porcentaje;2020T3;100
Total;Ambos sexos;Porcentaje;2020T2;100
Total;Ambos sexos;Porcentaje;2020T1;100
Total;Ambos sexos;Porcentaje;2019T4;100
Total;Ambos sexos;Porcentaje;2019T3;100
Total;Ambos sexos;Porcentaje;2019T2;100
Total;Ambos sexos;Porcentaje;2019T1;100
Total;Ambos sexos;Porcentaje;2018T4;100
Total;Ambos sexos;Porcentaje;2018T3;100
Total;Ambos sexos;Porcentaje;2018T2;100
Total;Ambos sexos;Porcentaje;2018T1;100
Total;Ambos sexos;Porcentaje;2017T4;100
Total;Ambos sexos;Porcentaje;2017T3;100
Total;Ambos sexos;Porcentaje;2017T2;100
Total;Ambos sexos;Porcentaje;2017T1;100
Total;Ambos sexos;Porcentaje;2016T4;100
Total;Ambos sexos;Porcentaje;2016T3;100
Total;Ambos sexos;Porcentaje;2016T2;100
Total;Ambos sexos;Porcentaje;2016T1;100
