Sexo;Sector económico;Tiempo desde que dejaron el último empleo;Periodo;Total
Ambos sexos;Total;Total;2025T4;2.240,7
Ambos sexos;Total;Total;2025T3;2.298,3
Ambos sexos;Total;Total;2025T2;2.287,7
Ambos sexos;Total;Total;2025T1;2.527,4
Ambos sexos;Total;Total;2024T4;2.345
Ambos sexos;Total;Total;2024T3;2.426,2
Ambos sexos;Total;Total;2024T2;2.469,2
Ambos sexos;Total;Total;2024T1;2.706,7
Ambos sexos;Total;Total;2023T4;2.554,1
Ambos sexos;Total;Total;2023T3;2.557,2
Ambos sexos;Total;Total;2023T2;2.511,5
Ambos sexos;Total;Total;2023T1;2.866,8
Ambos sexos;Total;Total;2022T4;2.752,1
Ambos sexos;Total;Total;2022T3;2.669,5
Ambos sexos;Total;Total;2022T2;2.666,8
Ambos sexos;Total;Total;2022T1;2.896,3
Ambos sexos;Total;Total;2021T4;2.824,7
Ambos sexos;Total;Total;2021T3;3.105,4
Ambos sexos;Total;Total;2021T2;3.200,5
Ambos sexos;Total;Total;2021T1;3.369,6
Ambos sexos;Total;Total;2020T4;3.400,3
Ambos sexos;Total;Total;2020T3;3.373,6
Ambos sexos;Total;Total;2020T2;3.126
Ambos sexos;Total;Total;2020T1;3.008,5
Ambos sexos;Total;Total;2019T4;2.882,8
Ambos sexos;Total;Total;2019T3;2.847,3
Ambos sexos;Total;Total;2019T2;2.897,4
Ambos sexos;Total;Total;2019T1;3.033
Ambos sexos;Total;Total;2018T4;2.974,3
Ambos sexos;Total;Total;2018T3;2.956,7
Ambos sexos;Total;Total;2018T2;3.129,4
Ambos sexos;Total;Total;2018T1;3.443,7
Ambos sexos;Total;Total;2017T4;3.367,4
Ambos sexos;Total;Total;2017T3;3.306,5
Ambos sexos;Total;Total;2017T2;3.500,5
Ambos sexos;Total;Total;2017T1;3.850,4
Ambos sexos;Total;Total;2016T4;3.808
Ambos sexos;Total;Total;2016T3;3.849,7
Ambos sexos;Total;Total;2016T2;4.102
Ambos sexos;Total;Total;2016T1;4.359,5
