Sexo;Motivo de no buscar empleo;Edad;Periodo;Total
Ambos sexos;Total;Total;2025T4;17.374,9
Ambos sexos;Total;Total;2025T3;17.161,2
Ambos sexos;Total;Total;2025T2;17.226,7
Ambos sexos;Total;Total;2025T1;17.366,8
Ambos sexos;Total;Total;2024T4;17.356,7
Ambos sexos;Total;Total;2024T3;17.052,4
Ambos sexos;Total;Total;2024T2;17.057
Ambos sexos;Total;Total;2024T1;17.098,6
Ambos sexos;Total;Total;2023T4;16.970,5
Ambos sexos;Total;Total;2023T3;16.716,1
Ambos sexos;Total;Total;2023T2;16.824,8
Ambos sexos;Total;Total;2023T1;16.940,6
Ambos sexos;Total;Total;2022T4;16.896,9
Ambos sexos;Total;Total;2022T3;16.684,8
Ambos sexos;Total;Total;2022T2;16.675,2
Ambos sexos;Total;Total;2022T1;16.705,6
Ambos sexos;Total;Total;2021T4;16.592,9
Ambos sexos;Total;Total;2021T3;16.372,1
Ambos sexos;Total;Total;2021T2;16.584,8
Ambos sexos;Total;Total;2021T1;16.914,7
Ambos sexos;Total;Total;2020T4;16.571,4
Ambos sexos;Total;Total;2020T3;16.696
Ambos sexos;Total;Total;2020T2;17.588,7
Ambos sexos;Total;Total;2020T1;16.525,9
Ambos sexos;Total;Total;2019T4;16.268,4
Ambos sexos;Total;Total;2019T3;16.233,3
Ambos sexos;Total;Total;2019T2;16.177,6
Ambos sexos;Total;Total;2019T1;16.289,4
Ambos sexos;Total;Total;2018T4;16.150,6
Ambos sexos;Total;Total;2018T3;16.058,4
Ambos sexos;Total;Total;2018T2;16.001,2
Ambos sexos;Total;Total;2018T1;16.109,5
Ambos sexos;Total;Total;2017T4;15.951,6
Ambos sexos;Total;Total;2017T3;15.881,8
Ambos sexos;Total;Total;2017T2;15.901,5
Ambos sexos;Total;Total;2017T1;15.914,7
Ambos sexos;Total;Total;2016T4;15.839
Ambos sexos;Total;Total;2016T3;15.695,3
Ambos sexos;Total;Total;2016T2;15.630
Ambos sexos;Total;Total;2016T1;15.670,8
Ambos sexos;Total;Total;2015T4;15.615,9
Ambos sexos;Total;Total;2015T3;15.587,3
