Ocupación CNO-11;Sexo;Unidad;Periodo;Total
Total;Ambos sexos;Valor absoluto;2025T4;12.505,3
Total;Ambos sexos;Valor absoluto;2025T3;12.377,4
Total;Ambos sexos;Valor absoluto;2025T2;12.285,2
Total;Ambos sexos;Valor absoluto;2025T1;12.380,8
Total;Ambos sexos;Valor absoluto;2024T4;12.426,7
Total;Ambos sexos;Valor absoluto;2024T3;12.296,1
Total;Ambos sexos;Valor absoluto;2024T2;12.175,1
Total;Ambos sexos;Valor absoluto;2024T1;12.304,4
Total;Ambos sexos;Valor absoluto;2023T4;12.245,3
Total;Ambos sexos;Valor absoluto;2023T3;12.057,5
Total;Ambos sexos;Valor absoluto;2023T2;12.045,5
Total;Ambos sexos;Valor absoluto;2023T1;12.116,6
Total;Ambos sexos;Valor absoluto;2022T4;12.108,5
Total;Ambos sexos;Valor absoluto;2022T3;11.937,6
Total;Ambos sexos;Valor absoluto;2022T2;11.870,8
Total;Ambos sexos;Valor absoluto;2022T1;11.944,9
Total;Ambos sexos;Valor absoluto;2021T4;11.893,6
Total;Ambos sexos;Valor absoluto;2021T3;11.743,2
Total;Ambos sexos;Valor absoluto;2021T2;11.856,2
Total;Ambos sexos;Valor absoluto;2021T1;12.166,5
Total;Ambos sexos;Valor absoluto;2020T4;12.341,2
Total;Ambos sexos;Valor absoluto;2020T3;12.506
Total;Ambos sexos;Valor absoluto;2020T2;13.298,1
Total;Ambos sexos;Valor absoluto;2020T1;12.235,7
Total;Ambos sexos;Valor absoluto;2019T4;11.992,8
Total;Ambos sexos;Valor absoluto;2019T3;11.924
Total;Ambos sexos;Valor absoluto;2019T2;11.786,9
Total;Ambos sexos;Valor absoluto;2019T1;11.922,9
Total;Ambos sexos;Valor absoluto;2018T4;11.786,1
Total;Ambos sexos;Valor absoluto;2018T3;11.695,3
Total;Ambos sexos;Valor absoluto;2018T2;11.560,2
Total;Ambos sexos;Valor absoluto;2018T1;11.676
Total;Ambos sexos;Valor absoluto;2017T4;11.594,3
Total;Ambos sexos;Valor absoluto;2017T3;11.537,3
Total;Ambos sexos;Valor absoluto;2017T2;11.495
Total;Ambos sexos;Valor absoluto;2017T1;11.517,2
Total;Ambos sexos;Valor absoluto;2016T4;11.414,5
Total;Ambos sexos;Valor absoluto;2016T3;11.300,5
Total;Ambos sexos;Valor absoluto;2016T2;11.160,2
Total;Ambos sexos;Valor absoluto;2016T1;11.206
Total;Ambos sexos;Valor absoluto;2015T4;11.217,2
Total;Ambos sexos;Valor absoluto;2015T3;11.251,8
Total;Ambos sexos;Valor absoluto;2015T2;11.052,4
Total;Ambos sexos;Valor absoluto;2015T1;11.181,1
Total;Ambos sexos;Valor absoluto;2014T4;11.128,1
Total;Ambos sexos;Valor absoluto;2014T3;11.211,2
Total;Ambos sexos;Valor absoluto;2014T2;11.135,2
Total;Ambos sexos;Valor absoluto;2014T1;11.213,8
Total;Ambos sexos;Valor absoluto;2013T4;11.108,6
Total;Ambos sexos;Valor absoluto;2013T3;11.121,7
Total;Ambos sexos;Valor absoluto;2013T2;11.086,4
Total;Ambos sexos;Valor absoluto;2013T1;11.021,1
Total;Ambos sexos;Valor absoluto;2012T4;10.953,5
Total;Ambos sexos;Valor absoluto;2012T3;10.961,9
Total;Ambos sexos;Valor absoluto;2012T2;10.918,9
Total;Ambos sexos;Valor absoluto;2012T1;11.041
Total;Ambos sexos;Valor absoluto;2011T4;11.007,9
Total;Ambos sexos;Valor absoluto;2011T3;11.027,8
Total;Ambos sexos;Valor absoluto;2011T2;10.979,6
Total;Ambos sexos;Valor absoluto;2011T1;11.048,6
Total;Ambos sexos;Porcentaje;2025T4;100
Total;Ambos sexos;Porcentaje;2025T3;100
Total;Ambos sexos;Porcentaje;2025T2;100
Total;Ambos sexos;Porcentaje;2025T1;100
Total;Ambos sexos;Porcentaje;2024T4;100
Total;Ambos sexos;Porcentaje;2024T3;100
Total;Ambos sexos;Porcentaje;2024T2;100
Total;Ambos sexos;Porcentaje;2024T1;100
Total;Ambos sexos;Porcentaje;2023T4;100
Total;Ambos sexos;Porcentaje;2023T3;100
Total;Ambos sexos;Porcentaje;2023T2;100
Total;Ambos sexos;Porcentaje;2023T1;100
Total;Ambos sexos;Porcentaje;2022T4;100
Total;Ambos sexos;Porcentaje;2022T3;100
Total;Ambos sexos;Porcentaje;2022T2;100
Total;Ambos sexos;Porcentaje;2022T1;100
Total;Ambos sexos;Porcentaje;2021T4;100
Total;Ambos sexos;Porcentaje;2021T3;100
Total;Ambos sexos;Porcentaje;2021T2;100
Total;Ambos sexos;Porcentaje;2021T1;100
Total;Ambos sexos;Porcentaje;2020T4;100
Total;Ambos sexos;Porcentaje;2020T3;100
Total;Ambos sexos;Porcentaje;2020T2;100
Total;Ambos sexos;Porcentaje;2020T1;100
Total;Ambos sexos;Porcentaje;2019T4;100
Total;Ambos sexos;Porcentaje;2019T3;100
Total;Ambos sexos;Porcentaje;2019T2;100
Total;Ambos sexos;Porcentaje;2019T1;100
Total;Ambos sexos;Porcentaje;2018T4;100
Total;Ambos sexos;Porcentaje;2018T3;100
Total;Ambos sexos;Porcentaje;2018T2;100
Total;Ambos sexos;Porcentaje;2018T1;100
Total;Ambos sexos;Porcentaje;2017T4;100
Total;Ambos sexos;Porcentaje;2017T3;100
Total;Ambos sexos;Porcentaje;2017T2;100
Total;Ambos sexos;Porcentaje;2017T1;100
Total;Ambos sexos;Porcentaje;2016T4;100
Total;Ambos sexos;Porcentaje;2016T3;100
Total;Ambos sexos;Porcentaje;2016T2;100
Total;Ambos sexos;Porcentaje;2016T1;100
Total;Ambos sexos;Porcentaje;2015T4;100
Total;Ambos sexos;Porcentaje;2015T3;100
Total;Ambos sexos;Porcentaje;2015T2;100
Total;Ambos sexos;Porcentaje;2015T1;100
Total;Ambos sexos;Porcentaje;2014T4;100
Total;Ambos sexos;Porcentaje;2014T3;100
