Número de parados en el hogar;Número de activos en el hogar;Periodo;Total
Total;Total;2025T4;19.853,4
Total;Total;2025T3;19.767,9
Total;Total;2025T2;19.744,4
Total;Total;2025T1;19.672,3
Total;Total;2024T4;19.595,2
Total;Total;2024T3;19.547,5
Total;Total;2024T2;19.494,8
Total;Total;2024T1;19.510,6
Total;Total;2023T4;19.459,7
Total;Total;2023T3;19.398,4
Total;Total;2023T2;19.345,2
Total;Total;2023T1;19.272,6
Total;Total;2022T4;19.194,3
Total;Total;2022T3;19.115,6
Total;Total;2022T2;19.039,9
Total;Total;2022T1;18.963,3
Total;Total;2021T4;18.883,2
Total;Total;2021T3;18.786,9
Total;Total;2021T2;18.704,5
Total;Total;2021T1;18.610
Total;Total;2020T4;18.817,8
Total;Total;2020T3;18.799,4
Total;Total;2020T2;18.784,4
Total;Total;2020T1;18.773,9
Total;Total;2019T4;18.746,9
Total;Total;2019T3;18.709,8
Total;Total;2019T2;18.677,1
Total;Total;2019T1;18.652,4
Total;Total;2018T4;18.625
Total;Total;2018T3;18.589,5
Total;Total;2018T2;18.562,2
Total;Total;2018T1;18.545,9
Total;Total;2017T4;18.529,7
Total;Total;2017T3;18.515,3
Total;Total;2017T2;18.505,2
Total;Total;2017T1;18.500
Total;Total;2016T4;18.486,4
Total;Total;2016T3;18.455,8
Total;Total;2016T2;18.426,2
Total;Total;2016T1;18.408,3
Total;Total;2015T4;18.395,1
Total;Total;2015T3;18.378,1
Total;Total;2015T2;18.367,2
Total;Total;2015T1;18.363,5
Total;Total;2014T4;18.362
Total;Total;2014T3;18.355,7
Total;Total;2014T2;18.331,4
Total;Total;2014T1;18.266,5
Total;Total;2013T4;18.245,1
Total;Total;2013T3;18.220,4
Total;Total;2013T2;18.204,1
Total;Total;2013T1;18.180,3
Total;Total;2012T4;18.154,1
Total;Total;2012T3;18.109
Total;Total;2012T2;18.067,8
Total;Total;2012T1;18.032,7
Total;Total;2011T4;17.995,8
Total;Total;2011T3;17.928,3
Total;Total;2011T2;17.862,8
Total;Total;2011T1;17.802,4
