Comunidades y Ciudades Autónomas;Proporción de parados;Periodo;Total
Total Nacional;Todos los activos son parados (Porcentaje);2025T4;5,37
Total Nacional;Todos los activos son parados (Porcentaje);2025T3;5,52
Total Nacional;Todos los activos son parados (Porcentaje);2025T2;5,58
Total Nacional;Todos los activos son parados (Porcentaje);2025T1;6,22
Total Nacional;Todos los activos son parados (Porcentaje);2024T4;5,89
Total Nacional;Todos los activos son parados (Porcentaje);2024T3;6,02
Total Nacional;Todos los activos son parados (Porcentaje);2024T2;6,14
Total Nacional;Todos los activos son parados (Porcentaje);2024T1;6,93
Total Nacional;Todos los activos son parados (Porcentaje);2023T4;6,57
Total Nacional;Todos los activos son parados (Porcentaje);2023T3;6,61
Total Nacional;Todos los activos son parados (Porcentaje);2023T2;6,57
Total Nacional;Todos los activos son parados (Porcentaje);2023T1;7,66
Total Nacional;Todos los activos son parados (Porcentaje);2022T4;7,58
Total Nacional;Todos los activos son parados (Porcentaje);2022T3;7,04
Total Nacional;Todos los activos son parados (Porcentaje);2022T2;7,22
Total Nacional;Todos los activos son parados (Porcentaje);2022T1;7,62
Total Nacional;Todos los activos son parados (Porcentaje);2021T4;7,41
Total Nacional;Todos los activos son parados (Porcentaje);2021T3;8,21
Total Nacional;Todos los activos son parados (Porcentaje);2021T2;8,46
Total Nacional;Todos los activos son parados (Porcentaje);2021T1;9,02
Total Nacional;Todos los activos son parados (Porcentaje);2020T4;8,85
Total Nacional;Todos los activos son parados (Porcentaje);2020T3;8,72
Total Nacional;Todos los activos son parados (Porcentaje);2020T2;8,67
Total Nacional;Todos los activos son parados (Porcentaje);2020T1;7,94
Total Nacional;Todos los activos son parados (Porcentaje);2019T4;7,49
Total Nacional;Todos los activos son parados (Porcentaje);2019T3;7,51
Total Nacional;Todos los activos son parados (Porcentaje);2019T2;7,4
Total Nacional;Todos los activos son parados (Porcentaje);2019T1;8,14
Total Nacional;Todos los activos son parados (Porcentaje);2018T4;7,86
Total Nacional;Todos los activos son parados (Porcentaje);2018T3;8,11
Total Nacional;Todos los activos son parados (Porcentaje);2018T2;8,32
Total Nacional;Todos los activos son parados (Porcentaje);2018T1;9,3
Total Nacional;Todos los activos son parados (Porcentaje);2017T4;9,06
Total Nacional;Todos los activos son parados (Porcentaje);2017T3;8,94
Total Nacional;Todos los activos son parados (Porcentaje);2017T2;9,55
Total Nacional;Todos los activos son parados (Porcentaje);2017T1;10,44
Total Nacional;Todos los activos son parados (Porcentaje);2016T4;10,36
Total Nacional;Todos los activos son parados (Porcentaje);2016T3;10,75
Total Nacional;Todos los activos son parados (Porcentaje);2016T2;11,14
Total Nacional;Todos los activos son parados (Porcentaje);2016T1;12,01
Total Nacional;Todos los activos son parados (Porcentaje);2015T4;11,62
Total Nacional;Todos los activos son parados (Porcentaje);2015T3;11,76
Total Nacional;Todos los activos son parados (Porcentaje);2015T2;12,37
Total Nacional;Todos los activos son parados (Porcentaje);2015T1;13,37
Total Nacional;Todos los activos son parados (Porcentaje);2014T4;13,14
Total Nacional;Todos los activos son parados (Porcentaje);2014T3;13,39
Total Nacional;Todos los activos son parados (Porcentaje);2014T2;13,71
Total Nacional;Todos los activos son parados (Porcentaje);2014T1;14,83
Total Nacional;Todos los activos son parados (Porcentaje);2013T4;14,42
Total Nacional;Todos los activos son parados (Porcentaje);2013T3;14,2
Total Nacional;Todos los activos son parados (Porcentaje);2013T2;14,34
Total Nacional;Todos los activos son parados (Porcentaje);2013T1;15,02
Total Nacional;Todos los activos son parados (Porcentaje);2012T4;14,33
Total Nacional;Todos los activos son parados (Porcentaje);2012T3;13,51
Total Nacional;Todos los activos son parados (Porcentaje);2012T2;13,46
Total Nacional;Todos los activos son parados (Porcentaje);2012T1;13,4
Total Nacional;Todos los activos son parados (Porcentaje);2011T4;12,12
Total Nacional;Todos los activos son parados (Porcentaje);2011T3;11,01
Total Nacional;Todos los activos son parados (Porcentaje);2011T2;10,54
Total Nacional;Todos los activos son parados (Porcentaje);2011T1;10,7
Total Nacional;Todos los activos son parados (Porcentaje);2010T4;10,23
Total Nacional;Todos los activos son parados (Porcentaje);2010T3;10,02
Total Nacional;Todos los activos son parados (Porcentaje);2010T2;10,17
Total Nacional;Todos los activos son parados (Porcentaje);2010T1;10,03
Total Nacional;Todos los activos son parados (Porcentaje);2009T4;9,42
Total Nacional;Todos los activos son parados (Porcentaje);2009T3;8,72
Total Nacional;Todos los activos son parados (Porcentaje);2009T2;8,6
Total Nacional;Todos los activos son parados (Porcentaje);2009T1;8,3
Total Nacional;Todos los activos son parados (Porcentaje);2008T4;6,43
Total Nacional;Todos los activos son parados (Porcentaje);2008T3;5
Total Nacional;Todos los activos son parados (Porcentaje);2008T2;4,39
Total Nacional;Todos los activos son parados (Porcentaje);2008T1;4,15
Total Nacional;Todos los activos son parados (Porcentaje);2007T4;3,61
Total Nacional;Todos los activos son parados (Porcentaje);2007T3;3,13
Total Nacional;Todos los activos son parados (Porcentaje);2007T2;3,15
Total Nacional;Todos los activos son parados (Porcentaje);2007T1;3,45
Total Nacional;Todos los activos son parados (Porcentaje);2006T4;3,29
Total Nacional;Todos los activos son parados (Porcentaje);2006T3;3,26
Total Nacional;Todos los activos son parados (Porcentaje);2006T2;3,47
Total Nacional;Todos los activos son parados (Porcentaje);2006T1;3,64
Total Nacional;Todos los activos son parados (Porcentaje);2005T4;3,57
Total Nacional;Todos los activos son parados (Porcentaje);2005T3;3,37
Total Nacional;Todos los activos son parados (Porcentaje);2005T2;4,07
Total Nacional;Todos los activos son parados (Porcentaje);2005T1;4,23
Total Nacional;Todos los activos son parados (Porcentaje);2004T4;4,44
Total Nacional;Todos los activos son parados (Porcentaje);2004T3;4,69
Total Nacional;Todos los activos son parados (Porcentaje);2004T2;4,88
Total Nacional;Todos los activos son parados (Porcentaje);2004T1;4,94
Total Nacional;Todos los activos son parados (Porcentaje);2003T4;4,8
Total Nacional;Todos los activos son parados (Porcentaje);2003T3;4,75
Total Nacional;Todos los activos son parados (Porcentaje);2003T2;4,66
Total Nacional;Todos los activos son parados (Porcentaje);2003T1;5,05
Total Nacional;Todos los activos son parados (Porcentaje);2002T4;4,92
Total Nacional;Todos los activos son parados (Porcentaje);2002T3;4,83
Total Nacional;Todos los activos son parados (Porcentaje);2002T2;4,6
Total Nacional;Todos los activos son parados (Porcentaje);2002T1;4,91
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2025T4;12
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2025T3;12,18
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2025T2;12,14
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2025T1;13,6
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2024T4;12,83
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2024T3;13,37
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2024T2;13,4
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2024T1;14,75
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2023T4;14,18
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2023T3;14,2
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2023T2;14,08
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2023T1;16,03
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2022T4;15,76
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2022T3;15,16
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2022T2;15,32
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2022T1;16,46
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2021T4;16,22
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2021T3;17,34
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2021T2;18,27
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2021T1;19,57
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2020T4;19,4
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2020T3;19,41
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2020T2;18,27
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2020T1;17,66
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2019T4;16,9
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2019T3;16,87
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2019T2;17,17
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2019T1;18,08
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2018T4;17,82
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2018T3;17,7
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2018T2;18,69
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2018T1;20,68
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2017T4;20,22
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2017T3;19,97
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2017T2;21,21
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2017T1;23,08
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2016T4;22,73
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2016T3;23,01
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2016T2;24,43
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2016T1;25,74
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2015T4;25,28
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2015T3;25,55
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2015T2;26,93
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2015T1;28,64
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2014T4;28,48
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2014T3;28,29
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2014T2;29,52
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2014T1;31,29
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2013T4;31,15
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2013T3;30,69
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2013T2;31,27
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2013T1;32,38
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2012T4;30,82
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2012T3;29,55
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2012T2;29,27
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2012T1;29,13
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2011T4;27,18
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2011T3;25,25
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2011T2;24,67
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2011T1;25,32
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2010T4;24,13
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2010T3;23,35
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2010T2;23,97
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2010T1;23,77
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2009T4;22,33
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2009T3;21,03
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2009T2;21,38
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2009T1;20,6
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2008T4;16,55
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2008T3;13,24
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2008T2;12,38
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2008T1;11,53
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2007T4;10,32
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2007T3;9,53
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2007T2;9,5
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2007T1;10,24
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2006T4;9,9
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2006T3;9,71
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2006T2;10,12
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2006T1;10,78
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2005T4;10,29
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2005T3;9,81
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2005T2;10,95
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2005T1;12,04
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2004T4;12,78
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2004T3;12,9
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2004T2;13,46
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2004T1;13,95
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2003T4;13,61
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2003T3;13,53
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2003T2;13,64
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2003T1;14,48
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2002T4;13,9
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2002T3;13,68
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2002T2;13,04
Total Nacional;Al menos la mitad de los activos son parados (Porcentaje);2002T1;13,54
Total Nacional;Todos los activos son ocupados (Porcentaje);2025T4;84,65
Total Nacional;Todos los activos son ocupados (Porcentaje);2025T3;84,04
Total Nacional;Todos los activos son ocupados (Porcentaje);2025T2;84,47
Total Nacional;Todos los activos son ocupados (Porcentaje);2025T1;82,97
Total Nacional;Todos los activos son ocupados (Porcentaje);2024T4;84,09
Total Nacional;Todos los activos son ocupados (Porcentaje);2024T3;83,12
Total Nacional;Todos los activos son ocupados (Porcentaje);2024T2;83,18
Total Nacional;Todos los activos son ocupados (Porcentaje);2024T1;81,85
Total Nacional;Todos los activos son ocupados (Porcentaje);2023T4;82,44
Total Nacional;Todos los activos son ocupados (Porcentaje);2023T3;82,3
Total Nacional;Todos los activos son ocupados (Porcentaje);2023T2;82,6
Total Nacional;Todos los activos son ocupados (Porcentaje);2023T1;80,48
Total Nacional;Todos los activos son ocupados (Porcentaje);2022T4;81,04
Total Nacional;Todos los activos son ocupados (Porcentaje);2022T3;81,44
Total Nacional;Todos los activos son ocupados (Porcentaje);2022T2;81,32
Total Nacional;Todos los activos son ocupados (Porcentaje);2022T1;80,12
Total Nacional;Todos los activos son ocupados (Porcentaje);2021T4;80,43
Total Nacional;Todos los activos son ocupados (Porcentaje);2021T3;78,69
Total Nacional;Todos los activos son ocupados (Porcentaje);2021T2;77,68
Total Nacional;Todos los activos son ocupados (Porcentaje);2021T1;76,76
Total Nacional;Todos los activos son ocupados (Porcentaje);2020T4;76,89
Total Nacional;Todos los activos son ocupados (Porcentaje);2020T3;76,78
Total Nacional;Todos los activos son ocupados (Porcentaje);2020T2;78,4
Total Nacional;Todos los activos son ocupados (Porcentaje);2020T1;79,06
Total Nacional;Todos los activos son ocupados (Porcentaje);2019T4;79,8
Total Nacional;Todos los activos son ocupados (Porcentaje);2019T3;79,65
Total Nacional;Todos los activos son ocupados (Porcentaje);2019T2;79,35
Total Nacional;Todos los activos son ocupados (Porcentaje);2019T1;78,65
Total Nacional;Todos los activos son ocupados (Porcentaje);2018T4;78,92
Total Nacional;Todos los activos son ocupados (Porcentaje);2018T3;78,94
Total Nacional;Todos los activos son ocupados (Porcentaje);2018T2;77,86
Total Nacional;Todos los activos son ocupados (Porcentaje);2018T1;76,15
Total Nacional;Todos los activos son ocupados (Porcentaje);2017T4;76,47
Total Nacional;Todos los activos son ocupados (Porcentaje);2017T3;76,6
Total Nacional;Todos los activos son ocupados (Porcentaje);2017T2;75,49
Total Nacional;Todos los activos son ocupados (Porcentaje);2017T1;73,6
Total Nacional;Todos los activos son ocupados (Porcentaje);2016T4;73,77
Total Nacional;Todos los activos son ocupados (Porcentaje);2016T3;73,41
Total Nacional;Todos los activos son ocupados (Porcentaje);2016T2;72,08
Total Nacional;Todos los activos son ocupados (Porcentaje);2016T1;70,88
Total Nacional;Todos los activos son ocupados (Porcentaje);2015T4;71,17
Total Nacional;Todos los activos son ocupados (Porcentaje);2015T3;70,79
Total Nacional;Todos los activos son ocupados (Porcentaje);2015T2;69,35
Total Nacional;Todos los activos son ocupados (Porcentaje);2015T1;67,78
Total Nacional;Todos los activos son ocupados (Porcentaje);2014T4;67,78
Total Nacional;Todos los activos son ocupados (Porcentaje);2014T3;67,89
Total Nacional;Todos los activos son ocupados (Porcentaje);2014T2;66,6
Total Nacional;Todos los activos son ocupados (Porcentaje);2014T1;64,9
Total Nacional;Todos los activos son ocupados (Porcentaje);2013T4;65,04
Total Nacional;Todos los activos son ocupados (Porcentaje);2013T3;65,37
Total Nacional;Todos los activos son ocupados (Porcentaje);2013T2;64,68
Total Nacional;Todos los activos son ocupados (Porcentaje);2013T1;63,69
Total Nacional;Todos los activos son ocupados (Porcentaje);2012T4;65,02
Total Nacional;Todos los activos son ocupados (Porcentaje);2012T3;66,09
Total Nacional;Todos los activos son ocupados (Porcentaje);2012T2;66,44
Total Nacional;Todos los activos son ocupados (Porcentaje);2012T1;66,75
Total Nacional;Todos los activos son ocupados (Porcentaje);2011T4;68,66
Total Nacional;Todos los activos son ocupados (Porcentaje);2011T3;70,3
Total Nacional;Todos los activos son ocupados (Porcentaje);2011T2;71,06
Total Nacional;Todos los activos son ocupados (Porcentaje);2011T1;70,51
Total Nacional;Todos los activos son ocupados (Porcentaje);2010T4;71,62
Total Nacional;Todos los activos son ocupados (Porcentaje);2010T3;72,06
Total Nacional;Todos los activos son ocupados (Porcentaje);2010T2;71,54
Total Nacional;Todos los activos son ocupados (Porcentaje);2010T1;71,86
Total Nacional;Todos los activos son ocupados (Porcentaje);2009T4;73,44
Total Nacional;Todos los activos son ocupados (Porcentaje);2009T3;74,46
Total Nacional;Todos los activos son ocupados (Porcentaje);2009T2;74,16
Total Nacional;Todos los activos son ocupados (Porcentaje);2009T1;74,9
Total Nacional;Todos los activos son ocupados (Porcentaje);2008T4;79,22
Total Nacional;Todos los activos son ocupados (Porcentaje);2008T3;82,73
Total Nacional;Todos los activos son ocupados (Porcentaje);2008T2;83,69
Total Nacional;Todos los activos son ocupados (Porcentaje);2008T1;84,86
Total Nacional;Todos los activos son ocupados (Porcentaje);2007T4;86,35
Total Nacional;Todos los activos son ocupados (Porcentaje);2007T3;87,14
Total Nacional;Todos los activos son ocupados (Porcentaje);2007T2;87,17
Total Nacional;Todos los activos son ocupados (Porcentaje);2007T1;86,53
Total Nacional;Todos los activos son ocupados (Porcentaje);2006T4;86,62
Total Nacional;Todos los activos son ocupados (Porcentaje);2006T3;86,74
Total Nacional;Todos los activos son ocupados (Porcentaje);2006T2;86,39
Total Nacional;Todos los activos son ocupados (Porcentaje);2006T1;85,52
Total Nacional;Todos los activos son ocupados (Porcentaje);2005T4;86,03
Total Nacional;Todos los activos son ocupados (Porcentaje);2005T3;86,67
Total Nacional;Todos los activos son ocupados (Porcentaje);2005T2;85,16
Total Nacional;Todos los activos son ocupados (Porcentaje);2005T1;83,91
Total Nacional;Todos los activos son ocupados (Porcentaje);2004T4;83,31
Total Nacional;Todos los activos son ocupados (Porcentaje);2004T3;83,2
Total Nacional;Todos los activos son ocupados (Porcentaje);2004T2;82,61
Total Nacional;Todos los activos son ocupados (Porcentaje);2004T1;82,01
Total Nacional;Todos los activos son ocupados (Porcentaje);2003T4;82,26
Total Nacional;Todos los activos son ocupados (Porcentaje);2003T3;82,45
Total Nacional;Todos los activos son ocupados (Porcentaje);2003T2;82,45
