modelo,horizonte,rmse,mae,skill_vs_rw,skill_vs_arima,rmse_covid
random_walk,0,0.7826,0.5765,0.0,-0.4927,0.7707
random_walk,1,1.3297,1.0068,0.0,-0.3428,1.2788
random_walk,2,1.7764,1.3986,0.0,-0.2565,1.655
random_walk,3,2.2048,1.771,0.0,-0.2318,1.78
random_walk,4,2.7091,2.1717,0.0,-0.1804,1.7708
arima,0,0.5242,0.3663,0.3301,0.0,0.7682
arima,1,0.9902,0.7012,0.2553,0.0,1.7062
arima,2,1.4138,1.0231,0.2041,0.0,2.3371
arima,3,1.7898,1.3236,0.1882,0.0,2.7166
arima,4,2.2951,1.7272,0.1528,0.0,3.1346
sarimax,0,0.6082,0.4359,0.2227,-0.1602,0.8769
sarimax,1,1.0774,0.7605,0.1898,-0.088,2.0273
sarimax,2,1.4995,1.1279,0.1559,-0.0607,2.5666
sarimax,3,1.8827,1.4226,0.1461,-0.0519,2.4211
sarimax,4,2.4425,1.9105,0.0984,-0.0642,3.0496
var,0,0.6532,0.4837,0.1653,-0.2459,1.2345
var,1,1.1596,0.8513,0.1279,-0.1711,1.8298
var,2,1.536,1.1563,0.1353,-0.0865,2.4509
var,3,1.9236,1.4305,0.1275,-0.0747,3.2482
var,4,2.5516,1.8466,0.0581,-0.1118,3.9682
vecm,0,0.6825,0.5158,0.1278,-0.3019,1.0224
vecm,1,1.2993,0.8935,0.0229,-0.3121,1.9369
vecm,2,1.9311,1.288,-0.087,-0.3659,3.1441
vecm,3,2.6171,1.7235,-0.187,-0.4622,4.9717
vecm,4,2.8405,2.1003,-0.0485,-0.2376,3.2496
prophet_nivel,0,3.3509,2.4421,-3.2821,-5.3919,3.4481
prophet_nivel,1,5.0509,4.218,-2.7984,-4.1006,3.4997
prophet_nivel,2,5.8614,5.2644,-2.2996,-3.1459,3.5631
prophet_nivel,3,6.4714,5.9807,-1.9352,-2.6157,3.6239
prophet_nivel,4,7.2338,6.7997,-1.6702,-2.1519,3.7453
prophet_diff1,0,0.7047,0.5037,0.0995,-0.3442,0.9024
prophet_diff1,1,1.2913,0.9252,0.0289,-0.3041,1.474
prophet_diff1,2,1.823,1.3446,-0.0262,-0.2895,1.8113
prophet_diff1,3,2.3402,1.7323,-0.0614,-0.3075,2.1185
prophet_diff1,4,2.8934,2.1617,-0.0681,-0.2607,2.4127
rf,0,1.4189,1.0767,-0.8132,-1.7066,0.9297
rf,1,1.9968,1.5737,-0.5016,-1.0164,1.3116
rf,2,2.5921,2.0297,-0.4592,-0.8334,1.9085
rf,3,3.0358,2.3866,-0.3769,-0.6961,2.2833
rf,4,3.6033,2.9047,-0.3301,-0.57,2.6371
xgboost,0,1.2877,0.9946,-0.6455,-1.4563,1.2151
xgboost,1,1.8161,1.4124,-0.3658,-0.834,1.5911
xgboost,2,2.3952,1.9358,-0.3483,-0.6941,2.1736
xgboost,3,2.8205,2.2807,-0.2793,-0.5758,2.542
xgboost,4,3.4396,2.8211,-0.2697,-0.4987,2.9419
ridge,0,2.057,1.7263,-1.6286,-2.9237,1.2278
ridge,1,2.5618,2.0601,-0.9265,-1.587,1.4159
ridge,2,3.0498,2.3856,-0.7168,-1.1572,1.676
ridge,3,3.5147,2.6727,-0.5941,-0.9637,1.5611
ridge,4,4.1052,3.1779,-0.5153,-0.7887,1.8581
lasso,0,0.9907,0.7892,-0.266,-0.8897,0.7369
lasso,1,1.4318,1.1078,-0.0768,-0.4459,1.8238
lasso,2,1.8627,1.4494,-0.0486,-0.3175,2.7182
lasso,3,2.3421,1.8618,-0.0623,-0.3086,3.4513
lasso,4,2.995,2.4442,-0.1055,-0.305,3.8958
