modelo,rmse_global,rmse_nowcast,rmse_h4,rmse_covid_global,train_rmse,gap_nowcast
ensemble,1.4832,0.5472,2.2008,2.27,,
arima,1.5313,0.5242,2.2951,2.2878,0.434,0.0902
sarimax,1.6303,0.6082,2.4425,2.3077,0.424,0.1842
var,1.6936,0.6532,2.5516,2.7268,0.4114,0.2418
random_walk,1.8834,0.7826,2.7091,1.5015,0.71,0.0726
prophet_diff1,1.9665,0.7047,2.8934,1.8208,0.611,0.094
vecm,2.0396,0.6825,2.8405,3.161,0.4122,0.2703
lasso,2.0473,0.9907,2.995,2.7694,0.853,0.1377
xgboost,2.469,1.2877,3.4396,2.184,0.427,0.8607
rf,2.6427,1.4189,3.6033,1.918,0.804,0.6149
ridge,3.1401,2.057,4.1052,1.5627,0.974,1.083
prophet_nivel,5.7499,3.3509,7.2338,3.5775,4.995,-1.644
